hotel_name,hotel_address,hotel_distance_center,hotel_room,hotel_star,hotel_score,hotel_score_title,hotel_number_reviews,hotel_price,hotel_offer
TTC Hotel Phan Thiet,"10.9258278295092,108.11486184597",,Superior Double or Twin Room with City View,4 out of 5,8.1,Very good,426 reviews,"VND 765,000",Breakfast included
Ananda Resort,"10.9471960059076,108.201175332069",,Standard Double or Twin Room,3 out of 5,7.8,Good,610 reviews,"VND 460,000",
Full Moon Beach Resort,"10.9550882000336,108.2321575284",,Standard Double or Twin Room,2 out of 5,8.3,Very good,439 reviews,"VND 775,000",Breakfast included
Sailing Club Resort Mui Ne,"10.9445415269866,108.195832371712",,Sapa House Garden View,4 out of 5,9.4,Superb,248 reviews,"VND 3,035,250",Breakfast included
Bamboo Village Beach Resort & Spa,"10.945896420241,108.198758661747",,Deluxe Garden View Room,4 out of 5,9.4,Superb,369 reviews,"VND 1,964,693",Breakfast included
Unique Mui Ne Resort and Spa,"10.9428087293062,108.194960653782",,Deluxe Room with Garden View,4 out of 5,7.5,Good,198 reviews,"VND 2,077,662",Breakfast included
Ravenala Boutique Resort,"10.9549409,108.2363934",,Queen Room with Spa Bath,3 out of 5,8.4,Very good,648 reviews,"VND 931,500",
The Cliff Resort & Residences,"10.9372099854853,108.179068565369",,Azul Double or Twin Room with Garden View,4 out of 5,8.8,Fabulous,375 reviews,"VND 2,080,000",Breakfast included
Four Oceans Resort,"10.944994341995,108.197184659089",,Standard Double or Twin Room with Garden View,3 out of 5,8.4,Very good,882 reviews,"VND 1,001,700",Breakfast included
Muong Thanh Holiday Muine Hotel,"10.9500663945684,108.258727453512",,Deluxe King or Twin Room,4 out of 5,7.6,Good,361 reviews,"VND 840,000",Breakfast included
Blue Ocean Resort,"10.9511566127702,108.210528194904",,Standard Double or Twin Room,4 out of 5,8.5,Very good,348 reviews,"VND 1,608,179",Breakfast included
White Sand Resort Mui Ne,"10.9327980363512,108.166716992855",,Twin Room with Garden View,4 out of 5,8.0,Very good,178 reviews,"VND 1,487,500",Breakfast included
Romana Resort & Spa,"10.9323649121807,108.162448108151",,Deluxe Room - Ocean View,4 out of 5,7.9,Good,447 reviews,"VND 1,007,200",Breakfast included
Muine Bay Resort,"10.921432335907,108.293652534485",,Superior Double or Twin Room,4 out of 5,8.9,Fabulous,663 reviews,"VND 1,243,550",Breakfast included
Venus MuiNe Hotel,"10.9532896304238,108.242765665054",,Standard King Room,2 out of 5,7.4,Good,363 reviews,"VND 405,000",Breakfast included
Anantara Mui Ne Resort,"10.9415183414726,108.191691040993",,Premier Double or Twin Room,5 out of 5,8.6,Fabulous,101 reviews,"VND 4,037,854",Breakfast included
Aurora Resort,"10.634384554359,107.726692965607",,Double or Twin Room with View,,8.0,Very good,88 reviews,"VND 1,200,000",Breakfast included
