hotel_name,hotel_address,hotel_distance_center,hotel_location_features,hotel_room,number_of_rooms,room_occupancy,hotel_star,hotel_score,hotel_score_title,hotel_number_reviews,hotel_price,hotel_offer
Citadines Central Binh Duong,"10.9479789369205,106.706564827637",,,Studio Executive,,2,4 out of 5,8.8,Fabulous,237 reviews,"VND 1,403,325","FREE cancellation,• No prepayment needed"
The Mira Hotel,"10.9871525166007,106.664645075798",,,Superior Twin Room,,2,5 out of 5,8.2,Very good,68 reviews,"VND 1,435,500",Breakfast included
The Green House - Serviced Apartment,"10.97251,106.664207",,,Studio Apartment,,2,,8.9,Fabulous,33 reviews,"VND 800,100","FREE cancellation,• No prepayment needed"
Tran Long Hotel,"11.0719795846779,106.682941412008",,,Standard King Room,,2,1 out of 5,5.4,Review score,12 reviews,"VND 450,000","FREE cancellation,• No prepayment needed"
Bcons Hotel Binh Duong,"10.984929,106.648463",,,Superior Double Room,,2,4 out of 5,7.9,Good,139 reviews,"VND 1,080,000","Breakfast included,FREE cancellation,• No prepayment needed"
SUN HOTEL,"10.968022396155,106.678061744827",,,Standard Queen Room,,2,2 out of 5,8.1,Very good,17 reviews,"VND 345,000",
Becamex Hotel New City,"11.0563200533535,106.684139370918",,,Deluxe King Room,,2,4 out of 5,8.1,Very good,71 reviews,"VND 2,633,400",Breakfast included
Hoang Yen Hotel,"10.872733141176,106.70710295426",,,Standard Double Room - No Window,,2,3 out of 5,8.1,Very good,42 reviews,"VND 574,750","Breakfast included,FREE cancellation,• No prepayment needed"
Khải Hoàn Hotel,"11.1249353869127,106.614575103996",,,Deluxe Double Room,,2,2 out of 5,9.5,Exceptional,15 reviews,"VND 360,000",
Hoang Hung Hotel,"10.891577,106.763035",,,Superior Double Room,,2,,9.4,Superb,13 reviews,"VND 508,008","FREE cancellation,• No prepayment needed"
Long Bao Chau Hotel,"10.9721909183468,106.663083493677",,,Standard Double Room,,2,3 out of 5,6.6,Review score,47 reviews,"VND 499,800",
Becamex Hotel Thu Dau Mot,"10.9708403975906,106.675521405271",,,Standard Suite,,2,3 out of 5,7.6,Good,86 reviews,"VND 2,030,490",Breakfast included
May Hotel,"10.9587182226847,106.697714030743",,,Standard Double Room,,2,1 out of 5,8.7,Fabulous,177 reviews,"VND 334,800",
Phuong Nam Resort,"10.874885,106.698683",,,Double Room,,2,,8.1,Very good,49 reviews,"VND 1,445,000",Breakfast included
Hung Phuoc Hotel,"11.1301283608072,106.6033244133",,,Superior Double Room,,2,2 out of 5,6.9,Review score,21 reviews,"VND 473,000",Breakfast included
Bideco Hotel,"10.972939332254,106.665433142334",,,Economy Double Room,,2,,7.4,Good,117 reviews,"VND 400,000",
New Hotel & Apartment,"10.9668444666715,106.676073716953",,,Superior Double Room,,2,3 out of 5,7.5,Good,79 reviews,"VND 513,000","FREE cancellation,• No prepayment needed"
SPRING HOTEL,"10.9060472623968,106.710622880707",,,Double Room,,2,,8.9,Fabulous,79 reviews,"VND 500,000",
Hotel lối về,"10.887758,106.788342",,,Deluxe Double Room,,4,,,,,"VND 640,000",
Hoa Khai Apartment & Hotel,"11.140326206634,106.633792186508",,,Deluxe Double Studio,,2,,6.8,Review score,15 reviews,"VND 297,500",
RED BEAN HOTEL,"10.9046368364344,106.7102139079",,,Deluxe Room,,2,,8.2,Very good,22 reviews,"VND 450,000",
The Mira Boutique Hotel,"10.981134,106.667107",,,Superior Twin Room,,2,,7.9,Good,42 reviews,"VND 831,600",Breakfast included
A Plus Hotel (A+ Hotel),"10.971852554941,106.669748783079",,,King Room with Garden View,,2,1 out of 5,5.7,Review score,34 reviews,"VND 470,000",
Au Lac Hotel,"11.1319698234698,106.614428771472",,,Superior Double Room,,2,2 out of 5,7.5,Good,29 reviews,"VND 276,250",
Lavender Hotel,"10.9751574105647,106.66681141698",,,Standard King Room,,2,2 out of 5,5.9,Review score,23 reviews,"VND 850,000",Breakfast included
Hotel Thien Duong Xanh,"11.1110942160903,106.705918251934",,,Superior Bungalow,,2,,8.4,Very good,38 reviews,"VND 250,000",
Phạm Vân Sakura Hotel,"10.930869,106.711321",,,Large Double Room,,2,2 out of 5,,,,"VND 1,235,000",Breakfast included
Mai Vuong Thuy Hotel,"10.992359,106.663173",,,Superior Double Room,,2,1 out of 5,,,,"VND 421,389",
Nhà Nghỉ 226,"11.140638,106.631454",,,Budget Double Room,,2,,,,,"VND 120,000",
Quang ninh gate hotel,"21.100132,106.379346",,,Double Room with Garden View,,2,1 out of 5,,,,"VND 1,000,000",
Hoang Anh Hotel,"10.890815,106.77197",,,Standard Double Room,,2,,,,,"VND 350,112",
Hoang Yen 2 Hotel,"10.9762357144416,106.653202772141",,,Deluxe Twin Room,,2,2 out of 5,6.1,Review score,9 reviews,"VND 680,625","Breakfast included,FREE cancellation,• No prepayment needed"
ANMY HOTEL,"11.0392775429309,106.682304676613",,,Family Room,,2,,8.1,Very good,8 reviews,"VND 603,000",
Hoang Ngoc Hotel,"10.8772235935196,106.749746203423",,,Standard Double Room,,2,1 out of 5,8.1,Very good,51 reviews,"VND 337,500",
Marina Hotel Bình Dương,"10.967657,106.674238",,,Junior Suite,,2,,,,,"VND 468,000",
Hoa Phuong Hotel,"10.9573244720626,106.730782718338",,,Superior Double Room,,2,,,,,"VND 202,738",
Ky Phu,"10.944954,106.741606",,,Superior Double Room,,2,,,,,"VND 283,196",
Samsora Riverside Master bedroom 1,"10.901385855734,106.83366710117",,,One-Bedroom Apartment,,2,,,,,"VND 342,000",
Vu Nam Hung Hotel,"10.9576079277189,106.717746667785",,,Superior Double Room,,2,,,,,"VND 235,578",
