hotel_name,hotel_address,hotel_distance_center,hotel_location_features,hotel_room,number_of_rooms,room_occupancy,hotel_star,hotel_score,hotel_score_title,hotel_number_reviews,hotel_price,hotel_offer
Lalaland Hostel,"13.7616877819157,109.219604378326",,,Deluxe Double Room,,2,,8.7,Fabulous,34 reviews,"VND 280,000",
FLC Luxury Hotel Quy Nhon,"13.8791626770452,109.278817176819",,,Studio Suite,,2,5 out of 5,7.4,Good,296 reviews,"VND 3,290,000",Breakfast included
FLC Luxury Resort Quy Nhon,"13.8858962611947,109.279871284962",,,Two-Bedroom Villa with Golf View,,4,5 out of 5,7.9,Good,71 reviews,"VND 7,980,000",Breakfast included
Avani Quy Nhon Resort,"13.6816936787543,109.232703149191",,,AVANI Deluxe Studio Room,,2,5 out of 5,8.3,Very good,144 reviews,"VND 2,544,885",Breakfast included
Anya Hotel Quy Nhon,"13.755567,109.214083",,,Superior Twin Room,,2,4 out of 5,8.5,Very good,190 reviews,"VND 2,105,076",Breakfast included
Fleur De Lys Hotel Quy Nhon,"13.771281,109.23699",,,Deluxe Double Room with Ocean View,,2,4 out of 5,8.6,Fabulous,60 reviews,"VND 1,683,000",Breakfast included
Seaside Boutique Resort Quy Nhon,"13.670183012321,109.229133532257",,,Deluxe Double Room with Sea View,,2,5 out of 5,8.4,Very good,185 reviews,"VND 1,718,750",Breakfast included
Mira Bãi Xếp Quy Nhơn - The Hidden Jewel,"13.6857140408235,109.231005402508",,,Standard Twin Room with Garden View,,2,2 out of 5,7.6,Good,118 reviews,"VND 573,300",
BED STATION HOSTEL,"13.763321,109.223408",,,Superior Double Room,,2,,7.6,Good,133 reviews,"VND 593,106","Breakfast included,FREE cancellation,• No prepayment needed"
La Cactus Hotel,"13.754179,109.212084",,,Deluxe Double Room,,2,1 out of 5,8.6,Fabulous,294 reviews,"VND 201,450",
Luu Ngai Condotel Quy Nhon,"13.757362,109.215772",,,Superior Twin Room,,2,3 out of 5,8.7,Fabulous,109 reviews,"VND 702,000",Breakfast included
Phuong Dong Hotel and Apartment,"13.7616060925472,109.219055245716",,,Apartment,,2,2 out of 5,8.6,Fabulous,197 reviews,"VND 512,000",
Galaxy Hotel,"13.763641,109.223961",,,Deluxe Queen Room with Two Queen Beds,,4,,8.3,Very good,290 reviews,"VND 626,560",
Athena Hotel Quy Nhơn,"13.76226,109.220023",,,Deluxe Room,,2,3 out of 5,9.2,Superb,92 reviews,"VND 963,000",Breakfast included
Mira Hotel Quy Nhơn,"13.761456,109.219148",,,Triple Room with City View,,3,2 out of 5,8.1,Very good,478 reviews,"VND 443,520",
Maia Resort Quy Nhon,"13.9299292793452,109.244341380676",,,Semi Detached Villa,,2,5 out of 5,8.7,Fabulous,11 reviews,"VND 3,900,000",Breakfast included
Anya Premier Hotel Quy Nhon,"13.752213,109.215724",,,Twin Room with View,,2,5 out of 5,7.7,Good,28 reviews,"VND 2,001,999",Breakfast included
Delight Hotel,"13.770689,109.231514",,,Twin Room,,2,2 out of 5,8.1,Very good,230 reviews,"VND 637,500","FREE cancellation,• No prepayment needed"
La beach house Nhơn Lý Quy Nhơn,"13.8775091947788,109.294224605637",,,Chalet,,2,,8.2,Very good,66 reviews,"VND 590,000",Breakfast included
Thiên Hải 2 Hotel,"13.764099,109.224985",,,Deluxe Double or Twin Room with Sea View,,4,,8.1,Very good,191 reviews,"VND 780,000",
Aurora Villas and Resort,"13.7116170495584,109.221203327179",,,Hill Top Villa Room,,2,4 out of 5,8.0,Very good,115 reviews,"VND 1,575,000",Breakfast included
Tân Thi Hotel,"13.7644832103625,109.223466976686",,,Double Room with Balcony,,2,2 out of 5,8.3,Very good,85 reviews,"VND 350,000",
Lux Quy Nhon Homestay,"13.76589,109.218703",,,Deluxe Queen Room with Two Queen Beds,,4,,9.6,Exceptional,47 reviews,"VND 450,000",
Lucky Hotel Quy Nhon,"13.761624,109.219587",,,Double Room,,2,,8.6,Fabulous,200 reviews,"VND 280,000",
Money Fine Quy Nhơn - Khách sạn dát vàng,"13.755401,109.217193",,,King Room,,2,2 out of 5,8.4,Very good,70 reviews,"VND 360,000",
TMS - Pullman Victor Apartment,"13.7700633,109.2328921",,,Studio with Ocean View,,2,3 out of 5,9.4,Superb,15 reviews,"VND 1,000,000",
FLC Grand Hotel Quy Nhon,"13.8840058398295,109.281415928864",,,Deluxe Twin Room,,2,5 out of 5,,,,"VND 3,150,000",Breakfast included
Ngoc Huong Hostel & Apartments,"13.767982070086,109.228109790638",,,Queen Room,,2,,7.9,Good,321 reviews,"VND 224,100",
