hotel_name,hotel_address,hotel_distance_center,hotel_location_features,hotel_room,number_of_rooms,room_occupancy,hotel_star,hotel_score,hotel_score_title,hotel_number_reviews,hotel_price,hotel_offer
New Palace Bac Lieu Hotel,"9.30615840073334,105.731515288353",,,Deluxe Queen Room with Two Queen Beds,,2,5 out of 5,7.5,Good,51 reviews,"VND 1,850,000","Breakfast included,FREE cancellation,• No prepayment needed"
Chí Hiếu Homestay,"9.298489,105.727156",,,Standard Studio,,2,5 out of 5,8.0,Very good,63 reviews,"VND 350,000",
Sơn Tùng Motel,"9.29545,105.711238",,,Quadruple Room,,4,,8.1,Very good,21 reviews,"VND 450,000",
Khách sạn Vân Nhi,"9.270585,105.724101",,,Family Room with Garden View,,4,,8.0,Very good,9 reviews,"VND 600,000",
Chi Hieu Hotel,"9.29820451715398,105.726768731188",,,Standard Double Room,,2,,6.6,Review score,56 reviews,"VND 250,000","FREE cancellation,• No prepayment needed"
Sai Gon Bac Lieu Hotel,"9.28493726626697,105.723757360396",,,Deluxe Triple Room,,3,3 out of 5,7.0,Good,61 reviews,"VND 880,588",Breakfast included
Royal Hotel,"9.287508,105.726818",,,Superior Family Room,,4,2 out of 5,8.2,Very good,37 reviews,"VND 830,000","FREE cancellation,• No prepayment needed"
Hotel Sen Việt Bạc Liêu,"9.277427,105.724508",,,Standard King Room,,2,,7.0,Good,9 reviews,"VND 300,000",
Ho Nam Resort,"9.30518353107572,105.731009730688",,,Triple Room with Balcony,,3,3 out of 5,7.8,Good,32 reviews,"VND 700,000",Breakfast included
Royal Hotel 2,"9.277779,105.723162",,,Deluxe Triple Room,,3,2 out of 5,8.3,Very good,3 reviews,"VND 750,000",
Sơn Tùng Motel,"9.2952829,105.7108338",,,Double Room,,2,,,,,"VND 280,000",
