hotel_name,hotel_address,hotel_distance_center,hotel_location_features,hotel_room,number_of_rooms,room_occupancy,hotel_star,hotel_score,hotel_score_title,hotel_number_reviews,hotel_price,hotel_offer
Sojo Hotel Bac Giang,"21.277142,106.194586",150 m from centre,,Double Room,,2,3 out of 5,8.4,Very good,7 reviews,"VND 1,006,200",
Muong Thanh Grand Bac Giang Hotel,"21.2822549818085,106.203369498253",1.1 km from centre,,Executive Suite,,2,4 out of 5,8.3,Very good,86 reviews,"VND 2,051,000",Breakfast included
Nhà nghỉ G9,"21.353344,106.255156",10 km from centre,,Double Room,,2,,,,,"VND 250,000",
Nhà Nghỉ An Chi,"21.3106042,106.1614759",5 km from centre,,Double Room,,2,,,,,"VND 212,500",
Thiên Ân Hotel Bắc Giang,"21.272707,106.095349",10 km from centre,,Deluxe Double or Twin Room,,2,4 out of 5,,,,"VND 1,080,000",Breakfast included
Phoenix Resort Bac Ninh,"21.2009451288822,106.092387416394",13 km from Bắc Giang,,Superior Double Room,,2,5 out of 5,7.9,Good,14 reviews,"VND 1,100,000","Breakfast included,FREE cancellation,• No prepayment needed"
Le Indochina Hotel,"21.1788917867085,106.070918266195",16 km from Bắc Giang,,Deluxe Double Room,,2,5 out of 5,8.2,Very good,46 reviews,"VND 1,600,000",Breakfast included
Center Hotel Bac Ninh,"21.1861602294768,106.078788433224",15 km from Bắc Giang,,Deluxe Double or Twin Room,,2,3 out of 5,8.3,Very good,55 reviews,"VND 795,000",Breakfast included
Mandala Hotel & Spa Bac Ninh,"21.188228,106.076679",15 km from Bắc Giang,,Deluxe Room,,2,5 out of 5,8.7,Fabulous,105 reviews,"VND 1,468,800",Breakfast included
Muong Thanh Luxury Bac Ninh Hotel,"21.1839224446221,106.066590988194",16 km from Bắc Giang,,Deluxe King Room,,2,5 out of 5,7.8,Good,45 reviews,"VND 1,117,800","Breakfast included,FREE cancellation,• No prepayment needed"
Motel Xuân Hòa,"21.18602,106.065549",16 km from Bắc Giang,,Double Room,,2,3 out of 5,8.5,Very good,20 reviews,"VND 282,150",
VIZGOO HOTEL,"21.181644,106.07802",16 km from Bắc Giang,,Deluxe Double Room,,2,3 out of 5,,,,"VND 899,000",Breakfast included
Rosana Apartment & Hotel Bac Ninh,"21.1871407,106.0660867",16 km from Bắc Giang,,Deluxe Studio,,2,,,,,"VND 396,000",
GOLD BUSINESS HOTEL,"21.17816,106.067871",17 km from Bắc Giang,,Deluxe Single Room with Balcony,2 ×,1,4 out of 5,,,,"VND 1,700,000",Breakfast included
Sala hotel từ sơn,"21.181535,106.063506",17 km from Bắc Giang,,Small Double Room,,2,,,,,"VND 600,000",
Grand Phoenix Hotel Bac Ninh,"21.172093,106.061527",18 km from Bắc Giang,,Standard Twin Room,,2,5 out of 5,9.6,Exceptional,8 reviews,"VND 1,850,000",Breakfast included
Hana 1 Apartment & Hotel Bac Ninh,"21.1712295066927,106.055129092638",18 km from Bắc Giang,,Executive Suite,,2,,9.0,Superb,48 reviews,"VND 748,125",Breakfast included
Hana 2 Apartment & Hotel Bac Ninh,"21.1709448186437,106.055504229153",18 km from Bắc Giang,,Suite with City View,,2,3 out of 5,8.8,Fabulous,27 reviews,"VND 735,000",Breakfast included
SPOT ON 767 Ruby Hotel,"21.1747128265522,106.058287015869",18 km from Bắc Giang,,Standard Twin Room,,2,2 out of 5,3.6,Review score,4 reviews,"VND 299,304",
AMY-DONGDO PLAZA HOTEL,"21.170048,106.059006",18 km from Bắc Giang,,Twin Room with City View,,2,4 out of 5,8.7,Fabulous,6 reviews,"VND 756,000","Breakfast included,FREE cancellation,• No prepayment needed"
DREAM HOTEL Bắc Ninh,"21.171136,106.055746",18 km from Bắc Giang,,Twin Room with Garden View,,2,2 out of 5,,,,"VND 7,000,000",Breakfast included
Khách sạn Hoa Hồng,"21.2994159491812,106.381135240425",19 km from Bắc Giang,,Deluxe Double Room,,2,3 out of 5,,,,"VND 2,000,000",
SPOT ON 688 Anh Tuan Hotel,"21.159477,106.039056",20 km from Bắc Giang,,Superior Family Room,,4,2 out of 5,4.6,Review score,10 reviews,"VND 199,536",
Ninh Phong Hotel,"21.199937,105.996265",22 km from Bắc Giang,,Deluxe Queen Room with Two Queen Beds,,4,,7.6,Good,3 reviews,"VND 495,000",
