hotel_name,hotel_address,hotel_distance_center,hotel_location_features,hotel_room,number_of_rooms,room_occupancy,hotel_star,hotel_score,hotel_score_title,hotel_number_reviews,hotel_price,hotel_offer
Ba Be Lakeside Bungalow,"22.398846,105.611419",,,Twin Room with View,,2,,8.9,Fabulous,55 reviews,"VND 800,000",Breakfast included
Tran Xuan Homestay,"22.3913047735177,105.632733888924",,,Business Double Room with Gym Access,,2,,8.8,Fabulous,156 reviews,"VND 135,000",
Ba Be Legend Hotel,"22.4229079957914,105.646057536323",,,Deluxe Room (2 Adults + 1 Child),,2,,9.5,Exceptional,154 reviews,"VND 420,000",
Green Hotel & Coffee,"22.145444,105.832998",,,Double Room,,2,,8.8,Fabulous,38 reviews,"VND 350,000",
Son Lam guesthouse Ba Be lake view,"22.4019033693878,105.618454646202",,,Double Room,,2,,9.0,Superb,51 reviews,"VND 299,000",
Nhà nghỉ Phúc Anh,"22.149395,105.839497",,,Large Double Room,,2,,,,,"VND 250,000",
Hoàng Nguyên Homestay Ba Be,"22.397569510329,105.634153717072",,,Double Room with Lake View,,2,,8.5,Very good,17 reviews,"VND 200,000",
Khách sạn Thanh thuỷ,"22.429813,105.652983",,,Business Double Room with Gym Access,,2,1 out of 5,,,,"VND 350,000",
Ba Be Lake Homestay - Quynh Chi,"22.3893406148595,105.636049099267",,,Double Room with Lake View,,2,,8.9,Fabulous,22 reviews,"VND 177,214",
Ba Be lake-Huyen Hao Homestay,"22.3890671928468,105.636484622955",,,Quadruple Room,,2,,9.1,Superb,90 reviews,"VND 113,603",
Ba Be Green Homestay,"22.388175,105.638667",,,Family Room,,2,,9.2,Superb,14 reviews,"VND 105,000","FREE cancellation,• No prepayment needed"
Anh Khiem Hotel,"22.4212313971905,105.641351073402",,,Deluxe Double Room with Balcony,,2,,,,,"VND 350,000",
Nhà nghỉ Phúc Anh,"22.149395,105.839497",,,Standard King Room,,2,,,,,"VND 250,000",
Trần Xuân Homestay 1 - Pác Ngòi,"22.3880355004121,105.638930797577",,,Double Room with Private Bathroom,,2,,8.8,Fabulous,61 reviews,"VND 200,000",
Ba Be lake - Trần Xuân Homestay,"22.388651,105.639397",,,King Room with Garden View,,2,,,,,"VND 120,000",
Ba Be Lake View Homestay,"22.3903443976395,105.632472038269",,,Chalet,,2,,9.0,Superb,83 reviews,"VND 126,000",
Khách sạn Hưng Vân - Bắc Kạn,"22.1555348957166,105.841101579498",,,Deluxe Double Room,,2,,7.5,Good,11 reviews,"VND 250,000",
Khách sạn Phương Nam,"22.167854,105.846065",,,Double Room with Private Bathroom,,2,,,,,"VND 315,000",
Ba Be Hoang Hop Homestay,"22.411238,105.606066",,,Small Double Room,,2,,8.3,Very good,22 reviews,"VND 123,450",
Nhà nghỉ Anh Quân,"22.138518793809,105.834683477175",,,Double or Twin Room,,28,,,,,"VND 300,000",
Nhà Nghỉ Trần Đức,"22.395144,105.626641",,,Deluxe King Room,,2,,,,,"VND 300,000",
Hồng Nhung homestay,"22.388651,105.639397",,,Queen Room with Garden View,,2,,,,,"VND 150,000",
