hotel_name,hotel_address,hotel_distance_center,hotel_location_features,hotel_room,number_of_rooms,room_occupancy,hotel_star,hotel_score,hotel_score_title,hotel_number_reviews,hotel_price,hotel_offer
Ben Tre Riverside Resort,"10.2226776466876,106.3498022",,,Superior Double or Twin Room with City View,,2,4 out of 5,8.3,Very good,257 reviews,"VND 1,026,000",Breakfast included
DIAMOND STARS BEN TRE HOTEL,"10.234447,106.374271",,,Suite,,2,4 out of 5,8.8,Fabulous,40 reviews,"VND 3,000,800",Breakfast included
Nhà nghỉ Hoa Viên (Hoa Viên Gueshouse Bến Tre),"10.257213,106.377693",,,Double Room,,2,,6.5,Review score,74 reviews,"VND 158,400",
Quoc Phuong Riverside Homestay,"10.3133583960471,106.262394189834",,,Bungalow with Patio,,2,,9.5,Exceptional,507 reviews,"VND 495,000","Breakfast included,FREE cancellation,• No prepayment needed"
Cona Hotel Cồn Phụng Bến Tre,"10.329901,106.366098",,,Double Room with Private Bathroom,,2,,,,,"VND 500,000",Breakfast included
Mekong Hotel & Restaurant,"10.2564683913408,106.363588571548",,,Superior Double Room,,2,2 out of 5,6.5,Review score,120 reviews,"VND 415,000",
Mekong Home,"10.1576569169271,106.389412879944",,,Double Room with Garden View,,2,,9.6,Exceptional,230 reviews,"VND 1,435,500",Breakfast included
Nam Binh Homestay,"10.1871779186003,106.368636488915",,,Double Room with Shared Bathroom,,2,,8.9,Fabulous,82 reviews,"VND 209,000",Breakfast included
Que Huong Coconut Hotel,"10.2580489346187,106.385863726875",,,Deluxe Double Room,,2,,7.2,Good,29 reviews,"VND 240,000",
HÒANG HÔN HOMESTAY,"10.2180400486799,106.359429479485",,,Deluxe King Room,,2,,8.9,Fabulous,10 reviews,"VND 280,000",
Forever Green Resort,"10.284011437753,106.384735107422",,,Superior Double or Twin Room,,2,4 out of 5,8.0,Very good,12 reviews,"VND 1,320,000",Breakfast included
Nguyet Que Homestay,"10.2271594456876,106.405479308906",,,Double Room,,2,,9.6,Exceptional,246 reviews,"VND 472,000",Breakfast included
My An Resort,"10.2140142612661,106.357634067535",,,Double Room with River View,,2,,7.3,Good,49 reviews,"VND 373,000",
california homestay,"10.213117,106.399366",,,Apartment with Garden View,,2,,,,,"VND 4,800,000","Breakfast & dinner included,FREE cancellation,• No prepayment needed"
Hung Long Hotel,"10.217511,106.442465",,,Double Room,,2,,8.2,Very good,34 reviews,"VND 500,000",
Gite Nam Hien Mekong,"10.2601634582816,106.122704744339",,,Standard Twin Room,,2,,8.1,Very good,5 reviews,"VND 1,090,000",Breakfast included
Hong thai River side homestay,"10.330651069317,106.388460532685",,,Deluxe Triple Room,,4,,9.3,Superb,34 reviews,"VND 500,000",Breakfast included
Rooster Mekong Garden & Villas,"10.234775,106.187502",,,King Room with Spa Bath,,2,,,,,"VND 1,060,000",Breakfast included
khách sạn Huỳnh Thảo,"10.240372,106.343436",,,Superior Double Room,,2,,8.9,Fabulous,61 reviews,"VND 810,000","Breakfast included,FREE cancellation,• No prepayment needed"
Xóm Dừa Nước,"10.2156131732925,106.374493024467",,,King Room,,2,,8.5,Very good,3 reviews,"VND 549,000","Breakfast included,FREE cancellation,• No prepayment needed"
Charming Countryside Homestay,"10.2278987909176,106.392545700073",,,Double Room,,2,,9.5,Exceptional,109 reviews,"VND 1,200,000",Breakfast included
Viet Uc Hotel,"10.2345696,106.3750329",,,Superior Double Room,,2,3 out of 5,6.9,Review score,30 reviews,"VND 850,000",Breakfast included
Thien Phuc Hotel,"10.0476676856111,106.5987980116",,,Double Room,,2,,6.9,Review score,10 reviews,"VND 298,000",
S'Bungalow Bến Tre,"10.333599,106.375815",,,Standard Bungalow,,2,,,,,"VND 2,082,500","Breakfast & dinner included,FREE cancellation,• No prepayment needed"
Coco Riverside Lodge,"10.0424971019585,106.253628730774",,,Family Room with Balcony,,4,,9.1,Superb,36 reviews,"VND 2,467,500",Breakfast included
KHÁCH SẠN THANH TRÀ,"9.936947,106.34197",,,Single Room,2 ×,1,2 out of 5,8.5,Very good,15 reviews,"VND 560,000",Breakfast included
Vila Basi,"9.95100270682862,106.267329454422",,,Double Room,,2,3 out of 5,8.0,Very good,52 reviews,"VND 380,000",
