hotel_name,hotel_address,hotel_distance_center,hotel_room,hotel_star,hotel_score,hotel_score_title,hotel_number_reviews,hotel_price,hotel_offer
Vinpearl Hotel Can Tho,"10.0246731414993,105.774492323399",1.4 km from centre,Deluxe Twin City View,5 out of 5,9.2,Superb,"1,314 reviews","VND 1,200,000",Breakfast included
Muong Thanh Luxury Can Tho Hotel,"10.0427837518029,105.790036453476",1.4 km from centre,Deluxe Double Room,5 out of 5,8.1,Very good,505 reviews,"VND 1,354,500",Breakfast included
KP Hotel,"10.031745,105.786208",400 m from centre,Standard Double Room,,9.0,Superb,"1,104 reviews","VND 741,804",Breakfast included
Can Tho Ecolodge,"9.98765698238468,105.740094843269",6 km from centre,Superior Deluxe Double or Twin Room,4 out of 5,8.8,Fabulous,355 reviews,"VND 1,466,300",Breakfast included
LION HOTEL,"10.043702,105.778652",1.3 km from centre,Twin Room,3 out of 5,8.3,Very good,240 reviews,"VND 460,000",
Con Khuong Resort Can Tho,"10.0666369697588,105.777142244389",3.8 km from centre,Standard Double Room,4 out of 5,9.0,Superb,206 reviews,"VND 935,425",Breakfast included
West Hotel,"10.028609,105.78704",700 m from centre,Superior Double Room,4 out of 5,8.0,Very good,824 reviews,"VND 783,000","Breakfast included,FREE cancellation,• No prepayment needed"
TTC Hotel - Can Tho,"10.0361122050408,105.78988015159",850 m from centre,Deluxe River View,4 out of 5,8.9,Fabulous,574 reviews,"VND 1,453,885",Breakfast included
Ninh Kieu Riverside Hotel,"10.036469226212,105.790135420971",900 m from centre,Standard Twin Room,4 out of 5,8.0,Very good,325 reviews,"VND 950,000",Breakfast included
Nesta Can Tho Hotel,"10.0517828838418,105.789536833763",2.2 km from centre,Deluxe Twin Room with City View,4 out of 5,8.0,Very good,422 reviews,"VND 896,000",Breakfast included
HOLIDAY 2 HOTEL,"10.043442,105.786609",1.2 km from centre,Superior Double Room,3 out of 5,8.4,Very good,43 reviews,"VND 706,000",Breakfast included
Aura Hotel,"10.0434327195728,105.786590079901",1.2 km from centre,Standard Double Room,3 out of 5,7.4,Good,306 reviews,"VND 324,000","FREE cancellation,• No prepayment needed"
Apple Hotel,"10.0150194848367,105.763459917826",3 km from centre,Standard Double Room,3 out of 5,8.8,Fabulous,62 reviews,"VND 450,000",Breakfast included
Luxhome - Vinhome Hotel & Travel Company,"10.024829,105.774634",1.4 km from centre,Standard Twin Room with Sofa,,7.3,Good,18 reviews,"VND 495,000",
Vien Hotel,"10.031486,105.787028",500 m from centre,Standard Double Room,,8.4,Very good,33 reviews,"VND 416,500",
VẠN LỘC HOTEL,"10.0299846706613,105.784502327443",450 m from centre,Standard King Room,2 out of 5,8.4,Very good,347 reviews,"VND 315,000","FREE cancellation,• No prepayment needed"
Ete 18,"10.034944,105.781547",250 m from centre,Small Double Room,,8.5,Very good,308 reviews,"VND 270,000",
OYO 971 Lam Hoang Hotel,"10.047021651383,105.787921071314",1.6 km from centre,Deluxe Double Room,2 out of 5,7.3,Good,121 reviews,"VND 159,629",
Amazon 1,"10.03269,105.779274",450 m from centre,Deluxe Double Room with Balcony,1 out of 5,8.0,Very good,349 reviews,"VND 225,000",
Henry Iris Hotel,"10.032963,105.78759",550 m from centre,Deluxe Queen Room,,8.0,Very good,339 reviews,"VND 422,400",
CT Morning Hostel,"10.045258,105.78431",1.4 km from centre,Deluxe Double Room,2 out of 5,9.0,Superb,313 reviews,"VND 236,250",
Nam Bo Boutique Hotel,"10.0335820169775,105.788184928836",600 m from centre,Main Suite,,8.9,Fabulous,48 reviews,"VND 1,010,691",
Victoria Can Tho Resort,"10.0427679043728,105.791870355606",1.4 km from centre,Superior Double or Twin Room,4 out of 5,9.3,Superb,198 reviews,"VND 2,079,262",Breakfast included
Linh Phuong 5 Hotel,"10.0480961636445,105.786339480526",1.7 km from centre,Standard Double Room,,9.1,Superb,25 reviews,"VND 528,000",
MIDMOST Boutique Hostel,"10.034297,105.784941",250 m from centre,Double Room with Private Bathroom,,9.0,Superb,284 reviews,"VND 356,000",
Azerai Can Tho,"10.0384303249763,105.800855755806",2 km from centre,Garden Room,5 out of 5,9.6,Exceptional,104 reviews,"VND 6,022,171",Breakfast included
Khách sạn Amy Cần Thơ,"10.0483630149045,105.785569946102",1.7 km from centre,Standard King Room,,7.3,Good,142 reviews,"VND 286,000",
PHUC LONG 2 HOTEL,"10.030646,105.785643",450 m from centre,Deluxe Room,2 out of 5,7.2,Good,86 reviews,"VND 230,000",
Dong Ha Fortuneland Hotel,"10.0464324262869,105.787401795387",1.6 km from centre,Superior Twin Room,4 out of 5,7.9,Good,133 reviews,"VND 829,600",Breakfast included
09 Homestay,"10.0155992582278,105.785615488795",2 km from centre,Deluxe Double Room,,8.7,Fabulous,18 reviews,"VND 280,000",
Magnolia's Can Tho,"10.03096,105.785119",350 m from centre,Studio with Balcony,,8.9,Fabulous,245 reviews,"VND 760,000",Breakfast included
CALI HOTEL,"10.04477,105.786501",1.4 km from centre,Standard King Room,1 out of 5,7.7,Good,273 reviews,"VND 319,000",FREE cancellation
NGỌC HƯNG TÂY NAM HOTEL,"10.046251,105.78672",1.5 km from centre,Standard Double Room,3 out of 5,7.4,Good,46 reviews,"VND 297,500",
CASA ECO Mekong Resort,"10.0602188162006,105.705223594485",9 km from centre,Deluxe Bungalow,,8.2,Very good,266 reviews,"VND 522,500",Breakfast included
Holiday Hotel,"10.0440250711633,105.785247981548",1.2 km from centre,Deluxe Twin Room,3 out of 5,5.6,Review score,7 reviews,"VND 550,000","FREE cancellation,• No prepayment needed"
International Hotel,"10.0304785872812,105.787847064418",650 m from centre,Superior Double Room,3 out of 5,6.7,Review score,116 reviews,"VND 910,843",
Motel Thanh Hằng,"10.0328927726632,105.785763662878",350 m from centre,Double Room,,8.5,Very good,164 reviews,"VND 250,000",
AN NGỌC HOTEL,"10.046217,105.783486",1.4 km from centre,Superior Double Room,2 out of 5,8.1,Very good,33 reviews,"VND 288,000",FREE cancellation
Emerald Boutique Stay,"10.033883,105.782816",100 m from centre,Superior Queen Room with Two Queen Beds,3 out of 5,8.5,Very good,160 reviews,"VND 600,000",
Anh Dao Mekong 2 Hotel,"10.0264265397324,105.749564909262",3.8 km from centre,Standard Double Room,3 out of 5,8.1,Very good,108 reviews,"VND 693,000",Breakfast included
Max Hostel,"10.010859,105.79143",2.7 km from centre,Superior Double Room,,8.4,Very good,358 reviews,"VND 270,000",
AN NAM CORNER - Can Tho,"10.047167,105.788361",1.6 km from centre,Deluxe Double Room,,9.0,Superb,102 reviews,"VND 324,000",
Iris Hotel Can Tho,"10.0258696298075,105.775361359119",1.2 km from centre,Superior Double Room - No Window,4 out of 5,7.7,Good,88 reviews,"VND 825,000",Breakfast included
Linh Phuong 3 Hotel,"10.0444654745505,105.785428527743",1.3 km from centre,Superior Double Room,2 out of 5,8.3,Very good,15 reviews,"VND 549,100",
CONVOI HOTEL,"10.036685,105.754417",3.2 km from centre,Deluxe Double Room,,8.9,Fabulous,54 reviews,"VND 337,500",
54 Homestay,"10.0331220540518,105.785854658401",350 m from centre,4-Bed Mixed Dormitory Room,,8.6,Fabulous,50 reviews,"VND 252,000",
Kim Thuy Ngan Ha Hotel,"10.034028,105.787461",500 m from centre,Double Room,,6.8,Review score,112 reviews,"VND 400,000",
Hau Giang 2 Hotel,"10.0303306697889,105.786792933941",550 m from centre,Superior Twin Room,2 out of 5,6.8,Review score,91 reviews,"VND 445,500",Breakfast included
Nguyen Shack - Mekong Can Tho,"9.97809383144521,105.764627158642",6 km from centre,Basic Room with Shared Bathroom - River View,,8.8,Fabulous,977 reviews,"VND 102,000",
Thuy Ha Hotel,"10.0349,105.7817589",250 m from centre,Standard Double Room,,8.0,Very good,86 reviews,"VND 250,000",
Thuy Ha Hotel,"10.0349,105.7817589",250 m from centre,Standard Double Room,,8.0,Very good,86 reviews,"VND 250,000",
The Lighthouse,"10.031887,105.788115",600 m from centre,Deluxe Double Room,,9.3,Superb,20 reviews,"VND 795,960",
Rabbit Hostel Can Tho,"10.0092384259221,105.79234332547",2.9 km from centre,Deluxe King Room,,9.3,Superb,122 reviews,"VND 240,000","FREE cancellation,• No prepayment needed"
Linh Phuong 2 Hotel,"10.0442891812126,105.786323547363",1.3 km from centre,Standard Double Room,3 out of 5,8.2,Very good,20 reviews,"VND 540,000",
Van Phat Riverside Hotel,"10.0619734992,105.783190727234",3.2 km from centre,Superior Double or Twin Room,4 out of 5,8.0,Very good,159 reviews,"VND 823,977",Breakfast included
VIVA MOTEL,"10.0343932,105.7886671",650 m from centre,Standard Double Room,,7.4,Good,57 reviews,"VND 350,000",
Aluny,"10.030035,105.786241",550 m from centre,Queen Room,,8.8,Fabulous,59 reviews,"VND 450,000",
OYO 1148 Thien Huong Hotel,"10.0422919261493,105.777899273671",1.1 km from centre,Deluxe Triple Room,1 out of 5,6.1,Review score,25 reviews,"VND 199,536",
Adora Central Park Hostel,"10.0333973807334,105.779000787697",450 m from centre,Standard Double Room,3 out of 5,8.8,Fabulous,335 reviews,"VND 277,222",FREE cancellation
Thiên Bảo Hotel,"10.03204,105.779543",450 m from centre,King Room with Balcony,,8.2,Very good,12 reviews,"VND 225,000",
Hau Giang Hotel,"10.0320342478897,105.78472495079",250 m from centre,Superior Double or Twin Room,3 out of 5,8.1,Very good,51 reviews,"VND 850,000",
Can Tho Orchid Garden Homestay,"10.060859,105.764563",3.7 km from centre,Superior Double Room,,9.0,Superb,82 reviews,"VND 423,000",Breakfast included
Huynh Lac Can Tho Hotel,"10.0320659422811,105.784596204758",250 m from centre,Standard Double Room,2 out of 5,7.5,Good,50 reviews,"VND 297,000",
NINH KIEU 2 HOTEL,"10.031712,105.782194",200 m from centre,Large Double Room,4 out of 5,7.3,Good,35 reviews,"VND 808,355",Breakfast included
BangBang Motel,"10.0390705042334,105.783305668301",650 m from centre,Standard Double Room with Shared Bathroom,,8.6,Fabulous,327 reviews,"VND 180,000",
Minh Minh Nam Hotel,"10.0085053968602,105.787525890877",2.9 km from centre,Deluxe Double Room,,9.2,Superb,93 reviews,"VND 381,800","FREE cancellation,• No prepayment needed"
Binh Minh Eco Lodge,"10.0529676203604,105.803940811132",3.2 km from centre,Double Room with Lake View,,9.7,Exceptional,63 reviews,"VND 2,500,000",Breakfast included
Holiday One Can Tho Hotel,"10.0445348033649,105.785714685917",1.3 km from centre,Superior Double Room,4 out of 5,7.5,Good,235 reviews,"VND 856,800",Breakfast included
SONG ANH HOTEL,"10.031292,105.784699",300 m from centre,Standard Double Room,3 out of 5,8.8,Fabulous,13 reviews,"VND 510,000","FREE cancellation,• No prepayment needed"
Ete homestay,"10.0375557829401,105.783655758536",500 m from centre,Standard Studio,,8.9,Fabulous,15 reviews,"VND 380,000",
Lavender Hotel,"10.022246,105.764062",2.5 km from centre,Double Room,,8.6,Fabulous,179 reviews,"VND 280,000","FREE cancellation,• No prepayment needed"
Little Dalat Coffee and Homestay,"10.024704427502,105.750458621924",3.7 km from centre,One-Bedroom Apartment,3 out of 5,8.6,Fabulous,44 reviews,"VND 440,000",
MIDMOST Villa Hotel,"10.0321914524498,105.779850854176",400 m from centre,Queen Room,,9.0,Superb,12 reviews,"VND 467,000",
08 Homestay,"10.045466,105.778712",1.4 km from centre,Deluxe Double Room,,8.2,Very good,76 reviews,"VND 335,750",
Number One Hotel,"10.0297412594925,105.787571338623",650 m from centre,Double Room,,6.4,Review score,168 reviews,"VND 243,000",
Asia Hotel Can Tho,"10.0309672015696,105.784853696823",350 m from centre,Deluxe Double Room,3 out of 5,6.4,Review score,49 reviews,"VND 632,500",Breakfast included
MISS HOSTEL CẦN THƠ,"10.0102289521413,105.791229099319",2.8 km from centre,Superior Double Room,,9.9,Exceptional,8 reviews,"VND 190,000","FREE cancellation,• No prepayment needed"
Thiên Bảo Hotel,"10.03204,105.779543",450 m from centre,King Room with Balcony,,8.2,Very good,12 reviews,"VND 225,000",
Chang’s hostel,"10.035233940763,105.780749278991",350 m from centre,Standard King Room,,8.4,Very good,142 reviews,"VND 310,500",
NINH KIEU 2 HOTEL,"10.031712,105.782194",200 m from centre,Large Double Room,4 out of 5,7.3,Good,35 reviews,"VND 808,355",Breakfast included
Emerald Boutique Stay,"10.033883,105.782816",100 m from centre,Superior Queen Room with Two Queen Beds,3 out of 5,8.5,Very good,160 reviews,"VND 600,000",
Winter Spring Colors House,"10.049048855152,105.785176629639",1.8 km from centre,One-Bedroom House,3 out of 5,9.3,Superb,58 reviews,"VND 280,000",
Coban Hostel,"10.007026,105.7933202",3.1 km from centre,Deluxe Room,,8.3,Very good,85 reviews,"VND 200,000",
Huynh Lac Can Tho Hotel,"10.0320659422811,105.784596204758",250 m from centre,Standard Double Room,2 out of 5,7.5,Good,50 reviews,"VND 297,000",
CONVOI HOTEL,"10.036685,105.754417",3.2 km from centre,Deluxe Double Room,,8.9,Fabulous,54 reviews,"VND 337,500",
Green Village Mekong,"9.97238817334719,105.803749356419",7 km from centre,Bungalow with Lake View,,9.4,Superb,379 reviews,"VND 850,000",Breakfast & dinner included
Lavender Hotel,"10.022246,105.764062",2.5 km from centre,Double Room,,8.6,Fabulous,179 reviews,"VND 280,000","FREE cancellation,• No prepayment needed"
Number One Hotel,"10.0297412594925,105.787571338623",650 m from centre,Double Room,,6.4,Review score,168 reviews,"VND 243,000",
Can Tho Orchid Garden Homestay,"10.060859,105.764563",3.7 km from centre,Superior Double Room,,9.0,Superb,82 reviews,"VND 423,000",Breakfast included
