hotel_name,hotel_address,hotel_distance_center,hotel_location_features,hotel_room,number_of_rooms,room_occupancy,hotel_star,hotel_score,hotel_score_title,hotel_number_reviews,hotel_price,hotel_offer
Max Boutique Hotel,"22.66884,106.258276",900 m from centre,,Deluxe Double or Twin Room with River View,,2,3 out of 5,8.8,Fabulous,191 reviews,"VND 625,500","Breakfast included,FREE cancellation,• No prepayment needed"
HIGHLANDS HOTEL CAO BANG,"22.667625,106.256538",700 m from centre,,Large Double Room,,2,2 out of 5,8.6,Fabulous,27 reviews,"VND 420,000",
Luong Son Homestay Ecolodge,"22.6776070767709,106.249947849152",1.2 km from centre,,Double Bed in Mixed Dormitory Room,,2,,8.3,Very good,142 reviews,"VND 280,000",
Bảo Ngọc Diamond Hotel,"22.663729,106.257539",850 m from centre,,Double Room,,2,,8.6,Fabulous,21 reviews,"VND 450,000","FREE cancellation,• No prepayment needed"
Minh Hoang Hotel,"22.6628304713343,106.260467827288",1.2 km from centre,,Economy Double Room,,2,1 out of 5,8.1,Very good,102 reviews,"VND 250,000",
Ngườm Ngao Bản Giốc homestay,"22.8542990128875,106.700985106476",50 km from centre,,Family Room with Mountain View,,2,,9.1,Superb,139 reviews,"VND 121,500",
Jodevi Homestay Cao Bằng,"22.667665,106.2556",600 m from centre,,Mixed Dormitory Room,,2,,9.0,Superb,6 reviews,"VND 270,000",
Sài Gòn - Bản Giốc Resort,"22.855319,106.722593",52 km from centre,,Twin Room with Mountain View,,2,,,,,"VND 990,000",Breakfast included
Primrose Homestay Cao Bang,"22.6648084,106.2600518",1.1 km from centre,,Dormitory Room,,2,,9.4,Superb,327 reviews,"VND 255,353",
Jeanne Hotel,"22.662836473448,106.260184049606",1.1 km from centre,,Standard Double Room,,2,1 out of 5,8.9,Fabulous,154 reviews,"VND 612,000",
Sa's home,"22.669073,106.256911",800 m from centre,,Quadruple Room with Balcony,,2,,8.6,Fabulous,64 reviews,"VND 300,000",
Yến Nhi Bản Giốc Homestay,"22.8545406154406,106.701114036007",50 km from centre,,Mixed Dormitory Room,,2,,9.3,Superb,203 reviews,"VND 200,000",
Hùng Thịnh hotel,"22.67007,106.265821",1.7 km from centre,,Standard Double Room,,2,1 out of 5,7.7,Good,60 reviews,"VND 300,000",
Khách sạn Thành Loan 2,"22.6507642028461,106.271547717644",2.9 km from centre,,Standard Double Room,,2,2 out of 5,,,,"VND 470,000",
Classique homestay,"22.669224,106.254483",550 m from centre,,Deluxe Double Room,,2,,9.1,Superb,78 reviews,"VND 300,000","FREE cancellation,• No prepayment needed"
Cao Bang Eco Homestay,"22.6600268844943,106.263821125031",1.6 km from centre,,8-Bed Mixed Dormitory Room,,2,,9.2,Superb,207 reviews,"VND 120,000",
RuBy Motel,"22.6770061106168,106.238365073463",1.7 km from centre,,Double Room,,2,,8.2,Very good,62 reviews,"VND 220,000",
Hoàng Công Bản Giốc Homestay,"22.8549221222088,106.700888463652",50 km from centre,,Double Room,,2,,9.6,Exceptional,56 reviews,"VND 200,000",
TV HOTEL,"22.6668659789401,106.264711111778",1.6 km from centre,,Standard Double Room,,2,3 out of 5,,,,"VND 570,000",
HÀ VƯƠNG HOTEL,"22.855319,106.722593",52 km from centre,,Large Double Room,,4,1 out of 5,7.3,Good,4 reviews,"VND 400,000",
Gold Hotel,"22.6756993808564,106.241326232216",1.4 km from centre,,Deluxe King Room,,2,2 out of 5,8.3,Very good,7 reviews,"VND 320,000",
Duong Ha Hotel,"22.663108,106.267301682209",1.9 km from centre,,Standard King Room,,2,1 out of 5,7.6,Good,21 reviews,"VND 300,000","FREE cancellation,• No prepayment needed"
Quang Thuận Bản Giốc Homestay,"22.854478,106.700999",50 km from centre,,Deluxe Double Room,,2,,9.1,Superb,23 reviews,"VND 201,600",
PhuongMai Hotel,"22.662793,106.269867",2.1 km from centre,,Double Room with Private Bathroom,,2,,6.7,Review score,5 reviews,"VND 300,000",
Ngoc Lan Hotel,"22.6772187610421,106.241736887589",1.4 km from centre,,Superior Double Room,,2,1 out of 5,8.9,Fabulous,7 reviews,"VND 300,000",
58M Motel,"22.6677151895769,106.250676412842",150 m from centre,,Double or Twin Room with City View,,2,,,,,"VND 225,000",
