hotel_name,hotel_address,hotel_distance_center,hotel_location_features,hotel_room,number_of_rooms,room_occupancy,hotel_star,hotel_score,hotel_score_title,hotel_number_reviews,hotel_price,hotel_offer
Phu Cuong Hotel Ca Mau,"9.18287544146635,105.147332385132",750 m from centre,,Superior Twin Room with City View,,2,4 out of 5,9.1,Superb,84 reviews,"VND 1,009,800",Breakfast included
Muong Thanh Luxury Ca Mau Hotel,"9.19337866408782,105.1342018",2.5 km from centre,,Deluxe Twin Room,,2,5 out of 5,7.8,Good,172 reviews,"VND 1,526,400",Breakfast included
Anh Nguyet Hotel,"9.1739682,105.1584038",1 km from centre,,Deluxe Suite,,2,3 out of 5,7.8,Good,66 reviews,"VND 890,000",Breakfast included
Sao Kim,"9.177281,105.150802",100 m from centre,,Twin Room,,2,3 out of 5,7.3,Good,157 reviews,"VND 572,000",Breakfast included
Song Hung Hotel,"9.181742,105.147829",600 m from centre,,Deluxe Double Room,,2,2 out of 5,6.8,Review score,109 reviews,"VND 300,000",
KHÁCH SẠN TIẾN PHÁT,"9.175362,105.172235",2.5 km from centre,,Standard King Room,,2,1 out of 5,7.6,Good,39 reviews,"VND 190,000",
Thiên Lộc Cà Mau hotel,"9.206477,105.204549",6 km from centre,,Double Room with Garden View,,2,,7.9,Good,56 reviews,"VND 280,000",
Anh Thu Hotel,"9.17537615095177,105.172217838763",2.5 km from centre,,Family Double Room,,4,1 out of 5,6.7,Review score,79 reviews,"VND 350,000",
Long Tỵ Hotel,"9.183455,105.16108",1.4 km from centre,,Deluxe Double Room,,2,3 out of 5,3.0,Review score,5 reviews,"VND 590,000",Breakfast included
Khách Sạn Ngọc Bích,"9.03718037421934,104.821077011478",39 km from centre,,Deluxe Room (2 Adults + 1 Child),,2,,,,,"VND 330,000",
