hotel_name,hotel_address,hotel_distance_center,hotel_room,hotel_star,hotel_score,hotel_score_title,hotel_number_reviews,hotel_price,hotel_offer
Khách Sạn Tommy,"11.9365837780303,108.461941985806",2.9 km from centre,Standard Double Room,2 out of 5,8.8,Fabulous,45 reviews,"VND 317,500",
Cozy Nook Hotel - By RAON,"11.9362709669316,108.434096770361",800 m from centre,Superior Double Room,2 out of 5,9.6,Exceptional,399 reviews,"VND 300,000",
Terracotta Hotel & Resort Dalat,"11.8948513793163,108.438255786896",5 km from centre,Standard Twin Room - Basement,4 out of 5,8.4,Very good,818 reviews,"VND 1,300,000",Breakfast included
Hôtel Colline,"11.9438368971859,108.438509117722",250 m from centre,Premier Twin Room,4 out of 5,8.4,Very good,549 reviews,"VND 2,000,000",Breakfast included
Dalat Palace Heritage Hotel,"11.9367097845229,108.440353274345",800 m from centre,Superior Double or Twin Room,5 out of 5,7.9,Good,130 reviews,"VND 3,116,610",Breakfast included
Dalat Wonder Resort,"11.8958200173793,108.415805749832",5 km from centre,Superior Queen Room,4 out of 5,7.7,Good,739 reviews,"VND 1,572,480",Breakfast included
Swiss-Belresort Tuyen Lam,"11.8828349689448,108.451771438122",6 km from centre,Deluxe Twin Mountain View,4 out of 5,8.3,Very good,506 reviews,"VND 1,681,924",Breakfast included
La Fleur Premium Central Apartment,"11.936713,108.438997",700 m from centre,Apartment with Balcony,3 out of 5,9.6,Exceptional,141 reviews,"VND 1,382,400",
Kings Hotel Dalat,"11.9433909426465,108.440487384796",400 m from centre,Deluxe Double Room,4 out of 5,7.6,Good,646 reviews,"VND 948,996",Breakfast included
Capital O 585 Saigon Book Da Lat Hotel,"11.9517632177022,108.458505082695",2.6 km from centre,Superior Double Room,3 out of 5,8.8,Fabulous,545 reviews,"VND 391,161",
Dalat Edensee Lake Resort & Spa,"11.8869003191292,108.423449993134",6 km from centre,Deluxe Double or Twin Room with Pine Hill View,5 out of 5,8.7,Fabulous,329 reviews,"VND 2,295,000",Breakfast included
Phuong Vy Luxury Hotel,"11.9380064695423,108.435323629528",550 m from centre,Deluxe Double Room,2 out of 5,8.2,Very good,926 reviews,"VND 297,750",
Hong Mon Villa,"11.9303004020977,108.443301022053",1.6 km from centre,Superior Double with Garden View,3 out of 5,8.5,Very good,316 reviews,"VND 667,590",Breakfast included
Ana Villas Dalat Resort & Spa,"11.9441834335824,108.423329293728",1.5 km from centre,Le Petit,5 out of 5,8.6,Fabulous,422 reviews,"VND 2,263,950",Breakfast included
TTC Hotel - Ngoc Lan,"11.9405752193435,108.436595499516",250 m from centre,Deluxe Twin Room,4 out of 5,8.1,Very good,267 reviews,"VND 1,490,963",Breakfast included
Du Parc Hotel Dalat,"11.9366389308243,108.43895316124",750 m from centre,Standard Double or Twin Room,4 out of 5,7.7,Good,375 reviews,"VND 750,000",Breakfast included
Lam Anh Luxury Hotel,"11.9461990923388,108.440167196095",550 m from centre,Standard Double Room (No Window),3 out of 5,8.4,Very good,285 reviews,"VND 361,000",
Saigon Dalat Hotel,"11.9391817797457,108.429678082466",900 m from centre,Superior Double or Twin Room,4 out of 5,8.2,Very good,260 reviews,"VND 1,300,000",Breakfast included
Zen Valley Dalat,"11.9360411353196,108.458278477192",2.5 km from centre,Superior King Room,3 out of 5,8.7,Fabulous,598 reviews,"VND 1,101,600",Breakfast included
TTR Studio,"11.943124018594,108.422359914017",1.6 km from centre,Deluxe Queen Studio,3 out of 5,8.7,Fabulous,281 reviews,"VND 483,600",
Arapang Hotel 2,"11.941246,108.435252",250 m from centre,Standard Queen Room,2 out of 5,8.3,Very good,814 reviews,"VND 299,700",
Dalat Paradise Hotel,"11.938453,108.434323",550 m from centre,Standard Twin Room,3 out of 5,8.5,Very good,38 reviews,"VND 760,320",Breakfast included
Maika Condotel Dalat,"11.943522,108.438949",250 m from centre,Two-Bedroom Apartment,3 out of 5,8.5,Very good,152 reviews,"VND 1,638,000",
Dat Thien An Hotel,"11.94721,108.436734",550 m from centre,Superior Quadruple Room,,8.3,Very good,414 reviews,"VND 324,000",
Q-Center Dalat,"11.939865,108.435151",400 m from centre,Standard Double Room,2 out of 5,8.5,Very good,280 reviews,"VND 230,850",
Dalat Home,"11.926322,108.442245",1.9 km from centre,Standard Double or Twin Room with Garden View,,8.6,Fabulous,517 reviews,"VND 561,000",Breakfast included
Dragon King 1 Hotel,"11.9444642162385,108.439701497555",400 m from centre,Superior Double or Twin Room,3 out of 5,7.6,Good,359 reviews,"VND 581,400","Breakfast included,FREE cancellation,• No prepayment needed"
La Sapinette Hotel,"11.9488464872543,108.463779687881",3 km from centre,Superior Double or Twin Room with City View,4 out of 5,8.0,Very good,170 reviews,"VND 780,000",Breakfast included
Banyan House Eco Hotel,"11.9468688597383,108.439142152115",550 m from centre,Deluxe Double Room,,8.5,Very good,171 reviews,"VND 1,414,875",Breakfast included
Zen Cafe Lakeside,"11.9017016046812,108.419933080804",5 km from centre,Twin Room with Balcony,,9.2,Superb,424 reviews,"VND 1,071,000",
7s Bao Hoang Hotel Dalat,"11.935292,108.441082",950 m from centre,Day Use 2 Hours,2 out of 5,8.8,Fabulous,188 reviews,"VND 100,208",
Dalat Terrasse Des Roses Villa,"11.9674060615937,108.429648578167",2.9 km from centre,Deluxe Twin Room,4 out of 5,8.3,Very good,396 reviews,"VND 625,000",
LADALAT Hotel,"11.97766,108.451022",4.2 km from centre,Basement Standard Double Room - No Window,5 out of 5,8.4,Very good,111 reviews,"VND 827,064",Breakfast included
Dalat Center Residence,"11.9438874597252,108.438175641872",200 m from centre,Apartment with Mountain View,,7.7,Good,60 reviews,"VND 2,100,000",
Terracotta Villa Tuyen Lam Lake Dalat,"11.8947497856673,108.43765068028",5 km from centre,Hotel Building - Superior Twin Room,4 out of 5,8.2,Very good,118 reviews,"VND 1,345,500",Breakfast included
Victorian Hotel Dalat,"11.9557867709128,108.440313499336",1.6 km from centre,Deluxe Double Room,2 out of 5,8.1,Very good,220 reviews,"VND 497,250",
Ngan Hoa - Mille Fleurs,"11.9487480119909,108.439285152709",750 m from centre,Superior Double Room,2 out of 5,8.7,Fabulous,515 reviews,"VND 495,000",
Mỹ Hy Hotel Dalat,"11.9450721732431,108.438802538692",350 m from centre,Deluxe Quadruple Room,2 out of 5,8.7,Fabulous,578 reviews,"VND 442,000",
Muong Thanh Holiday Da Lat Hotel,"11.9440968370036,108.436769843102",200 m from centre,Superior Double Room,4 out of 5,7.8,Good,83 reviews,"VND 1,600,000",Breakfast included
SAM Tuyen Lam Resort,"11.88644887173,108.43064904213",6 km from centre,Deluxe Double Lake View,3 out of 5,8.0,Very good,210 reviews,"VND 1,765,293",
Silent Night Dem Lanh Hotel,"11.937837,108.435517",600 m from centre,Standard Double Room,,8.9,Fabulous,467 reviews,"VND 480,607","FREE cancellation,• No prepayment needed"
Mai Hoang Hotel,"11.93514,108.440865",950 m from centre,Standard Double Room,2 out of 5,8.5,Very good,563 reviews,"VND 277,778",
Binh An Village Resort,"11.8879676919987,108.41764515586",6 km from centre,Deluxe Suite,4 out of 5,8.9,Fabulous,48 reviews,"VND 4,226,625",Breakfast included
Lavie Villa,"11.923413362773,108.443123050051",2.2 km from centre,One-Bedroom Villa,3 out of 5,8.0,Very good,66 reviews,"VND 605,475",
Sweet Lavender Hotel - Near Dalat Night Market,"11.941724,108.431885",600 m from centre,Superior Double Room,2 out of 5,8.8,Fabulous,124 reviews,"VND 402,188",
Khanh Uyen Hotel,"11.9404171692541,108.430232255642",800 m from centre,Standard Double Room,2 out of 5,8.9,Fabulous,379 reviews,"VND 240,000",
Gold View Dalat - Hotel Mountain View,"11.929819,108.448732",1.9 km from centre,Economy Double Room,2 out of 5,9.1,Superb,78 reviews,"VND 419,000",FREE cancellation
