hotel_name,hotel_address,hotel_distance_center,hotel_room,hotel_star,hotel_score,hotel_score_title,hotel_number_reviews,hotel_price,hotel_offer
Chi House Danang,"16.0615772,108.2453865",2.9 km from centre,Deluxe King Room with Pool View,,9.9,Exceptional,17 reviews,"VND 607,500","Breakfast included,FREE cancellation,• No prepayment needed"
Naman Retreat,"15.9689125535122,108.283822238445",13 km from centre,One-Bedroom Apartment Ocean View Day Use (6 hours) - Extra charge for overnight stay,5 out of 5,8.5,Very good,372 reviews,"VND 1,800,000","FREE cancellation,• No prepayment needed"
"InterContinental Danang Sun Peninsula Resort, an IHG hotel","16.1220372789624,108.310174942017",11 km from centre,King Resort with Ocean View,5 out of 5,9.0,Superb,468 reviews,"VND 8,468,460",Breakfast included
Raon Apartment and Hotel,"16.0730315589562,108.241214483856",2.5 km from centre,Superior Double or Twin Room - Free Welcome Drink,3 out of 5,8.9,Fabulous,728 reviews,"VND 252,000","FREE cancellation,• No prepayment needed"
Raon Danang Beach,"16.0511315264956,108.246340546757",3.5 km from centre,Superior Queen Room No Window,3 out of 5,9.0,Superb,313 reviews,"VND 256,000","FREE cancellation,• No prepayment needed"
Grand Jeep Hotel - Managed by RHM GROUP,"16.0732836581227,108.243013512109",2.6 km from centre,Superior Twin Room with City View,3 out of 5,8.0,Very good,305 reviews,"VND 280,000","FREE cancellation,• No prepayment needed"
Sala Danang Beach Hotel,"16.0622551511165,108.245392076057",2.9 km from centre,Superior Double Room with City View,4 out of 5,9.2,Superb,678 reviews,"VND 759,000","Breakfast included,FREE cancellation,• No prepayment needed"
Hyatt Regency Danang Resort and Spa,"16.0132903761792,108.263901472092",7 km from centre,Twin Room,5 out of 5,8.5,Very good,"1,183 reviews","VND 2,425,823",Breakfast included
Pullman Danang Beach Resort,"16.0402661385643,108.249535560608",4.5 km from centre,Superior Double Room with Balcony,5 out of 5,8.9,Fabulous,539 reviews,"VND 3,349,500","Breakfast included,FREE cancellation,• No prepayment needed"
Serene Beach Danang Hotel & Spa,"16.0535052002516,108.247655332088",3.5 km from centre,Superior Double Room,4 out of 5,8.4,Very good,214 reviews,"VND 581,364","FREE cancellation,• No prepayment needed"
HAIAN Beach Hotel & Spa,"16.053532,108.247927",3.5 km from centre,Special Offer - Superior Double Room with City View,4 out of 5,8.8,Fabulous,"1,108 reviews","VND 660,000","FREE cancellation,• No prepayment needed"
Paris Deli Danang Beach Hotel,"16.0677684388608,108.245085338623",2.8 km from centre,Deluxe Twin Room,4 out of 5,8.7,Fabulous,499 reviews,"VND 801,185",Breakfast included
Four Points by Sheraton Danang,"16.077806,108.245025",3 km from centre,"Superior Twin, Guest room, 2 Twin/Single Bed(s), Bay view",5 out of 5,8.7,Fabulous,454 reviews,"VND 1,443,750",Breakfast included
Sheraton Grand Danang Resort,"15.980736673547,108.276392508915",11 km from centre,"Deluxe, Guest room, 2 Queen, Bay view, Balcony",5 out of 5,8.8,Fabulous,459 reviews,"VND 2,656,500",
Muong Thanh Luxury Da Nang Hotel,"16.0539359834012,108.24745953083",3.5 km from centre,Deluxe King Room with City View,5 out of 5,8.3,Very good,272 reviews,"VND 1,296,000",Breakfast included
Bella Boutique Villa Apartment,"16.079318,108.244533",3 km from centre,Deluxe Studio Apartment with Balcony - Day Use Offer 4 hours/day. Extra charge for overnight stay,,9.5,Exceptional,375 reviews,"VND 366,583","FREE cancellation,• No prepayment needed"
Palmier Hotel - Art House Da Nang,"16.0749800708552,108.229022026062",1.3 km from centre,Day Use Offer (2 hours) - Extra charge for overnight stay,3 out of 5,8.2,Very good,175 reviews,"VND 123,750","FREE cancellation,• No prepayment needed"
Mercure Danang French Village Bana Hills,"15.9924373461089,108.000326156616",24 km from centre,Superior King Room,4 out of 5,8.2,Very good,"3,341 reviews","VND 2,340,287","Breakfast included,FREE cancellation,• No prepayment needed"
Hilton Da Nang,"16.073,108.224273",750 m from centre,Guest Room River View King Bed,5 out of 5,8.5,Very good,367 reviews,"VND 1,732,500",
Sea Corner Boutique Hotel & Apartment,"16.0529462381175,108.246616115414",3.4 km from centre,Day Use Offer 150 minutes. Extra charge for Overnight stay,3 out of 5,8.7,Fabulous,"1,266 reviews","VND 192,000","FREE cancellation,• No prepayment needed"
Zalo Sea Hotel,"16.0566548497625,108.245923426407",3.1 km from centre,Deluxe King Room,3 out of 5,9.1,Superb,491 reviews,"VND 269,100","FREE cancellation,• No prepayment needed"
Robin Hotel Danang,"16.0736386094102,108.242704944914",2.6 km from centre,Cozy Room,2 out of 5,8.7,Fabulous,816 reviews,"VND 189,000","FREE cancellation,• No prepayment needed"
Sen Boutique Hotel,"16.0554748092397,108.245214018971",3.1 km from centre,Double or Twin Room with Private Bathroom,3 out of 5,9.0,Superb,531 reviews,"VND 259,200","FREE cancellation,• No prepayment needed"
Seashore Hotel & Apartment,"16.0892900464925,108.249378777771",4 km from centre,Day Use Offer (1 hour) - Extra charge for overnight stay,4 out of 5,8.8,Fabulous,526 reviews,"VND 198,000","FREE cancellation,• No prepayment needed"
Vinpearl Condotel Riverfront Da Nang,"16.076847,108.230959",1.6 km from centre,Studio Twin Room,5 out of 5,8.9,Fabulous,226 reviews,"VND 1,219,500",Breakfast included
Zalo Sea Hotel,"16.0566548497625,108.245923426407",3.1 km from centre,Deluxe King Room,3 out of 5,9.1,Superb,491 reviews,"VND 269,100","FREE cancellation,• No prepayment needed"
Calix Hotel,"16.061927,108.237718",2.1 km from centre,Superior Double Room,3 out of 5,9.1,Superb,272 reviews,"VND 557,175","Breakfast included,FREE cancellation,• No prepayment needed"
Sea Corner Boutique Hotel & Apartment,"16.0529462381175,108.246616115414",3.4 km from centre,Day Use Offer 150 minutes. Extra charge for Overnight stay,3 out of 5,8.7,Fabulous,"1,266 reviews","VND 192,000","FREE cancellation,• No prepayment needed"
Mai Boutique Villa,"16.0702914403925,108.242117593185",2.5 km from centre,Standard Double Room,3 out of 5,8.7,Fabulous,836 reviews,"VND 302,640","FREE cancellation,• No prepayment needed"
Paris Deli Danang Beach Hotel,"16.0677684388608,108.245085338623",2.8 km from centre,Deluxe Twin Room,4 out of 5,8.7,Fabulous,499 reviews,"VND 801,185",Breakfast included
Sofiana My Khe Hotel & Spa,"16.049633,108.247701",3.7 km from centre,Deluxe Double Room,4 out of 5,9.4,Superb,563 reviews,"VND 590,450","Breakfast included,FREE cancellation,• No prepayment needed"
Danang Golden Bay,"16.0972660041197,108.224217686802",3.3 km from centre,Deluxe King Room City View with Balcony,5 out of 5,8.7,Fabulous,895 reviews,"VND 1,229,395","Breakfast included,FREE cancellation,• No prepayment needed"
Monarque Hotel Danang,"16.0676785,108.2452581",2.8 km from centre,Deluxe Double Room,4 out of 5,9.5,Exceptional,771 reviews,"VND 739,200",Breakfast included
La Maison Da Nang Beach,"16.0699590105057,108.242444289198",2.5 km from centre,Superior Double Room,3 out of 5,8.5,Very good,767 reviews,"VND 205,400","FREE cancellation,• No prepayment needed"
Dreams Hotel,"16.042244,108.248243",4.3 km from centre,Day Use Offer (2 hours) - Extra charge for overnight stay,3 out of 5,8.0,Very good,624 reviews,"VND 136,300","FREE cancellation,• No prepayment needed"
Diamond Sea Hotel,"16.0669075324839,108.245034813881",2.8 km from centre,Superior Double,4 out of 5,8.6,Fabulous,"1,254 reviews","VND 765,000","Breakfast included,FREE cancellation,• No prepayment needed"
Hong Phuong Hotel,"16.0741056517246,108.239684679728",2.3 km from centre,Day Use Offer (2 hour) - Extra charge for overnight stay,3 out of 5,9.3,Superb,124 reviews,"VND 165,000","FREE cancellation,• No prepayment needed"
Cicilia Danang Hotels & Spa,"16.0519303012986,108.246638734918",3.5 km from centre,Staycation - Deluxe City or Partial Ocean View,4 out of 5,8.6,Fabulous,171 reviews,"VND 585,000","Breakfast included,FREE cancellation,• No prepayment needed"
Stella Maris Beach Danang,"16.0635902265045,108.244951057247",2.9 km from centre,Stella Maris Suite - Ocean Front,4 out of 5,9.1,Superb,279 reviews,"VND 2,335,500",Breakfast included
Lamuno Da Nang Hotel,"16.0694042485214,108.242322581476",2.5 km from centre,Deluxe Double Room - Day Use (150 minutes),3 out of 5,8.7,Fabulous,"1,267 reviews","VND 250,000","Breakfast included,FREE cancellation,• No prepayment needed"
Maximilan Danang Beach Hotel,"16.067001,108.245198",2.8 km from centre,Deluxe Twin Room - Afternoon Tea Included,4 out of 5,8.9,Fabulous,200 reviews,"VND 749,700","Breakfast included,FREE cancellation,• No prepayment needed"
Tropical Sea Apartments,"16.0537217,108.2473251",3.5 km from centre,Apartment with Sea View,3 out of 5,8.2,Very good,40 reviews,"VND 940,500","FREE cancellation,• No prepayment needed"
Seashore Hotel & Apartment,"16.0892900464925,108.249378777771",4 km from centre,Day Use Offer (1 hour) - Extra charge for overnight stay,4 out of 5,8.8,Fabulous,526 reviews,"VND 198,000","FREE cancellation,• No prepayment needed"
Muong Thanh Luxury Song Han Hotel,"16.0604027738368,108.216925263405",950 m from centre,Superior Twin Room with City View,5 out of 5,8.0,Very good,151 reviews,"VND 930,600","Breakfast included,FREE cancellation,• No prepayment needed"
Happy Day Hotel & Spa,"16.0667356494005,108.224703669548",650 m from centre,Standard Double Room,2 out of 5,7.8,Good,755 reviews,"VND 294,000","FREE cancellation,• No prepayment needed"
Samdi Hotel,"16.059505755119,108.207982742792",1.6 km from centre,Superior Double or Twin Room City View,4 out of 5,8.7,Fabulous,238 reviews,"VND 948,510","Breakfast included,FREE cancellation,• No prepayment needed"
Pavilion Hotel,"16.0635025685712,108.244290632185",2.8 km from centre,Deluxe Twin Room,4 out of 5,8.7,Fabulous,"1,512 reviews","VND 666,000","Breakfast included,FREE cancellation,• No prepayment needed"
Sel de Mer Hotel & Suites,"16.0808448731698,108.246975629005",3.3 km from centre,Superior King Room with City View,5 out of 5,9.3,Superb,82 reviews,"VND 1,228,703","Breakfast included,FREE cancellation,• No prepayment needed"
Lavender Riverside Hotel,"16.0470691181462,108.222372327",2.4 km from centre,Superior Double or Twin Room with View,3 out of 5,8.2,Very good,717 reviews,"VND 389,666","FREE cancellation,• No prepayment needed"
Serene Beach Danang Hotel & Spa,"16.0535052002516,108.247655332088",3.5 km from centre,Superior Double Room,4 out of 5,8.4,Very good,214 reviews,"VND 581,364","FREE cancellation,• No prepayment needed"
The Shann Hotel,"16.065521,108.244386",2.8 km from centre,Superior Double Room,3 out of 5,8.2,Very good,439 reviews,"VND 220,800","FREE cancellation,• No prepayment needed"
Halina Hotel and Apartment,"16.053720591943,108.246162431315",3.4 km from centre,Superior Double Room with Small Window City View,4 out of 5,8.8,Fabulous,"1,094 reviews","VND 472,500","Breakfast included,FREE cancellation,• No prepayment needed"
M Boutique Danang,"16.073034,108.244316",2.8 km from centre,Suite with Balcony,4 out of 5,9.4,Superb,22 reviews,"VND 902,880","Breakfast included,FREE cancellation,• No prepayment needed"
Stella Maris Beach Danang,"16.0635902265045,108.244951057247",2.9 km from centre,Stella Maris Suite - Ocean Front,4 out of 5,9.1,Superb,279 reviews,"VND 2,335,500",Breakfast included
Sandy Beach Non Nuoc Resort,"15.9970681030887,108.270907402039",9 km from centre,Superior King or Twin Room,4 out of 5,8.4,Very good,476 reviews,"VND 768,000","FREE cancellation,• No prepayment needed"
