hotel_name,hotel_address,hotel_distance_center,hotel_location_features,hotel_room,number_of_rooms,room_occupancy,hotel_star,hotel_score,hotel_score_title,hotel_number_reviews,hotel_price,hotel_offer
Mekong Gia Lai Hotel,"13.970906,108.018237",,,Family Room,,4,3 out of 5,8.0,Very good,124 reviews,"VND 825,000","FREE cancellation,• No prepayment needed"
Tre Xanh Hotel,"13.9794772735793,107.999091334641",,,Deluxe Twin Room,,2,3 out of 5,7.7,Good,136 reviews,"VND 780,000","Breakfast included,FREE cancellation,• No prepayment needed"
Boston Hotel,"13.970755,108.004828",,,Superior Twin Room,,2,3 out of 5,8.1,Very good,44 reviews,"VND 1,150,000",Breakfast included
Ngoc Se Hotel,"13.9784525533238,108.012750148774",,,Quadruple Room,,4,2 out of 5,7.6,Good,268 reviews,"VND 509,200",
Minh Manh Hotel 2,"13.952579,108.020896",,,King Room with Mountain View,,2,2 out of 5,8.7,Fabulous,34 reviews,"VND 330,000",
Elegant Hotel,"13.9832598373853,108.008673191071",,,Family Room,,2,2 out of 5,7.7,Good,93 reviews,"VND 1,080,000",
Khanh Linh Hotel,"13.9766246219538,108.013521451503",,,Suite,,2,3 out of 5,7.6,Good,43 reviews,"VND 2,798,117","Breakfast included,FREE cancellation,• No prepayment needed"
Cong Doan Gia Lai Hotel,"13.9800157206209,107.998754382133",,,Standard Double Room,,2,2 out of 5,7.0,Good,40 reviews,"VND 300,000",
Minh Manh Hotel,"13.9633801146258,108.020638525486",,,King Room with Mountain View,,2,2 out of 5,8.4,Very good,230 reviews,"VND 330,000",
Hung Vuong Hotel,"13.976248,108.006111",,,Twin Room,,2,1 out of 5,6.3,Review score,39 reviews,"VND 200,000",
SORA HOMESTAY,"13.9852999361256,108.017666336662",,,Double Room with Private Bathroom,,2,,9.2,Superb,11 reviews,"VND 500,000",
Hoài Thương Hotel,"13.964769,108.017044",,,King Room with Garden View,,2,2 out of 5,8.8,Fabulous,56 reviews,"VND 423,000",
HOTEL DUY NHẤT,"13.5562618967355,108.100316620407",,,Double or Twin Room with View,,2,1 out of 5,7.7,Good,6 reviews,"VND 308,000","FREE cancellation,• No prepayment needed"
Tân Hải Hà,"13.967702,108.016926",,,Double or Twin Room,,3,3 out of 5,9.1,Superb,10 reviews,"VND 320,000",
Anh Nguyen Guesthouse,"14.0169465859371,107.99181413373",,,Double Room,,2,2 out of 5,8.1,Very good,11 reviews,"VND 210,000",
HighLight House,"13.979472,108.010682",,,Deluxe Double Room,,2,,,,,"VND 660,000",
Duc Long Gia Lai Hotels & Apartment,"13.9770069079536,107.994945645332",,,Studio Apartment Twin,,2,3 out of 5,7.6,Good,42 reviews,"VND 650,000",
Lake view homestay,"13.9695686,107.9962311",,,Economy Twin Room,,2,,8.7,Fabulous,51 reviews,"VND 180,000",
"Anh Tuấn Hotel & Coffee - Pleiku, Gia Lai","13.987043,108.019347",,,Superior Deluxe Double or Twin Room,,4,2 out of 5,9.8,Exceptional,5 reviews,"VND 450,000",
Khách sạn Vĩnh Hội,"13.977638,107.997331",,,Standard Double Room,,2,2 out of 5,6.9,Review score,23 reviews,"VND 450,000",
Khu du lịch sinh thái Hoàng Vân,"13.721064,108.065187",,,Double Room with Lake View,,2,2 out of 5,,,,"VND 250,000",
Tien Dat Motel,"13.967069,108.017009559524",,,Double Room with Fan,,2,1 out of 5,8.4,Very good,113 reviews,"VND 190,000",
Nhà nghỉ Bình Yên,"13.969634,108.015586",,,Superior Double or Twin Room with Garden View,,2,,7.8,Good,11 reviews,"VND 350,000",
Tiên Sơn Pleiku Homestay,"14.048834,108.022341",,,Quadruple Room,,4,,,,,"VND 1,250,000",Breakfast included
HOTEL DUY NHẤT 2,"13.5478208990289,108.099290531084",,,Deluxe Double or Twin Room,,2,2 out of 5,,,,"VND 800,000",
NHÀ NGHỈ BIỂN HỒ,"14.033442,108.001588",,,Family Room with Shower,,2,2 out of 5,,,,"VND 100,000",
Bamboo Pleiku Hotel,"13.968702,108.020917",,,Single Room,2 ×,1,,,,,"VND 500,000",Breakfast included
Grandcentury Gia Lai,"13.712943,108.066062",,,Standard Single Room,2 ×,1,,,,,"VND 500,000",
