hotel_name,hotel_address,hotel_distance_center,hotel_room,hotel_star,hotel_score,hotel_score_title,hotel_number_reviews,hotel_price,hotel_offer
Flamingo Cat Ba Beach Resort,"20.717777,107.052744",,Premier Mountain View,5 out of 5,8.7,Fabulous,39 reviews,"VND 1,657,500",Breakfast included
FLC Halong Bay Golf Club & Luxury Resort,"20.948492,107.107391",,Deluxe Double Room – Golf View,5 out of 5,7.6,Good,163 reviews,"VND 2,275,000",Breakfast included
Wyndham Legend Halong,"20.959676291964,107.060166299343",,Superior King Room - Smoking,5 out of 5,8.5,Very good,581 reviews,"VND 1,628,550",
Scarlet Pearl Cruises,"20.9532492986965,107.056122201538",,Silver Pearl Suite with Balcony,5 out of 5,9.8,Exceptional,128 reviews,"VND 8,652,869",All meals included
Halios Hotel Halong,"20.950649,107.075307",,Standard Double or Twin Room,3 out of 5,9.1,Superb,385 reviews,"VND 499,999","Breakfast included,FREE cancellation,• No prepayment needed"
Muong Thanh Luxury Quang Ninh Hotel,"20.9566355143416,107.049456238747",,Deluxe Twin Room with City View,5 out of 5,8.1,Very good,333 reviews,"VND 1,305,000",Breakfast included
NAMSON HOTEL,"20.964384,107.048038",,Deluxe Double or Twin Room with Mountain View,3 out of 5,,,,"VND 650,000",Breakfast included
LePont Cat Ba Bungalow,"20.7178955431608,107.047162950039",,Bungalow with Shared Shower and Toilet,1 out of 5,7.9,Good,137 reviews,"VND 510,000",Breakfast included
Khách sạn Hải Quân - The Marine Hotel,"20.946229159908,107.034820073975",,Superior Double Room,3 out of 5,8.8,Fabulous,173 reviews,"VND 296,000",
Madeline Cruises,"20.934974,106.986067",,Deluxe Double or Twin Room with Ocean View,5 out of 5,10,Exceptional,129 reviews,"VND 7,500,000",All meals included
Blue Lagoon Cat Ba,"20.740126,107.042529",,King Room with Lake View,,9.4,Superb,17 reviews,"VND 675,000",Breakfast included
Muong Thanh Luxury Ha Long Centre Hotel,"20.9555379873274,107.048092734024",,Deluxe Double Room with City View,5 out of 5,8.3,Very good,12 reviews,"VND 1,360,000",Breakfast included
Ha Long DC Hotel,"20.9518788527348,107.07686573267",,Superior Double Room,4 out of 5,8.1,Very good,467 reviews,"VND 800,000",
Cat Ba Island Resort & Spa,"20.7184019982727,107.051998972893",,Superior Double or Twin Room with Ocean View,4 out of 5,6.8,Review score,130 reviews,"VND 1,575,000",Breakfast included
The Confetti hotel,"20.9466261169908,107.074316170639",,Standard Twin Room,3 out of 5,8.9,Fabulous,439 reviews,"VND 475,000","FREE cancellation,• No prepayment needed"
Ramada Hotel & Suites by Wyndham Halong Bay View,"20.957894,107.083212",,Superior Suite 1-bedroom,5 out of 5,8.0,Very good,51 reviews,"VND 1,680,000",Breakfast included
Rosy Cruises,"20.9257270973369,106.982115332764",,Triple Suite Ocean View with Private Balcony - 2 Days 1 Night,5 out of 5,9.7,Exceptional,303 reviews,"VND 14,671,800",All meals included
Halong Boutique Hotel,"20.950649,107.075307",,Classic Double or Twin Room with Window,4 out of 5,8.9,Fabulous,270 reviews,"VND 492,643",Breakfast included
Hôtel Perle d'Orient Cat Ba - MGallery,"20.7153789666223,107.049119100726",,Classic King Room with Sea View,5 out of 5,7.9,Good,71 reviews,"VND 3,416,490",
Dragon Hotel,"20.944086,107.031298",,Studio with Sea View,3 out of 5,,,,"VND 10,000,000",Breakfast included
Le Theatre Cruises - Wonder on Lan Ha Bay,"20.9279799352748,106.98246927666",,Junior Suite - 2 Days 1 Night,5 out of 5,9.7,Exceptional,824 reviews,"VND 9,108,000",All meals included
D'Lecia Ha Long Hotel,"20.958164,107.021827",,Premier Deluxe King Room,3 out of 5,9.6,Exceptional,83 reviews,"VND 38,000,000",Breakfast included
Ha Long Essence Hotel,"20.9458738242918,107.039263156915",,Superior Double or Twin with Quiet View,3 out of 5,9.9,Exceptional,95 reviews,"VND 572,000",
Vincent Halong Hotel,"20.956578371135,107.056079247513",,Large Double Room,3 out of 5,8.7,Fabulous,74 reviews,"VND 645,288","Breakfast included,FREE cancellation"
Legend Halong Private Cruises - Managed by Bhaya Cruise,"20.9212587659544,106.991118192673",,Private 1 Cabin Legend Cruise - 2 Days 1 Night,5 out of 5,7.9,Good,4 reviews,"VND 25,126,073",All-inclusive
Sai Gon Ha Long Hotel,"20.9514956080133,107.03964471817",,Superior Double Room with Hill View,4 out of 5,8.1,Very good,265 reviews,"VND 1,360,000",Breakfast included
Novotel Ha Long Bay Hotel,"20.9517511046034,107.041865587235",,Standard Double Room,4 out of 5,8.1,Very good,546 reviews,"VND 1,246,822",
Vinpearl Resort & Spa Ha Long,"20.950209351397,107.040202617645",,Deluxe King,5 out of 5,8.6,Fabulous,340 reviews,"VND 3,300,000",Breakfast included
Premier Village Ha Long Bay Resort,"20.95099,107.039623",,Villa with Garden View,5 out of 5,8.6,Fabulous,16 reviews,"VND 5,197,499",
Draha Halong Hotel,"20.949798021981,107.072274606152",,Superior Double Room,3 out of 5,8.8,Fabulous,233 reviews,"VND 609,460",
Halong Glory Cruise,"20.9513302864578,107.060091197491",,Deluxe Double or Twin Room - 2 Days 1 Night,4 out of 5,8.9,Fabulous,25 reviews,"VND 9,495,000",All meals included
Little Colmar Boutique Homestay,"20.960251285466,107.047096020964",,Standard Studio,3 out of 5,9.3,Superb,21 reviews,"VND 720,000",Breakfast included
