hotel_name,hotel_address,hotel_distance_center,hotel_room,hotel_star,hotel_score,hotel_score_title,hotel_number_reviews,hotel_price,hotel_offer
Silk Collection Hotel & Spa,"21.0322199272379,105.850046552392",,Superior Double Room,4 out of 5,9.0,Superb,997 reviews,"VND 402,500","FREE cancellation,• No prepayment needed"
The Oriental Jade Hotel,"21.0296450377077,105.850278131283",,Oriental Emerald Twin,5 out of 5,9.5,Exceptional,"1,533 reviews","VND 1,172,700","FREE cancellation,• No prepayment needed"
Peridot Grand Hotel & Spa by AIRA,"21.033082,105.846272",,Chic Deluxe,5 out of 5,9.6,Exceptional,359 reviews,"VND 1,453,145","FREE cancellation,• No prepayment needed"
Acoustic Hotel & Spa,"21.027695,105.844548",,Deluxe Double Room with Balcony,4 out of 5,9.4,Superb,"2,864 reviews","VND 750,103","FREE cancellation,• No prepayment needed"
Hanoi Paradise Center Hotel & Spa,"21.0305154403295,105.856129186508",,Deluxe Double or Twin Room,4 out of 5,9.5,Exceptional,"1,315 reviews","VND 556,073","Breakfast included,FREE cancellation,• No prepayment needed"
Sofitel Legend Metropole Hanoi,"21.0256664587259,105.855524539948",,Opera Wing - Premium Twin Room,5 out of 5,9.3,Superb,688 reviews,"VND 5,063,811","FREE cancellation,• No prepayment needed"
Solaria Hanoi Hotel,"21.030072,105.850444",,Sol Double/Twin Room,4 out of 5,9.4,Superb,785 reviews,"VND 920,912","Breakfast included,FREE cancellation,• No prepayment needed"
Halais Hotel,"21.017079,105.848663",,Superior Double or Twin Room with City View,4 out of 5,8.7,Fabulous,449 reviews,"VND 522,900","Breakfast included,FREE cancellation,• No prepayment needed"
Hanoi Lullaby Hotel and Travel,"21.030784,105.845574",,Deluxe Double or Twin Room,3 out of 5,9.3,Superb,635 reviews,"VND 321,873","FREE cancellation,• No prepayment needed"
Hanoi Emerald Waters Hotel & Spa,"21.0313184682132,105.855121364418",,Deluxe Twin Room,4 out of 5,9.3,Superb,682 reviews,"VND 713,700","FREE cancellation,• No prepayment needed"
Lotte Hotel Hanoi,"21.0319496476565,105.812703073025",,Deluxe Twin Room,5 out of 5,9.1,Superb,622 reviews,"VND 2,985,749",
Rising Dragon Palace Hotel,"21.034786892793,105.847062170506",,Day Use Offer (6 Hours) - Superior Room,3 out of 5,9.2,Superb,"2,509 reviews","VND 221,850",
Amorita Boutique Hotel Hanoi,"21.031094223217,105.854017138481",,Deluxe Double or Twin Room,3 out of 5,8.7,Fabulous,"1,498 reviews","VND 288,000",
Libra Hotel Residence,"21.032232,105.786959",,Standard Apartment,4 out of 5,8.9,Fabulous,331 reviews,"VND 567,000",
Shining Central Hotel & Spa,"21.031617,105.855279",,Superior Double or Twin Room,4 out of 5,9.3,Superb,538 reviews,"VND 560,000","Breakfast included,FREE cancellation,• No prepayment needed"
Grande Collection Hotel & Spa,"21.0346617190516,105.847510099411",,Deluxe Double Room,4 out of 5,9.2,Superb,579 reviews,"VND 564,750","FREE cancellation,• No prepayment needed"
Dragon Pearl Hotel,"21.039911415473,105.845503807068",,Day Use Offer (6 Hours) - Superior Double or Twin Room,3 out of 5,9.2,Superb,"2,555 reviews","VND 306,000","FREE cancellation,• No prepayment needed"
JM Marvel Hotel & Spa,"21.030981,105.846654",,Deluxe Double Room - Day Use (4 Hours),4 out of 5,9.5,Exceptional,"1,008 reviews","VND 544,000",
Dal Vostro Hotel & Spa,"21.0307417517939,105.850200388885",,Deluxe Double Room,4 out of 5,8.9,Fabulous,"1,126 reviews","VND 732,550",
Melia Hanoi,"21.0243795888964,105.847907066345",,Deluxe Room,5 out of 5,8.8,Fabulous,497 reviews,"VND 2,974,472",
Emerald Hotel,"21.0157818116792,105.850524902344",,Day Use Offer (2 Hours) - Deluxe Room,4 out of 5,9.3,Superb,404 reviews,"VND 279,064","FREE cancellation,• No prepayment needed"
