hotel_name,hotel_address,hotel_distance_center,hotel_room,hotel_star,hotel_score,hotel_score_title,hotel_number_reviews,hotel_price,hotel_offer
Chez Mimosa Petite,"10.7670911654216,106.694767413353",650 m from centre,Double or Twin no window with free laundry,,9.4,Superb,250 reviews,"VND 308,000","FREE cancellation,• No prepayment needed"
The Myst Dong Khoi,"10.7743817142385,106.705235430086",850 m from centre,Dong Khoi Double Room,5 out of 5,8.8,Fabulous,"1,241 reviews","VND 1,526,726",
Grand Hotel Saigon,"10.7738942200765,106.705656051636",850 m from centre,Day Use from 9AM to 5PM - Deluxe King (an extra charge will be applied for overnight stay),5 out of 5,8.7,Fabulous,"1,745 reviews","VND 963,414",
Sense Legend Hotel & Spa,"10.7712803597152,106.689670085907",950 m from centre,Day Use Offer (from 11am - 3pm) Same Day Stay - Extra Charge for Overnight Stay,3 out of 5,7.8,Good,"1,060 reviews","VND 117,000",
Winsuites Saigon,"10.771542,106.697106",150 m from centre,Deluxe Corner,4 out of 5,8.8,Fabulous,"1,823 reviews","VND 745,920","Breakfast included,FREE cancellation,• No prepayment needed"
Icon Saigon - LifeStyle Design Hotel,"10.776769,106.70449",900 m from centre,Superior Double (Internal Window),4 out of 5,8.7,Fabulous,"1,097 reviews","VND 850,500",Breakfast included
Vinpearl Luxury Landmark 81,"10.795414,106.718709",3.5 km from centre,Premier King Room - Free Access to Sky View Deck,5 out of 5,8.9,Fabulous,178 reviews,"VND 3,000,000",Breakfast included
Silverland Charner Hotel,"10.7716202682431,106.703952848911",650 m from centre,Premier Double or Twin Room,4 out of 5,9.1,Superb,"1,739 reviews","VND 939,938",Breakfast included
City View Hotel & Spa,"10.7720207801247,106.690651774406",850 m from centre,Day Use Offer - Max 3h Same Day Stay - Extra Charge for Overnight Stay,3 out of 5,8.3,Very good,222 reviews,"VND 84,000",
Orchids Saigon Hotel,"10.781072,106.695544",1.1 km from centre,Superior Double or Twin Room,4 out of 5,9.0,Superb,"2,814 reviews","VND 1,072,075","Breakfast included,FREE cancellation,• No prepayment needed"
Silverland Yen Hotel,"10.7736307271167,106.697188317776",300 m from centre,Deluxe Double Room,4 out of 5,9.2,Superb,"1,246 reviews","VND 761,855",Breakfast included
Hotel Nikko Saigon,"10.7642054323537,106.682668179274",1.9 km from centre,Deluxe Twin Room,5 out of 5,9.1,Superb,747 reviews,"VND 1,894,596",
Pullman Saigon Centre,"10.7646230816554,106.692389845848",1 km from centre,Superior King Room,5 out of 5,8.7,Fabulous,592 reviews,"VND 3,709,831",
Fusion Suites Saigon,"10.7724915406753,106.689976430372",950 m from centre,Double Room No Window,4 out of 5,9.1,Superb,"1,683 reviews","VND 1,274,012","FREE cancellation,• No prepayment needed"
Mia Saigon – Luxury Boutique Hotel,"10.8101453361996,106.751698327047",7 km from centre,Deluxe King Room with River View,5 out of 5,9.1,Superb,172 reviews,"VND 3,795,250",
Cicilia Saigon Hotels & Spa,"10.7719902937347,106.692649457794",650 m from centre,Premium Deluxe Double City View,4 out of 5,7.9,Good,933 reviews,"VND 700,000","Breakfast included,FREE cancellation"
Hotel Majestic Saigon,"10.7729693587722,106.70621663332",900 m from centre,Colonial Deluxe Double or Twin Room,5 out of 5,8.5,Very good,"1,461 reviews","VND 1,521,806",Breakfast included
Caravelle Saigon,"10.7763684077194,106.703459322453",800 m from centre,Deluxe Twin Room,5 out of 5,9.0,Superb,320 reviews,"VND 2,660,806",
Muong Thanh Luxury Saigon Hotel,"10.797575,106.67183",4.1 km from centre,Deluxe Twin Room,5 out of 5,8.7,Fabulous,147 reviews,"VND 1,382,400",Breakfast included
Central Palace Hotel,"10.7755097586319,106.697163188361",500 m from centre,Deluxe City/ Park View - No Breakfast,4 out of 5,8.4,Very good,"1,504 reviews","VND 759,650",
Oakwood Residence Saigon,"10.7302250237147,106.704553663736",4.7 km from centre,Studio,5 out of 5,9.1,Superb,189 reviews,"VND 2,227,500",
Park Hyatt Saigon,"10.7774618920513,106.703408360481",900 m from centre,Park King,5 out of 5,9.2,Superb,241 reviews,"VND 6,300,000",
Rex Hotel,"10.7757386643379,106.701407432556",600 m from centre,Deluxe Room,5 out of 5,8.4,Very good,"1,224 reviews","VND 2,357,018",Breakfast included
An Lam Retreats Saigon River,"10.8707174933393,106.699513792992",11 km from centre,An Lam Deluxe Suite,5 out of 5,8.8,Fabulous,192 reviews,"VND 4,645,966",Breakfast included
Au Lac Legend Hotel,"10.7809346665493,106.695994734764",1.1 km from centre,Superior Twin Room - No Window,4 out of 5,8.6,Fabulous,"1,424 reviews","VND 777,000",Breakfast included
MAI HOUSE Saigon,"10.782278,106.691944",1.4 km from centre,Deluxe Double Room - Free Minibar,5 out of 5,9.4,Superb,272 reviews,"VND 1,347,480",
LA VELA Saigon Hotel,"10.788561,106.685473",2.4 km from centre,Staycation Offer - La Vela Deluxe Double with Balcony - Free benefits included,5 out of 5,8.6,Fabulous,99 reviews,"VND 2,300,000",Breakfast included
Harmony Saigon Hotel & Spa,"10.7720444946273,106.690346002579",900 m from centre,Deluxe Double or Twin Room,4 out of 5,8.7,Fabulous,816 reviews,"VND 806,874",Breakfast included
The Reverie Saigon,"10.7737327869221,106.704599261284",750 m from centre,Deluxe Twin Room,5 out of 5,9.4,Superb,435 reviews,"VND 7,031,435",
The Chill Suites - City Center,"10.7719232871499,106.690531075001",850 m from centre,Twin Room with View,3 out of 5,8.6,Fabulous,466 reviews,"VND 381,600",
An Lam Retreats Saigon River,"10.8707174933393,106.699513792992",11 km from centre,An Lam Deluxe Suite,5 out of 5,8.8,Fabulous,192 reviews,"VND 4,645,966",Breakfast included
New World Saigon Hotel,"10.7706795902161,106.695144474506",400 m from centre,Premier Twin Room,5 out of 5,8.6,Fabulous,362 reviews,"VND 3,134,208","Breakfast included,FREE cancellation,• No prepayment needed"
Bonita Signature Hotel,"10.770325,106.68864",1.1 km from centre,Cloud 9,3 out of 5,7.3,Good,986 reviews,"VND 585,200",Breakfast included
Sedona Suites Ho Chi Minh City,"10.77356,106.700136",350 m from centre,Grand Studio,5 out of 5,9.1,Superb,204 reviews,"VND 3,101,323",
UpTown Hotel,"10.77353,106.699468",300 m from centre,Pre-Superior,3 out of 5,8.6,Fabulous,509 reviews,"VND 620,000",Breakfast included
