hotel_name,hotel_address,hotel_distance_center,hotel_location_features,hotel_room,number_of_rooms,room_occupancy,hotel_star,hotel_score,hotel_score_title,hotel_number_reviews,hotel_price,hotel_offer
Golden Jungle House,"22.8193665238119,104.978792806221",1.6 km from centre,,Deluxe Double Room with Balcony,,2,,9.2,Superb,227 reviews,"VND 260,000",
Garden Villa,"22.804614,104.978919",3.2 km from centre,,Superior Twin Room,,2,,9.1,Superb,86 reviews,"VND 219,300","FREE cancellation,• No prepayment needed"
Kiki's House and motorbike for rent,"22.8236566502356,104.989436220763",1.3 km from centre,,Budget Double Room,,2,,8.6,Fabulous,388 reviews,"VND 230,000",
Hoang Su Phi Lodge,"22.567565,104.722159",39 km from centre,,Deluxe Double Room,,2,,8.7,Fabulous,50 reviews,"VND 1,490,000",Breakfast included
Pa Vi Homestay,"23.20561,105.415902",60 km from centre,,Double Room with Private Bathroom,,2,,8.5,Very good,73 reviews,"VND 350,000",
Ha Giang Wings Bungalow,"22.7770298797159,104.970208936335",6 km from centre,,Deluxe Double Room,,2,,9.1,Superb,10 reviews,"VND 487,500",
Ha Giang Cozy Hostel,"22.8044507091649,104.977446869411",3.3 km from centre,,Superior Double Room,,2,2 out of 5,9.1,Superb,27 reviews,"VND 252,000",Breakfast included
Hong Hao Hostel and Motorbikes,"22.824107,104.989576",1.2 km from centre,,Bunk Bed in Mixed Dormitory Room,,2,,9.5,Exceptional,25 reviews,"VND 162,000",Breakfast included
Mông Lodge Mèo Vạc,"23.20561,105.415902",60 km from centre,,Mixed Dormitory Room,,2,,8.7,Fabulous,25 reviews,"VND 240,000",
Hmong Village Resort,"23.0693266492898,105.028418867676",26 km from centre,,King Room,,2,,8.9,Fabulous,14 reviews,"VND 1,809,524","Breakfast included,FREE cancellation,• No prepayment needed"
Ha Giang Hostel,"22.807618,104.97037",3.1 km from centre,,Twin Room with Mountain View,,2,,9.6,Exceptional,153 reviews,"VND 360,000",
Truong Xuan Resort,"22.8489689977246,105.010607242584",3.4 km from centre,,Superior Double or Twin Room with Garden View,,2,2 out of 5,7.8,Good,85 reviews,"VND 650,000","Breakfast included,FREE cancellation,• No prepayment needed"
Ruby Hostel,"22.8319617406092,104.987277403774",500 m from centre,,Economy Double Room,,2,,8.4,Very good,134 reviews,"VND 139,000",
Đinh Gia Hotel,"22.802038,104.979111",3.5 km from centre,,Deluxe Double Room,,2,3 out of 5,8.3,Very good,28 reviews,"VND 418,000",
Cọ Home,"22.8168594438794,104.979147964913",1.9 km from centre,,Deluxe Room,,2,,8.9,Fabulous,46 reviews,"VND 270,000",
Pook Homestay,"23.045479,105.012976",23 km from centre,,Mixed Dormitory Room,,2,,,,,"VND 430,000",
Cầu Mè Motel & Bus Transport,"22.801062132368,104.980231860604",3.6 km from centre,,Double Room,,2,3 out of 5,9.2,Superb,10 reviews,"VND 301,000",
Khách Sạn Nhà Hàng Lương Gia,"23.2768715237874,105.362546778679",62 km from centre,,Large Double Room,,2,1 out of 5,,,,"VND 360,000",
Hoang Kim Hotel,"22.8016000452036,104.979354143142",3.5 km from centre,,Double Room,,2,,8.3,Very good,67 reviews,"VND 260,000",
Khách Sạn Nhật Bảo(Nhật Bảo Hotel) - Hà Giang,"22.828374,104.981665",600 m from centre,,King Room,,2,,,,,"VND 300,000",
Huyền Tuyên Homestay,"23.278147,105.362734",62 km from centre,,Double Room,,4,,7.3,Good,6 reviews,"VND 600,000","FREE cancellation,• No prepayment needed"
Aladdin Homestay Đồng Văn,"23.2806640121473,105.368745654701",63 km from centre,,Small Twin Room,,2,,9.2,Superb,28 reviews,"VND 500,000",
Hagiang Moments Homestay,"22.800372,104.977829",3.7 km from centre,,Deluxe Double Room,,2,,8.7,Fabulous,15 reviews,"VND 504,000",
Nậm Lỳ Homestay- Breakfast included,"22.697498,104.668182",35 km from centre,,Double Room with Mountain View,,2,,8.1,Very good,13 reviews,"VND 500,000",Breakfast included
Huy Hoan Hotel,"22.817331,104.9809903",1.8 km from centre,,Deluxe Twin Room,,2,3 out of 5,8.0,Very good,61 reviews,"VND 410,000",
Hagiang Moments Homestay,"22.800372,104.977829",3.7 km from centre,,Deluxe Double Room,,2,,8.7,Fabulous,15 reviews,"VND 504,000",
LUXURY HOSTEL,"22.828862,104.98137",550 m from centre,,Deluxe Double Room,,2,,9.3,Superb,6 reviews,"VND 350,000",
Cao Nguyen Hotel,"22.830195934539,104.986253591487",500 m from centre,,Twin Room,,2,3 out of 5,7.1,Good,3 reviews,"VND 650,000",Breakfast included
Hotel 88,"23.1208766955747,105.135901272297",35 km from centre,,Deluxe Room,,2,,7.3,Good,19 reviews,"VND 250,000",
Huong Thao 2 Hotel,"22.8335422999507,104.991622567177",900 m from centre,,Deluxe Room,,2,1 out of 5,8.6,Fabulous,108 reviews,"VND 270,000",
Mộc Mây Homestay Hà Giang,"22.8373388600707,104.993018759369",1.1 km from centre,,Large Double or Twin Room,,4,,9.3,Superb,187 reviews,"VND 330,000",Breakfast included
Green Hill Hostel & Tour,"22.848778,105.009714",3.2 km from centre,,Standard Double Room,,2,,9.4,Superb,216 reviews,"VND 250,000",Breakfast included
Toong homestay,"23.0355605579659,105.022023045013",22 km from centre,,Double Room with Park View,,2,,9.4,Superb,60 reviews,"VND 200,000","FREE cancellation,• No prepayment needed"
Rosie Villa Ha Giang,"22.836544,104.9821",400 m from centre,,Deluxe Double Room with Balcony,,2,,8.3,Very good,6 reviews,"VND 350,000",Breakfast included
Dồn Dao Homestay,"23.043459,105.016723",23 km from centre,,Bunk Bed in Female Dormitory Room,,2,,9.7,Exceptional,3 reviews,"VND 120,000",
Nam Dam homestay Bao Loc,"23.043459,105.016723",23 km from centre,,Bed in 8-Bed Mixed Dormitory Room,,2,,8.3,Very good,4 reviews,"VND 160,000",
Linh Homestay and motorbikes rent,"22.804580997402,104.977479934272",3.2 km from centre,,Chalet,,2,,9.0,Superb,43 reviews,"VND 120,000",
Mun Homestay,"23.0434592,105.0167227",23 km from centre,,6-Bed Mixed Dormitory Room,,2,,8.6,Fabulous,14 reviews,"VND 217,728",
Shan Tea Homestay,"22.835373,104.990167",800 m from centre,,Triple Room with Bathroom,,3,,9.2,Superb,59 reviews,"VND 150,000",
Nhà Nghỉ Hải Linh,"23.1222654787436,105.130697834202",35 km from centre,,Deluxe Double Room,,2,,7.6,Good,15 reviews,"VND 300,000",
Thien Son Guesthouse,"23.1196755898251,105.138590651329",35 km from centre,,Large Double or Twin Room,,4,,8.1,Very good,10 reviews,"VND 400,000",
Khách sạn Tam Sơn,"23.07114,104.977093",26 km from centre,,Double Room,,2,2 out of 5,,,,"VND 350,000",
Maison Teahouse Homestay,"22.837394,104.94767",3.6 km from centre,,Economy Triple Room,,3,,9.3,Superb,40 reviews,"VND 210,000",
Ha Giang Faithien Homestay,"22.7873159258816,104.966671010498",5 km from centre,,Double Room with Mountain View,,2,,9.6,Exceptional,66 reviews,"VND 220,000",
Nhà Nghỉ Thân Mùi Đồng Văn,"23.2801770830585,105.358951415657",62 km from centre,,Twin Room with Mountain View,,2,,,,,"VND 350,000",
Son Thuy Homestay,"22.8491296607563,105.003890991211",2.8 km from centre,,Double Room,,2,,,,,"VND 180,000",
Việt Phủ Lê Gia,"22.5624343491457,104.733365771118",39 km from centre,,Villa with Garden View,,4,,,,,"VND 1,620,000",Breakfast included
Ha Giang Ali Hostel,"22.801041,104.98037",3.6 km from centre,,8-Bed Mixed Dormitory Room,,8,,,,,"VND 129,000",
HOMESTAY NHA SAN,"22.8794925555036,104.930396029253",7 km from centre,,Double or Twin Room with Mountain View,,2,,,,,"VND 150,000","Breakfast included,FREE cancellation,• No prepayment needed"
Khách Sạn Bảy Vuông,"23.118524,105.155505",36 km from centre,,Economy Triple Room,,2,,,,,"VND 252,000",
Nhật Bảo Hotel,"22.825983,104.983361",850 m from centre,,Deluxe Single Room,,4,2 out of 5,,,,"VND 550,000",
homestay bongbang,"23.1169304292381,105.138204751854",35 km from centre,,Single Bed in Mixed Dormitory Room,2 ×,1,,9.2,Superb,145 reviews,"VND 230,000",
Ha Giang 1 Hostel,"22.8198051668505,104.987151324749",1.6 km from centre,,Bunk Bed in Mixed Dormitory Room,2 ×,1,,9.2,Superb,285 reviews,"VND 150,800",Breakfast included
Jasmine Hostel,"22.804369,104.976964",3.3 km from centre,,Bed in 8-Bed Mixed Dormitory Room,2 ×,1,,8.7,Fabulous,375 reviews,"VND 98,000","Breakfast included,FREE cancellation,• No prepayment needed"
Bong Ha Giang Hostel,"22.8186549769005,104.985957238823",1.7 km from centre,,Single Bed in Mixed Dormitory Room,2 ×,1,,9.1,Superb,318 reviews,"VND 198,000",Breakfast included
SEU'S HOUSE,"22.823207,104.985783",1.2 km from centre,,Single Bed in Mixed Dormitory Room,2 ×,1,,9.7,Exceptional,3 reviews,"VND 160,000",Breakfast included
Hit The Road Ha Giang Hostel And Tours,"22.799936,104.983872",3.8 km from centre,,Single Bed in Mixed Dormitory Room,2 ×,1,,,,,"VND 100,000",
HP Motorbike & Tours,"22.8063026282067,104.974980717297",3.1 km from centre,,Bed in 6-Bed Mixed Dormitory Room,2 ×,1,1 out of 5,10,Exceptional,3 reviews,"VND 57,000",
Ring Hostel,"22.821212,104.984684",1.4 km from centre,,Bunk Bed in Mixed Dormitory Room,2 ×,1,,9.8,Exceptional,9 reviews,"VND 160,000",Breakfast included
