hotel_name,hotel_address,hotel_distance_center,hotel_location_features,hotel_room,number_of_rooms,room_occupancy,hotel_star,hotel_score,hotel_score_title,hotel_number_reviews,hotel_price,hotel_offer
Vinpearl Hotel Ha Tinh,"18.3358861,105.8983069",1.1 km from centre,,Deluxe King,,2,5 out of 5,9.2,Superb,261 reviews,"VND 1,000,000",Breakfast included
White Hotel,"18.3334148393612,105.90036034584",1.4 km from centre,,Superior Room,,2,3 out of 5,7.5,Good,60 reviews,"VND 500,000","Breakfast included,FREE cancellation,• No prepayment needed"
Vinpearl Discovery Ha Tinh,"18.4909951963539,105.890779495239",16 km from centre,,Two-Bedroom Villa with Ocean View - Breakfast,,4,5 out of 5,8.0,Very good,16 reviews,"VND 2,930,000",Breakfast included
Thanh Binh Hotel,"18.330682,105.902861",1.6 km from centre,,Standard Queen Room with Two Queen Beds,,2,2 out of 5,7.9,Good,78 reviews,"VND 260,000",
Eagle Hotel,"18.3511319845828,105.883947877979",2 km from centre,,Deluxe King Room,,2,,8.7,Fabulous,32 reviews,"VND 1,000,000",Breakfast included
khách sạn minh đức,"18.341483,105.893167",1.1 km from centre,,Deluxe Double or Twin Room,,2,2 out of 5,,,,"VND 300,000",
Backpackers Hotel,"18.5065723692506,105.424466684795",53 km from centre,,Standard Double Room,,2,1 out of 5,7.8,Good,68 reviews,"VND 215,000",
Trường Thành Hotel,"18.365408,105.896914",2.4 km from Ha Tinh,,Double Room with Private Bathroom,,24,,7.4,Good,16 reviews,"VND 200,000",
Nhà nghỉ Book,"18.339545,105.878418",2.6 km from Ha Tinh,,Standard Double Room,,2,,8.5,Very good,22 reviews,"VND 215,123",
Quỳnh Viên Resort,"18.4493892547553,105.937316827476",12 km from Ha Tinh,,Superior Double or Twin Room with Mountain View,,2,,7.8,Good,126 reviews,"VND 840,000","Breakfast included,FREE cancellation,• No prepayment needed"
Khách sạn Hữu Tình,"18.273134,106.105034",22 km from Ha Tinh,,Quadruple Room with Sea View,,4,,8.4,Very good,10 reviews,"VND 350,000",
