hotel_name,hotel_address,hotel_distance_center,hotel_location_features,hotel_room,number_of_rooms,room_occupancy,hotel_star,hotel_score,hotel_score_title,hotel_number_reviews,hotel_price,hotel_offer
Vinpearl Hotel Imperia Hai Phong,"20.862895,106.661494",2.3 km from centre,,Deluxe King,,2,5 out of 5,8.6,Fabulous,217 reviews,"VND 2,000,000",Breakfast included
Somerset Central TD Hai Phong City,"20.8573451945733,106.699360907078",1.9 km from centre,,Studio,,2,5 out of 5,9.2,Superb,131 reviews,"VND 1,676,193",
The Opera Hotel Hải Phòng,"20.8607030871081,106.685184634949",650 m from centre,,Twin Room,,2,3 out of 5,7.4,Good,47 reviews,"VND 680,000",
Menrva Hotel,"20.860443,106.687308",750 m from centre,,Superior Double Room,,2,3 out of 5,8.5,Very good,32 reviews,"VND 1,105,000","Breakfast included,FREE cancellation,• No prepayment needed"
Manoir Des Arts Hotel,"20.861687,106.683122",650 m from centre,,Deluxe Double Room,,2,4 out of 5,8.6,Fabulous,260 reviews,"VND 1,125,000",Breakfast included
Tay Dai Duong Guesthouse,"20.8486422694338,106.689553855156",1.1 km from centre,,Standard Double Room,,2,3 out of 5,7.3,Good,175 reviews,"VND 320,000",
HOTEL TE AMO,"20.836529,106.702864",3.1 km from centre,,Deluxe Double Room,,2,2 out of 5,8.9,Fabulous,133 reviews,"VND 450,000",
Lac Long Hotel Hai Phong,"20.8615462858251,106.674786526389",1 km from centre,,Superior Double Room,,2,3 out of 5,7.8,Good,181 reviews,"VND 827,050","FREE cancellation,• No prepayment needed"
Mercure Hai Phong,"20.851027,106.687793",850 m from centre,,Superior Twin Room,,2,5 out of 5,8.2,Very good,80 reviews,"VND 1,476,090",
HM Hotel& Apartment,"20.832847,106.712095",4.1 km from centre,,Double Room,,2,4 out of 5,9.0,Superb,46 reviews,"VND 400,000",
Hotel Nikko Hai Phong,"20.823835,106.690806",3.8 km from centre,,Deluxe Hollywood Twin Room,,2,5 out of 5,9.0,Superb,15 reviews,"VND 1,801,800",
Azumaya Hotel Hai Phong,"20.830668,106.698719",3.4 km from centre,,Deluxe Room,,2,,8.6,Fabulous,37 reviews,"VND 1,023,000",
MV MOTEL,"20.847721,106.716557",3.8 km from centre,,Standard Double Room,,2,2 out of 5,9.2,Superb,71 reviews,"VND 350,000",
V Apartment & Hotel,"20.836123931043,106.701602328524",3 km from centre,,Superior Queen Room with Two Queen Beds,,2,3 out of 5,,,,"VND 990,000",
F & F Hotel,"20.8323409337961,106.719439665884",4.8 km from centre,,Standard Double Room,,2,2 out of 5,8.7,Fabulous,204 reviews,"VND 500,000",
Novatel Hotel & Apartment,"20.846977,106.710103",3.1 km from centre,,One-Bedroom Apartment,,2,3 out of 5,9.0,Superb,14 reviews,"VND 445,500","FREE cancellation,• No prepayment needed"
