hotel_name,hotel_address,hotel_distance_center,hotel_location_features,hotel_room,number_of_rooms,room_occupancy,hotel_star,hotel_score,hotel_score_title,hotel_number_reviews,hotel_price,hotel_offer
Ánh Dương Homestay,"9.896777,105.667714",,,Budget Double Room,,2,2 out of 5,9.2,Superb,5 reviews,"VND 205,000",
MEKONG DANIEL HOMESTAY CAN THO,"9.968988,105.696979",,,Deluxe Double Room with Balcony,,3,3 out of 5,9.3,Superb,18 reviews,"VND 900,000",Breakfast included
Song Ngư Pisces Homestay,"9.99774234971989,105.712304212814",,,Deluxe Queen Room,,2,,8.9,Fabulous,203 reviews,"VND 720,000","Breakfast included,FREE cancellation,• No prepayment needed"
Kidu Homestay,"9.99729255998041,105.711870296673",,,Double Room with Garden View,,2,,8.6,Fabulous,4 reviews,"VND 686,800",Breakfast included
Hostel Hạnh Phát 9,"9.9928,105.715106",,,Deluxe Double Room,,2,,8.6,Fabulous,5 reviews,"VND 180,000",
Bao Gia Trang Vien - The Green resort,"9.96053174801,105.758330672979",,,Superior Twin Room with Garden View,,2,,7.5,Good,5 reviews,"VND 920,000",
Can Tho Ecolodge,"9.98765698238468,105.740094843269",,,Superior Deluxe Double or Twin Room,,2,4 out of 5,8.8,Fabulous,360 reviews,"VND 1,466,300","Breakfast included,FREE cancellation,• No prepayment needed"
Nhà nghỉ THANH BÌNH,"9.98096232064823,105.747167297592",,,Budget Double Room,,2,,8.0,Very good,21 reviews,"VND 170,000",
Phương Quang Hotel,"9.98757222123461,105.74761390686",,,Double Room,,2,1 out of 5,5.1,Review score,11 reviews,"VND 159,120",
Dan Sinh Homestay,"9.9798142,105.7662436",,,Standard Double Room,,2,,8.6,Fabulous,321 reviews,"VND 180,000","Breakfast included,FREE cancellation,• No prepayment needed"
Hometravel Mekong Can Tho,"9.97950014202007,105.764645583012",,,Bungalow - Riverfront,,2,,8.8,Fabulous,330 reviews,"VND 540,000","Breakfast included,FREE cancellation,• No prepayment needed"
Hanh Phat 2 Guesthouse,"9.99209912909223,105.750727726181",,,Deluxe Room,,2,2 out of 5,6.8,Review score,8 reviews,"VND 214,969",
Khách Sạn Phương Anh (Chợ Nổi Cái Răng),"9.992774,105.748825",,,Single Room,2 ×,1,1 out of 5,,,,"VND 600,000",
