hotel_name,hotel_address,hotel_distance_center,hotel_location_features,hotel_room,number_of_rooms,room_occupancy,hotel_star,hotel_score,hotel_score_title,hotel_number_reviews,hotel_price,hotel_offer
The wiltons hotel,"20.438594,106.15941",,,Deluxe Room (2 Adults + 1 Child),,2,,,,,"VND 585,000",
Nam Cuong Nam Dinh Hotel,"20.433362,106.167186",,,Double or Twin Room,,2,4 out of 5,8.9,Fabulous,32 reviews,"VND 1,970,000","Breakfast included,FREE cancellation,• No prepayment needed"
Hướng Dương Hotel,"10.505651,108.952046",,,Large Double Room,,2,,9.3,Superb,17 reviews,"VND 250,000",
SOJO Hotel Nam Dinh,"20.428884,106.173902",,,Double Room,,2,3 out of 5,9.0,Superb,4 reviews,"VND 928,200",
LakeSide 2 Hotel Nam Định,"20.4378946470427,106.154506275147",,,Twin Room,,2,3 out of 5,6.8,Review score,47 reviews,"VND 650,000","Breakfast included,FREE cancellation,• No prepayment needed"
NHÀ NGHĨ TRÀ MY,"20.423181,106.151202",,,Family Room with Balcony,,3,2 out of 5,6.1,Review score,11 reviews,"VND 160,000",
Khách Sạn An Bình Đảo Phú Quý,"10.506789,108.953098",,,Double Room,,2,,9.2,Superb,5 reviews,"VND 285,000",
Khách Sạn Chấn Phú Quý,"10.522779,108.94428",,,Double Room,,2,1 out of 5,,,,"VND 342,000",
SOJO Hotel Thai Binh,"20.439131,106.329422",,,Double Room,,2,3 out of 5,,,,"VND 928,200",
Golden Thai binh Hotel,"20.4426321331346,106.327875629067",,,Junior Suite with City View,,2,3 out of 5,8.3,Very good,80 reviews,"VND 510,720","Breakfast included,FREE cancellation,• No prepayment needed"
Khách sạn Hoàng Gia,"20.446342,106.32906",,,Twin Room,,4,,7.9,Good,17 reviews,"VND 350,000",
Kim Long Hotel,"20.451227,106.333996",,,Superior Double or Twin Room with City View,,4,3 out of 5,7.2,Good,29 reviews,"VND 360,000","FREE cancellation,• No prepayment needed"
Khách Sạn Hoàng Gia II,"20.4666121325899,106.324014992729",,,Deluxe Double Room,,2,,7.6,Good,5 reviews,"VND 270,000",
Hưng Thành Riverside Hotel,"20.4549633075678,106.35024696624",,,Double Room with Balcony,,2,,7.3,Good,3 reviews,"VND 288,000",
Bình Minh Riverside Hotel,"20.4525395787865,106.354191160019",,,Standard Double Room,,2,,8.8,Fabulous,19 reviews,"VND 250,000","FREE cancellation,• No prepayment needed"
Khách sạn Quang Anh,"20.4615551326429,106.336640684086",,,Double Room,,2,,7.2,Good,24 reviews,"VND 200,000",
