hotel_name,hotel_address,hotel_distance_center,hotel_room,hotel_star,hotel_score,hotel_score_title,hotel_number_reviews,hotel_price,hotel_offer
The Trang Luxury Villa Nha Trang,"12.2033044971,109.212626399738",4.3 km from centre,Day Use 2 Hours only (from 08:00 - 18:00),4 out of 5,8.5,Very good,6 reviews,"VND 330,000",
Sheraton Nha Trang,"12.2460913316367,109.195848405361",850 m from centre,"Deluxe King, Guest room, 1 King, Ocean view, Balcony",5 out of 5,8.7,Fabulous,848 reviews,"VND 1,848,000",Breakfast included
Maple Hotel & Apartment,"12.2380439,109.1961727",150 m from centre,Deluxe King Room with Balcony,4 out of 5,8.2,Very good,"1,360 reviews","VND 450,000",
Mia Resort Nha Trang,"12.133687140426,109.21123623848",11 km from centre,Garden View Condo - Twin Room,5 out of 5,9.3,Superb,319 reviews,"VND 2,330,615",Breakfast included
Neo Century Sea View Nha Trang,"12.244255,109.195905",650 m from centre,Deluxe Suite with Sea View,4 out of 5,9.3,Superb,119 reviews,"VND 1,440,000",
Amiana Resort and Villas Nha Trang,"12.295176162534,109.234657287598",7 km from centre,Deluxe Twin Bed,5 out of 5,8.8,Fabulous,546 reviews,"VND 2,039,734",Breakfast included
Alpha Bird Nha Trang - Managed By RHM GROUP,"12.2309469336732,109.196653814819",900 m from centre,Superior Double or Twin Room,3 out of 5,8.5,Very good,789 reviews,"VND 224,250","FREE cancellation,• No prepayment needed"
Muong Thanh Luxury Khanh Hoa,"12.2589140987191,109.198248955048",2.3 km from centre,Deluxe Twin Room with Sea View,5 out of 5,8.8,Fabulous,366 reviews,"VND 851,000",Breakfast included
Vinpearl Resort Nha Trang,"12.2211208203092,109.246201515198",5 km from centre,Deluxe Twin Room - Breakfast Only,5 out of 5,8.3,Very good,351 reviews,"VND 2,254,000",Breakfast included
Star Beach Panorama,"12.2396484663802,109.196275721671",200 m from centre,Superior King Room,4 out of 5,9.2,Superb,435 reviews,"VND 570,000",
Vinpearl Discovery Rockside Nha Trang,"12.2170785526946,109.257971048355",7 km from centre,Deluxe Twin Room,5 out of 5,8.1,Very good,243 reviews,"VND 2,016,000",Breakfast included
Vinpearl Resort & Spa Nha Trang Bay,"12.2130676813854,109.243755340576",6 km from centre,Deluxe Twin Room - Breakfast Only,5 out of 5,8.4,Very good,445 reviews,"VND 2,254,000",Breakfast included
Muong Thanh Luxury Nha Trang Hotel,"12.2366357581345,109.196679890156",300 m from centre,Deluxe Double Room,5 out of 5,8.5,Very good,555 reviews,"VND 918,000",
Eastin Grand Hotel Nha Trang,"12.239068,109.195578",100 m from centre,Deluxe Room,5 out of 5,8.4,Very good,66 reviews,"VND 1,091,475",
Oliver Hotel,"12.2285367265313,109.199236035347",1.2 km from centre,Superior Double or Twin Room,3 out of 5,8.3,Very good,103 reviews,"VND 232,650","FREE cancellation,• No prepayment needed"
Boton Blue Hotel & Spa,"12.2848575015812,109.203884817474",5 km from centre,Superior Twin Room with Mountain View,5 out of 5,8.7,Fabulous,"1,297 reviews","VND 861,900",
HAPPY BEACH,"12.238411,109.194097",150 m from centre,Deluxe Double Room,,,,,"VND 550,000",
DTX Hotel Nha Trang,"12.234877,109.196266",450 m from centre,Superior Double or Twin Room with City View,4 out of 5,9.1,Superb,"1,098 reviews","VND 524,900",
Boss Hotel,"12.2380509128934,109.196117967367",150 m from centre,Superior Double or Twin Room,4 out of 5,8.3,Very good,594 reviews,"VND 422,100",
The Costa Nha Trang Residences,"12.2441752443683,109.19582426548",650 m from centre,Studio Multi View,5 out of 5,8.4,Very good,239 reviews,"VND 1,800,000",
Rubies Nha Trang Apartment,"12.236525,109.196459",300 m from centre,One-Bedroom Apartment,3 out of 5,8.5,Very good,268 reviews,"VND 450,000",
Hotel Novotel Nha Trang,"12.2377165386222,109.196706712246",200 m from centre,Standard Double Room,4 out of 5,8.9,Fabulous,405 reviews,"VND 1,479,000",
"InterContinental Nha Trang, an IHG hotel","12.2446184270608,109.196001600494",700 m from centre,Deluxe Twin Room with Ocean View,5 out of 5,9.1,Superb,438 reviews,"VND 3,634,046",
Aaron Hotel,"12.2334492,109.1966412",600 m from centre,Superior Double City View,3 out of 5,9.0,Superb,"1,484 reviews","VND 456,000","Breakfast included,FREE cancellation,• No prepayment needed"
Vinpearl Condotel Beachfront Nha Trang,"12.2332033259316,109.19750310947",650 m from centre,King Studio with City View,5 out of 5,8.5,Very good,77 reviews,"VND 1,424,500",
Holi Panorama Nha Trang,"12.239068,109.195578",100 m from centre,King bed studio with city view,4 out of 5,8.3,Very good,143 reviews,"VND 489,600",
Xavia Hotel,"12.2202269281118,109.2029986432",2.2 km from centre,Superior Double or Twin Room with City View,4 out of 5,9.0,Superb,898 reviews,"VND 574,000",Breakfast included
Ruby Hotel,"12.2197870476362,109.203427277802",2.3 km from centre,Deluxe Twin Room with Partial Sea View,4 out of 5,8.6,Fabulous,202 reviews,"VND 552,500","FREE cancellation,• No prepayment needed"
Mega Light Hotel - Managed By RHM GROUP,"12.278552,109.202113",4.5 km from centre,Standard Double or Twin Room,3 out of 5,8.8,Fabulous,641 reviews,"VND 172,550",
Rubies Nha Trang Apartment,"12.236525,109.196459",300 m from centre,One-Bedroom Apartment,3 out of 5,8.5,Very good,268 reviews,"VND 450,000",
Shoho Hotel Nha Trang,"12.276541,109.2008",4.3 km from centre,Standard King Room,3 out of 5,9.4,Superb,76 reviews,"VND 236,500","FREE cancellation,• No prepayment needed"
Vinpearl Discovery Sealink Nha Trang,"12.219943,109.253432",6 km from centre,Two-Bedroom Villa,5 out of 5,8.6,Fabulous,64 reviews,"VND 4,032,000",Breakfast included
Le More Hotel,"12.2402934581081,109.192441584513",400 m from centre,Deluxe Room,4 out of 5,9.0,Superb,162 reviews,"VND 498,200",
V Hotel Nha Trang,"12.2420601797766,109.194472159386",450 m from centre,Deluxe Double Room,4 out of 5,8.8,Fabulous,"1,110 reviews","VND 523,106",
Virgo Hotel,"12.238605,109.193926",150 m from centre,Deluxe Double or Twin Room with City View,5 out of 5,8.3,Very good,81 reviews,"VND 910,000",Breakfast included
The Costa Nha Trang Residences,"12.2441752443683,109.19582426548",650 m from centre,Studio Multi View,5 out of 5,8.4,Very good,239 reviews,"VND 1,800,000",
iSeaview Nha Trang Beach Apartment,"12.2742607,109.2018644",4 km from centre,Deluxe Apartment,3 out of 5,8.5,Very good,288 reviews,"VND 501,600",
Queen Ann Nha Trang Hotel,"12.2270498872275,109.199905469311",1.4 km from centre,Deluxe Twin Room,5 out of 5,9.0,Superb,337 reviews,"VND 1,024,000",Breakfast included
Pavillon Garden Hotel Nha Trang,"12.2379786644953,109.195926189423",150 m from centre,Superior Double Room,3 out of 5,8.0,Very good,502 reviews,"VND 248,292",
Atlantic Nha Trang Hotel,"12.238532,109.194489",100 m from centre,Superior Room with City View,4 out of 5,8.7,Fabulous,422 reviews,"VND 476,000","Breakfast included,FREE cancellation,• No prepayment needed"
Imperial Nha Trang,"12.2197141855335,109.203996101791",2.3 km from centre,Double or Twin Room with City View,4 out of 5,8.5,Very good,432 reviews,"VND 506,000",Breakfast included
Citadines Bayfront Nha Trang,"12.2361021651674,109.196922965348",350 m from centre,Studio Twin (Limited view) Non-smoking room,5 out of 5,8.7,Fabulous,560 reviews,"VND 1,309,770",
AHA Yen Vang Hotel & Apartment,"12.255364,109.193332",1.9 km from centre,Superior Double Room,3 out of 5,8.7,Fabulous,139 reviews,"VND 316,800","FREE cancellation,• No prepayment needed"
Senia Hotel Nha Trang,"12.280121,109.202153",4.7 km from centre,Deluxe Double or Twin Room with City View,4 out of 5,8.8,Fabulous,281 reviews,"VND 377,000",
Ocean Front Villas Nha Trang,"12.202684026636,109.213922638446",4.5 km from centre,Villa,4 out of 5,9.2,Superb,19 reviews,"VND 7,650,000",
Galliot Hotel,"12.2360625183642,109.194311499596",300 m from centre,Standard Double or Twin Room No Window,4 out of 5,8.7,Fabulous,367 reviews,"VND 643,500",Breakfast included
Seaside Villas An Vien Nha Trang,"12.198510484512,109.21174642845",4.8 km from centre,Two-Bedroom Villa,4 out of 5,8.5,Very good,27 reviews,"VND 1,023,750",
