hotel_name,hotel_address,hotel_distance_center,hotel_location_features,hotel_room,number_of_rooms,room_occupancy,hotel_star,hotel_score,hotel_score_title,hotel_number_reviews,hotel_price,hotel_offer
Casa Maya Hotel,"11.7723240360077,109.208848567092",,,Double Room with Mountain View,,2,3 out of 5,8.4,Very good,124 reviews,"VND 410,550","Breakfast included,FREE cancellation,• No prepayment needed"
Long Thuan Hotel & Resort,"11.5611709078872,109.022729063477",,,Standard Double or Twin Room,,2,3 out of 5,6.9,Review score,171 reviews,"VND 728,000",Breakfast included
Saigon - Ninh Chu Hotel & Resort,"11.5811425274145,109.027719497681",,,Superior Economy Double Room,,2,4 out of 5,7.3,Good,39 reviews,"VND 1,100,000",Breakfast included
TTC Resort - Ninh Thuan,"11.5813322986907,109.027825295962",,,Bungalow with Garden View,,2,3 out of 5,7.4,Good,161 reviews,"VND 735,150",Breakfast included
Ninh Chu Hotel,"11.589992151427,109.039635485606",,,Standard Double Room,,2,,8.4,Very good,196 reviews,"VND 340,000",
Hòn Cò Resort - Cà Ná,"11.33335866972,108.873237669467",,,Double or Twin Room with Garden View,,2,3 out of 5,7.8,Good,97 reviews,"VND 990,000",Breakfast included
Chau Gia Hotel,"11.7219785908496,109.19579453373",,,Standard King Room,,2,2 out of 5,8.4,Very good,91 reviews,"VND 300,000",
Gold Rooster Resort,"11.5835756771404,109.029269814491",,,Superior Double Room with Garden View,,2,3 out of 5,6.6,Review score,41 reviews,"VND 771,004","FREE cancellation,• No prepayment needed"
Khách Sạn Anh Khoa,"11.5671764456281,108.993327450514",,,Triple Room with City View,,3,,8.4,Very good,319 reviews,"VND 350,000",
Hotel Minh Quang,"11.5631343501793,109.017848682912",,,Economy Double Room,,2,2 out of 5,8.0,Very good,158 reviews,"VND 351,073","FREE cancellation,• No prepayment needed"
Khách sạn Sunrise Ninh Thuận,"11.588146,109.03198",,,Standard King Room,,2,3 out of 5,8.1,Very good,16 reviews,"VND 700,000","Breakfast included,FREE cancellation,• No prepayment needed"
Mui Dinh Hotel,"11.3336773333931,108.866769292328",,,Large Double Room,,2,2 out of 5,7.3,Good,62 reviews,"VND 360,000",
Phi Kite School,"11.6089037059089,109.146572679161",,,Bungalow,,2,3 out of 5,8.5,Very good,31 reviews,"VND 345,000",
Phan rang kite center,"11.6055463159356,109.146450671463",,,One-Bedroom Chalet,,2,,9.4,Superb,35 reviews,"VND 500,000","FREE cancellation,• No prepayment needed"
Nomad Ninh Chu Hotel,"11.560289095,109.021438177807",,,Twin Room with Sea View,,2,,9.1,Superb,78 reviews,"VND 660,000","FREE cancellation,• No prepayment needed"
