hotel_name,hotel_address,hotel_distance_center,hotel_room,hotel_star,hotel_score,hotel_score_title,hotel_number_reviews,hotel_price,hotel_offer
TTC Hotel Phan Thiet,"10.9258278295092,108.11486184597",1.9 km from centre,Superior Double or Twin Room with City View,4 out of 5,8.1,Very good,426 reviews,"VND 765,000",Breakfast included
Phan Thiet Ocean Dunes Resort,"10.9286352227563,108.119480609894",2.2 km from centre,Superior Double or Twin Room with City View,4 out of 5,7.9,Good,93 reviews,"VND 1,140,000",Breakfast included
ITNW SPACIOUS SEAVIEW,"10.93760550956,108.18449699895",9 km from centre,One-Bedroom Apartment,4 out of 5,8.8,Fabulous,19 reviews,"VND 907,500",
Nghĩ dưỡng Biển Ngọc,"10.931053042253,108.126835963398",3 km from centre,Bungalow - Beach Front,3 out of 5,8.8,Fabulous,63 reviews,"VND 270,000",
MoonLight,"10.933086,108.113521",1.5 km from centre,Standard Double Room - No Window,,7.9,Good,188 reviews,"VND 350,000",
Sea lik Ocean Vita Block C -C3-24,"10.9381366235592,108.1819013703",9 km from centre,Apartment with Garden View,,7.8,Good,16 reviews,"VND 810,000",
Mui ne Sports Resort,"10.9532002963688,108.247275936951",16 km from centre,Superior Double Room,,8.2,Very good,11 reviews,"VND 350,000",
Hoang Long Hotel,"10.9328015105307,108.11129987791",1.2 km from centre,Standard Double or Twin Room with Sea View,3 out of 5,7.2,Good,26 reviews,"VND 1,100,000",Breakfast included
Nha Que Homestay,"10.9427207,108.1145094",1.9 km from centre,King Room,,7.8,Good,144 reviews,"VND 300,000",
Ocean Vita Codotel Mui ne C3-19,"10.9367715961293,108.18525316895",9 km from centre,One-Bedroom Apartment,,7.8,Good,9 reviews,"VND 810,000",
LIM House,"10.941532,108.116868",2.1 km from centre,Standard Double Room,,8.8,Fabulous,151 reviews,"VND 340,200",
OYO 960 Hoai Tam,"10.935592148704,108.136613095102",4 km from centre,Standard Double Room,,8.7,Fabulous,119 reviews,"VND 200,534",
Stop And Go Lang Chai Boutique Resort,"11.066311,108.4118",37 km from centre,Double Room with Balcony (2 Adults + 1 Child),,7.9,Good,23 reviews,"VND 960,000",Breakfast included
P’House Hotel,"10.938762,108.104395",800 m from centre,Standard Double Room,2 out of 5,7.7,Good,116 reviews,"VND 311,500","FREE cancellation,• No prepayment needed"
Pool Villa Cỏ Mây,"10.9383557695559,108.123700844097",2.6 km from centre,Three-Bedroom Villa,,,,,"VND 3,600,000",
La Vita Home Mũi Né,"10.937101663538,108.183306693335",9 km from centre,One-Bedroom Apartment,3 out of 5,9.5,Exceptional,31 reviews,"VND 945,000",
Orchid Boutique Beach Resort,"10.8770343967471,108.05830411613",7 km from centre,Standard Twin Room,3 out of 5,8.3,Very good,84 reviews,"VND 887,008",Breakfast included
LuxSea Villa,"10.934141,108.168795",7 km from centre,Three-Bedroom Villa,3 out of 5,7.0,Good,35 reviews,"VND 2,300,000",
Mui Ne Alena Hotel,"10.954740567497,108.237993696239",15 km from centre,King Room with Lake View,2 out of 5,8.3,Very good,76 reviews,"VND 479,200",
