hotel_name,hotel_address,hotel_distance_center,hotel_location_features,hotel_room,number_of_rooms,room_occupancy,hotel_star,hotel_score,hotel_score_title,hotel_number_reviews,hotel_price,hotel_offer
December Hoi An Villa,"15.89183,108.316319",,,Superior Double Room,,2,3 out of 5,9.2,Superb,192 reviews,"VND 391,000","FREE cancellation,• No prepayment needed"
Little Riverside Hoi An . A Luxury Hotel & Spa,"15.876845,108.336416",,,Twin Suite with City View,,2,5 out of 5,9.4,Superb,582 reviews,"VND 1,316,250","Breakfast included,FREE cancellation,• No prepayment needed"
Allegro Hoi An . A Little Luxury Hotel & Spa,"15.8802328694708,108.324921224266",,,Junior Suite with City View,,2,5 out of 5,9.4,Superb,597 reviews,"VND 1,620,000",Breakfast included
La Siesta Hoi An Resort & Spa,"15.8799719163594,108.316376617197",,,Deluxe Double or Twin Room,,2,5 out of 5,9.4,Superb,441 reviews,"VND 1,868,583","Breakfast included,FREE cancellation,• No prepayment needed"
Muong Thanh Grand Quang Nam,"15.5606409123057,108.486842069767",,,Deluxe Twin Room,,2,4 out of 5,8.0,Very good,102 reviews,"VND 900,000",Breakfast included
"Four Seasons The Nam Hai, Hoi An, Vietnam","15.9274304266216,108.316333293915",,,One-Bedroom Villa,,2,5 out of 5,9.3,Superb,114 reviews,"VND 9,839,000",Breakfast included
Acacia Heritage Hotel,"15.8723767670829,108.33265453577",,,Deluxe Double Room,,2,3 out of 5,8.4,Very good,"4,316 reviews","VND 220,000","FREE cancellation,• No prepayment needed"
Aira Boutique Hoi An Hotel & Villa,"15.9137325251671,108.339075455369",,,Deluxe Balcony or Terrace,,2,4 out of 5,9.3,Superb,466 reviews,"VND 884,639",
Anio Boutique Hotel Hoian,"15.889615,108.329518",,,Executive Deluxe with Balcony or Window,,2,4 out of 5,9.6,Exceptional,582 reviews,"VND 1,431,365",Breakfast included
Vinpearl Resort & Golf Nam Hoi An,"15.8109234357516,108.414185643196",,,Deluxe Twin Room with Balcony and Garden View,,2,5 out of 5,8.2,Very good,108 reviews,"VND 2,160,000",Breakfast included
Ally Beach Boutique Hotel Hoian,"15.8981629263409,108.362943332416",,,Cozy Double or Twin Room,,2,4 out of 5,8.8,Fabulous,670 reviews,"VND 506,041","FREE cancellation,• No prepayment needed"
Golden Holiday Hotel & Spa,"15.887668811667,108.32806929946",,,Superior Double Room,,2,4 out of 5,9.6,Exceptional,"1,708 reviews","VND 575,510",
Shining Riverside Hotel & Spa,"15.8771482047656,108.346443150848",,,Deluxe Room,,2,4 out of 5,9.2,Superb,137 reviews,"VND 690,000","Breakfast included,FREE cancellation,• No prepayment needed"
Cozy Savvy Boutique Hotel Hoi An,"15.877184,108.318721",,,Cozy Deluxe Room Town View,,2,4 out of 5,9.6,Exceptional,185 reviews,"VND 881,790","FREE cancellation,• No prepayment needed"
"Le Belhamy Beach Resort & Spa, Hoi An","15.9220449031162,108.323172926903",,,Hoi An Twin Room with Garden View,,2,4 out of 5,8.0,Very good,165 reviews,"VND 816,000",Breakfast included
Thanh Binh Central Hotel,"15.8804982708061,108.326219916344",,,Superior Twin Room,,2,4 out of 5,8.1,Very good,106 reviews,"VND 570,000","FREE cancellation,• No prepayment needed"
La An Central Boutique Villa,"15.874542,108.326676",,,Superior Twin Room with City View,,2,4 out of 5,9.3,Superb,334 reviews,"VND 702,000","FREE cancellation,• No prepayment needed"
Hoian Nostalgia Hotel & Spa,"15.8794018353244,108.320305645466",,,Historical Double or Twin Room with Window,,2,3 out of 5,9.4,Superb,754 reviews,"VND 306,000","FREE cancellation,• No prepayment needed"
Eco Lux Riverside Hotel & Spa,"15.8804370451673,108.306411468752",,,Superior Room with Balcony or Window  (1 year used voucher to freely change your stay date),,2,4 out of 5,9.4,Superb,221 reviews,"VND 593,750","Breakfast included,FREE cancellation,• No prepayment needed"
Hotel Phi Hùng,"15.557274,108.492344",,,Double Room with Mountain View,,2,,7.2,Good,80 reviews,"VND 300,000",
G Boutique Resort Hoi An,"15.8876205045268,108.353375805812",,,King Room with Garden View,,2,4 out of 5,9.6,Exceptional,124 reviews,"VND 986,000","FREE cancellation,• No prepayment needed"
Five Rose Villas,"15.908944,108.346894",,,Standard King Room,,2,3 out of 5,9.3,Superb,325 reviews,"VND 440,000",
Sunrise Premium Resort & Spa Hoi An,"15.8895429908068,108.378463983536",,,Deluxe Double or Twin Room,,2,5 out of 5,8.6,Fabulous,460 reviews,"VND 1,834,037",Breakfast included
Green Heaven Hoi An Resort and Spa,"15.8757126085836,108.32380592823",,,Superior Twin Room with Balcony,,2,4 out of 5,8.5,Very good,"1,028 reviews","VND 576,555","FREE cancellation,• No prepayment needed"
Dechiu,"15.9081450622023,108.348203127014",,,Dechiu Wabi Sabi (1 year voucher to freely change your stay date),,2,3 out of 5,9.7,Exceptional,116 reviews,"VND 1,395,000",Breakfast included
Life Beach Villa,"15.9138827743827,108.338515699434",,,Double Room | FREELY CHANGE DATE (until 31 December 2021),,2,,9.5,Exceptional,447 reviews,"VND 573,273","FREE cancellation,• No prepayment needed"
Hoi An Dream City Hotel,"15.8831080212394,108.326889127493",,,Budget Double Room,,2,2 out of 5,8.8,Fabulous,"1,604 reviews","VND 389,623","FREE cancellation,• No prepayment needed"
Kim Phu Villa Hoi An,"15.881353,108.334451",,,Superior King Room,,2,3 out of 5,9.2,Superb,227 reviews,"VND 384,750",Breakfast included
Muong Thanh Holiday Hoi An Hotel,"15.8930017277538,108.371720910072",,,Deluxe Double Room with Balcony,,2,4 out of 5,8.1,Very good,204 reviews,"VND 720,000","Breakfast included,FREE cancellation,• No prepayment needed"
MaiChi Villa Hoi An,"15.8776192604871,108.321734408911",,,Superior Double or Twin Room with Pool View,,2,,9.8,Exceptional,242 reviews,"VND 595,908","FREE cancellation,• No prepayment needed"
My 's Flower Villa Hoi An,"15.87444,108.358025",,,Villa,,43,,,,,"VND 7,500,000",
Citadines Pearl Hoi An,"15.919617915267,108.329954862366",,,Superior King City View,,2,5 out of 5,8.3,Very good,259 reviews,"VND 1,309,770",Breakfast included
TUI BLUE Nam Hoi An,"15.562625,108.573426",,,DUO Superior (King),,2,5 out of 5,9.5,Exceptional,5 reviews,"VND 5,826,600",Breakfast included
Gold Coast Beach Villa,"15.9150742015045,108.335639834404",,,Queen Room with Garden View,,2,3 out of 5,8.6,Fabulous,283 reviews,"VND 475,150",Breakfast included
Bap Homestay,"15.8793438328623,108.339268853523",,,Standard King Room,,2,,9.3,Superb,61 reviews,"VND 224,000",
Anantara Hoi An Resort,"15.8770980114428,108.33570420742",,,Deluxe with Balcony,,2,5 out of 5,9.0,Superb,159 reviews,"VND 2,722,973",Breakfast included
Hoai River Hoi An Homestay,"15.875919,108.322129",,,Deluxe Room,,2,,9.6,Exceptional,122 reviews,"VND 350,000",
HOI AN HEART LODGE,"15.8808050394288,108.327219232155",,,Loft Room With City view,,2,3 out of 5,10,Exceptional,102 reviews,"VND 318,780",
Palm Garden Beach Resort & Spa,"15.900418818672,108.358755111694",,,Superior Double Room with Garden View,,2,5 out of 5,8.7,Fabulous,597 reviews,"VND 1,386,449","FREE cancellation,• No prepayment needed"
Vinpearl Resort & Spa Hoi An,"15.880782092995,108.388178931349",,,Deluxe Twin Room,,2,5 out of 5,8.4,Very good,60 reviews,"VND 1,585,000",Breakfast included
Quynh Chau Homestay,"15.8746071173451,108.324517384171",,,Double Room with Balcony,,2,,9.4,Superb,667 reviews,"VND 270,000","FREE cancellation,• No prepayment needed"
Victoria Hoi An Beach Resort & Spa,"15.8950325713286,108.369666337967",,,Superior Room with River view,,2,4 out of 5,9.2,Superb,447 reviews,"VND 1,776,022",Breakfast included
The Nam An Villa Hoi An,"15.8911885942304,108.329760771654",,,Superior Queen Room,,2,3 out of 5,9.0,Superb,166 reviews,"VND 465,644",Breakfast included
Ban Thach Riverside Hotel & Resort,"15.5873208911293,108.475087881088",,,Deluxe Double Room,,2,4 out of 5,7.7,Good,45 reviews,"VND 675,000","Breakfast included,FREE cancellation,• No prepayment needed"
May's House Hoi An,"15.882048,108.3262",,,Standard Double Room,,2,3 out of 5,9.5,Exceptional,94 reviews,"VND 296,100","FREE cancellation,• No prepayment needed"
Luna Rossa Villa,"15.8764518143852,108.31993250856",,,Superior Double Room,,2,3 out of 5,9.6,Exceptional,95 reviews,"VND 217,000",
Hoiana Hotel & Suites,"15.8398574097804,108.39075890274",,,Superior Suite Twin,,2,5 out of 5,10,Exceptional,3 reviews,"VND 5,113,185",Breakfast included
Hidden Beach Pool Villas,"15.9055076912642,108.352693049915",,,Two-Bedroom Villa,,4,4 out of 5,9.2,Superb,60 reviews,"VND 3,001,500","FREE cancellation,• No prepayment needed"
Minh Tran Apartment and Hotel Hoi An,"15.8823706503504,108.333810757774",,,Standard One-Bedroom Apartment,,2,3 out of 5,9.7,Exceptional,59 reviews,"VND 617,352","FREE cancellation,• No prepayment needed"
Sol Villa,"15.881523,108.348953",,,Deluxe Double Room,,2,3 out of 5,9.8,Exceptional,55 reviews,"VND 361,080","FREE cancellation,• No prepayment needed"
Hoian Central Hotel,"15.8779280460921,108.33470596093",,,Superior Twin Room,,2,3 out of 5,9.4,Superb,899 reviews,"VND 650,000","FREE cancellation,• No prepayment needed"
Mulberry Collection Silk Marina,"15.8745748683847,108.322293162346",,,Deluxe Double or Twin Room with Window,,2,5 out of 5,9.2,Superb,495 reviews,"VND 1,622,708",
Hoi An Odyssey Hotel,"15.871868839736,108.329907953739",,,Superior Double or Twin Room with Village View,,2,4 out of 5,9.4,Superb,"1,571 reviews","VND 1,254,382","FREE cancellation,• No prepayment needed"
ZEN Boutique Hoi An,"15.88155,108.338475",,,Standard Double Room,,2,3 out of 5,9.1,Superb,250 reviews,"VND 754,920","Breakfast included,FREE cancellation,• No prepayment needed"
Tam Thanh Natural Beach Resort,"15.5842509496023,108.556674309075",,,Bungalow with Sea View,,2,2 out of 5,8.3,Very good,124 reviews,"VND 583,000","Breakfast included,FREE cancellation,• No prepayment needed"
An Nhien Homestay,"15.907634,108.344991",,,Family Room with Lake View,,4,,9.7,Exceptional,15 reviews,"VND 1,384,350",
Sol An Bang Beach Resort & Spa,"15.9102272365282,108.344782481506",,,Deluxe Double or Twin Room with City View,,2,4 out of 5,8.9,Fabulous,400 reviews,"VND 1,760,306","Breakfast included,FREE cancellation,• No prepayment needed"
Tubotel Bão Hân,"15.5622122700682,108.500828681351",,,Queen Room with Pool View,,2,,8.1,Very good,77 reviews,"VND 225,000",
Silk Sense Hoi An River Resort,"15.8992144709277,108.357301354408",,,Superior Double Room with Garden View,,2,5 out of 5,9.3,Superb,89 reviews,"VND 1,304,470",Breakfast included
Bean Grass Homestay,"15.8847438088053,108.330540879798",,,King Room with Garden View,,2,,9.6,Exceptional,402 reviews,"VND 322,500","FREE cancellation,• No prepayment needed"
Calm House Hotel Hoi An,"15.8724041813337,108.336665242328",,,Superior Double Room with View,,2,3 out of 5,9.1,Superb,148 reviews,"VND 272,160",
An Bang Garden Beach Homestay,"15.9122952035891,108.337963968515",,,Double Room with Balcony,,2,3 out of 5,9.5,Exceptional,55 reviews,"VND 750,000","FREE cancellation,• No prepayment needed"
Villa De Van Hoi An,"15.8877311663486,108.350114672739",,,Two-Bedroom Villa,,5,4 out of 5,9.1,Superb,57 reviews,"VND 2,830,500","Breakfast included,FREE cancellation,• No prepayment needed"
Vina Beach Pool Villas,"15.9125180020313,108.337622657418",,,Villa with Garden View,,2,4 out of 5,9.5,Exceptional,201 reviews,"VND 572,444",
