hotel_name,hotel_address,hotel_distance_center,hotel_location_features,hotel_room,number_of_rooms,room_occupancy,hotel_star,hotel_score,hotel_score_title,hotel_number_reviews,hotel_price,hotel_offer
Tròn Home,"15.1426969773631,108.787232130025",3.6 km from centre,,King Room with Garden View,,2,3 out of 5,8.9,Fabulous,24 reviews,"VND 415,000",
Central Hotel,"15.1134632979973,108.808163106314",650 m from centre,,Deluxe Double or Twin Room,,2,4 out of 5,5.8,Review score,69 reviews,"VND 830,000","Breakfast included,FREE cancellation,• No prepayment needed"
Hamya Hotsprings and Resort,"15.123958,108.729683",8 km from centre,,Superior Twin Room,,2,,7.8,Good,41 reviews,"VND 1,155,000","Breakfast included,FREE cancellation,• No prepayment needed"
Turi Staypoint,"15.131727,108.788058",2.8 km from centre,,Deluxe Triple Room,,2,,8.7,Fabulous,42 reviews,"VND 830,000",Breakfast included
Cocoland River Beach Resort & Spa,"15.0956928194707,108.894567531769",9 km from centre,,Standard Twin Room,,2,4 out of 5,8.6,Fabulous,36 reviews,"VND 1,239,000",
The Harmonia,"15.366651,108.789798",27 km from centre,,Deluxe Room,,2,4 out of 5,8.3,Very good,11 reviews,"VND 1,081,100",Breakfast included
Gia Thành Đạt,"15.120949,108.786669",2.5 km from centre,,Superior Double Room,,2,2 out of 5,7.7,Good,82 reviews,"VND 423,000",
King Hotel Quang Ngai,"15.124626,108.803578",900 m from centre,,Deluxe Room,,2,,6.7,Review score,73 reviews,"VND 414,100",
My Tra Riverside Hotel,"15.1509699371976,108.810137729036",3.5 km from centre,,Standard Twin Room,,2,3 out of 5,6.1,Review score,29 reviews,"VND 570,000","Breakfast included,FREE cancellation,• No prepayment needed"
Phu Loc Motel,"15.1134187310079,108.809500386339",650 m from centre,,Standard King Room,,2,,7.6,Good,42 reviews,"VND 220,000",
Ngoc Huong Hotel,"15.1144037171479,108.816495537758",900 m from centre,,Standard Twin Room,,2,2 out of 5,6.8,Review score,100 reviews,"VND 316,800",
My My Hotel,"15.1212128,108.7951759",1.6 km from centre,,Double Room,,2,1 out of 5,6.4,Review score,38 reviews,"VND 229,500",
Khách Sạn Hoàng Hương,"15.124647,108.81313",750 m from centre,,Double Room,,3,,3.3,Review score,3 reviews,"VND 300,000",
Khách Sạn Hoàng Hương,"15.1245531379056,108.813219854002",750 m from centre,,Twin Room,,3,,,,,"VND 350,000",
Dai Thanh 1 Motel Cang Sa Ky,"15.2166123828356,108.913489777771",15 km from centre,,Standard Double Room,,2,2 out of 5,8.1,Very good,141 reviews,"VND 200,000",
Phat Dat Hotel,"15.103578,108.805315",1.8 km from centre,,Standard Double Room,,2,,6.9,Review score,50 reviews,"VND 240,000",
Nhà Nghỉ Thành Công,"15.373912,109.111577",43 km from centre,,Deluxe Room,,2,,9.6,Exceptional,5 reviews,"VND 250,000",
Châu Ngọc Viên Hotel - Biển Mỹ Khê - Quảng Ngãi,"15.1885339308868,108.89375838427",11 km from centre,,Double Room,,4,3 out of 5,,,,"VND 650,000",
khach san thu thanh ly son,"15.376539,109.098439",42 km from centre,,Deluxe Room (2 Adults + 1 Child),,2,,,,,"VND 199,000",
Thanh Binh Hostel,"15.1408055834118,108.804827305904",2.5 km from centre,,Double Room with Balcony (2 Adults + 1 Child),,2,1 out of 5,6.9,Review score,20 reviews,"VND 230,000",
AN DUYÊN HOTEL,"15.372001,109.114402",43 km from centre,,Deluxe Double Room,,4,,,,,"VND 553,834",
Hoang Mai Hotel,"15.392133,108.819501",30 km from centre,,Deluxe King Room,,2,3 out of 5,,,,"VND 836,000","Breakfast included,FREE cancellation,• No prepayment needed"
HƯNG THỊNH Hotel Lý Sơn,"15.380821,109.107739",43 km from centre,,Double Room,,2,2 out of 5,,,,"VND 550,000",
