hotel_name,hotel_address,hotel_distance_center,hotel_room,hotel_star,hotel_score,hotel_score_title,hotel_number_reviews,hotel_price,hotel_offer
Hotel de la Coupole - MGallery,"22.334686,103.840433",200 m from centre,Classic King Room,5 out of 5,9.0,Superb,462 reviews,"VND 2,994,337",
Silk Path Grand Resort & Spa Sapa,"22.3379831895358,103.837386975065",600 m from centre,Classic Garden View,5 out of 5,9.3,Superb,413 reviews,"VND 1,905,404",
Topas Ecolodge,"22.2763215168742,103.967603445053",14 km from centre,Premium Executive Bungalow,,9.2,Superb,283 reviews,"VND 5,767,518",Breakfast & dinner included
Eden Boutique Hotel & Spa,"22.3358582387709,103.839138262566",350 m from centre,Deluxe Double Room with Balcony,4 out of 5,9.1,Superb,"1,133 reviews","VND 1,077,300","FREE cancellation,• No prepayment needed"
Pao's Sapa Leisure Hotel,"22.3268830643819,103.846662053838",1.1 km from centre,Classic Double or Twin Room,5 out of 5,8.8,Fabulous,294 reviews,"VND 1,386,000",
Aira Boutique Sapa Hotel & Spa,"22.334021629827,103.836591490545",600 m from centre,Deluxe Room with Window,4 out of 5,9.3,Superb,488 reviews,"VND 1,601,147",
KK Sapa Hotel,"22.328978,103.845824",800 m from centre,Superior Twin Room,5 out of 5,9.2,Superb,129 reviews,"VND 1,382,500",
Sapa Jade Hill Resort & Spa,"22.3252791609596,103.854899201542",1.8 km from centre,Deluxe Bungalow,4 out of 5,8.0,Very good,169 reviews,"VND 1,786,815",
My Boutique Hotel & Spa,"22.3295661497883,103.845700006924",750 m from centre,Deluxe Double or Twin Room with Window,4 out of 5,9.6,Exceptional,760 reviews,"VND 835,200",
BB Hotel Sapa,"22.334726775065,103.841700553894",100 m from centre,Superior Double Room,4 out of 5,8.9,Fabulous,137 reviews,"VND 1,944,375",Breakfast included
Sapa Relax Hotel & Spa,"22.3327482,103.8415977",300 m from centre,Superior Double or Twin Room,3 out of 5,9.3,Superb,786 reviews,"VND 693,600",Breakfast included
Pistachio Hotel Sapa,"22.3346864957234,103.838628031738",400 m from centre,Superior Double or Twin Room with Mountain View,4 out of 5,9.1,Superb,360 reviews,"VND 1,238,400",Breakfast included
