hotel_name,hotel_address,hotel_distance_center,hotel_location_features,hotel_room,number_of_rooms,room_occupancy,hotel_star,hotel_score,hotel_score_title,hotel_number_reviews,hotel_price,hotel_offer
Vinpearl Hotel Tay Ninh,"11.317551,106.103836",,,Deluxe Twin City View,,2,5 out of 5,9.1,Superb,325 reviews,"VND 1,000,000",Breakfast included
NEW CITY HOTEL,"11.3200638900879,106.101279050262",,,Double Room with Balcony (2 Adults + 1 Child),,2,2 out of 5,9.4,Superb,80 reviews,"VND 400,000","FREE cancellation,• No prepayment needed"
GOLD CITY Hotel,"11.3203171193874,106.100373524521",,,Deluxe Double Room,,2,2 out of 5,9.1,Superb,117 reviews,"VND 460,000","FREE cancellation,• No prepayment needed"
Sunrise Hotel,"11.3043855099192,106.105430402933",,,Deluxe Twin Room,,2,4 out of 5,8.2,Very good,32 reviews,"VND 690,000",
The Sun Hotel,"11.3016771596052,106.11394716198",,,Deluxe Double Room,,2,,8.1,Very good,66 reviews,"VND 270,000",
Nhà Nghỉ Diễm Hằng,"11.306256,106.102757",,,Double Room,,2,,8.0,Very good,25 reviews,"VND 250,000",
Golden Central Hotel,"11.032388,106.353193",,,Superior King Room,,2,3 out of 5,,,,"VND 500,000",
Khách sạn Vườn Cau & Khu vui chơi giải trí SaLa,"11.3036069055066,106.118105902122",,,Double Room,,2,,8.3,Very good,36 reviews,"VND 360,000",
Nhat Quy Hotel,"11.3167023259935,106.098299324512",,,Standard Double Room,,2,2 out of 5,6.1,Review score,67 reviews,"VND 330,000",Breakfast included
Motel Thuỳ Hương,"11.3055921095136,106.135766425934",,,Standard King Room,,2,,8.2,Very good,43 reviews,"VND 200,000",
Mai Tuan Long Trung Hotel,"11.26611,106.129928",,,Standard Double Room,,2,,8.6,Fabulous,9 reviews,"VND 249,000",
Victory Hotel Tây Ninh,"11.3158490043359,106.097510116455",,,Standard Twin Room,,2,3 out of 5,8.9,Fabulous,25 reviews,"VND 494,000",
Mai Tuan Chanh Mon A Hotel,"11.303633,106.122188",,,Double Room,,2,,8.0,Very good,61 reviews,"VND 269,000",
Tan My Thien Hotel,"11.3048028647574,106.12740506418",,,Double Room,,2,1 out of 5,8.1,Very good,63 reviews,"VND 320,000",
Tama House,"11.3176709534357,106.101731084595",,,Deluxe Double Room (2 Adults + 1 Child),,2,,9.1,Superb,21 reviews,"VND 600,000",Breakfast included
LA'S FARMSTAY,"11.1155885374194,106.417053037457",,,Tent,,2,,9.6,Exceptional,7 reviews,"VND 250,000",Breakfast included
BLUE STAR 2 HOTEL,"11.092698,106.264014",,,Double Room,,3,,,,,"VND 600,000",
