hotel_name,hotel_address,hotel_distance_center,hotel_room,hotel_star,hotel_score,hotel_score_title,hotel_number_reviews,hotel_price,hotel_offer
Khách sạn San Hô Vũng Tàu (Coral Hotel),"10.3463135597679,107.095464169979",,Deluxe Double Room,3 out of 5,7.3,Good,260 reviews,"VND 540,000",
Melia Ho Tram Beach Resort,"10.471902,107.386599",,Deluxe Double or Twin Room,5 out of 5,8.6,Fabulous,557 reviews,"VND 3,215,520",Breakfast included
Grand Ho Tram,"10.4865353782625,107.454056739807",,Deluxe King Room,5 out of 5,8.3,Very good,556 reviews,"VND 2,529,727",Breakfast included
Star Hotel,"10.3386763782648,107.089167013764",,Standard Double Room,1 out of 5,7.6,Good,"1,826 reviews","VND 180,000","FREE cancellation,• No prepayment needed"
Vietsovpetro Resort,"10.4776228647678,107.43192369584",,Deluxe Double Room with Garden View,4 out of 5,7.3,Good,311 reviews,"VND 1,700,000",Breakfast included
Lan Rung Resort Phuoc Hai,"10.398973,107.271929",,Condo Superior,4 out of 5,8.1,Very good,648 reviews,"VND 1,694,000",Breakfast included
Ho Tram Beach Boutique Resort & Spa,"10.4690245911129,107.400380373001",,Double or Twin Room with Garden View,4 out of 5,8.4,Very good,415 reviews,"VND 2,061,750",Breakfast included
Cen Hotel,"10.3373248320344,107.086788543655",,Double Room with Balcony,2 out of 5,8.9,Fabulous,"1,131 reviews","VND 354,000","FREE cancellation,• No prepayment needed"
Sanctuary Residential Resort Community,"10.4710164691765,107.400047779083",,Riverfront Pool Villa,5 out of 5,6.9,Review score,19 reviews,"VND 12,672,000",
The Imperial Hotel Vung Tau,"10.3439823508409,107.095010876656",,Deluxe Double Room,5 out of 5,8.4,Very good,710 reviews,"VND 2,605,680",
Carmelina Beach Resort,"10.4687481746731,107.44234085083",,Deluxe Twin Room with Garden View,4 out of 5,8.5,Very good,130 reviews,"VND 2,256,098",Breakfast included
Pullman Vung Tau,"10.34872,107.094469",,Superior King Room with City View,5 out of 5,8.1,Very good,851 reviews,"VND 2,353,890",Breakfast included
Vung Tau Melody Apartment,"10.33699,107.086244",,Two-Bedroom Apartment,3 out of 5,8.7,Fabulous,440 reviews,"VND 560,000",
Malibu Hotel,"10.3474651751468,107.095010206868",,Deluxe Twin Room,4 out of 5,8.7,Fabulous,369 reviews,"VND 1,716,867",
Minera Hot Springs Binh Chau,"10.6018319364569,107.558375895023",,Deluxe Double or Twin Room with Garden View,4 out of 5,7.5,Good,104 reviews,"VND 1,732,500",Breakfast included
SeaSala Vung Tau Hotel,"10.3358869713876,107.086687982082",,Standard Double Room,2 out of 5,8.3,Very good,888 reviews,"VND 270,000","FREE cancellation,• No prepayment needed"
Nolis Hotel,"10.333792,107.089657",,Superior Double Room (No Window),3 out of 5,7.6,Good,538 reviews,"VND 767,385",Breakfast included
Sun Beach Hotel,"10.337051541891,107.082818846558",,Deluxe Double Room with Balcony,2 out of 5,9.2,Superb,"1,562 reviews","VND 350,000","FREE cancellation,• No prepayment needed"
ibis Styles Vung Tau,"10.3363039,107.0906818",,Standard Twin Room,,8.4,Very good,386 reviews,"VND 1,391,041",
Anoasis Resort Long Hai,"10.3816639810564,107.244511842728",,Garden Studio Double Room,4 out of 5,8.0,Very good,386 reviews,"VND 2,070,907",Breakfast included
Fusion Suites Vung Tau,"10.341833,107.075615",,Fusion Twin Suite with City View - Spa Inclusive,4 out of 5,8.2,Very good,304 reviews,"VND 2,624,400",Breakfast included
