hotel_name,hotel_address,hotel_distance_center,hotel_location_features,hotel_room,number_of_rooms,room_occupancy,hotel_star,hotel_score,hotel_score_title,hotel_number_reviews,hotel_price,hotel_offer
An loc hotel,"21.3906381505404,103.014933521149",550 m from centre,,Deluxe Double Room with Bath,,2,2 out of 5,8.7,Fabulous,83 reviews,"VND 630,500",
Him Lam Resort,"21.4066106194636,103.043067455291",3.4 km from centre,,Standard Double or Twin Room,,2,3 out of 5,7.4,Good,35 reviews,"VND 600,000",Breakfast included
Pharma Hotel,"21.393188,103.016465",700 m from centre,,Standard Double Room,,2,,8.8,Fabulous,41 reviews,"VND 380,000",
Duc Thang Guest House (Nhà Nghỉ Đức Thắng),"21.3928814022692,103.011043768163",1 km from centre,,Small Double or Twin Room,,2,2 out of 5,8.6,Fabulous,73 reviews,"VND 220,000",
Ruby Hotel Dien Bien Phu,"21.3900064701588,103.014196157455",550 m from centre,,Deluxe Twin Room,,2,2 out of 5,8.2,Very good,48 reviews,"VND 450,000","FREE cancellation,• No prepayment needed"
Homestay,"21.3850292659402,103.01889706403",300 m from centre,,Standard Double Room,,2,,9.3,Superb,73 reviews,"VND 250,000",
Tay Bac hotel,"21.5893727421985,103.421116834671",47 km from centre,,Standard King Room,,2,2 out of 5,6.3,Review score,4 reviews,"VND 400,000",
Nhà nghỉ Tâm Cường,"21.3820366930356,103.019742721912",650 m from centre,,Double Room with Garden View,,2,2 out of 5,8.4,Very good,23 reviews,"VND 220,000",
Tuan Minh Guest House,"21.3930558333273,103.011342287064",1 km from centre,,Double Room,,2,,7.1,Good,55 reviews,"VND 180,000",
Khách sạn Như Ngọc,"21.392931,103.011034",1 km from centre,,Twin Room,,2,,,,,"VND 1,800,000",
51 GuestHouse - 1st Branch,"21.390334,103.014813",500 m from centre,,Deluxe Double Room,,2,2 out of 5,7.9,Good,12 reviews,"VND 199,000",
Nhà Nghỉ Minh Thủy,"21.386952,103.014459",450 m from centre,,One-Bedroom Apartment,,2,,,,,"VND 204,000",
