hotel_name,hotel_address,hotel_distance_center,hotel_location_features,hotel_room,number_of_rooms,room_occupancy,hotel_star,hotel_score,hotel_score_title,hotel_number_reviews,hotel_price,hotel_offer
Nostalgia DS Hotel,"16.0389436360377,108.244177929539",4.2 km from centre,Private beach,Twin Room with City View,,2,3 out of 5,9.1,Superb,70 reviews,"VND 336,000","FREE cancellation,• No prepayment needed"
Abogo Resort Villas Beachview Da Nang,"16.011511333482,108.264611429777",8 km from centre,"Beachfront,Private beach",Day Use Offer - 150 Mins. Extra charge for overnight stay,,50,5 out of 5,10,Exceptional,4 reviews,"VND 3,230,000","FREE cancellation,• No prepayment needed"
Raon Danang Beach,"16.0511315264956,108.246340546757",3.5 km from centre,Beachfront,Superior Queen Room No Window,,2,3 out of 5,9.0,Superb,330 reviews,"VND 320,000","FREE cancellation,• No prepayment needed"
Grand Jeep Hotel - Managed by RHM GROUP,"16.0732836581227,108.243013512109",2.6 km from centre,Beachfront,Deluxe Twin Room with Sea View,,2,3 out of 5,7.9,Good,321 reviews,"VND 351,000","FREE cancellation,• No prepayment needed"
Hyatt Regency Danang Resort and Spa,"16.0132903761792,108.263901472092",7 km from centre,Private beach,King Room,,2,5 out of 5,8.5,Very good,"1,185 reviews","VND 2,425,823",
Naman Retreat,"15.9689125535122,108.283822238445",13 km from centre,"Beachfront,Private beach",One-Bedroom Apartment Ocean View Day Use (6 hours) - Extra charge for overnight stay,,2,5 out of 5,8.5,Very good,377 reviews,"VND 1,800,000",
Pullman Danang Beach Resort,"16.0402661385643,108.249535560608",4.5 km from centre,"Beachfront,Private beach",Superior Double Room with Balcony,,2,5 out of 5,8.9,Fabulous,544 reviews,"VND 3,349,500",Breakfast included
Sala Danang Beach Hotel,"16.0622551511165,108.245392076057",2.9 km from centre,Beachfront,Superior Double Room with City View,,2,4 out of 5,9.2,Superb,697 reviews,"VND 2,300,000",Breakfast included
"InterContinental Danang Sun Peninsula Resort, an IHG hotel","16.1220372789624,108.310174942017",11 km from centre,"Beachfront,Private beach",King Resort with Ocean View,,2,5 out of 5,9.0,Superb,470 reviews,"VND 9,210,750",Breakfast included
Sheraton Grand Danang Resort,"15.980736673547,108.276392508915",11 km from centre,"Beachfront,Private beach","Deluxe, Guest room, 1 King, Bay view, Balcony",,2,5 out of 5,8.8,Fabulous,459 reviews,"VND 2,425,500",
Raon Apartment and Hotel,"16.0730315589562,108.241214483856",2.5 km from centre,Beachfront,Superior Double or Twin Room - Free Welcome Drink,,2,3 out of 5,8.9,Fabulous,742 reviews,"VND 280,000","FREE cancellation,• No prepayment needed"
Hilton Da Nang,"16.073,108.224273",750 m from centre,Beach nearby,Guest Room River View Twin Bed,,2,5 out of 5,8.5,Very good,370 reviews,"VND 1,501,500",
Abogo Resort Villas Luxury Da Nang,"16.0370727556998,108.251103013657",4.9 km from centre,"Beachfront,Private beach",Three-Bedroom Villa - Day Use (150 minutes),,2,4 out of 5,9.6,Exceptional,17 reviews,"VND 538,200","FREE cancellation,• No prepayment needed"
Haian Riverfront Hotel Da Nang,"16.066145,108.22451",650 m from centre,Beach nearby,Special Offer - Deluxe Riverfront,,2,4 out of 5,8.9,Fabulous,100 reviews,"VND 1,255,900",Breakfast included
HAIAN Beach Hotel & Spa,"16.053532,108.247927",3.5 km from centre,Beachfront,Special Offer - Superior Twin Room with City View,,2,4 out of 5,8.8,Fabulous,"1,119 reviews","VND 820,000",
Altara Suites by Ri-Yaz,"16.0775870071389,108.24527756526",3 km from centre,Beachfront,Peace One-Bedroom Suite with Balcony - City View,,2,5 out of 5,8.8,Fabulous,328 reviews,"VND 1,400,000",
Muong Thanh Luxury Da Nang Hotel,"16.0539359834012,108.24745953083",3.5 km from centre,Beachfront,"Superior Twin Room No View, No Window",,2,5 out of 5,8.3,Very good,284 reviews,"VND 1,012,500","Breakfast included,FREE cancellation,• No prepayment needed"
Melia Danang Beach Resort,"15.9996825253986,108.269735276699",9 km from centre,"Beachfront,Private beach",Meliá Guestroom - Double Room (50% Discount on Spa & 15% on F&B),,2,5 out of 5,8.3,Very good,811 reviews,"VND 1,864,799","Breakfast included,FREE cancellation,• No prepayment needed"
Vinpearl Condotel Riverfront Da Nang,"16.076847,108.230959",1.6 km from centre,Beach nearby,Studio Twin Room,,2,5 out of 5,8.9,Fabulous,230 reviews,"VND 1,233,000",Breakfast included
Four Points by Sheraton Danang,"16.077806,108.245025",3 km from centre,Beach nearby,"Superior Twin, Guest room, 2 Twin/Single Bed(s), Bay view",,2,5 out of 5,8.7,Fabulous,465 reviews,"VND 1,443,750",Breakfast included
Robin Hotel Danang,"16.0736386094102,108.242704944914",2.6 km from centre,Beachfront,Superior Queen Room with Two Queen Beds,,2,2 out of 5,8.7,Fabulous,826 reviews,"VND 269,100",
Novotel Danang Premier Han River,"16.0774704052726,108.22390973568",1.1 km from centre,Beach nearby,Superior Twin Room,,2,5 out of 5,8.6,Fabulous,507 reviews,"VND 2,194,500","FREE cancellation,• No prepayment needed"
Calix Hotel,"16.061927,108.237718",2.1 km from centre,Beach nearby,Superior Double Room,,2,3 out of 5,9.1,Superb,275 reviews,"VND 557,175","Breakfast included,FREE cancellation,• No prepayment needed"
Sea Corner Boutique Hotel & Apartment,"16.0529462381175,108.246616115414",3.4 km from centre,Beachfront,Day Use Offer 150 minutes. Extra charge for Overnight stay,,2,3 out of 5,8.7,Fabulous,"1,280 reviews","VND 177,600",
Zalo Sea Hotel,"16.0566548497625,108.245923426407",3.1 km from centre,Beachfront,Deluxe King Room,,2,3 out of 5,9.0,Superb,509 reviews,"VND 225,000","FREE cancellation,• No prepayment needed"
DLG Hotel Danang,"16.0578561638867,108.246646821499",3.2 km from centre,Beachfront,Deluxe Twin Room with Sea View,,2,5 out of 5,8.6,Fabulous,258 reviews,"VND 1,315,762","Breakfast included,FREE cancellation,• No prepayment needed"
Maximilan Danang Beach Hotel,"16.067001,108.245198",2.8 km from centre,Beachfront,Deluxe Twin Room - Afternoon Tea Included,,2,4 out of 5,8.9,Fabulous,205 reviews,"VND 749,700",Breakfast included
Lavender Riverside Hotel,"16.0470691181462,108.222372327",2.4 km from centre,Beach nearby,Studio Apartment with Balcony,,4,3 out of 5,8.2,Very good,719 reviews,"VND 1,039,108",
Hong Phuong Hotel,"16.0741056517246,108.239684679728",2.3 km from centre,Beachfront,Day Use Offer (2 hour) - Extra charge for overnight stay,,2,3 out of 5,9.3,Superb,144 reviews,"VND 165,000","FREE cancellation,• No prepayment needed"
Sea Corner Boutique Hotel & Apartment,"16.0529462381175,108.246616115414",3.4 km from centre,Beachfront,Day Use Offer 150 minutes. Extra charge for Overnight stay,,2,3 out of 5,8.7,Fabulous,"1,280 reviews","VND 177,600",
Serene Beach Danang Hotel & Spa,"16.0535052002516,108.247655332088",3.5 km from centre,Beachfront,Superior Twin Room,,2,4 out of 5,8.4,Very good,221 reviews,"VND 521,091","FREE cancellation,• No prepayment needed"
Happy Day Hotel & Spa,"16.0667356494005,108.224703669548",650 m from centre,Beach nearby,Standard Double Room,,2,2 out of 5,7.8,Good,758 reviews,"VND 294,000","FREE cancellation,• No prepayment needed"
Paris Deli Danang Beach Hotel,"16.0677684388608,108.245085338623",2.8 km from centre,Beachfront,Deluxe Twin Room,,2,4 out of 5,8.7,Fabulous,504 reviews,"VND 858,000",Breakfast included
Muong Thanh Luxury Song Han Hotel,"16.0604027738368,108.216925263405",950 m from centre,Beach nearby,Superior Twin Room with City View,,2,5 out of 5,8.0,Very good,153 reviews,"VND 930,600","Breakfast included,FREE cancellation,• No prepayment needed"
Sofiana My Khe Hotel & Spa,"16.049633,108.247701",3.7 km from centre,Beach nearby,Deluxe Double Room,,2,4 out of 5,9.4,Superb,570 reviews,"VND 769,300","Breakfast included,FREE cancellation,• No prepayment needed"
Gio Bien 2 Hotel,"16.0562437344028,108.245858252048",3.2 km from centre,Beachfront,Deluxe Double Room with Bath,,2,3 out of 5,9.1,Superb,106 reviews,"VND 198,400","FREE cancellation,• No prepayment needed"
Tropical Sea Apartments,"16.0537217,108.2473251",3.5 km from centre,"Beachfront,Private beach",Apartment with Sea View,,4,,8.2,Very good,40 reviews,"VND 940,500","FREE cancellation,• No prepayment needed"
Salmalia Boutique Hotel & Spa,"16.060328,108.245541",3 km from centre,Beachfront,Deluxe Twin Room with Balcony,,2,4 out of 5,9.1,Superb,441 reviews,"VND 826,200","Breakfast included,FREE cancellation,• No prepayment needed"
Lotus Rock Hotel,"16.059828,108.211746",1.2 km from centre,Beach nearby,Small Double Room,,2,2 out of 5,8.0,Very good,118 reviews,"VND 248,000",
Pavilion Hotel,"16.0635025685712,108.244290632185",2.8 km from centre,Beach nearby,Deluxe Twin Room,,2,4 out of 5,8.7,Fabulous,"1,520 reviews","VND 666,000","Breakfast included,FREE cancellation,• No prepayment needed"
Seashore Hotel & Apartment,"16.0892900464925,108.249378777771",4 km from centre,Beachfront,Day Use Offer (1 hour) - Extra charge for overnight stay,,2,4 out of 5,8.8,Fabulous,532 reviews,"VND 198,000",
Monarque Hotel Danang,"16.0676785,108.2452581",2.8 km from centre,Beachfront,Deluxe Double Room,,2,4 out of 5,9.5,Exceptional,778 reviews,"VND 904,800",Breakfast included
Monalisa Apartment,"16.052883479327,108.24650181842",3.4 km from centre,Beach nearby,Apartment with Balcony,,2,3 out of 5,9.2,Superb,119 reviews,"VND 583,000","FREE cancellation,• No prepayment needed"
Samdi Hotel,"16.059505755119,108.207982742792",1.6 km from centre,Beach nearby,Superior Double or Twin Room City View,,2,4 out of 5,8.7,Fabulous,238 reviews,"VND 813,000",Breakfast included
Abogo Resort Villas Luxury Da Nang,"16.0370727556998,108.251103013657",4.9 km from centre,"Beachfront,Private beach",Three-Bedroom Villa - Day Use (150 minutes),,2,5 out of 5,9.6,Exceptional,17 reviews,"VND 538,200","FREE cancellation,• No prepayment needed"
The Shann Hotel,"16.065521,108.244386",2.8 km from centre,Beachfront,Superior Double Room,,2,3 out of 5,8.2,Very good,453 reviews,"VND 216,200","FREE cancellation,• No prepayment needed"
HAMA Boutique Home,"16.060654,108.245186",3 km from centre,Beachfront,Day Use 3 Hours - King Room,,2,2 out of 5,9.4,Superb,156 reviews,"VND 180,200","FREE cancellation,• No prepayment needed"
