hotel_name,hotel_address,hotel_distance_center,hotel_location_features,hotel_room,number_of_rooms,room_occupancy,hotel_star,hotel_score,hotel_score_title,hotel_number_reviews,hotel_price,hotel_offer
Sai Gon Ban Me Hotel,"12.6800224443802,108.044357299805",,,Deluxe Double Room,,2,4 out of 5,7.6,Good,87 reviews,"VND 1,800,000",Breakfast included
Hai Ba Trung Hotel & Spa,"12.6819769244939,108.044240882209",,,Superior Twin Room,,2,5 out of 5,7.4,Good,50 reviews,"VND 1,020,000",
Elephants Hotel,"12.689862,108.048953",,,Superior Double Room,,2,4 out of 5,8.6,Fabulous,16 reviews,"VND 1,115,625","Breakfast included,FREE cancellation,• No prepayment needed"
Coffee Tour Resort,"12.7007204353084,108.060858249664",,,Deluxe Double or Twin Room,,4,3 out of 5,7.6,Good,103 reviews,"VND 887,040",Breakfast included
Khách sạn Hiệp Thạnh,"12.669448,108.044339",,,Standard Double Room,,2,1 out of 5,8.1,Very good,77 reviews,"VND 250,000",
Thanh Mai Hotel,"12.6941257501733,108.062907457352",,,Deluxe Room,,2,3 out of 5,8.3,Very good,288 reviews,"VND 5,000,000",Breakfast included
Hotel An Nhien,"12.6915514870318,108.060905188322",,,Deluxe Room (2 Adults + 1 Child),,2,2 out of 5,7.6,Good,164 reviews,"VND 250,000",
Thanh Ngọc,"12.670657,108.044463",,,Mixed Dormitory Room,,3,,8.8,Fabulous,224 reviews,"VND 410,000",
Nhà Nghỉ THẢO NGUYÊN XANH,"12.6860762536812,108.029979796295",,,Standard King Room,,2,5 out of 5,8.1,Very good,26 reviews,"VND 200,000",
Huyen Nga Hotel,"12.6923322754174,108.058586959724",,,Deluxe Room,,2,,7.4,Good,8 reviews,"VND 550,000",
Zan HomeStay,"12.677216,108.025766",,,Standard Family Room,,2,,8.6,Fabulous,305 reviews,"VND 575,000",
Khu Du Lịch Sinh Thái AkoEa,"12.691963,108.054529",,,Deluxe Double Room,,2,,7.7,Good,9 reviews,"VND 1,200,000",
NICE HOTEL BAN MÊ,"12.681004,108.05388",,,Comfort Quadruple Room,,4,,8.9,Fabulous,15 reviews,"VND 495,000",
Hung Vuong Hotel,"12.6798203,108.0484116",,,Superior Quadruple Room,,4,,7.9,Good,129 reviews,"VND 400,000",
Yangsinghotel,"12.689848,108.055947",,,Deluxe Double or Twin Room,,4,,8.7,Fabulous,3 reviews,"VND 400,000",
AEC Hotel Ban Me,"12.6890351,108.0705053",,,Superior Double Room,,2,3 out of 5,6.9,Review score,75 reviews,"VND 416,500",
Buon Ma Thuot Homestay,"12.717798,108.093294",,,Triple Room with Shared Bathroom,,4,,9.1,Superb,10 reviews,"VND 567,000",
H&T Hotel,"12.6840234512811,108.063046913492",,,Standard Double Room,,2,3 out of 5,7.8,Good,39 reviews,"VND 174,882","FREE cancellation,• No prepayment needed"
Nam Anh Hotel,"12.67019,108.0445",,,Deluxe Room,,4,,8.3,Very good,48 reviews,"VND 650,000",
Khách sạn Hương Mê,"12.660625,108.037624",,,Budget Double Room,,2,,7.8,Good,53 reviews,"VND 250,000",
Thanh Binh Hotel,"12.680309,108.043639",,,Large Double Room,,2,,6.4,Review score,8 reviews,"VND 240,000",
Homestay Vườn Pháp,"12.6662002523942,108.039888263893",,,Two-Bedroom Apartment,,5,,8.5,Very good,32 reviews,"VND 1,200,000","FREE cancellation,• No prepayment needed"
Nhà Khách T284,"12.672768,108.039543",,,Deluxe Room (2 Adults + 1 Child),,2,,7.0,Good,57 reviews,"VND 410,000",
Nhà Nghỉ Hà My,"12.6986087433443,108.060350554562",,,Deluxe Double Room with Balcony,,6,,,,,"VND 250,000",
Cat Phu Hotel,"12.68593027667,108.044196367264",,,Twin Room,,2,,7.7,Good,15 reviews,"VND 350,000",
Cat Phu Hotel,"12.68593027667,108.044196367264",,,Twin Room,,2,,7.7,Good,15 reviews,"VND 350,000",
Khách sạn Yang sing,"12.689839,108.055941",,,Twin Room with Garden View,,4,,,,,"VND 500,000",
Dau Nguon Resort,"12.7007204353084,108.044673800469",,,Superior Double Room,,2,,7.0,Good,37 reviews,"VND 350,000",
Manh Hung Guest House,"12.6666289374415,108.0359849",,,Standard Quadruple Room,,2,,8.3,Very good,98 reviews,"VND 216,000","FREE cancellation,• No prepayment needed"
Amazing House,"12.678456145329,108.027941215344",,,Mixed Dormitory Room,,2,,,,,"VND 160,000",
Ngoc Mai Guesthouse,"12.681537,108.041625",,,Double Room,,2,2 out of 5,8.1,Very good,152 reviews,"VND 190,000",
NHÀ NGHỈ VÂN ANH,"12.665220062041,108.036741265298",,,Budget Double Room,,2,,6.9,Review score,34 reviews,"VND 100,000",
Lys Hotel,"12.6990981926146,108.063423825795",,,Comfort Quadruple Room,,4,2 out of 5,8.2,Very good,42 reviews,"VND 524,646",
daklak homestay,"12.615411518216,108.033714925272",,,One-Bedroom Apartment,,5,,9.3,Superb,6 reviews,"VND 300,000",
Khách Sạn Thiên Phong,"12.704433,108.063367",,,Standard King Room,,2,1 out of 5,8.0,Very good,20 reviews,"VND 230,000",
Tân Sang Motel,"12.917039,108.260741",,,Double Room,,2,,7.4,Good,11 reviews,"VND 180,000",
Nhà Nghỉ Phương Anh,"12.6610374432545,108.039003007271",,,Large Double Room,,2,,8.5,Very good,17 reviews,"VND 190,000",
KHÁCH SẠN HỒNG KÔNG,"12.691515,108.061224",,,Large Double Room,,4,1 out of 5,,,,"VND 350,000",
Đòn Gánh Homestay Buôn Ma Thuột,"12.6731203864186,108.02765966103",,,Queen Room with Garden View,,2,,9.5,Exceptional,4 reviews,"VND 395,000",
Khách sạn Nam Sơn,"12.657402,108.026576",,,Standard King Room,,2,2 out of 5,8.4,Very good,16 reviews,"VND 300,000",
Đen House,"12.696829,108.050536",,,Budget Double or Twin Room,,2,,,,,"VND 350,000",
NHÀ NGHĨ PHÚ LOAN,"12.67412,108.044921",,,Classic Quadruple Room,,2,,,,,"VND 216,000",
Phuong Dung Hotel,"12.658173,108.028701",,,Double Room with Mountain View,,2,,,,,"VND 300,000",
Happy Homestay,"12.67501882599,108.006105517841",,,Budget Double Room,,2,,8.9,Fabulous,96 reviews,"VND 140,000",
Nhà Nghỉ Kim Long,"12.647229,108.030276",,,Double Room,,4,,,,,"VND 180,000",
S Phuot Ban Me Homestay,"12.6524480800566,108.023548025199",,,Double Room with Private Bathroom,,2,,8.0,Very good,8 reviews,"VND 325,000",
Hotel Phu Hai,"12.6940988665933,108.057988633135",,,Standard Double Room,,2,1 out of 5,7.4,Good,5 reviews,"VND 295,000",
Nhà Nghỉ Hoàng Hoa,"12.694849,108.064174",,,Twin Room with Private Bathroom,,2,,7.0,Good,11 reviews,"VND 220,000",
Nhà Nghỉ Hoàng Trang,"12.6121888256032,108.039989774422",,,Double Room,,2,,,,,"VND 150,000",
Family,"12.697781,108.063963",,,Superior Single Room,2 ×,1,3 out of 5,,,,"VND 300,000",
"Nhà nghỉ, homstay Chư Yang Sin","12.666194,108.038247",,,Single Room,2 ×,1,,,,,"VND 400,000",
