hotel_name,hotel_address,hotel_distance_center,hotel_location_features,hotel_room,number_of_rooms,room_occupancy,hotel_star,hotel_score,hotel_score_title,hotel_number_reviews,hotel_price,hotel_offer
The Mira Central Park Hotel,"10.9598853906087,106.833582373589",,,Deluxe King Room with City View - Free Minibar,,2,5 out of 5,8.9,Fabulous,171 reviews,"VND 2,227,500",Breakfast included
Green Bamboo Lodge Resort,"11.4214124392992,107.430367469788",,,Double Room with Garden View,,2,2 out of 5,8.7,Fabulous,581 reviews,"VND 136,000","Breakfast included,FREE cancellation,• No prepayment needed"
Cat Tien Jungle Lodge,"11.4239514184052,107.43118527578",,,Deluxe Twin Room,,2,,7.1,Good,104 reviews,"VND 2,211,280",Breakfast included
Ha Trinh Hotel,"10.9447354204066,106.868786124012",,,Standard Double No Windows,,2,2 out of 5,7.9,Good,179 reviews,"VND 299,000","FREE cancellation,• No prepayment needed"
Loc Thien An Hotel,"10.946876,106.830301",,,Standard King Room,,2,,7.3,Good,74 reviews,"VND 300,000",
Biên Hòa Hotel,"10.950478,106.839872",,,Deluxe Room (2 Adults + 1 Child),,2,2 out of 5,8.6,Fabulous,87 reviews,"VND 450,000",
Bin Hom Hotel,"10.9477810891751,106.828966864387",,,Double Room,,2,,8.2,Very good,141 reviews,"VND 255,200","FREE cancellation,• No prepayment needed"
Green Hope Lodge,"11.4262499307547,107.434079647064",,,Basic Double Room,,2,2 out of 5,9.2,Superb,480 reviews,"VND 162,000",Breakfast included
Eco Floor Bird Song Lodge,"11.4212205153819,107.430155575276",,,Bungalow with Patio,,2,2 out of 5,8.5,Very good,94 reviews,"VND 240,000","Breakfast included,FREE cancellation,• No prepayment needed"
Aurora Hotel Plaza,"10.95730279761,106.844712493254",,,Double Room,,2,4 out of 5,8.2,Very good,39 reviews,"VND 1,351,350","Breakfast included,FREE cancellation,• No prepayment needed"
OYO 991 Duy Anh Hotel,"10.956899,106.808528",,,Standard Double Room,,2,2 out of 5,5.6,Review score,53 reviews,"VND 143,666","FREE cancellation,• No prepayment needed"
Khách sạn Đồng Nai,"10.95765,106.831502",,,Superior Double Room,,2,3 out of 5,7.3,Good,22 reviews,"VND 900,000",Breakfast included
Spirit Garden EcoLodge,"11.4227052492943,107.442983280817",,,Bungalow with Garden View,,2,,9.3,Superb,360 reviews,"VND 264,000",Breakfast included
Sala Lan Anh Hotel,"10.740215,106.940226",,,Deluxe Double Room,,4,5 out of 5,,,,"VND 890,000",
Rice straw Green lodge- resort,"11.4209466255573,107.430783228745",,,One-Bedroom House,,2,,8.3,Very good,19 reviews,"VND 300,000",
Khách Sạn Today,"11.0524428291726,107.170871013214",,,Double Room,,2,2 out of 5,6.7,Review score,4 reviews,"VND 286,000",
Forest Side ecolodge,"11.4226140903906,107.431099573",,,Deluxe Double Room with Balcony,,2,,9.0,Superb,178 reviews,"VND 288,000","Breakfast included,FREE cancellation,• No prepayment needed"
Diamond Hotel Resort,"10.9281,106.816947",,,Double Room with Pool View,,2,,6.0,Review score,8 reviews,"VND 337,500","FREE cancellation,• No prepayment needed"
My Friends,"10.956452,106.80337",,,Double Room,,2,,7.7,Good,12 reviews,"VND 250,000",
Lava Rock Viet Nam Lodge,"11.4211390134052,107.430514991284",,,Queen Room with Balcony,,2,,8.7,Fabulous,126 reviews,"VND 120,000","Breakfast included,FREE cancellation,• No prepayment needed"
Thuy Tien Eco Lodge,"11.4239471789018,107.431802887344",,,Double Room with Garden View,,2,,9.4,Superb,126 reviews,"VND 240,000","Breakfast included,FREE cancellation,• No prepayment needed"
Khách Sạn An Phú,"10.948096,106.988346",,,Deluxe Double Room,,2,3 out of 5,,,,"VND 400,000",
Cat Tien Farm Stay,"11.4191077774469,107.442925447193",,,Standard King Room with Shared Bathroom,,2,3 out of 5,7.6,Good,10 reviews,"VND 500,000","Breakfast included,FREE cancellation,• No prepayment needed"
Cát Tiên Riverside,"11.4230515468576,107.430371807669",,,Bungalow - Water Front,,2,,9.1,Superb,9 reviews,"VND 1,338,750","Breakfast included,FREE cancellation,• No prepayment needed"
HOANG TRI 89 HOTEL,"10.9509092247362,106.834228997734",,,Standard Double Room,,2,,5.9,Review score,11 reviews,"VND 269,750",
Homestay Kim Ngân,"10.920919,107.243977",,,King Room with Garden View,,2,,8.1,Very good,43 reviews,"VND 187,500",
OYO 1131 Truc Lam,"10.952215,106.833522",,,Deluxe Double Room,,2,2 out of 5,4.8,Review score,5 reviews,"VND 149,652","FREE cancellation,• No prepayment needed"
Cat Tien River Lodge,"11.4211674077732,107.430380880833",,,Deluxe Double Room with Garden View,,2,2 out of 5,9.0,Superb,115 reviews,"VND 120,000","Breakfast included,FREE cancellation,• No prepayment needed"
Motel Happy House Nhơn Trạch,"10.755174,106.928066",,,Quadruple Room with Balcony,,4,,,,,"VND 350,000",
Gibbon Singing Home Stay,"11.4251213000684,107.434310088005",,,Deluxe King Room,,2,,8.9,Fabulous,102 reviews,"VND 230,000","Breakfast included,FREE cancellation,• No prepayment needed"
Hotel Như ý Biên Hòa,"10.959250943268,106.790207362715",,,Superior Double Room,,2,,,,,"VND 330,000",
NAM DU Eco Lodge,"11.419015,107.461275",,,Twin Room with Lake View,,2,,,,,"VND 600,000",Breakfast included
The Sky Hotel,"10.9501018784082,107.141638889947",,,Double Room,,2,,7.8,Good,13 reviews,"VND 280,000",
Paradise on the Tree,"11.4214804470671,107.430257950249",,,Bungalow,,2,,8.5,Very good,21 reviews,"VND 460,000","FREE cancellation,• No prepayment needed"
PT BIEN HOA PLAZA,"10.9555580338984,106.872921220615",,,Superior Apartment,,4,,6.0,Review score,3 reviews,"VND 400,000",
Nam Cat Tien Homestay,"11.4254757180556,107.434934619713",,,Deluxe Double Room (2 Adults + 1 Child),,2,,9.2,Superb,18 reviews,"VND 270,000",Breakfast included
Cat Tien National Park Homestay,"11.423959,107.431171",,,King Room with Garden View,,2,,8.7,Fabulous,55 reviews,"VND 150,000","Breakfast included,FREE cancellation,• No prepayment needed"
Sen Motel,"10.9577128812845,106.821122668976",,,Budget Twin Room,,2,,8.0,Very good,22 reviews,"VND 276,000",
Honey Moon River side,"11.4215142075165,107.4303216432",,,Bungalow with Patio,,2,,,,,"VND 550,000","FREE cancellation,• No prepayment needed"
Apartment Trong nhan,"10.918755,107.201629",,,One-Bedroom Apartment,,4,1 out of 5,,,,"VND 350,000",
