hotel_name,hotel_address,hotel_distance_center,hotel_location_features,hotel_room,number_of_rooms,room_occupancy,hotel_star,hotel_score,hotel_score_title,hotel_number_reviews,hotel_price,hotel_offer
THƯ LÊ Hotel,"10.455955,105.633733",,,Deluxe Double Room,,2,,9.1,Superb,47 reviews,"VND 500,000",
Hotel Sao Khuê,"10.2804936519448,105.78022423177",,,Double Room with Lake View,,2,,8.4,Very good,117 reviews,"VND 320,000",
Phuc Hotel,"10.4712946422024,105.644857843269",,,Standard King Room,,2,1 out of 5,8.5,Very good,54 reviews,"VND 259,000","FREE cancellation,• No prepayment needed"
NAM PHUONG HOTEL,"10.289344,105.751558",,,Standard Triple Room,,3,,8.3,Very good,15 reviews,"VND 300,000",
B.O.B Hotel,"10.465408,105.634653",,,Superior King Room,,2,,8.5,Very good,97 reviews,"VND 750,000","FREE cancellation,• No prepayment needed"
Van Kim Long,"10.2892206037097,105.751689793007",,,Superior Double Room,,2,2 out of 5,8.6,Fabulous,38 reviews,"VND 500,000",Breakfast included
KHÁCH SẠN SAO MAI,"10.457373,105.638135",,,Deluxe Triple Room,,3,3 out of 5,7.3,Good,4 reviews,"VND 1,800,000",Breakfast included
Lan Thai Ngoc Hotel,"10.4611381,105.6313972",,,Standard Double Room,,2,,7.7,Good,135 reviews,"VND 250,000",
Mong Yen Hotel,"10.433499781318,105.634746551514",,,Standard Double Room,,2,2 out of 5,6.4,Review score,18 reviews,"VND 240,000",
Khách sạn SAO NAM,"10.471792,105.645722",,,Double Room,,2,,8.8,Fabulous,34 reviews,"VND 370,000",
Hotel Mỹ Anh,"10.30118,105.757124",,,Standard King Room,,2,,8.8,Fabulous,93 reviews,"VND 300,000","FREE cancellation,• No prepayment needed"
SKY HOTEL,"10.8098399412488,105.348338167351",,,Deluxe Double Room with Balcony,,2,3 out of 5,8.8,Fabulous,30 reviews,"VND 770,000","Breakfast included,FREE cancellation,• No prepayment needed"
Life House Hotel - Sa Đéc,"10.306828,105.750861",,,Superior Double Room,,2,,8.4,Very good,41 reviews,"VND 540,000","FREE cancellation,• No prepayment needed"
Flower & Frog Homestay,"10.3144129540764,105.758296642452",,,King Room with Garden View,,2,,8.0,Very good,36 reviews,"VND 400,000",Breakfast included
Hotel Thiện Nhiên,"10.807042,105.347154",,,Standard Double Room,,2,3 out of 5,8.5,Very good,14 reviews,"VND 250,000",
NGUYỄN LONG Hotel,"10.5247501088759,105.846863029186",,,Standard Double Room,,2,1 out of 5,4.6,Review score,5 reviews,"VND 280,000",
Angel Hotel,"10.300948,105.752901",,,Quadruple Room,,4,,8.5,Very good,27 reviews,"VND 380,000",
De Vuong 2,"10.4587512540736,105.641565062106",,,Standard King Room,,2,,7.9,Good,21 reviews,"VND 290,000",
Huynh Duc Hotel,"10.4678725300565,105.634277123179",,,Double Room,,2,1 out of 5,8.6,Fabulous,54 reviews,"VND 327,518",
B.O.B HOTEL SIGNATURE,"10.462688,105.630119",,,Deluxe King Room,,2,,,,,"VND 600,000",
Bong Sen Xanh Hotel,"10.4561377568201,105.640824404462",,,Double Room,,2,,8.1,Very good,23 reviews,"VND 330,000",
Khách Sạn Không Gian Xanh,"10.320281,105.741266",,,Quadruple Room,,4,1 out of 5,,,,"VND 400,000",
Khách sạn Đăng Khoa,"10.466205,105.635965",,,Deluxe Triple Room,,3,,9.2,Superb,48 reviews,"VND 370,000",
KHÁCH SẠN ĐẾ VƯƠNG,"10.456578,105.649992",,,Double Room,,4,,,,,"VND 460,000",
Khách sạn Kim Trang,"10.2833712322054,105.741370286217",,,Standard Double Room,,2,2 out of 5,,,,"VND 410,000",
Khách Sạn Cao Lãnh,"10.441001227835,105.697743920654",,,King Room with Pool View,,2,4 out of 5,,,,"VND 585,000","Breakfast included,FREE cancellation,• No prepayment needed"
Khu Du Lịch Hoa Kiểng Sa Đéc,"10.300995,105.746635",,,Queen Room with Garden View,,2,,,,,"VND 400,000",
Thanh Cong Hotel,"10.307162260274,105.744532048702",,,Small Double Room,,2,1 out of 5,8.5,Very good,7 reviews,"VND 250,000",
Nhất Nguyên Hotel,"10.462877,105.645137",,,Single Room with Shower,2 ×,1,,8.1,Very good,6 reviews,"VND 400,000",
