hotel_id,accommodation_type_name,hotel_name,address,class,review_nr,review_score,is_city_center,latitude,longitude,activity,room_service,spa,pool,price,currency,room_name,room_count,max_occupancy,view,refundable,breakfast_included,half_board,free_parking
1467406,Resorts,Ben Tre Riverside Resort,708 Nguyen Van Tu,4.0,260,8.3,0,10.2226776466876,106.3498022,"Fishing, Bike tours (additional charge), Cycling, Tour or class about local culture (additional charge), Ping-pong, Cooking class (additional charge)",0,0,0,1111500.00,VND,Superior Double or Twin Room with City View,6,2,"Quiet street view, City view",0,1,0,0
1467406,Resorts,Ben Tre Riverside Resort,708 Nguyen Van Tu,4.0,260,8.3,0,10.2226776466876,106.3498022,"Fishing, Bike tours (additional charge), Cycling, Tour or class about local culture (additional charge), Ping-pong, Cooking class (additional charge)",0,0,0,1235000.00,VND,Superior Double or Twin Room with City View,6,2,"Quiet street view, City view",0,1,0,0
1467406,Resorts,Ben Tre Riverside Resort,708 Nguyen Van Tu,4.0,260,8.3,0,10.2226776466876,106.3498022,"Fishing, Bike tours (additional charge), Cycling, Tour or class about local culture (additional charge), Ping-pong, Cooking class (additional charge)",0,0,0,1287000.00,VND,Deluxe Twin Room with River View,3,2,"Pool with a view, River view, Pool view",0,1,0,0
1467406,Resorts,Ben Tre Riverside Resort,708 Nguyen Van Tu,4.0,260,8.3,0,10.2226776466876,106.3498022,"Fishing, Bike tours (additional charge), Cycling, Tour or class about local culture (additional charge), Ping-pong, Cooking class (additional charge)",0,0,0,1287000.00,VND,Deluxe Double Room,2,2,"Pool with a view, River view, Pool view",0,1,0,0
1467406,Resorts,Ben Tre Riverside Resort,708 Nguyen Van Tu,4.0,260,8.3,0,10.2226776466876,106.3498022,"Fishing, Bike tours (additional charge), Cycling, Tour or class about local culture (additional charge), Ping-pong, Cooking class (additional charge)",0,0,0,1430000.00,VND,Deluxe Twin Room with River View,3,2,"Pool with a view, River view, Pool view",0,1,0,0
1467406,Resorts,Ben Tre Riverside Resort,708 Nguyen Van Tu,4.0,260,8.3,0,10.2226776466876,106.3498022,"Fishing, Bike tours (additional charge), Cycling, Tour or class about local culture (additional charge), Ping-pong, Cooking class (additional charge)",0,0,0,1430000.00,VND,Deluxe Double Room,2,2,"Pool with a view, River view, Pool view",0,1,0,0
1467406,Resorts,Ben Tre Riverside Resort,708 Nguyen Van Tu,4.0,260,8.3,0,10.2226776466876,106.3498022,"Fishing, Bike tours (additional charge), Cycling, Tour or class about local culture (additional charge), Ping-pong, Cooking class (additional charge)",0,0,0,1755000.00,VND,Executive Suite,1,2,"Quiet street view, City view",0,1,0,0
1467406,Resorts,Ben Tre Riverside Resort,708 Nguyen Van Tu,4.0,260,8.3,0,10.2226776466876,106.3498022,"Fishing, Bike tours (additional charge), Cycling, Tour or class about local culture (additional charge), Ping-pong, Cooking class (additional charge)",0,0,0,1813500.00,VND,Double or Twin Room with Pool View,1,2,"Pool with a view, River view, Pool view",0,1,0,0
1467406,Resorts,Ben Tre Riverside Resort,708 Nguyen Van Tu,4.0,260,8.3,0,10.2226776466876,106.3498022,"Fishing, Bike tours (additional charge), Cycling, Tour or class about local culture (additional charge), Ping-pong, Cooking class (additional charge)",0,0,0,1930500.00,VND,Executive Suite,1,2,"Pool with a view, River view, Pool view",0,1,0,0
1467406,Resorts,Ben Tre Riverside Resort,708 Nguyen Van Tu,4.0,260,8.3,0,10.2226776466876,106.3498022,"Fishing, Bike tours (additional charge), Cycling, Tour or class about local culture (additional charge), Ping-pong, Cooking class (additional charge)",0,0,0,1950000.00,VND,Executive Suite,1,2,"Quiet street view, City view",0,1,0,0
1467406,Resorts,Ben Tre Riverside Resort,708 Nguyen Van Tu,4.0,260,8.3,0,10.2226776466876,106.3498022,"Fishing, Bike tours (additional charge), Cycling, Tour or class about local culture (additional charge), Ping-pong, Cooking class (additional charge)",0,0,0,2015000.00,VND,Double or Twin Room with Pool View,1,2,"Pool with a view, River view, Pool view",0,1,0,0
1467406,Resorts,Ben Tre Riverside Resort,708 Nguyen Van Tu,4.0,260,8.3,0,10.2226776466876,106.3498022,"Fishing, Bike tours (additional charge), Cycling, Tour or class about local culture (additional charge), Ping-pong, Cooking class (additional charge)",0,0,0,2145000.00,VND,Executive Suite,1,2,"Pool with a view, River view, Pool view",0,1,0,0
1467406,Resorts,Ben Tre Riverside Resort,708 Nguyen Van Tu,4.0,260,8.3,0,10.2226776466876,106.3498022,"Fishing, Bike tours (additional charge), Cycling, Tour or class about local culture (additional charge), Ping-pong, Cooking class (additional charge)",0,0,0,3136500.00,VND,Deluxe Family Room,2,4,"Pool with a view, River view, Pool view",0,1,0,0
1467406,Resorts,Ben Tre Riverside Resort,708 Nguyen Van Tu,4.0,260,8.3,0,10.2226776466876,106.3498022,"Fishing, Bike tours (additional charge), Cycling, Tour or class about local culture (additional charge), Ping-pong, Cooking class (additional charge)",0,0,0,3485000.00,VND,Deluxe Family Room,2,4,"Pool with a view, River view, Pool view",0,1,0,0
1467406,Resorts,Ben Tre Riverside Resort,708 Nguyen Van Tu,4.0,260,8.3,0,10.2226776466876,106.3498022,"Fishing, Bike tours (additional charge), Cycling, Tour or class about local culture (additional charge), Ping-pong, Cooking class (additional charge)",0,0,0,4153500.00,VND,Two-Bedroom Villa,1,4,"Pool with a view, River view, Pool view",0,1,0,0
1467406,Resorts,Ben Tre Riverside Resort,708 Nguyen Van Tu,4.0,260,8.3,0,10.2226776466876,106.3498022,"Fishing, Bike tours (additional charge), Cycling, Tour or class about local culture (additional charge), Ping-pong, Cooking class (additional charge)",0,0,0,4615000.00,VND,Two-Bedroom Villa,1,4,"Pool with a view, River view, Pool view",0,1,0,0
6573623,Hotels,DIAMOND STARS BEN TRE HOTEL," 140 HÙNG VƯƠNG, PHƯỜNG AN HỘI,THÀNH PHỐ BẾN TRE,TỈNH BẾN TRE",4.0,59,8.9,0,10.234447,106.374271,"Tour or class about local culture, Happy hour",0,0,0,849750.00,VND,Superior Twin Room,12,2,City view,0,1,0,0
6573623,Hotels,DIAMOND STARS BEN TRE HOTEL," 140 HÙNG VƯƠNG, PHƯỜNG AN HỘI,THÀNH PHỐ BẾN TRE,TỈNH BẾN TRE",4.0,59,8.9,0,10.234447,106.374271,"Tour or class about local culture, Happy hour",0,0,0,869217.00,VND,Superior Twin Room,12,2,City view,0,1,0,0
6573623,Hotels,DIAMOND STARS BEN TRE HOTEL," 140 HÙNG VƯƠNG, PHƯỜNG AN HỘI,THÀNH PHỐ BẾN TRE,TỈNH BẾN TRE",4.0,59,8.9,0,10.234447,106.374271,"Tour or class about local culture, Happy hour",0,0,0,1049950.00,VND,Deluxe Twin Room,3,2,"River view, City view",0,1,0,0
6573623,Hotels,DIAMOND STARS BEN TRE HOTEL," 140 HÙNG VƯƠNG, PHƯỜNG AN HỘI,THÀNH PHỐ BẾN TRE,TỈNH BẾN TRE",4.0,59,8.9,0,10.234447,106.374271,"Tour or class about local culture, Happy hour",0,0,0,1074003.00,VND,Deluxe Twin Room,3,2,"River view, City view",0,1,0,0
