hotel_id,accommodation_type_name,hotel_name,address,class,review_nr,review_score,is_city_center,latitude,longitude,activity,room_service,spa,pool,price,currency,room_name,room_count,max_occupancy,view,refundable,breakfast_included,half_board,free_parking
3689502,Hotels,Mandala Hotel & Spa Bac Ninh,Kinh Dương Vương,5.0,105,8.7,0,21.188228,106.076679,Themed dinners (additional charge),0,0,0,1200600.00,VND,Deluxe Single Room,20,1,Quiet street view,0,1,0,0
3689502,Hotels,Mandala Hotel & Spa Bac Ninh,Kinh Dương Vương,5.0,105,8.7,0,21.188228,106.076679,Themed dinners (additional charge),0,0,0,1468800.00,VND,Deluxe Room,10,2,"Inner courtyard view, Quiet street view, City view, Garden view",0,1,0,0
3689502,Hotels,Mandala Hotel & Spa Bac Ninh,Kinh Dương Vương,5.0,105,8.7,0,21.188228,106.076679,Themed dinners (additional charge),0,0,0,1490400.00,VND,Deluxe Twin Room,5,2,"Inner courtyard view, Quiet street view, City view, Garden view",0,1,0,0
3689502,Hotels,Mandala Hotel & Spa Bac Ninh,Kinh Dương Vương,5.0,105,8.7,0,21.188228,106.076679,Themed dinners (additional charge),0,0,0,1490400.00,VND,Deluxe Twin Room,5,2,"Inner courtyard view, Quiet street view, City view, Garden view",0,1,0,0
3689502,Hotels,Mandala Hotel & Spa Bac Ninh,Kinh Dương Vương,5.0,105,8.7,0,21.188228,106.076679,Themed dinners (additional charge),0,0,0,1513800.00,VND,Executive Suite,10,1,Quiet street view,0,1,0,0
3689502,Hotels,Mandala Hotel & Spa Bac Ninh,Kinh Dương Vương,5.0,105,8.7,0,21.188228,106.076679,Themed dinners (additional charge),0,0,0,1526400.00,VND,Deluxe Room,10,2,"Inner courtyard view, Quiet street view, City view, Garden view",0,1,0,0
3689502,Hotels,Mandala Hotel & Spa Bac Ninh,Kinh Dương Vương,5.0,105,8.7,0,21.188228,106.076679,Themed dinners (additional charge),0,0,0,1670400.00,VND,Deluxe Apartment,10,2,Quiet street view,0,1,0,0
3689502,Hotels,Mandala Hotel & Spa Bac Ninh,Kinh Dương Vương,5.0,105,8.7,0,21.188228,106.076679,Themed dinners (additional charge),0,0,0,1782000.00,VND,Junior Suite,10,2,"Inner courtyard view, Quiet street view, City view, Garden view",0,1,0,0
3689502,Hotels,Mandala Hotel & Spa Bac Ninh,Kinh Dương Vương,5.0,105,8.7,0,21.188228,106.076679,Themed dinners (additional charge),0,0,0,1782000.00,VND,Executive Suite,10,2,"Inner courtyard view, Quiet street view, City view, Garden view",0,1,0,0
3689502,Hotels,Mandala Hotel & Spa Bac Ninh,Kinh Dương Vương,5.0,105,8.7,0,21.188228,106.076679,Themed dinners (additional charge),0,0,0,1846800.00,VND,Executive Suite,10,2,"Inner courtyard view, Quiet street view, City view, Garden view",0,1,0,0
3689502,Hotels,Mandala Hotel & Spa Bac Ninh,Kinh Dương Vương,5.0,105,8.7,0,21.188228,106.076679,Themed dinners (additional charge),0,0,0,1846800.00,VND,Junior Suite,10,2,"Inner courtyard view, Quiet street view, City view, Garden view",0,1,0,0
3689502,Hotels,Mandala Hotel & Spa Bac Ninh,Kinh Dương Vương,5.0,105,8.7,0,21.188228,106.076679,Themed dinners (additional charge),0,0,0,2070000.00,VND,Deluxe Single Room,20,1,Quiet street view,0,1,0,0
3689502,Hotels,Mandala Hotel & Spa Bac Ninh,Kinh Dương Vương,5.0,105,8.7,0,21.188228,106.076679,Themed dinners (additional charge),0,0,0,2610000.00,VND,Executive Suite,10,1,Quiet street view,0,1,0,0
3689502,Hotels,Mandala Hotel & Spa Bac Ninh,Kinh Dương Vương,5.0,105,8.7,0,21.188228,106.076679,Themed dinners (additional charge),0,0,0,2880000.00,VND,Deluxe Apartment,10,2,Quiet street view,0,1,0,0
3689502,Hotels,Mandala Hotel & Spa Bac Ninh,Kinh Dương Vương,5.0,105,8.7,0,21.188228,106.076679,Themed dinners (additional charge),0,0,0,3847500.00,VND,One-Bedroom Suite,3,3,"Inner courtyard view, Quiet street view, City view, Garden view",0,1,0,0
3689502,Hotels,Mandala Hotel & Spa Bac Ninh,Kinh Dương Vương,5.0,105,8.7,0,21.188228,106.076679,Themed dinners (additional charge),0,0,0,3847500.00,VND,One-Bedroom Suite,3,2,"Inner courtyard view, Quiet street view, City view, Garden view",0,1,0,0
3689502,Hotels,Mandala Hotel & Spa Bac Ninh,Kinh Dương Vương,5.0,105,8.7,0,21.188228,106.076679,Themed dinners (additional charge),0,0,0,4131000.00,VND,One-Bedroom Suite,3,3,"Inner courtyard view, Quiet street view, City view, Garden view",0,1,0,0
