hotel_id,accommodation_type_name,hotel_name,address,class,review_nr,review_score,is_city_center,latitude,longitude,activity,room_service,spa,pool,price,currency,room_name,room_count,max_occupancy,view,refundable,breakfast_included,half_board,free_parking
1979491,Hotels,Vinpearl Hotel Can Tho,"209, 30/4 Road, Xuan Khanh Ward, Ninh Kieu District",5.0,1368,9.2,0,10.0246731414993,105.774492323399,"Live sports events (broadcast), Live music/Performance, Happy hour (additional charge)",0,0,0,1200000.00,VND,Deluxe King City View,20,2,City view,0,1,0,1
1979491,Hotels,Vinpearl Hotel Can Tho,"209, 30/4 Road, Xuan Khanh Ward, Ninh Kieu District",5.0,1368,9.2,0,10.0246731414993,105.774492323399,"Live sports events (broadcast), Live music/Performance, Happy hour (additional charge)",0,0,0,1200000.00,VND,Deluxe Twin City View,10,2,City view,0,1,0,1
1979491,Hotels,Vinpearl Hotel Can Tho,"209, 30/4 Road, Xuan Khanh Ward, Ninh Kieu District",5.0,1368,9.2,0,10.0246731414993,105.774492323399,"Live sports events (broadcast), Live music/Performance, Happy hour (additional charge)",0,0,0,1350000.00,VND,Deluxe King River View,10,2,River view,0,1,0,1
1979491,Hotels,Vinpearl Hotel Can Tho,"209, 30/4 Road, Xuan Khanh Ward, Ninh Kieu District",5.0,1368,9.2,0,10.0246731414993,105.774492323399,"Live sports events (broadcast), Live music/Performance, Happy hour (additional charge)",0,0,0,1350000.00,VND,Deluxe Twin River View,10,2,River view,0,1,0,1
1979491,Hotels,Vinpearl Hotel Can Tho,"209, 30/4 Road, Xuan Khanh Ward, Ninh Kieu District",5.0,1368,9.2,0,10.0246731414993,105.774492323399,"Live sports events (broadcast), Live music/Performance, Happy hour (additional charge)",0,0,0,1800000.00,VND,Deluxe King City View,20,2,City view,1,1,0,1
1979491,Hotels,Vinpearl Hotel Can Tho,"209, 30/4 Road, Xuan Khanh Ward, Ninh Kieu District",5.0,1368,9.2,0,10.0246731414993,105.774492323399,"Live sports events (broadcast), Live music/Performance, Happy hour (additional charge)",0,0,0,1800000.00,VND,Deluxe Twin City View,10,2,City view,1,1,0,1
1979491,Hotels,Vinpearl Hotel Can Tho,"209, 30/4 Road, Xuan Khanh Ward, Ninh Kieu District",5.0,1368,9.2,0,10.0246731414993,105.774492323399,"Live sports events (broadcast), Live music/Performance, Happy hour (additional charge)",0,0,0,2400000.00,VND,Deluxe Twin River View,10,2,River view,1,1,0,1
1979491,Hotels,Vinpearl Hotel Can Tho,"209, 30/4 Road, Xuan Khanh Ward, Ninh Kieu District",5.0,1368,9.2,0,10.0246731414993,105.774492323399,"Live sports events (broadcast), Live music/Performance, Happy hour (additional charge)",0,0,0,2400000.00,VND,Deluxe King River View,10,2,River view,1,1,0,1
4767879,Resorts,Can Tho Ecolodge,"542, Area No.3, Ba Lang Ward, Cai Rang District",4.0,374,8.7,0,9.98765698238468,105.740094843269,"Hiking (additional charge), Bike tours (additional charge), Walking tours (additional charge), Fishing (additional charge), Cooking class (additional charge), Tour or class about local culture (additional charge), Happy hour (additional charge), Cycling",0,0,0,1466300.00,VND,Superior Deluxe Double or Twin Room ,10,2,"Inner courtyard view, Garden view",1,1,0,1
4767879,Resorts,Can Tho Ecolodge,"542, Area No.3, Ba Lang Ward, Cai Rang District",4.0,374,8.7,0,9.98765698238468,105.740094843269,"Hiking (additional charge), Bike tours (additional charge), Walking tours (additional charge), Fishing (additional charge), Cooking class (additional charge), Tour or class about local culture (additional charge), Happy hour (additional charge), Cycling",0,0,0,1655500.00,VND,Deluxe Twin Room,5,2,"Inner courtyard view, Garden view",1,1,0,1
4767879,Resorts,Can Tho Ecolodge,"542, Area No.3, Ba Lang Ward, Cai Rang District",4.0,374,8.7,0,9.98765698238468,105.740094843269,"Hiking (additional charge), Bike tours (additional charge), Walking tours (additional charge), Fishing (additional charge), Cooking class (additional charge), Tour or class about local culture (additional charge), Happy hour (additional charge), Cycling",0,0,0,1655500.00,VND,Deluxe Double Room,5,2,"Inner courtyard view, Garden view",1,1,0,1
4767879,Resorts,Can Tho Ecolodge,"542, Area No.3, Ba Lang Ward, Cai Rang District",4.0,374,8.7,0,9.98765698238468,105.740094843269,"Hiking (additional charge), Bike tours (additional charge), Walking tours (additional charge), Fishing (additional charge), Cooking class (additional charge), Tour or class about local culture (additional charge), Happy hour (additional charge), Cycling",0,0,0,2175800.00,VND,Deluxe Triple Room,3,3,"Inner courtyard view, Garden view",1,1,0,1
4767879,Resorts,Can Tho Ecolodge,"542, Area No.3, Ba Lang Ward, Cai Rang District",4.0,374,8.7,0,9.98765698238468,105.740094843269,"Hiking (additional charge), Bike tours (additional charge), Walking tours (additional charge), Fishing (additional charge), Cooking class (additional charge), Tour or class about local culture (additional charge), Happy hour (additional charge), Cycling",0,0,0,3311000.00,VND,Deluxe Family Room,4,4,"Inner courtyard view, Garden view",1,1,0,1
1268107,Hotels,West Hotel,88-90-92 Hai Ba Trung,4.0,838,8.0,0,10.028609,105.78704,,0,0,0,783000.00,VND,Superior Double Room,8,2,"Pool with a view, Quiet street view, City view",1,1,0,1
1268107,Hotels,West Hotel,88-90-92 Hai Ba Trung,4.0,838,8.0,0,10.028609,105.78704,,0,0,0,895500.00,VND,Deluxe Double Room,5,2,,1,1,0,1
1268107,Hotels,West Hotel,88-90-92 Hai Ba Trung,4.0,838,8.0,0,10.028609,105.78704,,0,0,0,895500.00,VND,Deluxe Twin Room,5,2,"Pool with a view, River view, City view",1,0,0,1
1268107,Hotels,West Hotel,88-90-92 Hai Ba Trung,4.0,838,8.0,0,10.028609,105.78704,,0,0,0,960000.00,VND,Superior Single Room,5,1,"Pool with a view, City view",1,1,0,1
1268107,Hotels,West Hotel,88-90-92 Hai Ba Trung,4.0,838,8.0,0,10.028609,105.78704,,0,0,0,1453500.00,VND,Junior Suite,2,2,"Pool with a view, River view, Quiet street view, City view",1,1,0,1
1268107,Hotels,West Hotel,88-90-92 Hai Ba Trung,4.0,838,8.0,0,10.028609,105.78704,,0,0,0,2013750.00,VND,Suite,2,2,"Pool with a view, River view, City view",1,1,0,1
1362671,Hotels,Muong Thanh Luxury Can Tho Hotel,"Area E1, Cai Khe River, Cai Khe Ward, Ninh Kieu Distrist",5.0,526,8.1,0,10.0427837518029,105.790036453476,"Tour or class about local culture (additional charge), Tennis court (additional charge), Ping-pong",0,0,0,1354500.00,VND,Deluxe Twin Room,10,2,City view,0,1,0,1
1362671,Hotels,Muong Thanh Luxury Can Tho Hotel,"Area E1, Cai Khe River, Cai Khe Ward, Ninh Kieu Distrist",5.0,526,8.1,0,10.0427837518029,105.790036453476,"Tour or class about local culture (additional charge), Tennis court (additional charge), Ping-pong",0,0,0,1354500.00,VND,Deluxe Double Room,5,2,City view,0,1,0,1
1362671,Hotels,Muong Thanh Luxury Can Tho Hotel,"Area E1, Cai Khe River, Cai Khe Ward, Ninh Kieu Distrist",5.0,526,8.1,0,10.0427837518029,105.790036453476,"Tour or class about local culture (additional charge), Tennis court (additional charge), Ping-pong",0,0,0,1741500.00,VND,Deluxe Triple Room,3,3,"River view, City view",0,1,0,1
