hotel_id,accommodation_type_name,hotel_name,address,class,review_nr,review_score,is_city_center,latitude,longitude,activity,room_service,spa,pool,price,currency,room_name,room_count,max_occupancy,view,refundable,breakfast_included,half_board,free_parking
5443031,Bed and Breakfasts,Tà Đùng Topview Homestay,"thôn 3 xã daksom,huyện dak glong,gia nghia dak nong",0.0,25,6.8,0,11.979612,107.581583,Themed dinners (additional charge),0,0,0,1060000.00,VND,Deluxe Double Room,6,2,"Mountain view, Landmark view, Lake view, Pool view",0,0,0,0
5443031,Bed and Breakfasts,Tà Đùng Topview Homestay,"thôn 3 xã daksom,huyện dak glong,gia nghia dak nong",0.0,25,6.8,0,11.979612,107.581583,Themed dinners (additional charge),0,0,0,1530000.00,VND,Bungalow with Garden View,2,4,Garden view,0,0,0,0
5443031,Bed and Breakfasts,Tà Đùng Topview Homestay,"thôn 3 xã daksom,huyện dak glong,gia nghia dak nong",0.0,25,6.8,0,11.979612,107.581583,Themed dinners (additional charge),0,0,0,1650000.00,VND,Family Room with Lake View,10,4,"Mountain view, Landmark view, Lake view, Pool view",0,0,0,0
5443031,Bed and Breakfasts,Tà Đùng Topview Homestay,"thôn 3 xã daksom,huyện dak glong,gia nghia dak nong",0.0,25,6.8,0,11.979612,107.581583,Themed dinners (additional charge),0,0,0,2350000.00,VND,King Suite with Pool View,1,2,"Landmark view, Lake view, Mountain view",0,0,0,0
2573089,Hotels,Sai Gon Dak Nong Hotel,"161 Ton Duc Thang Street, Gia Nghia, Dak Nong 161",2.0,105,6.3,0,12.0163021897412,107.687564492226,,0,0,0,300000.00,VND,Double Room with Lake View,10,2,"Landmark view, Quiet street view, City view, Lake view, Mountain view, Garden view",0,0,0,0
2573089,Hotels,Sai Gon Dak Nong Hotel,"161 Ton Duc Thang Street, Gia Nghia, Dak Nong 161",2.0,105,6.3,0,12.0163021897412,107.687564492226,,0,0,0,300000.00,VND,Large Double Room,5,2,"Landmark view, Quiet street view, City view, Lake view, Mountain view, Garden view",0,0,0,0
2573089,Hotels,Sai Gon Dak Nong Hotel,"161 Ton Duc Thang Street, Gia Nghia, Dak Nong 161",2.0,105,6.3,0,12.0163021897412,107.687564492226,,0,0,0,400000.00,VND,Twin Room with Lake View,4,2,"Landmark view, Quiet street view, City view, Lake view, Mountain view, Garden view",0,0,0,0
2573089,Hotels,Sai Gon Dak Nong Hotel,"161 Ton Duc Thang Street, Gia Nghia, Dak Nong 161",2.0,105,6.3,0,12.0163021897412,107.687564492226,,0,0,0,450000.00,VND,Standard Family Room,2,3,"Landmark view, Quiet street view, City view, Lake view, Mountain view, Garden view",0,0,0,0
2573089,Hotels,Sai Gon Dak Nong Hotel,"161 Ton Duc Thang Street, Gia Nghia, Dak Nong 161",2.0,105,6.3,0,12.0163021897412,107.687564492226,,0,0,0,500000.00,VND,Double Room with Balcony,2,2,,0,0,0,0
2573089,Hotels,Sai Gon Dak Nong Hotel,"161 Ton Duc Thang Street, Gia Nghia, Dak Nong 161",2.0,105,6.3,0,12.0163021897412,107.687564492226,,0,0,0,600000.00,VND,Quadruple Room with Mountain View,4,4,"Landmark view, Quiet street view, City view, Lake view, Mountain view, Garden view",0,0,0,0
2573089,Hotels,Sai Gon Dak Nong Hotel,"161 Ton Duc Thang Street, Gia Nghia, Dak Nong 161",2.0,105,6.3,0,12.0163021897412,107.687564492226,,0,0,0,600000.00,VND,Quadruple Room with Mountain View,2,2,,0,0,0,0
2573089,Hotels,Sai Gon Dak Nong Hotel,"161 Ton Duc Thang Street, Gia Nghia, Dak Nong 161",2.0,105,6.3,0,12.0163021897412,107.687564492226,,0,0,0,700000.00,VND,Family Room with Lake View,2,4,"Landmark view, Quiet street view, City view, Lake view, Mountain view, Garden view",0,0,0,0
2573089,Hotels,Sai Gon Dak Nong Hotel,"161 Ton Duc Thang Street, Gia Nghia, Dak Nong 161",2.0,105,6.3,0,12.0163021897412,107.687564492226,,0,0,0,700000.00,VND,King Room with Lake View,2,2,,0,0,0,0
2573089,Hotels,Sai Gon Dak Nong Hotel,"161 Ton Duc Thang Street, Gia Nghia, Dak Nong 161",2.0,105,6.3,0,12.0163021897412,107.687564492226,,0,0,0,1000000.00,VND,Quadruple Room with Lake View,1,4,"Landmark view, Quiet street view, City view, Lake view, Mountain view, Garden view",0,0,0,0
2573089,Hotels,Sai Gon Dak Nong Hotel,"161 Ton Duc Thang Street, Gia Nghia, Dak Nong 161",2.0,105,6.3,0,12.0163021897412,107.687564492226,,0,0,0,1000000.00,VND,Superior King Suite,1,2,"Landmark view, Quiet street view, City view, Lake view, Mountain view, Garden view",0,0,0,0
3813020,Country Houses,Montagnards Home Farm,"74 thôn 9A, Dak Lao, Dak Mil, Dak Nong",0.0,23,9.2,0,12.596484,107.645208,"Hiking (additional charge), Walking tours",0,0,0,184000.00,VND,Single Bed in 10-Bed Dormitory Room,20,1,"Inner courtyard view, Quiet street view, Mountain view, Garden view",0,0,0,0
3813020,Country Houses,Montagnards Home Farm,"74 thôn 9A, Dak Lao, Dak Mil, Dak Nong",0.0,23,9.2,0,12.596484,107.645208,"Hiking (additional charge), Walking tours",0,0,0,414000.00,VND,Double Room with Garden View,1,2,"Inner courtyard view, Quiet street view, Garden view",0,1,0,0
3813020,Country Houses,Montagnards Home Farm,"74 thôn 9A, Dak Lao, Dak Mil, Dak Nong",0.0,23,9.2,0,12.596484,107.645208,"Hiking (additional charge), Walking tours",0,0,0,414000.00,VND,Double Room with Garden View,1,2,"Inner courtyard view, Quiet street view, Garden view",0,1,0,0
6808747,Homestays,Nhà Nghỉ Minh Đạo,ĐăkSom- Đăk Glong- Đăk Nông,0.0,9,7.6,0,11.874558822403,107.923703607234,,0,0,0,202500.00,VND,Standard King Room,10,1,,0,0,0,0
6808747,Homestays,Nhà Nghỉ Minh Đạo,ĐăkSom- Đăk Glong- Đăk Nông,0.0,9,7.6,0,11.874558822403,107.923703607234,,0,0,0,225000.00,VND,Standard King Room,10,2,,0,0,0,0
6808747,Homestays,Nhà Nghỉ Minh Đạo,ĐăkSom- Đăk Glong- Đăk Nông,0.0,9,7.6,0,11.874558822403,107.923703607234,,0,0,0,280000.00,VND,King Room with Two King Beds,2,1,,0,0,0,0
6808747,Homestays,Nhà Nghỉ Minh Đạo,ĐăkSom- Đăk Glong- Đăk Nông,0.0,9,7.6,0,11.874558822403,107.923703607234,,0,0,0,297500.00,VND,King Room with Two King Beds,2,2,,0,0,0,0
6808747,Homestays,Nhà Nghỉ Minh Đạo,ĐăkSom- Đăk Glong- Đăk Nông,0.0,9,7.6,0,11.874558822403,107.923703607234,,0,0,0,315000.00,VND,King Room with Two King Beds,2,3,,0,0,0,0
6808747,Homestays,Nhà Nghỉ Minh Đạo,ĐăkSom- Đăk Glong- Đăk Nông,0.0,9,7.6,0,11.874558822403,107.923703607234,,0,0,0,350000.00,VND,King Room with Two King Beds,2,4,,0,0,0,0
4535200,Lodges,MeGarden Daknong,"Nhà thờ Nhân Cơ, Dăk Rlap, Daknong",0.0,8,9.2,0,11.9770669086722,107.636382440475,,0,0,0,800000.00,VND,Two-Bedroom Villa,2,2,"Inner courtyard view, Garden view",0,0,0,0
4535200,Lodges,MeGarden Daknong,"Nhà thờ Nhân Cơ, Dăk Rlap, Daknong",0.0,8,9.2,0,11.9770669086722,107.636382440475,,0,0,0,900000.00,VND,Two-Bedroom Villa,1,2,"Inner courtyard view, Mountain view, Garden view",0,0,0,0
4535200,Lodges,MeGarden Daknong,"Nhà thờ Nhân Cơ, Dăk Rlap, Daknong",0.0,8,9.2,0,11.9770669086722,107.636382440475,,0,0,0,1000000.00,VND,Two-Bedroom Villa,2,3,"Inner courtyard view, Garden view",0,0,0,0
4535200,Lodges,MeGarden Daknong,"Nhà thờ Nhân Cơ, Dăk Rlap, Daknong",0.0,8,9.2,0,11.9770669086722,107.636382440475,,0,0,0,1100000.00,VND,Two-Bedroom Villa,1,3,"Inner courtyard view, Mountain view, Garden view",0,0,0,0
4535200,Lodges,MeGarden Daknong,"Nhà thờ Nhân Cơ, Dăk Rlap, Daknong",0.0,8,9.2,0,11.9770669086722,107.636382440475,,0,0,0,1200000.00,VND,Two-Bedroom Villa,2,4,"Inner courtyard view, Garden view",0,0,0,0
4535200,Lodges,MeGarden Daknong,"Nhà thờ Nhân Cơ, Dăk Rlap, Daknong",0.0,8,9.2,0,11.9770669086722,107.636382440475,,0,0,0,1300000.00,VND,Two-Bedroom Villa,1,4,"Inner courtyard view, Mountain view, Garden view",0,0,0,0
4915956,Villas,Megarden Thung Lũng,"QL 14, Thôn 8, Nhân Cơ, Đắk R'Lấp",0.0,2,,0,11.945727988384,107.650659275647,,0,0,0,1500000.00,VND,Villa with Garden View,2,4,"Mountain view, Garden view",0,0,0,0
4915956,Villas,Megarden Thung Lũng,"QL 14, Thôn 8, Nhân Cơ, Đắk R'Lấp",0.0,2,,0,11.945727988384,107.650659275647,,0,0,0,1700000.00,VND,Villa with Garden View,2,5,"Mountain view, Garden view",0,0,0,0
