hotel_id,accommodation_type_name,hotel_name,address,class,review_nr,review_score,is_city_center,latitude,longitude,activity,room_service,spa,pool,price,currency,room_name,room_count,max_occupancy,view,refundable,breakfast_included,half_board,free_parking
6787825,Hotels,THƯ LÊ Hotel,"Số PG2-01,PG2-02 TRUNG TÂM THƯƠNG MẠI VINCOM CAO LÃNH,ĐƯỜNG 30/04,PHƯỜNG 1,TP CAO LÃNH,ĐỒNG THÁP.",0.0,51,9.1,0,10.455955,105.633733,,0,0,0,405000.00,VND,Deluxe Double Room,4,2,City view,0,0,0,0
6787825,Hotels,THƯ LÊ Hotel,"Số PG2-01,PG2-02 TRUNG TÂM THƯƠNG MẠI VINCOM CAO LÃNH,ĐƯỜNG 30/04,PHƯỜNG 1,TP CAO LÃNH,ĐỒNG THÁP.",0.0,51,9.1,0,10.455955,105.633733,,0,0,0,450000.00,VND,Deluxe Double Room,4,2,City view,0,0,0,0
6787825,Hotels,THƯ LÊ Hotel,"Số PG2-01,PG2-02 TRUNG TÂM THƯƠNG MẠI VINCOM CAO LÃNH,ĐƯỜNG 30/04,PHƯỜNG 1,TP CAO LÃNH,ĐỒNG THÁP.",0.0,51,9.1,0,10.455955,105.633733,,0,0,0,558000.00,VND,Standard King Room,1,2,City view,0,0,0,0
6787825,Hotels,THƯ LÊ Hotel,"Số PG2-01,PG2-02 TRUNG TÂM THƯƠNG MẠI VINCOM CAO LÃNH,ĐƯỜNG 30/04,PHƯỜNG 1,TP CAO LÃNH,ĐỒNG THÁP.",0.0,51,9.1,0,10.455955,105.633733,,0,0,0,675000.00,VND,Superior Deluxe Double or Twin Room ,1,4,,0,0,0,0
5047082,Hotels,B.O.B Hotel,Tôn Đức Thắng 105,0.0,99,8.5,0,10.465408,105.634653,Live sports events (broadcast),0,0,0,450000.00,VND,Deluxe King Room,2,2,City view,1,0,0,0
5047082,Hotels,B.O.B Hotel,Tôn Đức Thắng 105,0.0,99,8.5,0,10.465408,105.634653,Live sports events (broadcast),0,0,0,550000.00,VND,Double Room with Private Bathroom,1,2,Quiet street view,1,0,0,0
5047082,Hotels,B.O.B Hotel,Tôn Đức Thắng 105,0.0,99,8.5,0,10.465408,105.634653,Live sports events (broadcast),0,0,0,550000.00,VND,Deluxe King Room,1,2,,1,0,0,0
5047082,Hotels,B.O.B Hotel,Tôn Đức Thắng 105,0.0,99,8.5,0,10.465408,105.634653,Live sports events (broadcast),0,0,0,580000.00,VND,Double Room with Private Bathroom,1,2,"Quiet street view, City view",1,0,0,0
5047082,Hotels,B.O.B Hotel,Tôn Đức Thắng 105,0.0,99,8.5,0,10.465408,105.634653,Live sports events (broadcast),0,0,0,750000.00,VND,Superior King Room,1,2,"Landmark view, Lake view, City view",1,0,0,0
5047082,Hotels,B.O.B Hotel,Tôn Đức Thắng 105,0.0,99,8.5,0,10.465408,105.634653,Live sports events (broadcast),0,0,0,750000.00,VND,Double Room with Private Bathroom,1,2,"Landmark view, Lake view, City view",1,0,0,0
5047082,Hotels,B.O.B Hotel,Tôn Đức Thắng 105,0.0,99,8.5,0,10.465408,105.634653,Live sports events (broadcast),0,0,0,2000000.00,VND,Presidential Suite,1,2,"Landmark view, Lake view, City view",1,0,0,0
5047082,Hotels,B.O.B Hotel,Tôn Đức Thắng 105,0.0,99,8.5,0,10.465408,105.634653,Live sports events (broadcast),0,0,0,2000000.00,VND,Presidential Suite,1,2,"Landmark view, Lake view, City view",1,0,0,0
