hotel_id,accommodation_type_name,hotel_name,address,class,review_nr,review_score,is_city_center,latitude,longitude,activity,room_service,spa,pool,price,currency,room_name,room_count,max_occupancy,view,refundable,breakfast_included,half_board,free_parking
7013346,Hotels,Ánh Dương Homestay,"Ấp Tầm Vu 1, xã Thạnh Hòa, huyện Phụng Hiệp, tỉnh Hậu Giang",2.0,6,9.0,0,9.896777,105.667714,Cycling,0,0,0,184500.00,VND,Budget Double Room,20,2,"Garden view, Inner courtyard view",0,0,0,0
7013346,Hotels,Ánh Dương Homestay,"Ấp Tầm Vu 1, xã Thạnh Hòa, huyện Phụng Hiệp, tỉnh Hậu Giang",2.0,6,9.0,0,9.896777,105.667714,Cycling,0,0,0,199260.00,VND,Double Room with Patio,10,1,"Garden view, Inner courtyard view",0,0,0,0
7013346,Hotels,Ánh Dương Homestay,"Ấp Tầm Vu 1, xã Thạnh Hòa, huyện Phụng Hiệp, tỉnh Hậu Giang",2.0,6,9.0,0,9.896777,105.667714,Cycling,0,0,0,236160.00,VND,Family Room with Terrace,10,1,"Garden view, Inner courtyard view",0,0,0,0
7013346,Hotels,Ánh Dương Homestay,"Ấp Tầm Vu 1, xã Thạnh Hòa, huyện Phụng Hiệp, tỉnh Hậu Giang",2.0,6,9.0,0,9.896777,105.667714,Cycling,0,0,0,250920.00,VND,Family Room with Terrace,10,2,"Garden view, Inner courtyard view",0,0,0,0
7013346,Hotels,Ánh Dương Homestay,"Ấp Tầm Vu 1, xã Thạnh Hòa, huyện Phụng Hiệp, tỉnh Hậu Giang",2.0,6,9.0,0,9.896777,105.667714,Cycling,0,0,0,265680.00,VND,Family Room with Terrace,10,3,"Garden view, Inner courtyard view",0,0,0,0
7013346,Hotels,Ánh Dương Homestay,"Ấp Tầm Vu 1, xã Thạnh Hòa, huyện Phụng Hiệp, tỉnh Hậu Giang",2.0,6,9.0,0,9.896777,105.667714,Cycling,0,0,0,295200.00,VND,Family Room with Terrace,10,4,"Garden view, Inner courtyard view",0,0,0,0
4252493,Farm Stays,Mekong Delta Ricefield Lodge,"Truong Phu 1, Truong Long Ward, Phong Dien District, Can Tho City, Vietnam Ấp Trường Phú 1, xã Trường Long, Huyện Phong Điền, Thành phố Cần Thơ",0.0,37,9.9,0,9.98199279728116,105.601676901539,"Tour or class about local culture, Cooking class (additional charge), Hiking, Bike tours, Fishing, Canoeing, Themed dinners (additional charge), Walking tours, Cycling",0,0,0,843600.00,VND,Superior Queen Room,2,1,"Garden view, Inner courtyard view, Pool with a view, Pool view",0,1,0,1
4252493,Farm Stays,Mekong Delta Ricefield Lodge,"Truong Phu 1, Truong Long Ward, Phong Dien District, Can Tho City, Vietnam Ấp Trường Phú 1, xã Trường Long, Huyện Phong Điền, Thành phố Cần Thơ",0.0,37,9.9,0,9.98199279728116,105.601676901539,"Tour or class about local culture, Cooking class (additional charge), Hiking, Bike tours, Fishing, Canoeing, Themed dinners (additional charge), Walking tours, Cycling",0,0,0,888000.00,VND,Superior Queen Room,2,2,"Garden view, Inner courtyard view, Pool with a view, Pool view",0,1,0,1
4252493,Farm Stays,Mekong Delta Ricefield Lodge,"Truong Phu 1, Truong Long Ward, Phong Dien District, Can Tho City, Vietnam Ấp Trường Phú 1, xã Trường Long, Huyện Phong Điền, Thành phố Cần Thơ",0.0,37,9.9,0,9.98199279728116,105.601676901539,"Tour or class about local culture, Cooking class (additional charge), Hiking, Bike tours, Fishing, Canoeing, Themed dinners (additional charge), Walking tours, Cycling",0,0,0,949050.00,VND,Twin Room with Pool View,1,1,"Garden view, Inner courtyard view, Pool with a view, Pool view",0,1,0,1
4252493,Farm Stays,Mekong Delta Ricefield Lodge,"Truong Phu 1, Truong Long Ward, Phong Dien District, Can Tho City, Vietnam Ấp Trường Phú 1, xã Trường Long, Huyện Phong Điền, Thành phố Cần Thơ",0.0,37,9.9,0,9.98199279728116,105.601676901539,"Tour or class about local culture, Cooking class (additional charge), Hiking, Bike tours, Fishing, Canoeing, Themed dinners (additional charge), Walking tours, Cycling",0,0,0,999000.00,VND,Twin Room with Pool View,1,2,"Garden view, Inner courtyard view, Pool with a view, Pool view",0,1,0,1
5569297,Hotels,MEKONG DANIEL HOMESTAY CAN THO,"AP NHON KHANH, XA NHON NGHIA, HUYEN PHONG DIEN",3.0,18,9.3,0,9.968988,105.696979,"Cooking class (additional charge), Tour or class about local culture (additional charge), Bike tours (additional charge), Fishing, Walking tours (additional charge), Cycling",0,0,0,810000.00,VND,Deluxe Double Room with Balcony,12,3,"Landmark view, Lake view, River view, Inner courtyard view, Garden view",0,1,0,1
5569297,Hotels,MEKONG DANIEL HOMESTAY CAN THO,"AP NHON KHANH, XA NHON NGHIA, HUYEN PHONG DIEN",3.0,18,9.3,0,9.968988,105.696979,"Cooking class (additional charge), Tour or class about local culture (additional charge), Bike tours (additional charge), Fishing, Walking tours (additional charge), Cycling",0,0,0,1143000.00,VND,Family Bungalow,1,4,"Landmark view, Lake view, River view, Inner courtyard view, Garden view",0,1,0,1
7273244,Hotels,HIEU'S COTTAGE,Lộ Vòng Cung,4.0,,,0,9.996932,105.675151,"Live music/Performance (additional charge), Walking tours (additional charge), Bike tours (additional charge), Cooking class (additional charge)",0,0,0,750000.00,VND,Deluxe Twin Room,2,2,Garden view,0,1,0,0
7273244,Hotels,HIEU'S COTTAGE,Lộ Vòng Cung,4.0,,,0,9.996932,105.675151,"Live music/Performance (additional charge), Walking tours (additional charge), Bike tours (additional charge), Cooking class (additional charge)",0,0,0,750000.00,VND,Double Room with Garden View,5,2,Garden view,0,1,0,0
7273244,Hotels,HIEU'S COTTAGE,Lộ Vòng Cung,4.0,,,0,9.996932,105.675151,"Live music/Performance (additional charge), Walking tours (additional charge), Bike tours (additional charge), Cooking class (additional charge)",0,0,0,900000.00,VND,Triple Room with View,1,3,Garden view,0,1,0,0
7273244,Hotels,HIEU'S COTTAGE,Lộ Vòng Cung,4.0,,,0,9.996932,105.675151,"Live music/Performance (additional charge), Walking tours (additional charge), Bike tours (additional charge), Cooking class (additional charge)",0,0,0,1100000.00,VND,Family Room with Lake View,5,4,Garden view,0,1,0,0
7273244,Hotels,HIEU'S COTTAGE,Lộ Vòng Cung,4.0,,,0,9.996932,105.675151,"Live music/Performance (additional charge), Walking tours (additional charge), Bike tours (additional charge), Cooking class (additional charge)",0,0,0,1100000.00,VND,Triple Room with Garden View,4,3,Garden view,0,1,0,0
7273244,Hotels,HIEU'S COTTAGE,Lộ Vòng Cung,4.0,,,0,9.996932,105.675151,"Live music/Performance (additional charge), Walking tours (additional charge), Bike tours (additional charge), Cooking class (additional charge)",0,0,0,1200000.00,VND,Triple Room with Pool View,2,4,Garden view,0,1,0,0
7273244,Hotels,HIEU'S COTTAGE,Lộ Vòng Cung,4.0,,,0,9.996932,105.675151,"Live music/Performance (additional charge), Walking tours (additional charge), Bike tours (additional charge), Cooking class (additional charge)",0,0,0,1400000.00,VND,Family Room with Garden View,2,4,Garden view,0,1,0,0
5164630,Vacation Homes,Home stay Sun Set,"Chợ Phong Điền 206 Nhơn ái , Nhơn Phú",0.0,,,0,9.994978835342,105.675024118809,"Canoeing, Hiking, Fishing",0,0,0,300000.00,VND,One-Bedroom House,10,10,,0,0,0,1
5283229,Lodges,Song Ngư Pisces Homestay,Nguyễn Văn Cừ nối dài,0.0,203,8.9,0,9.99774234971989,105.712304212814,"Cooking class (additional charge), Hiking, Bike tours (additional charge), Live music/Performance (additional charge), Walking tours (additional charge), Cycling",0,0,0,560000.00,VND,Deluxe Queen Room,20,2,"Lake view, Inner courtyard view, Garden view",1,1,0,1
5283229,Lodges,Song Ngư Pisces Homestay,Nguyễn Văn Cừ nối dài,0.0,203,8.9,0,9.99774234971989,105.712304212814,"Cooking class (additional charge), Hiking, Bike tours (additional charge), Live music/Performance (additional charge), Walking tours (additional charge), Cycling",0,0,0,980000.00,VND,Deluxe Double or Twin Room,1,4,"Garden view, Inner courtyard view, Quiet street view",1,1,0,1
6012723,Resorts,Kidu Homestay,139 ap Mỹ Lộc Xã Mỹ Khánh Huyện Phong Điền Tp Cần Thơ,0.0,4,8.6,0,9.99729255998041,105.711870296673,Bike tours,0,0,0,648000.00,VND,Double Room with Garden View,4,1,"Garden view, Inner courtyard view",0,0,0,1
6012723,Resorts,Kidu Homestay,139 ap Mỹ Lộc Xã Mỹ Khánh Huyện Phong Điền Tp Cần Thơ,0.0,4,8.6,0,9.99729255998041,105.711870296673,Bike tours,0,0,0,720000.00,VND,Double Room with Garden View,4,1,"Garden view, Inner courtyard view",0,1,0,1
6012723,Resorts,Kidu Homestay,139 ap Mỹ Lộc Xã Mỹ Khánh Huyện Phong Điền Tp Cần Thơ,0.0,4,8.6,0,9.99729255998041,105.711870296673,Bike tours,0,0,0,727200.00,VND,Double Room with Garden View,4,2,"Garden view, Inner courtyard view",0,1,0,1
6012723,Resorts,Kidu Homestay,139 ap Mỹ Lộc Xã Mỹ Khánh Huyện Phong Điền Tp Cần Thơ,0.0,4,8.6,0,9.99729255998041,105.711870296673,Bike tours,0,0,0,729000.00,VND,Double Room with Lake View,2,1,"Lake view, River view, Garden view",0,0,0,1
6012723,Resorts,Kidu Homestay,139 ap Mỹ Lộc Xã Mỹ Khánh Huyện Phong Điền Tp Cần Thơ,0.0,4,8.6,0,9.99729255998041,105.711870296673,Bike tours,0,0,0,810000.00,VND,Double Room with Lake View,2,1,"Lake view, River view, Garden view",0,1,0,1
6012723,Resorts,Kidu Homestay,139 ap Mỹ Lộc Xã Mỹ Khánh Huyện Phong Điền Tp Cần Thơ,0.0,4,8.6,0,9.99729255998041,105.711870296673,Bike tours,0,0,0,826200.00,VND,Double Room with Lake View,2,2,"Lake view, River view, Garden view",0,1,0,1
7060025,Motels,Hostel Hạnh Phát 9,"167-203, ĐT923, Mỹ Khánh, Phong Điền, Cần Thơ",0.0,8,8.9,0,9.9928,105.715106,,0,0,0,180000.00,VND,Double Room with Private Bathroom,2,2,River view,0,0,0,1
7060025,Motels,Hostel Hạnh Phát 9,"167-203, ĐT923, Mỹ Khánh, Phong Điền, Cần Thơ",0.0,8,8.9,0,9.9928,105.715106,,0,0,0,180000.00,VND,Deluxe Room,1,2,Quiet street view,0,0,0,1
7060025,Motels,Hostel Hạnh Phát 9,"167-203, ĐT923, Mỹ Khánh, Phong Điền, Cần Thơ",0.0,8,8.9,0,9.9928,105.715106,,0,0,0,180000.00,VND,Deluxe Double Room with Shower,1,2,Quiet street view,0,0,0,1
