hotel_id,accommodation_type_name,hotel_name,address,class,review_nr,review_score,is_city_center,latitude,longitude,activity,room_service,spa,pool,price,currency,room_name,room_count,max_occupancy,view,refundable,breakfast_included,half_board,free_parking
6601661,Apartments,RIO HOMESTAY - The heart of Westbay Ecopark,"Westbay, Ecopark 1819 Westbay A",0.0,2,,0,20.950669000337,105.933945584656,,0,0,0,855000.00,VND,Two-Bedroom Apartment,2,1,City view,0,0,0,0
6601661,Apartments,RIO HOMESTAY - The heart of Westbay Ecopark,"Westbay, Ecopark 1819 Westbay A",0.0,2,,0,20.950669000337,105.933945584656,,0,0,0,902500.00,VND,Two-Bedroom Apartment,2,2,City view,0,0,0,0
6601661,Apartments,RIO HOMESTAY - The heart of Westbay Ecopark,"Westbay, Ecopark 1819 Westbay A",0.0,2,,0,20.950669000337,105.933945584656,,0,0,0,950000.00,VND,Two-Bedroom Apartment,2,4,City view,0,0,0,0
6795790,Villas,Lyn House - Pool Villa in Ecopark Hanoi,"Thành phố xanh Ecopark Xuân Quan, Văn Giang",0.0,5,7.0,0,20.9682849203405,105.934403748221,,0,0,0,3600000.00,VND,Villa,2,10,"City view, Landmark view, River view, Inner courtyard view, Pool view, Garden view, Quiet street view",0,0,0,0
6565675,Apartments,Evergreen Apartment - Rừng Cọ Ecopark,"Đường Rừng Cọ, KĐT ECOPARK, xã Xuân Quan, huyện Văn Giang, tỉnh Hưng Yên 201, B2 Rừng Cọ, Ecopark",0.0,17,8.9,0,20.9734589,105.9250341,"Tennis court, Fishing (additional charge), Golf course (within 2 miles) (additional charge)",0,0,0,1100000.00,VND,Two-Bedroom Apartment,14,4,"Garden view, Pool with a view, City view",1,0,0,0
4516632,Hotels,Khách sạn Phương Anh,"Như Quỳnh center, thị trấn Như Quỳnh, huyện Văn Lâm",3.0,25,8.6,0,20.981739,105.983137,,0,0,0,792000.00,VND,Superior Double or Twin Room,20,2,,0,1,0,0
4516632,Hotels,Khách sạn Phương Anh,"Như Quỳnh center, thị trấn Như Quỳnh, huyện Văn Lâm",3.0,25,8.6,0,20.981739,105.983137,,0,0,0,990000.00,VND,Deluxe Double Room,6,2,,0,1,0,0
4516632,Hotels,Khách sạn Phương Anh,"Như Quỳnh center, thị trấn Như Quỳnh, huyện Văn Lâm",3.0,25,8.6,0,20.981739,105.983137,,0,0,0,1287000.00,VND,Junior Suite,2,4,,0,1,0,0
4516632,Hotels,Khách sạn Phương Anh,"Như Quỳnh center, thị trấn Như Quỳnh, huyện Văn Lâm",3.0,25,8.6,0,20.981739,105.983137,,0,0,0,1485000.00,VND,Executive Suite,4,4,,0,1,0,0
4516632,Hotels,Khách sạn Phương Anh,"Như Quỳnh center, thị trấn Như Quỳnh, huyện Văn Lâm",3.0,25,8.6,0,20.981739,105.983137,,0,0,0,72450000.00,VND,King Suite with Spa Bath,1,4,,0,1,0,0
5158704,Apartments,Ecopark - QV homestay,Văn Giang Hưng Yên Sky1 Aquabay,0.0,6,9.1,0,20.9546407949541,105.940376217474,"Tour or class about local culture, Golf course (within 2 miles) (additional charge), Tennis court (additional charge), Hiking, Live music/Performance, Mini golf (additional charge), Fishing (additional charge), Cycling",0,0,0,750000.00,VND,Apartment with Balcony,2,4,"Garden view, Mountain view, Quiet street view",0,0,0,0
6494146,Guesthouses,Homestay Ecopark,Aqubay Aquabay,0.0,,,0,20.953329,105.938665,,0,0,0,800000.00,VND,Deluxe Double Room,2,1,,0,0,0,0
6494146,Guesthouses,Homestay Ecopark,Aqubay Aquabay,0.0,,,0,20.953329,105.938665,,0,0,0,1000000.00,VND,Deluxe Double Room,2,2,,0,0,0,0
