hotel_id,accommodation_type_name,hotel_name,address,class,review_nr,review_score,is_city_center,latitude,longitude,activity,room_service,spa,pool,price,currency,room_name,room_count,max_occupancy,view,refundable,breakfast_included,half_board,free_parking
5204247,Hotels,NK Công Đoàn Hải Dương,107b Chi Lăng,3.0,8,7.3,0,20.943124,106.328433,,0,0,0,378000.00,VND,Twin Room,10,2,,0,0,0,0
5204247,Hotels,NK Công Đoàn Hải Dương,107b Chi Lăng,3.0,8,7.3,0,20.943124,106.328433,,0,0,0,432000.00,VND,Basic Triple Room with Shared Bathroom,4,3,,0,0,0,0
5204247,Hotels,NK Công Đoàn Hải Dương,107b Chi Lăng,3.0,8,7.3,0,20.943124,106.328433,,0,0,0,450000.00,VND,Standard Family Room,4,3,,0,0,0,0
5204247,Hotels,NK Công Đoàn Hải Dương,107b Chi Lăng,3.0,8,7.3,0,20.943124,106.328433,,0,0,0,486000.00,VND,Luxury Triple Room,9,3,,0,0,0,0
5204247,Hotels,NK Công Đoàn Hải Dương,107b Chi Lăng,3.0,8,7.3,0,20.943124,106.328433,,0,0,0,513000.00,VND,Superior Twin Room,10,2,,0,0,0,0
5204247,Hotels,NK Công Đoàn Hải Dương,107b Chi Lăng,3.0,8,7.3,0,20.943124,106.328433,,0,0,0,810000.00,VND,Deluxe Double Room (2 Adults + 1 Child),3,2,,0,0,0,0
1732410,Hotels,Star Hotel Hai Duong,"Lot  62, 26 Do Thi Phia Dong, Block 1, Hai Tan Ward",1.0,42,7.6,0,20.9268481566159,106.334867477417,"Golf course (within 2 miles) (additional charge), Hiking, Aerobics (additional charge), Bike tours (additional charge), Mini golf (additional charge), Themed dinners (additional charge), Fishing (additional charge), Bar crawls, Cycling, Happy hour (additional charge)",0,0,0,244300.00,VND,Superior Single Room,4,1,"Garden view, City view, River view",1,1,0,0
1732410,Hotels,Star Hotel Hai Duong,"Lot  62, 26 Do Thi Phia Dong, Block 1, Hai Tan Ward",1.0,42,7.6,0,20.9268481566159,106.334867477417,"Golf course (within 2 miles) (additional charge), Hiking, Aerobics (additional charge), Bike tours (additional charge), Mini golf (additional charge), Themed dinners (additional charge), Fishing (additional charge), Bar crawls, Cycling, Happy hour (additional charge)",0,0,0,279300.00,VND,Deluxe Single Room,4,1,"Garden view, City view, Quiet street view, River view",1,1,0,0
1732410,Hotels,Star Hotel Hai Duong,"Lot  62, 26 Do Thi Phia Dong, Block 1, Hai Tan Ward",1.0,42,7.6,0,20.9268481566159,106.334867477417,"Golf course (within 2 miles) (additional charge), Hiking, Aerobics (additional charge), Bike tours (additional charge), Mini golf (additional charge), Themed dinners (additional charge), Fishing (additional charge), Bar crawls, Cycling, Happy hour (additional charge)",0,0,0,282870.00,VND,Twin Room,3,2,"City view, Lake view, River view, Garden view, Quiet street view",1,1,0,0
1732410,Hotels,Star Hotel Hai Duong,"Lot  62, 26 Do Thi Phia Dong, Block 1, Hai Tan Ward",1.0,42,7.6,0,20.9268481566159,106.334867477417,"Golf course (within 2 miles) (additional charge), Hiking, Aerobics (additional charge), Bike tours (additional charge), Mini golf (additional charge), Themed dinners (additional charge), Fishing (additional charge), Bar crawls, Cycling, Happy hour (additional charge)",0,0,0,349300.00,VND,Twin Room,3,3,"City view, Lake view, River view, Garden view, Quiet street view",1,1,0,0
1732410,Hotels,Star Hotel Hai Duong,"Lot  62, 26 Do Thi Phia Dong, Block 1, Hai Tan Ward",1.0,42,7.6,0,20.9268481566159,106.334867477417,"Golf course (within 2 miles) (additional charge), Hiking, Aerobics (additional charge), Bike tours (additional charge), Mini golf (additional charge), Themed dinners (additional charge), Fishing (additional charge), Bar crawls, Cycling, Happy hour (additional charge)",0,0,0,454300.00,VND,Family Junior Suite,2,2,"City view, Lake view, River view, Garden view, Quiet street view",1,1,0,0
1759881,Hotels,Phuong Anh 2 Hotel,03 Truong Chinh Street,3.0,17,7.5,0,20.9291079048591,106.321970075369,"Golf course (within 2 miles) (additional charge), Tennis court (additional charge), Hiking, Themed dinners, Bike tours, Aerobics, Mini golf (additional charge), Fishing, Walking tours, Cooking class, Bar crawls, Cycling, Ping-pong (additional charge)",0,0,0,800000.00,VND,Superior Double Room,4,2,"Lake view, City view, Quiet street view, River view",0,1,0,0
1759881,Hotels,Phuong Anh 2 Hotel,03 Truong Chinh Street,3.0,17,7.5,0,20.9291079048591,106.321970075369,"Golf course (within 2 miles) (additional charge), Tennis court (additional charge), Hiking, Themed dinners, Bike tours, Aerobics, Mini golf (additional charge), Fishing, Walking tours, Cooking class, Bar crawls, Cycling, Ping-pong (additional charge)",0,0,0,900000.00,VND,Deluxe Room,2,2,"City view, Landmark view, Quiet street view",0,1,0,0
1759881,Hotels,Phuong Anh 2 Hotel,03 Truong Chinh Street,3.0,17,7.5,0,20.9291079048591,106.321970075369,"Golf course (within 2 miles) (additional charge), Tennis court (additional charge), Hiking, Themed dinners, Bike tours, Aerobics, Mini golf (additional charge), Fishing, Walking tours, Cooking class, Bar crawls, Cycling, Ping-pong (additional charge)",0,0,0,900000.00,VND,Deluxe Twin Room,1,2,Garden view,0,1,0,0
1759881,Hotels,Phuong Anh 2 Hotel,03 Truong Chinh Street,3.0,17,7.5,0,20.9291079048591,106.321970075369,"Golf course (within 2 miles) (additional charge), Tennis court (additional charge), Hiking, Themed dinners, Bike tours, Aerobics, Mini golf (additional charge), Fishing, Walking tours, Cooking class, Bar crawls, Cycling, Ping-pong (additional charge)",0,0,0,1100000.00,VND,Deluxe Double Room,1,2,Garden view,0,1,0,0
1759881,Hotels,Phuong Anh 2 Hotel,03 Truong Chinh Street,3.0,17,7.5,0,20.9291079048591,106.321970075369,"Golf course (within 2 miles) (additional charge), Tennis court (additional charge), Hiking, Themed dinners, Bike tours, Aerobics, Mini golf (additional charge), Fishing, Walking tours, Cooking class, Bar crawls, Cycling, Ping-pong (additional charge)",0,0,0,2100000.00,VND,Landmark Suite,1,2,"City view, Quiet street view",0,1,0,0
5442991,Hotels,Kim Bao Hotel,Vương Chiêu 16,3.0,8,7.7,0,20.94793,106.3358,,0,0,0,1125000.00,VND,Deluxe Double Room,10,2,,0,1,0,0
4868182,Hotels,Mio Hotel,"Lô 15.32 KĐT Phía Tây, Phường Tứ Minh, TP Hải Dương, Tỉnh Hải Dương",1.0,28,9.3,0,20.9278330473678,106.291083356514,"Walking tours, Hiking",0,0,0,297000.00,VND,Standard King Room,8,2,,1,0,0,0
4868182,Hotels,Mio Hotel,"Lô 15.32 KĐT Phía Tây, Phường Tứ Minh, TP Hải Dương, Tỉnh Hải Dương",1.0,28,9.3,0,20.9278330473678,106.291083356514,"Walking tours, Hiking",0,0,0,346500.00,VND,Deluxe King Room,3,2,"City view, Quiet street view",1,0,0,0
4868182,Hotels,Mio Hotel,"Lô 15.32 KĐT Phía Tây, Phường Tứ Minh, TP Hải Dương, Tỉnh Hải Dương",1.0,28,9.3,0,20.9278330473678,106.291083356514,"Walking tours, Hiking",0,0,0,360000.00,VND,Deluxe Room,1,2,,1,0,0,0
4868182,Hotels,Mio Hotel,"Lô 15.32 KĐT Phía Tây, Phường Tứ Minh, TP Hải Dương, Tỉnh Hải Dương",1.0,28,9.3,0,20.9278330473678,106.291083356514,"Walking tours, Hiking",0,0,0,423000.00,VND,Quadruple Room,1,4,City view,1,0,0,0
1804241,Hotels,Lotus Hotel Hai Duong,"447 Truong Chinh, Thanh Binh",2.0,16,8.0,0,20.927162305007,106.304769122337,,0,0,0,650000.00,VND,Standard Double Room,2,2,City view,1,0,0,0
1804241,Hotels,Lotus Hotel Hai Duong,"447 Truong Chinh, Thanh Binh",2.0,16,8.0,0,20.927162305007,106.304769122337,,0,0,0,850000.00,VND,Deluxe Double Room with Balcony,1,2,City view,1,0,0,0
2259541,Hotels,Chau A Hotel,"11A, alley 159, Thanh Binh Street",0.0,37,8.8,0,20.9275465809202,106.303639858961,"Cycling, Hiking",0,0,0,290000.00,VND,Double Room,6,2,"Garden view, City view, Quiet street view",1,0,0,0
2259541,Hotels,Chau A Hotel,"11A, alley 159, Thanh Binh Street",0.0,37,8.8,0,20.9275465809202,106.303639858961,"Cycling, Hiking",0,0,0,500000.00,VND,Double Room,1,4,Quiet street view,1,0,0,0
