hotel_id,accommodation_type_name,hotel_name,address,class,review_nr,review_score,is_city_center,latitude,longitude,activity,room_service,spa,pool,price,currency,room_name,room_count,max_occupancy,view,refundable,breakfast_included,half_board,free_parking
5756458,Villas,The Trang Luxury Villa Nha Trang,"R-26 Pho Rung - Anh Nguyen Ocean Front, Vinh Truong ",0.0,6,8.5,0,12.2033044971,109.212626399738,"Diving (additional charge), Fishing (additional charge), Golf course (within 2 miles) (additional charge), Water park (additional charge)",0,0,0,12600000.00,VND,Six-Bedroom Villa Beach Front with Private Pool,2,1,"Pool with a view, City view, Landmark view, Lake view, Mountain view, Inner courtyard view, Pool view, Garden view, Ocean view, Quiet street view",0,0,0,1
5756458,Villas,The Trang Luxury Villa Nha Trang,"R-26 Pho Rung - Anh Nguyen Ocean Front, Vinh Truong ",0.0,6,8.5,0,12.2033044971,109.212626399738,"Diving (additional charge), Fishing (additional charge), Golf course (within 2 miles) (additional charge), Water park (additional charge)",0,0,0,18480000.00,VND,Six-Bedroom Villa Beach Front with Private Pool,2,12,"Pool with a view, City view, Landmark view, Lake view, Mountain view, Inner courtyard view, Pool view, Garden view, Ocean view, Quiet street view",0,0,0,1
252715,Resorts,Six Senses Ninh Van Bay,"Ninh Van Bay, Ninh Hoa",5.0,139,9.2,0,12.3583481178651,109.277382194996,"Diving (additional charge), Water sports facilities (on site) (additional charge), Movie nights, Pool table, Snorkeling (additional charge), Fishing (additional charge), Hiking (additional charge)",0,0,0,23221321.00,VND,Hill Top Pool Villa,6,2,"Mountain view, Pool with a view, Ocean view",0,1,0,0
252715,Resorts,Six Senses Ninh Van Bay,"Ninh Van Bay, Ninh Hoa",5.0,139,9.2,0,12.3583481178651,109.277382194996,"Diving (additional charge), Water sports facilities (on site) (additional charge), Movie nights, Pool table, Snorkeling (additional charge), Fishing (additional charge), Hiking (additional charge)",0,0,0,24288968.00,VND,Beach Pool Villa,4,2,"Mountain view, Ocean view",0,1,0,0
252715,Resorts,Six Senses Ninh Van Bay,"Ninh Van Bay, Ninh Hoa",5.0,139,9.2,0,12.3583481178651,109.277382194996,"Diving (additional charge), Water sports facilities (on site) (additional charge), Movie nights, Pool table, Snorkeling (additional charge), Fishing (additional charge), Hiking (additional charge)",0,0,0,33630879.00,VND,Family Beach Pool Villa,4,4,"Mountain view, Ocean view",0,1,0,0
252715,Resorts,Six Senses Ninh Van Bay,"Ninh Van Bay, Ninh Hoa",5.0,139,9.2,0,12.3583481178651,109.277382194996,"Diving (additional charge), Water sports facilities (on site) (additional charge), Movie nights, Pool table, Snorkeling (additional charge), Fishing (additional charge), Hiking (additional charge)",0,0,0,38969114.00,VND,Rock Pool Villa,4,2,"Mountain view, Pool with a view, Ocean view",0,1,0,0
252715,Resorts,Six Senses Ninh Van Bay,"Ninh Van Bay, Ninh Hoa",5.0,139,9.2,0,12.3583481178651,109.277382194996,"Diving (additional charge), Water sports facilities (on site) (additional charge), Movie nights, Pool table, Snorkeling (additional charge), Fishing (additional charge), Hiking (additional charge)",0,0,0,39236025.00,VND,Two Bedroom Hill Top Pool Villa,2,4,"Mountain view, Pool with a view, Ocean view",0,1,0,0
252715,Resorts,Six Senses Ninh Van Bay,"Ninh Van Bay, Ninh Hoa",5.0,139,9.2,0,12.3583481178651,109.277382194996,"Diving (additional charge), Water sports facilities (on site) (additional charge), Movie nights, Pool table, Snorkeling (additional charge), Fishing (additional charge), Hiking (additional charge)",0,0,0,40570584.00,VND,Water Pool Villa,3,2,"Mountain view, Pool with a view, Ocean view",0,1,0,0
252715,Resorts,Six Senses Ninh Van Bay,"Ninh Van Bay, Ninh Hoa",5.0,139,9.2,0,12.3583481178651,109.277382194996,"Diving (additional charge), Water sports facilities (on site) (additional charge), Movie nights, Pool table, Snorkeling (additional charge), Fishing (additional charge), Hiking (additional charge)",0,0,0,73934551.00,VND,The Rock Retreat,1,4,"Mountain view, Pool with a view, Ocean view",0,1,0,0
252715,Resorts,Six Senses Ninh Van Bay,"Ninh Van Bay, Ninh Hoa",5.0,139,9.2,0,12.3583481178651,109.277382194996,"Diving (additional charge), Water sports facilities (on site) (additional charge), Movie nights, Pool table, Snorkeling (additional charge), Fishing (additional charge), Hiking (additional charge)",0,0,0,97155873.00,VND,Hill Top Reserves (Three-bedroom villa),1,6,"Mountain view, Pool with a view, Ocean view",0,1,0,0
