hotel_id,accommodation_type_name,hotel_name,address,class,review_nr,review_score,is_city_center,latitude,longitude,activity,room_service,spa,pool,price,currency,room_name,room_count,max_occupancy,view,refundable,breakfast_included,half_board,free_parking
6493278,Lodges,Mộc Châu Eco Garden Resort,"Mường Sang, Mộc Châu bản Bãi Sậy",0.0,44,8.6,0,20.837481,104.5822,"Cycling, Fishing (additional charge), Live sports events (broadcast), Walking tours (additional charge), Bike tours (additional charge), Themed dinners (additional charge)",0,0,0,1371333.00,VND,Deluxe Double Room,12,2,"Mountain view, Garden view",0,1,0,0
6493278,Lodges,Mộc Châu Eco Garden Resort,"Mường Sang, Mộc Châu bản Bãi Sậy",0.0,44,8.6,0,20.837481,104.5822,"Cycling, Fishing (additional charge), Live sports events (broadcast), Walking tours (additional charge), Bike tours (additional charge), Themed dinners (additional charge)",0,0,0,1745333.00,VND,Double Room with Spa Bath,3,2,"Mountain view, Garden view",0,1,0,0
6493278,Lodges,Mộc Châu Eco Garden Resort,"Mường Sang, Mộc Châu bản Bãi Sậy",0.0,44,8.6,0,20.837481,104.5822,"Cycling, Fishing (additional charge), Live sports events (broadcast), Walking tours (additional charge), Bike tours (additional charge), Themed dinners (additional charge)",0,0,0,2057000.00,VND,Triple Room with Balcony,2,3,"Mountain view, Garden view",0,1,0,0
6493278,Lodges,Mộc Châu Eco Garden Resort,"Mường Sang, Mộc Châu bản Bãi Sậy",0.0,44,8.6,0,20.837481,104.5822,"Cycling, Fishing (additional charge), Live sports events (broadcast), Walking tours (additional charge), Bike tours (additional charge), Themed dinners (additional charge)",0,0,0,2992000.00,VND,Family Suite with Balcony,2,4,"Mountain view, Garden view",0,1,0,0
6493278,Lodges,Mộc Châu Eco Garden Resort,"Mường Sang, Mộc Châu bản Bãi Sậy",0.0,44,8.6,0,20.837481,104.5822,"Cycling, Fishing (additional charge), Live sports events (broadcast), Walking tours (additional charge), Bike tours (additional charge), Themed dinners (additional charge)",0,0,0,3740000.00,VND,Family Suite with Balcony,1,6,"Mountain view, Garden view",0,1,0,0
6493278,Lodges,Mộc Châu Eco Garden Resort,"Mường Sang, Mộc Châu bản Bãi Sậy",0.0,44,8.6,0,20.837481,104.5822,"Cycling, Fishing (additional charge), Live sports events (broadcast), Walking tours (additional charge), Bike tours (additional charge), Themed dinners (additional charge)",0,0,0,3864667.00,VND,Mixed Dormitory Room,1,9,"Mountain view, Garden view",0,1,0,0
2959751,Apartments,Doi House,"Moc Chau village, Moc Chau ward, Son La",0.0,156,8.2,0,20.852667,104.614087,,0,0,0,322200.00,VND,Apartment - Ground Floor,6,2,Garden view,0,0,0,0
2959751,Apartments,Doi House,"Moc Chau village, Moc Chau ward, Son La",0.0,156,8.2,0,20.852667,104.614087,,0,0,0,349200.00,VND,King Room with Garden View,5,2,Garden view,0,0,0,0
2959751,Apartments,Doi House,"Moc Chau village, Moc Chau ward, Son La",0.0,156,8.2,0,20.852667,104.614087,,0,0,0,450000.00,VND,Quadruple Room with Garden View,2,4,Garden view,0,0,0,0
2959751,Apartments,Doi House,"Moc Chau village, Moc Chau ward, Son La",0.0,156,8.2,0,20.852667,104.614087,,0,0,0,603000.00,VND,Apartment - Ground Floor,1,6,Garden view,0,0,0,0
2959751,Apartments,Doi House,"Moc Chau village, Moc Chau ward, Son La",0.0,156,8.2,0,20.852667,104.614087,,0,0,0,612000.00,VND,Family Room with Garden View,1,4,Garden view,0,0,0,0
2959751,Apartments,Doi House,"Moc Chau village, Moc Chau ward, Son La",0.0,156,8.2,0,20.852667,104.614087,,0,0,0,855000.00,VND,Mixed Dormitory Room,1,7,Garden view,0,0,0,0
2959751,Apartments,Doi House,"Moc Chau village, Moc Chau ward, Son La",0.0,156,8.2,0,20.852667,104.614087,,0,0,0,891000.00,VND,Mixed Dormitory Room,1,9,Garden view,0,0,0,0
2959751,Apartments,Doi House,"Moc Chau village, Moc Chau ward, Son La",0.0,156,8.2,0,20.852667,104.614087,,0,0,0,963900.00,VND,Mixed Dormitory Room,1,10,Garden view,0,0,0,0
2959751,Apartments,Doi House,"Moc Chau village, Moc Chau ward, Son La",0.0,156,8.2,0,20.852667,104.614087,,0,0,0,980100.00,VND,Mixed Dormitory Room,1,9,Garden view,0,0,0,0
