hotel_id,accommodation_type_name,hotel_name,address,class,review_nr,review_score,is_city_center,latitude,longitude,activity,room_service,spa,pool,price,currency,room_name,room_count,max_occupancy,view,refundable,breakfast_included,half_board,free_parking
4550826,Hotels,Casa Maya Hotel,"Đường 702 xã Vĩnh Hải, Huyện Ninh Hải",3.0,148,8.3,0,11.7723240360077,109.208848567092,"Canoeing, Diving, Fishing",0,0,0,502320.00,VND,Double Room with Mountain View,20,2,Mountain view,0,1,0,0
4550826,Hotels,Casa Maya Hotel,"Đường 702 xã Vĩnh Hải, Huyện Ninh Hải",3.0,148,8.3,0,11.7723240360077,109.208848567092,"Canoeing, Diving, Fishing",0,0,0,540960.00,VND,Double Room with Balcony and Sea View,10,2,"Pool view, Ocean view",0,1,0,0
4550826,Hotels,Casa Maya Hotel,"Đường 702 xã Vĩnh Hải, Huyện Ninh Hải",3.0,148,8.3,0,11.7723240360077,109.208848567092,"Canoeing, Diving, Fishing",0,0,0,850080.00,VND,Triple Room,10,3,"Pool view, Ocean view, Mountain view",0,1,0,0
4550826,Hotels,Casa Maya Hotel,"Đường 702 xã Vĩnh Hải, Huyện Ninh Hải",3.0,148,8.3,0,11.7723240360077,109.208848567092,"Canoeing, Diving, Fishing",0,0,0,927360.00,VND,Family Room with Mountain View,2,4,Mountain view,0,1,0,0
4550826,Hotels,Casa Maya Hotel,"Đường 702 xã Vĩnh Hải, Huyện Ninh Hải",3.0,148,8.3,0,11.7723240360077,109.208848567092,"Canoeing, Diving, Fishing",0,0,0,966000.00,VND,Family Room with Sea View,2,4,"Pool view, Ocean view",0,1,0,0
1406582,Resorts,Hòn Cò Resort - Cà Ná,"National Road 1A, Ca Na, Thuan Nam",3.0,101,7.7,0,11.33335866972,108.873237669467,"Cycling, Diving, Fishing, Bar crawls (additional charge), Snorkeling, Happy hour (additional charge)",0,0,0,990000.00,VND,Double or Twin Room with Garden View,10,2,"Mountain view, Quiet street view, Inner courtyard view, Garden view, Pool with a view",0,1,0,0
1406582,Resorts,Hòn Cò Resort - Cà Ná,"National Road 1A, Ca Na, Thuan Nam",3.0,101,7.7,0,11.33335866972,108.873237669467,"Cycling, Diving, Fishing, Bar crawls (additional charge), Snorkeling, Happy hour (additional charge)",0,0,0,1408000.00,VND,Double Room with Balcony and Sea View,4,2,"Quiet street view, Inner courtyard view, Ocean view, Pool with a view",0,1,0,0
1406582,Resorts,Hòn Cò Resort - Cà Ná,"National Road 1A, Ca Na, Thuan Nam",3.0,101,7.7,0,11.33335866972,108.873237669467,"Cycling, Diving, Fishing, Bar crawls (additional charge), Snorkeling, Happy hour (additional charge)",0,0,0,1408000.00,VND,Deluxe Double or Twin Room,2,2,"Inner courtyard view, Garden view, Quiet street view, Pool with a view",0,1,0,0
1406582,Resorts,Hòn Cò Resort - Cà Ná,"National Road 1A, Ca Na, Thuan Nam",3.0,101,7.7,0,11.33335866972,108.873237669467,"Cycling, Diving, Fishing, Bar crawls (additional charge), Snorkeling, Happy hour (additional charge)",0,0,0,2024000.00,VND,Twin Room with Sea View,2,2,"Quiet street view, Ocean view, Pool with a view",0,1,0,0
1406582,Resorts,Hòn Cò Resort - Cà Ná,"National Road 1A, Ca Na, Thuan Nam",3.0,101,7.7,0,11.33335866972,108.873237669467,"Cycling, Diving, Fishing, Bar crawls (additional charge), Snorkeling, Happy hour (additional charge)",0,0,0,2431000.00,VND,Double Room with Sea View,2,2,"Quiet street view, Ocean view, Pool with a view",0,1,0,0
265007,Resorts,Saigon - Ninh Chu Hotel & Resort,"Yen Ninh Street, Khanh Hai Town, Ninh Hai District",4.0,40,7.3,0,11.5811425274145,109.027719497681,"Tennis court, Bar crawls (additional charge), Pool table, Themed dinners (additional charge)",0,0,0,1100000.00,VND,Superior Economy Double Room,20,2,"Mountain view, City view, Lake view, Pool view, Garden view, Ocean view, Pool with a view",0,1,0,1
265007,Resorts,Saigon - Ninh Chu Hotel & Resort,"Yen Ninh Street, Khanh Hai Town, Ninh Hai District",4.0,40,7.3,0,11.5811425274145,109.027719497681,"Tennis court, Bar crawls (additional charge), Pool table, Themed dinners (additional charge)",0,0,0,1300000.00,VND,Superior Business Double Room,2,2,"Mountain view, City view, Lake view, Pool view, Garden view, Ocean view, Pool with a view",0,1,0,1
265007,Resorts,Saigon - Ninh Chu Hotel & Resort,"Yen Ninh Street, Khanh Hai Town, Ninh Hai District",4.0,40,7.3,0,11.5811425274145,109.027719497681,"Tennis court, Bar crawls (additional charge), Pool table, Themed dinners (additional charge)",0,0,0,1900000.00,VND,Deluxe Ocean,2,2,"Mountain view, City view, Garden view, Ocean view, Pool with a view",0,1,0,1
