hotel_id,accommodation_type_name,hotel_name,address,class,review_nr,review_score,is_city_center,latitude,longitude,activity,room_service,spa,pool,price,currency,room_name,room_count,max_occupancy,view,refundable,breakfast_included,half_board,free_parking
3374257,Hotels,Little Riverside Hoi An . A Luxury Hotel & Spa,09 Phan Boi Chau,5.0,608,9.4,0,15.876845,108.336416,"Cycling, Cooking class (additional charge), Walking tours (additional charge), Hiking, Tour or class about local culture (additional charge), Happy hour (additional charge), Bike tours (additional charge), Themed dinners (additional charge)",0,0,0,1305000.00,VND,King Suite with City View,10,2,"City view, Quiet street view, Pool with a view",0,1,0,0
3374257,Hotels,Little Riverside Hoi An . A Luxury Hotel & Spa,09 Phan Boi Chau,5.0,608,9.4,0,15.876845,108.336416,"Cycling, Cooking class (additional charge), Walking tours (additional charge), Hiking, Tour or class about local culture (additional charge), Happy hour (additional charge), Bike tours (additional charge), Themed dinners (additional charge)",0,0,0,1305000.00,VND,Twin Suite with City View,5,2,"City view, Quiet street view, Pool with a view",0,1,0,0
3374257,Hotels,Little Riverside Hoi An . A Luxury Hotel & Spa,09 Phan Boi Chau,5.0,608,9.4,0,15.876845,108.336416,"Cycling, Cooking class (additional charge), Walking tours (additional charge), Hiking, Tour or class about local culture (additional charge), Happy hour (additional charge), Bike tours (additional charge), Themed dinners (additional charge)",0,0,0,1392000.00,VND,Suite with Garden View,5,2,"Garden view, Pool with a view",0,1,0,0
3374257,Hotels,Little Riverside Hoi An . A Luxury Hotel & Spa,09 Phan Boi Chau,5.0,608,9.4,0,15.876845,108.336416,"Cycling, Cooking class (additional charge), Walking tours (additional charge), Hiking, Tour or class about local culture (additional charge), Happy hour (additional charge), Bike tours (additional charge), Themed dinners (additional charge)",0,0,0,1479000.00,VND,King Suite with River View ,3,2,"River view, Landmark view, Pool with a view",0,1,0,0
3374257,Hotels,Little Riverside Hoi An . A Luxury Hotel & Spa,09 Phan Boi Chau,5.0,608,9.4,0,15.876845,108.336416,"Cycling, Cooking class (additional charge), Walking tours (additional charge), Hiking, Tour or class about local culture (additional charge), Happy hour (additional charge), Bike tours (additional charge), Themed dinners (additional charge)",0,0,0,1479000.00,VND,Twin Suite with River View,4,2,"River view, Landmark view, Pool with a view",0,1,0,0
3374257,Hotels,Little Riverside Hoi An . A Luxury Hotel & Spa,09 Phan Boi Chau,5.0,608,9.4,0,15.876845,108.336416,"Cycling, Cooking class (additional charge), Walking tours (additional charge), Hiking, Tour or class about local culture (additional charge), Happy hour (additional charge), Bike tours (additional charge), Themed dinners (additional charge)",0,0,0,2900000.00,VND,Family Suite with City View,3,4,"City view, Quiet street view, Pool with a view",0,1,0,0
2835988,Hotels,Allegro Hoi An . A Little Luxury Hotel & Spa,86 Tran Hung Dao,5.0,619,9.4,0,15.8802328694708,108.324921224266,"Cycling, Cooking class (additional charge), Hiking, Walking tours, Tour or class about local culture (additional charge), Happy hour (additional charge), Bike tours (additional charge), Tennis court (additional charge)",0,0,0,1620000.00,VND,Junior Suite with City View,18,2,City view,0,1,0,0
2835988,Hotels,Allegro Hoi An . A Little Luxury Hotel & Spa,86 Tran Hung Dao,5.0,619,9.4,0,15.8802328694708,108.324921224266,"Cycling, Cooking class (additional charge), Hiking, Walking tours, Tour or class about local culture (additional charge), Happy hour (additional charge), Bike tours (additional charge), Tennis court (additional charge)",0,0,0,1822500.00,VND,Suite with City View,7,2,"Pool view, City view, Pool with a view",0,1,0,0
2835988,Hotels,Allegro Hoi An . A Little Luxury Hotel & Spa,86 Tran Hung Dao,5.0,619,9.4,0,15.8802328694708,108.324921224266,"Cycling, Cooking class (additional charge), Hiking, Walking tours, Tour or class about local culture (additional charge), Happy hour (additional charge), Bike tours (additional charge), Tennis court (additional charge)",0,0,0,2632500.00,VND,Family Suite,4,3,City view,0,1,0,0
2835988,Hotels,Allegro Hoi An . A Little Luxury Hotel & Spa,86 Tran Hung Dao,5.0,619,9.4,0,15.8802328694708,108.324921224266,"Cycling, Cooking class (additional charge), Hiking, Walking tours, Tour or class about local culture (additional charge), Happy hour (additional charge), Bike tours (additional charge), Tennis court (additional charge)",0,0,0,3321000.00,VND,Connecting Junior Suite,3,4,City view,0,1,0,0
2835988,Hotels,Allegro Hoi An . A Little Luxury Hotel & Spa,86 Tran Hung Dao,5.0,619,9.4,0,15.8802328694708,108.324921224266,"Cycling, Cooking class (additional charge), Hiking, Walking tours, Tour or class about local culture (additional charge), Happy hour (additional charge), Bike tours (additional charge), Tennis court (additional charge)",0,0,0,3726000.00,VND,Allegro Connecting Suite,2,4,"City view, Pool with a view",0,1,0,0
1453096,Hotels,Muong Thanh Grand Quang Nam,"351A Hung Vuong, An Xuan ward",4.0,106,8.0,0,15.5606409123057,108.486842069767,"Ping-pong (additional charge), Tennis court (additional charge), Pool table",0,0,0,900000.00,VND,Deluxe Twin Room,4,2,,0,1,0,0
1453096,Hotels,Muong Thanh Grand Quang Nam,"351A Hung Vuong, An Xuan ward",4.0,106,8.0,0,15.5606409123057,108.486842069767,"Ping-pong (additional charge), Tennis court (additional charge), Pool table",0,0,0,1350000.00,VND,Executive Suite,1,2,,0,1,0,0
71158,Resorts,"Four Seasons The Nam Hai, Hoi An, Vietnam","Block Ha My Dong B, Dien Duong Ward, Dien Ban Town",5.0,115,9.3,0,15.9274304266216,108.316333293915,"Tennis court, Cycling, Cooking class (additional charge), Windsurfing, Tour or class about local culture (additional charge), Live music/Performance (additional charge), Bike tours, Ping-pong, Themed dinners (additional charge), Water sports facilities (on site) (additional charge)",0,0,0,9713500.00,VND,One-Bedroom Villa,16,2,Garden view,0,1,0,0
71158,Resorts,"Four Seasons The Nam Hai, Hoi An, Vietnam","Block Ha My Dong B, Dien Duong Ward, Dien Ban Town",5.0,115,9.3,0,15.9274304266216,108.316333293915,"Tennis court, Cycling, Cooking class (additional charge), Windsurfing, Tour or class about local culture (additional charge), Live music/Performance (additional charge), Bike tours, Ping-pong, Themed dinners (additional charge), Water sports facilities (on site) (additional charge)",0,0,0,11025000.00,VND,One-Bedroom Villa with Ocean View,7,2,Ocean view,0,1,0,0
71158,Resorts,"Four Seasons The Nam Hai, Hoi An, Vietnam","Block Ha My Dong B, Dien Duong Ward, Dien Ban Town",5.0,115,9.3,0,15.9274304266216,108.316333293915,"Tennis court, Cycling, Cooking class (additional charge), Windsurfing, Tour or class about local culture (additional charge), Live music/Performance (additional charge), Bike tours, Ping-pong, Themed dinners (additional charge), Water sports facilities (on site) (additional charge)",0,0,0,13063000.00,VND,One-Bedroom Beachfront Villa ,5,2,Ocean view,0,1,0,0
71158,Resorts,"Four Seasons The Nam Hai, Hoi An, Vietnam","Block Ha My Dong B, Dien Duong Ward, Dien Ban Town",5.0,115,9.3,0,15.9274304266216,108.316333293915,"Tennis court, Cycling, Cooking class (additional charge), Windsurfing, Tour or class about local culture (additional charge), Live music/Performance (additional charge), Bike tours, Ping-pong, Themed dinners (additional charge), Water sports facilities (on site) (additional charge)",0,0,0,15947000.00,VND,Family Villa,5,2,Garden view,0,1,0,0
71158,Resorts,"Four Seasons The Nam Hai, Hoi An, Vietnam","Block Ha My Dong B, Dien Duong Ward, Dien Ban Town",5.0,115,9.3,0,15.9274304266216,108.316333293915,"Tennis court, Cycling, Cooking class (additional charge), Windsurfing, Tour or class about local culture (additional charge), Live music/Performance (additional charge), Bike tours, Ping-pong, Themed dinners (additional charge), Water sports facilities (on site) (additional charge)",0,0,0,16150000.00,VND,One-Bedroom Pool Villa,8,2,Pool with a view,0,1,0,0
71158,Resorts,"Four Seasons The Nam Hai, Hoi An, Vietnam","Block Ha My Dong B, Dien Duong Ward, Dien Ban Town",5.0,115,9.3,0,15.9274304266216,108.316333293915,"Tennis court, Cycling, Cooking class (additional charge), Windsurfing, Tour or class about local culture (additional charge), Live music/Performance (additional charge), Bike tours, Ping-pong, Themed dinners (additional charge), Water sports facilities (on site) (additional charge)",0,0,0,17484300.00,VND,One-Bedroom Villa,16,2,Garden view,0,1,0,0
71158,Resorts,"Four Seasons The Nam Hai, Hoi An, Vietnam","Block Ha My Dong B, Dien Duong Ward, Dien Ban Town",5.0,115,9.3,0,15.9274304266216,108.316333293915,"Tennis court, Cycling, Cooking class (additional charge), Windsurfing, Tour or class about local culture (additional charge), Live music/Performance (additional charge), Bike tours, Ping-pong, Themed dinners (additional charge), Water sports facilities (on site) (additional charge)",0,0,0,19845000.00,VND,One-Bedroom Villa with Ocean View,7,2,Ocean view,0,1,0,0
71158,Resorts,"Four Seasons The Nam Hai, Hoi An, Vietnam","Block Ha My Dong B, Dien Duong Ward, Dien Ban Town",5.0,115,9.3,0,15.9274304266216,108.316333293915,"Tennis court, Cycling, Cooking class (additional charge), Windsurfing, Tour or class about local culture (additional charge), Live music/Performance (additional charge), Bike tours, Ping-pong, Themed dinners (additional charge), Water sports facilities (on site) (additional charge)",0,0,0,23513400.00,VND,One-Bedroom Beachfront Villa ,5,2,Ocean view,0,1,0,0
71158,Resorts,"Four Seasons The Nam Hai, Hoi An, Vietnam","Block Ha My Dong B, Dien Duong Ward, Dien Ban Town",5.0,115,9.3,0,15.9274304266216,108.316333293915,"Tennis court, Cycling, Cooking class (additional charge), Windsurfing, Tour or class about local culture (additional charge), Live music/Performance (additional charge), Bike tours, Ping-pong, Themed dinners (additional charge), Water sports facilities (on site) (additional charge)",0,0,0,28704600.00,VND,Family Villa,5,2,Garden view,0,1,0,0
71158,Resorts,"Four Seasons The Nam Hai, Hoi An, Vietnam","Block Ha My Dong B, Dien Duong Ward, Dien Ban Town",5.0,115,9.3,0,15.9274304266216,108.316333293915,"Tennis court, Cycling, Cooking class (additional charge), Windsurfing, Tour or class about local culture (additional charge), Live music/Performance (additional charge), Bike tours, Ping-pong, Themed dinners (additional charge), Water sports facilities (on site) (additional charge)",0,0,0,29070000.00,VND,One-Bedroom Pool Villa,8,2,Pool with a view,0,1,0,0
71158,Resorts,"Four Seasons The Nam Hai, Hoi An, Vietnam","Block Ha My Dong B, Dien Duong Ward, Dien Ban Town",5.0,115,9.3,0,15.9274304266216,108.316333293915,"Tennis court, Cycling, Cooking class (additional charge), Windsurfing, Tour or class about local culture (additional charge), Live music/Performance (additional charge), Bike tours, Ping-pong, Themed dinners (additional charge), Water sports facilities (on site) (additional charge)",0,0,0,29517500.00,VND,Two-Bedroom Pool Villa,3,4,Pool with a view,0,1,0,0
71158,Resorts,"Four Seasons The Nam Hai, Hoi An, Vietnam","Block Ha My Dong B, Dien Duong Ward, Dien Ban Town",5.0,115,9.3,0,15.9274304266216,108.316333293915,"Tennis court, Cycling, Cooking class (additional charge), Windsurfing, Tour or class about local culture (additional charge), Live music/Performance (additional charge), Bike tours, Ping-pong, Themed dinners (additional charge), Water sports facilities (on site) (additional charge)",0,0,0,30264000.00,VND,Three-Bedroom Pool Villa,5,6,"Garden view, Pool with a view",0,1,0,0
71158,Resorts,"Four Seasons The Nam Hai, Hoi An, Vietnam","Block Ha My Dong B, Dien Duong Ward, Dien Ban Town",5.0,115,9.3,0,15.9274304266216,108.316333293915,"Tennis court, Cycling, Cooking class (additional charge), Windsurfing, Tour or class about local culture (additional charge), Live music/Performance (additional charge), Bike tours, Ping-pong, Themed dinners (additional charge), Water sports facilities (on site) (additional charge)",0,0,0,36710000.00,VND,Three-Bedroom Pool Villa with Ocean View,7,6,"Ocean view, Pool with a view",0,1,0,0
71158,Resorts,"Four Seasons The Nam Hai, Hoi An, Vietnam","Block Ha My Dong B, Dien Duong Ward, Dien Ban Town",5.0,115,9.3,0,15.9274304266216,108.316333293915,"Tennis court, Cycling, Cooking class (additional charge), Windsurfing, Tour or class about local culture (additional charge), Live music/Performance (additional charge), Bike tours, Ping-pong, Themed dinners (additional charge), Water sports facilities (on site) (additional charge)",0,0,0,45125000.00,VND,Three-Bedroom Beachfront Pool Villa,2,6,"Ocean view, Pool with a view",0,1,0,0
71158,Resorts,"Four Seasons The Nam Hai, Hoi An, Vietnam","Block Ha My Dong B, Dien Duong Ward, Dien Ban Town",5.0,115,9.3,0,15.9274304266216,108.316333293915,"Tennis court, Cycling, Cooking class (additional charge), Windsurfing, Tour or class about local culture (additional charge), Live music/Performance (additional charge), Bike tours, Ping-pong, Themed dinners (additional charge), Water sports facilities (on site) (additional charge)",0,0,0,53131500.00,VND,Two-Bedroom Pool Villa,3,4,Pool with a view,0,1,0,0
71158,Resorts,"Four Seasons The Nam Hai, Hoi An, Vietnam","Block Ha My Dong B, Dien Duong Ward, Dien Ban Town",5.0,115,9.3,0,15.9274304266216,108.316333293915,"Tennis court, Cycling, Cooking class (additional charge), Windsurfing, Tour or class about local culture (additional charge), Live music/Performance (additional charge), Bike tours, Ping-pong, Themed dinners (additional charge), Water sports facilities (on site) (additional charge)",0,0,0,54475200.00,VND,Three-Bedroom Pool Villa,5,6,"Garden view, Pool with a view",0,1,0,0
71158,Resorts,"Four Seasons The Nam Hai, Hoi An, Vietnam","Block Ha My Dong B, Dien Duong Ward, Dien Ban Town",5.0,115,9.3,0,15.9274304266216,108.316333293915,"Tennis court, Cycling, Cooking class (additional charge), Windsurfing, Tour or class about local culture (additional charge), Live music/Performance (additional charge), Bike tours, Ping-pong, Themed dinners (additional charge), Water sports facilities (on site) (additional charge)",0,0,0,66078000.00,VND,Three-Bedroom Pool Villa with Ocean View,7,6,"Ocean view, Pool with a view",0,1,0,0
71158,Resorts,"Four Seasons The Nam Hai, Hoi An, Vietnam","Block Ha My Dong B, Dien Duong Ward, Dien Ban Town",5.0,115,9.3,0,15.9274304266216,108.316333293915,"Tennis court, Cycling, Cooking class (additional charge), Windsurfing, Tour or class about local culture (additional charge), Live music/Performance (additional charge), Bike tours, Ping-pong, Themed dinners (additional charge), Water sports facilities (on site) (additional charge)",0,0,0,81225000.00,VND,Three-Bedroom Beachfront Pool Villa,2,6,"Ocean view, Pool with a view",0,1,0,0
258879,Hotels,Acacia Heritage Hotel,54 Nguyen Tri Phuong ,3.0,4435,8.4,0,15.8723767670829,108.33265453577,"Pool table, Fishing (additional charge)",0,0,0,192500.00,VND,Superior Double or Twin Room,6,1,Garden view,1,0,0,0
258879,Hotels,Acacia Heritage Hotel,54 Nguyen Tri Phuong ,3.0,4435,8.4,0,15.8723767670829,108.33265453577,"Pool table, Fishing (additional charge)",0,0,0,220000.00,VND,Superior Double or Twin Room,6,2,Garden view,1,0,0,0
258879,Hotels,Acacia Heritage Hotel,54 Nguyen Tri Phuong ,3.0,4435,8.4,0,15.8723767670829,108.33265453577,"Pool table, Fishing (additional charge)",0,0,0,220000.00,VND,Deluxe Double Room,10,2,"City view, Quiet street view, Pool view, Garden view, River view",1,0,0,0
258879,Hotels,Acacia Heritage Hotel,54 Nguyen Tri Phuong ,3.0,4435,8.4,0,15.8723767670829,108.33265453577,"Pool table, Fishing (additional charge)",0,0,0,302500.00,VND,Suite with Balcony,4,2,"Quiet street view, Inner courtyard view, Pool view, Garden view, River view",1,0,0,0
258879,Hotels,Acacia Heritage Hotel,54 Nguyen Tri Phuong ,3.0,4435,8.4,0,15.8723767670829,108.33265453577,"Pool table, Fishing (additional charge)",0,0,0,357500.00,VND,Superior Triple Room,10,3,"Pool view, City view, Garden view, Quiet street view",1,0,0,0
258879,Hotels,Acacia Heritage Hotel,54 Nguyen Tri Phuong ,3.0,4435,8.4,0,15.8723767670829,108.33265453577,"Pool table, Fishing (additional charge)",0,0,0,412500.00,VND,Family Room,2,4,"City view, Garden view",1,0,0,0
2424487,Hotels,Aira Boutique Hoi An Hotel & Villa,"Group 3, An Bang Beach",4.0,479,9.3,0,15.9137325251671,108.339075455369,"Cycling, Cooking class (additional charge), Fishing (additional charge), Tour or class about local culture (additional charge), Happy hour (additional charge), Golf course (within 2 miles) (additional charge), Bike tours (additional charge), Pool table, Canoeing (additional charge), Diving (additional charge), Water sports facilities (on site) (additional charge), Snorkeling (additional charge)",0,0,0,841769.00,VND,Deluxe Balcony or Terrace,20,2,Garden view,0,0,0,0
2424487,Hotels,Aira Boutique Hoi An Hotel & Villa,"Group 3, An Bang Beach",4.0,479,9.3,0,15.9137325251671,108.339075455369,"Cycling, Cooking class (additional charge), Fishing (additional charge), Tour or class about local culture (additional charge), Happy hour (additional charge), Golf course (within 2 miles) (additional charge), Bike tours (additional charge), Pool table, Canoeing (additional charge), Diving (additional charge), Water sports facilities (on site) (additional charge), Snorkeling (additional charge)",0,0,0,935299.00,VND,Deluxe Balcony or Terrace,20,2,Garden view,0,1,0,0
2424487,Hotels,Aira Boutique Hoi An Hotel & Villa,"Group 3, An Bang Beach",4.0,479,9.3,0,15.9137325251671,108.339075455369,"Cycling, Cooking class (additional charge), Fishing (additional charge), Tour or class about local culture (additional charge), Happy hour (additional charge), Golf course (within 2 miles) (additional charge), Bike tours (additional charge), Pool table, Canoeing (additional charge), Diving (additional charge), Water sports facilities (on site) (additional charge), Snorkeling (additional charge)",0,0,0,962750.00,VND,Premier Deluxe Balcony or Terrace,3,2,"Pool view, Garden view",0,0,0,0
