hotel_id,accommodation_type_name,hotel_name,address,class,review_nr,review_score,is_city_center,latitude,longitude,activity,room_service,spa,pool,price,currency,room_name,room_count,max_occupancy,view,refundable,breakfast_included,half_board,free_parking
4459164,Hotels,Hải Yến hotel,290 quốc lộ 1A phường 7 thành phố sóc trăng,3.0,132,7.2,0,9.617477,105.964267,,0,0,0,350000.00,VND,Standard King Room,20,2,,1,0,0,0
4459164,Hotels,Hải Yến hotel,290 quốc lộ 1A phường 7 thành phố sóc trăng,3.0,132,7.2,0,9.617477,105.964267,,0,0,0,520000.00,VND,King Room with Two King Beds,10,4,,1,0,0,0
2066431,Hotels,Phuong Hue Hotel,"89 Le Loi, Ward 6, Soc Trang City",0.0,215,7.7,0,9.60892730722765,105.973584474869,,0,0,0,280000.00,VND,Budget Double Room,6,2,,0,0,0,0
2066431,Hotels,Phuong Hue Hotel,"89 Le Loi, Ward 6, Soc Trang City",0.0,215,7.7,0,9.60892730722765,105.973584474869,,0,0,0,361000.00,VND,Budget Double Room with Two Double Beds,5,2,,0,0,0,0
2066431,Hotels,Phuong Hue Hotel,"89 Le Loi, Ward 6, Soc Trang City",0.0,215,7.7,0,9.60892730722765,105.973584474869,,0,0,0,372400.00,VND,Budget Double Room with Two Double Beds,5,3,,0,0,0,0
2066431,Hotels,Phuong Hue Hotel,"89 Le Loi, Ward 6, Soc Trang City",0.0,215,7.7,0,9.60892730722765,105.973584474869,,0,0,0,380000.00,VND,Budget Double Room with Two Double Beds,5,4,,0,0,0,0
547574,Hotels,Phu Qui Hotel,19 - 21 Phan Chu Trinh,2.0,59,7.1,0,9.60402134461606,105.974314174869,,0,0,0,430000.00,VND,Deluxe Double Room,6,2,,0,0,0,0
547574,Hotels,Phu Qui Hotel,19 - 21 Phan Chu Trinh,2.0,59,7.1,0,9.60402134461606,105.974314174869,,0,0,0,680000.00,VND,Deluxe Triple Room,4,3,,0,0,0,0
547574,Hotels,Phu Qui Hotel,19 - 21 Phan Chu Trinh,2.0,59,7.1,0,9.60402134461606,105.974314174869,,0,0,0,880000.00,VND,Family Suite,2,4,,0,0,0,0
2971467,Hotels,Hotel Xuan Huynh 3,34a Huynh Phan Ho,2.0,190,8.4,0,9.617071,105.965317,,0,0,0,330000.00,VND,Queen Room,6,2,"City view, Garden view, Quiet street view, Inner courtyard view",1,0,0,0
2971467,Hotels,Hotel Xuan Huynh 3,34a Huynh Phan Ho,2.0,190,8.4,0,9.617071,105.965317,,0,0,0,390000.00,VND,Deluxe Queen Room,2,2,,1,0,0,0
2971467,Hotels,Hotel Xuan Huynh 3,34a Huynh Phan Ho,2.0,190,8.4,0,9.617071,105.965317,,0,0,0,390000.00,VND,Twin Room,2,2,"City view, Garden view, Quiet street view",1,0,0,0
2971467,Hotels,Hotel Xuan Huynh 3,34a Huynh Phan Ho,2.0,190,8.4,0,9.617071,105.965317,,0,0,0,570000.00,VND,King Room with Two King Beds,4,4,"City view, Garden view, Quiet street view, Inner courtyard view",1,0,0,0
6496236,Bed and Breakfasts,Thien An Hotel,593 Trần Hưng Đạo,0.0,33,7.9,0,9.585029,105.963906,,0,0,0,501000.00,VND,Double Room,18,2,"Garden view, Quiet street view",0,1,0,0
6496236,Bed and Breakfasts,Thien An Hotel,593 Trần Hưng Đạo,0.0,33,7.9,0,9.585029,105.963906,,0,0,0,582000.00,VND,Twin Room,2,2,"Garden view, Quiet street view",0,1,0,0
6496236,Bed and Breakfasts,Thien An Hotel,593 Trần Hưng Đạo,0.0,33,7.9,0,9.585029,105.963906,,0,0,0,660000.00,VND,Bungalow,10,2,"Pool view, Garden view, Quiet street view, Pool with a view",0,1,0,0
6496236,Bed and Breakfasts,Thien An Hotel,593 Trần Hưng Đạo,0.0,33,7.9,0,9.585029,105.963906,,0,0,0,762000.00,VND,Family Room,4,4,"Garden view, Quiet street view",0,1,0,0
2085722,Hotels,Ngoc Lan Hotel,182 Le Hong Phong,1.0,53,7.5,0,9.58732093152209,105.975417720832,,0,0,0,300000.00,VND,Queen Room with Garden View,8,2,"Garden view, Lake view, Inner courtyard view",0,0,0,0
2085722,Hotels,Ngoc Lan Hotel,182 Le Hong Phong,1.0,53,7.5,0,9.58732093152209,105.975417720832,,0,0,0,350000.00,VND,Twin Room with City View,2,2,City view,0,0,0,0
2085722,Hotels,Ngoc Lan Hotel,182 Le Hong Phong,1.0,53,7.5,0,9.58732093152209,105.975417720832,,0,0,0,400000.00,VND,Quadruple Room with Garden View,5,4,"Garden view, Lake view, Inner courtyard view",0,0,0,0
3152643,Hotels,Que Huong Hotel,128 Nguyen Trung Truc,2.0,22,6.1,0,9.60003,105.970198,"Tennis court, Cycling, Hiking",0,0,0,500000.00,VND,Twin Room with City View,10,2,"City view, Quiet street view",1,1,0,0
3152643,Hotels,Que Huong Hotel,128 Nguyen Trung Truc,2.0,22,6.1,0,9.60003,105.970198,"Tennis court, Cycling, Hiking",0,0,0,700000.00,VND,Family Room,10,2,"City view, Garden view, Quiet street view, Inner courtyard view",1,1,0,0
3152643,Hotels,Que Huong Hotel,128 Nguyen Trung Truc,2.0,22,6.1,0,9.60003,105.970198,"Tennis court, Cycling, Hiking",0,0,0,800000.00,VND,Triple Room with City View,5,3,"City view, Garden view, Quiet street view, Inner courtyard view",1,1,0,0
3152643,Hotels,Que Huong Hotel,128 Nguyen Trung Truc,2.0,22,6.1,0,9.60003,105.970198,"Tennis court, Cycling, Hiking",0,0,0,1300000.00,VND,Family Double Room,1,4,"Garden view, Quiet street view, Inner courtyard view",1,1,0,0
