hotel_id,accommodation_type_name,hotel_name,address,class,review_nr,review_score,is_city_center,latitude,longitude,activity,room_service,spa,pool,price,currency,room_name,room_count,max_occupancy,view,refundable,breakfast_included,half_board,free_parking
4139579,Hotels,Vinpearl Hotel Tay Ninh,"No 90 Le Duan Street, Ward 3, Tay Ninh City, Tay Ninh Province",5.0,338,9.1,0,11.317551,106.103836,,0,0,0,1000000.00,VND,Deluxe King City View,10,2,"Mountain view, City view",0,1,0,0
4139579,Hotels,Vinpearl Hotel Tay Ninh,"No 90 Le Duan Street, Ward 3, Tay Ninh City, Tay Ninh Province",5.0,338,9.1,0,11.317551,106.103836,,0,0,0,1000000.00,VND,Deluxe Twin City View,20,2,"City view, Quiet street view",0,1,0,0
4139579,Hotels,Vinpearl Hotel Tay Ninh,"No 90 Le Duan Street, Ward 3, Tay Ninh City, Tay Ninh Province",5.0,338,9.1,0,11.317551,106.103836,,0,0,0,1150000.00,VND,Business King Mountain View,10,2,City view,0,1,0,0
4139579,Hotels,Vinpearl Hotel Tay Ninh,"No 90 Le Duan Street, Ward 3, Tay Ninh City, Tay Ninh Province",5.0,338,9.1,0,11.317551,106.103836,,0,0,0,1150000.00,VND,Business Twin Mountain View,10,2,City view,0,1,0,0
4139579,Hotels,Vinpearl Hotel Tay Ninh,"No 90 Le Duan Street, Ward 3, Tay Ninh City, Tay Ninh Province",5.0,338,9.1,0,11.317551,106.103836,,0,0,0,1440000.00,VND,Deluxe Twin City View,20,2,"City view, Quiet street view",1,1,0,0
4139579,Hotels,Vinpearl Hotel Tay Ninh,"No 90 Le Duan Street, Ward 3, Tay Ninh City, Tay Ninh Province",5.0,338,9.1,0,11.317551,106.103836,,0,0,0,1440000.00,VND,Deluxe King City View,10,2,"Mountain view, City view",1,1,0,0
4139579,Hotels,Vinpearl Hotel Tay Ninh,"No 90 Le Duan Street, Ward 3, Tay Ninh City, Tay Ninh Province",5.0,338,9.1,0,11.317551,106.103836,,0,0,0,1680000.00,VND,Business Twin Mountain View,10,2,City view,1,1,0,0
4139579,Hotels,Vinpearl Hotel Tay Ninh,"No 90 Le Duan Street, Ward 3, Tay Ninh City, Tay Ninh Province",5.0,338,9.1,0,11.317551,106.103836,,0,0,0,1680000.00,VND,Business King Mountain View,10,2,City view,1,1,0,0
6843909,Hotels,NEW CITY HOTEL,"PG1-18,19 số 444 đường 30/4, Khu phố 1, Phường 3, TP. Tây Ninh, tỉnh Tây Ninh, Việt Nam",2.0,82,9.4,0,11.3200638900879,106.101279050262,,0,0,0,370000.00,VND,Double Room with Balcony,4,2,"Quiet street view, City view, Landmark view",1,0,0,0
6843909,Hotels,NEW CITY HOTEL,"PG1-18,19 số 444 đường 30/4, Khu phố 1, Phường 3, TP. Tây Ninh, tỉnh Tây Ninh, Việt Nam",2.0,82,9.4,0,11.3200638900879,106.101279050262,,0,0,0,400000.00,VND,Double Room with Balcony (2 Adults + 1 Child),6,2,"Mountain view, City view, Quiet street view, Landmark view",1,0,0,0
