hotel_id,accommodation_type_name,hotel_name,address,class,review_nr,review_score,is_city_center,latitude,longitude,activity,room_service,spa,pool,price,currency,room_name,room_count,max_occupancy,view,refundable,breakfast_included,half_board,free_parking
3967258,Hotels,Vinpearl Hotel Thanh Hoa,"27 Tran Phu Street, Dien Bien Ward",5.0,290,8.8,0,19.809401,105.777482,,0,0,0,1000000.00,VND,Deluxe Twin City View,20,2,City view,0,1,0,0
3967258,Hotels,Vinpearl Hotel Thanh Hoa,"27 Tran Phu Street, Dien Bien Ward",5.0,290,8.8,0,19.809401,105.777482,,0,0,0,1000000.00,VND,Deluxe King City View,10,2,City view,0,1,0,0
3967258,Hotels,Vinpearl Hotel Thanh Hoa,"27 Tran Phu Street, Dien Bien Ward",5.0,290,8.8,0,19.809401,105.777482,,0,0,0,1150000.00,VND,Business King City View,10,2,City view,0,1,0,0
3967258,Hotels,Vinpearl Hotel Thanh Hoa,"27 Tran Phu Street, Dien Bien Ward",5.0,290,8.8,0,19.809401,105.777482,,0,0,0,1150000.00,VND,Business Twin City View,10,2,City view,0,1,0,0
3967258,Hotels,Vinpearl Hotel Thanh Hoa,"27 Tran Phu Street, Dien Bien Ward",5.0,290,8.8,0,19.809401,105.777482,,0,0,0,1440000.00,VND,Deluxe Twin City View,20,2,City view,1,1,0,0
3967258,Hotels,Vinpearl Hotel Thanh Hoa,"27 Tran Phu Street, Dien Bien Ward",5.0,290,8.8,0,19.809401,105.777482,,0,0,0,1440000.00,VND,Deluxe King City View,10,2,City view,1,1,0,0
3967258,Hotels,Vinpearl Hotel Thanh Hoa,"27 Tran Phu Street, Dien Bien Ward",5.0,290,8.8,0,19.809401,105.777482,,0,0,0,1930000.00,VND,Business Twin City View,10,2,City view,1,1,0,0
3967258,Hotels,Vinpearl Hotel Thanh Hoa,"27 Tran Phu Street, Dien Bien Ward",5.0,290,8.8,0,19.809401,105.777482,,0,0,0,1930000.00,VND,Business King City View,10,2,City view,1,1,0,0
3967258,Hotels,Vinpearl Hotel Thanh Hoa,"27 Tran Phu Street, Dien Bien Ward",5.0,290,8.8,0,19.809401,105.777482,,0,0,0,2000000.00,VND,Executive Suite King,10,2,,0,1,0,0
3967258,Hotels,Vinpearl Hotel Thanh Hoa,"27 Tran Phu Street, Dien Bien Ward",5.0,290,8.8,0,19.809401,105.777482,,0,0,0,2910000.00,VND,Executive Suite King,10,2,,1,1,0,0
