hotel_name,hotel_address,hotel_distance_center,hotel_location_features,hotel_room,number_of_rooms,room_occupancy,hotel_star,hotel_score,hotel_score_title,hotel_number_reviews,hotel_price,hotel_offer
CHAU KHUONG HOTEL,"10.378066,105.435243",,,Standard Queen Room,,2,3 out of 5,8.1,Very good,52 reviews,"VND 783,000",Breakfast included
The Luxe Hotel Châu Đốc,"10.6943167548476,105.097942355023",,,Standard Queen Room with Two Queen Beds,,4,2 out of 5,8.9,Fabulous,169 reviews,"VND 810,000",
Victoria Chau Doc Hotel,"10.7079874622209,105.124343633652",,,Economy Twin Room,,3,4 out of 5,8.9,Fabulous,224 reviews,"VND 2,216,560",
Victoria Nui Sam Lodge,"10.6715257162746,105.077716112137",,,Superior Twin Room,,2,3 out of 5,8.8,Fabulous,201 reviews,"VND 1,798,264",Breakfast included
Trung Nguyen Hotel,"10.7109011619941,105.118304388598",,,Double Room with Balcony,,2,,7.5,Good,351 reviews,"VND 300,000",
FaMi Nguyễn Homestay Châu Đốc,"10.678384,105.07211",,,Superior Triple Room,,3,,8.2,Very good,42 reviews,"VND 527,000",
Chau Pho Hotel,"10.706216,105.117117",,,Superior Twin Room,,2,3 out of 5,7.9,Good,95 reviews,"VND 740,000","FREE cancellation,• No prepayment needed"
Sang Như Ngọc Resort,"10.4955551889126,105.025337934494",,,Twin Room,,2,,8.6,Fabulous,81 reviews,"VND 855,000","Breakfast included,FREE cancellation,• No prepayment needed"
Minh Kim Guesthouse,"10.6976350278716,105.137540102005",,,Double Room,,2,,8.4,Very good,191 reviews,"VND 185,000","FREE cancellation,• No prepayment needed"
Thien Thanh Hotel,"10.377685,105.439841",,,Deluxe Double or Twin Room,,2,1 out of 5,6.3,Review score,63 reviews,"VND 340,000",
NGOC LINH MOTEL,"10.677345,105.08462",,,Standard Twin Room,,2,,9.2,Superb,17 reviews,"VND 336,000",
Hotel Đăng Khôi Núi Sam,"10.6817371906101,105.08445752821",,,Deluxe Room (2 Adults + 1 Child),,2,2 out of 5,8.3,Very good,51 reviews,"VND 414,000",
KHÁCH SẠN BẾN ĐÁ NÚI SAM,"10.683326,105.084268",,,Standard Queen Room,,2,3 out of 5,6.1,Review score,14 reviews,"VND 700,000",Breakfast included
Cụm Khách sạn Đông Xuyên,"10.3822343217954,105.440704968262",,,Twin Room,,2,3 out of 5,7.2,Good,49 reviews,"VND 800,000",Breakfast included
HIEP HOA HOTEL,"10.6822392122552,105.082465101852",,,Deluxe Double Room,,2,2 out of 5,9.2,Superb,44 reviews,"VND 360,000",
Hotel & Homestay Taiyo,"10.371887232374,105.444491635582",,,Deluxe Double Room,,2,,7.0,Good,12 reviews,"VND 250,000",
Núi Cấm Resort,"10.487179,105.022173",,,Double Room with Garden View,,2,,,,,"VND 1,320,000",Breakfast included
Hung Cuong Hotel,"10.7110525259452,105.117823146627",,,Superior Double Room,,2,2 out of 5,7.7,Good,122 reviews,"VND 585,000",
Phong Lan Guesthouse,"10.6969786923244,105.12382529676",,,Double Room,,2,3 out of 5,8.1,Very good,138 reviews,"VND 250,000",
Hai Van Guesthouse,"10.7004003180328,105.113679249915",,,Double Room with Private Bathroom,,2,3 out of 5,7.6,Good,394 reviews,"VND 263,500",
Ngoc Kha Tu 1 Hotel,"10.3596196172834,105.437471653408",,,Superior King Room,,2,1 out of 5,7.0,Good,52 reviews,"VND 270,000",
Khách sạn nhà nghỉ Thanh Xuân,"10.378346,105.432323",,,Double Room,,2,,6.4,Review score,12 reviews,"VND 130,000",
Khách sạn 20,"10.704678,105.130471",,,Double Room with Lake View,,2,,7.9,Good,66 reviews,"VND 140,000",
Dong Xanh Hotel,"10.6979354444596,105.126435713895",,,Economy Triple Room,,3,2 out of 5,7.5,Good,277 reviews,"VND 400,000",
Long Xuyen Hotel,"10.3824113608255,105.440136864782",,,Superior Twin Room,,2,3 out of 5,6.9,Review score,27 reviews,"VND 690,000",Breakfast included
hotel đăng khôi 2,"10.719047,105.119935",,,Deluxe Double Room (1 adult + 2 children),,2,1 out of 5,,,,"VND 350,000",
Minh Trang Motel,"10.6837902690608,105.08508682251",,,Double Room,,2,,8.6,Fabulous,180 reviews,"VND 344,250",
NGỌC MẤY - ĐẠI LỢI HOTEL,"10.706522,105.114446",,,Standard King Room,,2,2 out of 5,7.6,Good,18 reviews,"VND 650,000",
Nhà nghỉ Hoàng Huân,"10.3770118914261,105.432608135899",,,Standard Double Room,,4,,7.5,Good,21 reviews,"VND 300,000",
Dong Bao Hotel,"10.7089730979928,105.118670718796",,,Small Double Room,,2,1 out of 5,8.0,Very good,197 reviews,"VND 315,000","FREE cancellation,• No prepayment needed"
Ngoc Kha Tu 2 Hotel,"10.41586,105.412529",,,Double Room,,2,,7.1,Good,15 reviews,"VND 290,000",
Ngoc May Guesthouse,"10.699124,105.1176272",,,Double Room,,2,3 out of 5,7.8,Good,35 reviews,"VND 270,000",
Nhà Trọ Kim Ánh,"10.376362,105.438154",,,Triple Room,,2,,7.6,Good,10 reviews,"VND 120,000","FREE cancellation,• No prepayment needed"
Khách Sạn Ngọc Hân,"10.620375,105.001557",,,Double Room,,2,1 out of 5,7.3,Good,10 reviews,"VND 297,500",
Hostel Đặng Lợi,"10.6989067202426,105.127321096313",,,Double Room with Mountain View,,2,,8.7,Fabulous,117 reviews,"VND 378,675","FREE cancellation,• No prepayment needed"
Murray Guesthouse,"10.7053018723037,105.129391551018",,,Standard Double Room,,2,3 out of 5,9.1,Superb,383 reviews,"VND 621,000",Breakfast included
Kieu Lan Hotel,"10.6697334,105.0759593",,,Superior Double Room,,2,,8.0,Very good,25 reviews,"VND 550,000",
Nhà Ngói Xưa ( Homestay Services Mekong River ),"10.409849805863,105.424533080136",,,Two-Bedroom Chalet,,9,,,,,"VND 350,000",
PHƯỚC LỘC,"10.593912,105.353555",,,Double Room,,2,1 out of 5,,,,"VND 150,000",
Bao Thy Hotel,"10.720229,105.121633",,,Deluxe Room (2 Adults + 1 Child),,2,,9.0,Superb,497 reviews,"VND 230,000",
Khách sạn Vạn Xuân 79,"10.671255,105.084969",,,Triple Room,,3,,7.8,Good,5 reviews,"VND 600,000","FREE cancellation,• No prepayment needed"
An Long Hotel,"10.3922891,105.4260841",,,Double Room,,2,1 out of 5,6.5,Review score,38 reviews,"VND 270,000",
NHÀ NGHỈ CHÂU TIẾN,"10.699695,105.144787",,,King Room with Roll-In Shower - Disability Access,,2,,,,,"VND 252,500",
Hai Chau Hotel,"10.7116718327265,105.117954568989",,,Twin Room,,2,2 out of 5,6.3,Review score,56 reviews,"VND 450,000",Breakfast included
SFO Hotel,"10.678384,105.0721103",,,Deluxe Room,,2,1 out of 5,6.7,Review score,6 reviews,"VND 550,000",
Chau Doc Homestay,"10.68219038664,105.162216424942",,,Double Room with Private Bathroom,,2,,,,,"VND 640,000",Breakfast & dinner included
Nhà Nghỉ HOA LÝ,"10.7078004295986,105.122984942744",,,Double Room with Private Bathroom,,4,,6.1,Review score,5 reviews,"VND 500,000",
Little Saigon Homestay,"10.699505,105.116558",,,Standard Double Room,,2,,9.2,Superb,11 reviews,"VND 500,000",
Nhà Nghỉ Mỹ Sơn,"10.682961,105.085331",,,Double Room,,2,,,,,"VND 250,000",
Nhất phương,"10.378922,105.439438",,,Double Room,,2,,,,,"VND 120,000",
VILLA CHÂU ĐỐC,"10.694381451681,105.097883875529",,,Villa,,10,,,,,"VND 1,220,000",
Homestay Khoa Chaudoc,"10.7089830295173,105.117607696374",,,Double Room,,2,,9.8,Exceptional,8 reviews,"VND 300,000","FREE cancellation,• No prepayment needed"
Hero Hostel & Billiards,"10.7069033366392,105.123885377747",,,Double Room,,2,,,,,"VND 486,000",
