hotel_name,hotel_address,hotel_distance_center,hotel_location_features,hotel_room,number_of_rooms,room_occupancy,hotel_star,hotel_score,hotel_score_title,hotel_number_reviews,hotel_price,hotel_offer
Mandala Hotel & Spa Bac Ninh,"21.188228,106.076679",1.3 km from centre,,Deluxe Room,,2,5 out of 5,8.7,Fabulous,105 reviews,"VND 1,468,800",Breakfast included
Muong Thanh Luxury Bac Ninh Hotel,"21.1839224446221,106.066590988194",800 m from centre,,Deluxe King Room,,2,5 out of 5,7.8,Good,45 reviews,"VND 1,117,800","Breakfast included,FREE cancellation,• No prepayment needed"
Grand Phoenix Hotel Bac Ninh,"21.172093,106.061527",1.2 km from centre,,Standard Twin Room,,2,5 out of 5,9.6,Exceptional,8 reviews,"VND 1,850,000",Breakfast included
Hana 1 Apartment & Hotel Bac Ninh,"21.1712295066927,106.055129092638",1.9 km from centre,,Executive Suite,,2,,9.0,Superb,48 reviews,"VND 748,125",Breakfast included
Hana 2 Apartment & Hotel Bac Ninh,"21.1709448186437,106.055504229153",1.8 km from centre,,Suite with City View,,2,3 out of 5,8.8,Fabulous,27 reviews,"VND 735,000",Breakfast included
Center Hotel Bac Ninh,"21.1861602294768,106.078788433224",1.2 km from centre,,Deluxe Double or Twin Room,,2,3 out of 5,8.3,Very good,55 reviews,"VND 795,000",Breakfast included
Tu Son Luxury Hotel,"21.1176866669071,105.961098466069",13 km from centre,,Superior Double Room,,2,3 out of 5,8.4,Very good,9 reviews,"VND 760,000","Breakfast included,FREE cancellation,• No prepayment needed"
Le Indochina Hotel,"21.1788917867085,106.070918266195",100 m from centre,,Deluxe Double Room,,2,5 out of 5,8.2,Very good,46 reviews,"VND 1,600,000",Breakfast included
Phoenix Resort Bac Ninh,"21.2009451288822,106.092387416394",3.4 km from centre,,Superior Double Room,,2,5 out of 5,7.9,Good,14 reviews,"VND 1,100,000","Breakfast included,FREE cancellation,• No prepayment needed"
The Grand Hotel,"21.111481,105.947983",14 km from centre,,Standard King Room,,2,,8.3,Very good,11 reviews,"VND 520,000",
Motel Xuân Hòa,"21.18602,106.065549",1.1 km from centre,,Double Room,,2,3 out of 5,8.5,Very good,20 reviews,"VND 282,150",
GOLD BUSINESS HOTEL,"21.17816,106.067871",350 m from centre,,Deluxe Single Room with Balcony,2 ×,1,4 out of 5,,,,"VND 1,700,000",Breakfast included
SPOT ON 688 Anh Tuan Hotel,"21.159477,106.039056",4 km from centre,,Superior Family Room,,4,2 out of 5,4.6,Review score,10 reviews,"VND 199,536",
VIZGOO HOTEL,"21.181644,106.07802",850 m from centre,,Deluxe Double Room,,2,3 out of 5,,,,"VND 899,000",Breakfast included
Family88888,"21.120828,105.975129",11 km from centre,,Single Room with Balcony,2 ×,1,4 out of 5,,,,"VND 1,400,000",Breakfast included
Ninh Phong Hotel,"21.199937,105.996265",8 km from centre,,Deluxe Queen Room with Two Queen Beds,,4,,7.6,Good,3 reviews,"VND 495,000",
AMY-DONGDO PLAZA HOTEL,"21.170048,106.059006",1.6 km from centre,,Twin Room with City View,,2,4 out of 5,8.7,Fabulous,6 reviews,"VND 756,000","Breakfast included,FREE cancellation,• No prepayment needed"
Piano Hotel,"21.112319,105.949752",14 km from centre,,Double Room,2 ×,1,2 out of 5,,,,"VND 800,000",
