hotel_name,hotel_address,hotel_distance_center,hotel_location_features,hotel_room,number_of_rooms,room_occupancy,hotel_star,hotel_score,hotel_score_title,hotel_number_reviews,hotel_price,hotel_offer
Adora Central Park Hostel,"10.0333973807334,105.779000787697",450 m from centre,,Phòng Nhóm lớn có Ban Công,,8,3 out of 5,8.8,Fabulous,339 reviews,"VND 800,000",
Vinpearl Hotel Can Tho,"10.0246731414993,105.774492323399",1.4 km from centre,,Deluxe King River View,,2,5 out of 5,9.2,Superb,"1,335 reviews","VND 2,400,000",Breakfast included
Muong Thanh Luxury Can Tho Hotel,"10.0427837518029,105.790036453476",1.4 km from centre,,Deluxe Twin Room,,2,5 out of 5,8.1,Very good,511 reviews,"VND 1,354,500",Breakfast included
Con Khuong Resort Can Tho,"10.0666369697588,105.777142244389",3.8 km from centre,,Deluxe Twin Room,,2,4 out of 5,9.0,Superb,217 reviews,"VND 1,146,650",Breakfast included
TTC Hotel - Can Tho,"10.0361122050408,105.78988015159",850 m from centre,,Deluxe Twin City View,,2,4 out of 5,8.9,Fabulous,577 reviews,"VND 1,118,373",Breakfast included
Azerai Can Tho,"10.0384303249763,105.800855755806",2 km from centre,,Garden Room,,2,5 out of 5,9.6,Exceptional,105 reviews,"VND 6,022,170",Breakfast included
Can Tho Ecolodge,"9.98765698238468,105.740094843269",6 km from centre,,Superior Deluxe Double or Twin Room,,2,4 out of 5,8.8,Fabulous,360 reviews,"VND 1,466,300","Breakfast included,FREE cancellation,• No prepayment needed"
KP Hotel,"10.031745,105.786208",400 m from centre,,Standard Double Room,,2,,9.0,Superb,"1,114 reviews","VND 741,804","Breakfast included,FREE cancellation,• No prepayment needed"
Nesta Can Tho Hotel,"10.0517828838418,105.789536833763",2.2 km from centre,,Superior Twin Room,,2,4 out of 5,8.0,Very good,423 reviews,"VND 945,250",Breakfast included
Victoria Can Tho Resort,"10.0427679043728,105.791870355606",1.4 km from centre,,Superior Double or Twin Room,,2,4 out of 5,9.3,Superb,198 reviews,"VND 2,103,306","Breakfast included,FREE cancellation,• No prepayment needed"
LION HOTEL,"10.043702,105.778652",1.3 km from centre,,Quadruple Room,,3,3 out of 5,8.3,Very good,248 reviews,"VND 585,000",
Apple Hotel,"10.0150194848367,105.763459917826",3 km from centre,,Standard Double Room,,2,3 out of 5,8.7,Fabulous,67 reviews,"VND 450,000",Breakfast included
Magnolia's Can Tho,"10.03096,105.785119",350 m from centre,,Studio with Balcony,,2,,8.9,Fabulous,245 reviews,"VND 646,000",Breakfast included
Dong Ha Fortuneland Hotel,"10.0464324262869,105.787401795387",1.6 km from centre,,Deluxe Double Room,,2,4 out of 5,7.9,Good,134 reviews,"VND 1,428,000","Breakfast included,FREE cancellation,• No prepayment needed"
VẠN LỘC HOTEL,"10.0299846706613,105.784502327443",450 m from centre,,Standard King Room,,2,2 out of 5,8.4,Very good,348 reviews,"VND 315,000","FREE cancellation,• No prepayment needed"
Henry Iris Hotel,"10.032963,105.78759",550 m from centre,,Deluxe King Room,,2,,8.0,Very good,344 reviews,"VND 495,200",
Amazon 1,"10.03269,105.779274",450 m from centre,,Deluxe Double Room with Balcony,,2,1 out of 5,8.0,Very good,351 reviews,"VND 252,000","FREE cancellation,• No prepayment needed"
Binh Minh Eco Lodge,"10.0529676203604,105.803940811132",3.2 km from centre,,Double Room with Lake View,,2,,9.7,Exceptional,63 reviews,"VND 2,500,000",Breakfast included
Aura Hotel,"10.0434327195728,105.786590079901",1.2 km from centre,,Superior Quadruple Room,,4,3 out of 5,7.5,Good,310 reviews,"VND 594,000",
Holiday Hotel,"10.0440250711633,105.785247981548",1.2 km from centre,,Deluxe Double Room,,2,3 out of 5,6.0,Review score,8 reviews,"VND 550,000",
Kim Thuy Ngan Ha Hotel,"10.034028,105.787461",500 m from centre,,Double Room,,2,,6.8,Review score,112 reviews,"VND 300,000","FREE cancellation,• No prepayment needed"
Linh Phuong 2 Hotel,"10.0442891812126,105.786323547363",1.3 km from centre,,Suite,,2,3 out of 5,8.2,Very good,20 reviews,"VND 1,026,000","FREE cancellation,• No prepayment needed"
HOLIDAY 2 HOTEL,"10.043442,105.786609",1.2 km from centre,,Superior Twin Room,,2,3 out of 5,8.4,Very good,43 reviews,"VND 645,920",Breakfast included
MIDMOST Boutique Hostel,"10.034297,105.784941",250 m from centre,,Deluxe Double Room,,2,,9.0,Superb,289 reviews,"VND 439,000",
Holiday One Can Tho Hotel,"10.0445348033649,105.785714685917",1.3 km from centre,,Deluxe Double Room,,2,4 out of 5,7.5,Good,235 reviews,"VND 999,400",Breakfast included
OYO 971 Lam Hoang Hotel,"10.047021651383,105.787921071314",1.6 km from centre,,Deluxe Double Room,,2,2 out of 5,7.3,Good,126 reviews,"VND 161,624",
Amazon 1,"10.03269,105.779274",450 m from centre,,Deluxe Double Room with Balcony,,2,1 out of 5,8.0,Very good,351 reviews,"VND 252,000","FREE cancellation,• No prepayment needed"
Binh Minh Eco Lodge,"10.0529676203604,105.803940811132",3.2 km from centre,,Double Room with Lake View,,2,,9.7,Exceptional,63 reviews,"VND 2,500,000",Breakfast included
Holiday Hotel,"10.0440250711633,105.785247981548",1.2 km from centre,,Deluxe Double Room,,2,3 out of 5,6.0,Review score,8 reviews,"VND 550,000",
Kim Thuy Ngan Ha Hotel,"10.034028,105.787461",500 m from centre,,Double Room,,2,,6.8,Review score,112 reviews,"VND 300,000","FREE cancellation,• No prepayment needed"
Linh Phuong 2 Hotel,"10.0442891812126,105.786323547363",1.3 km from centre,,Suite,,2,3 out of 5,8.2,Very good,20 reviews,"VND 1,026,000","FREE cancellation,• No prepayment needed"
PHUC LONG 2 HOTEL,"10.030646,105.785643",450 m from centre,,Deluxe Room,,2,2 out of 5,7.1,Good,89 reviews,"VND 200,000",
Max Hostel,"10.010859,105.79143",2.7 km from centre,,Superior Double Room,,2,,8.4,Very good,359 reviews,"VND 270,000","FREE cancellation,• No prepayment needed"
Aluny,"10.030035,105.786241",550 m from centre,,Queen Room,,2,,8.8,Fabulous,60 reviews,"VND 450,000",
09 Homestay,"10.0155992582278,105.785615488795",2 km from centre,,Queen Room with Garden View,,2,,8.8,Fabulous,20 reviews,"VND 344,000",
Number One Hotel,"10.0297412594925,105.787571338623",650 m from centre,,Double Room,,2,,6.4,Review score,169 reviews,"VND 243,000",
Saigon Can Tho Hotel,"10.0324515571279,105.78693240881",450 m from centre,,Senior Twin Room,,2,3 out of 5,6.8,Review score,42 reviews,"VND 600,000",Breakfast included
Motel Thanh Hằng,"10.0328927726632,105.785763662878",350 m from centre,,Deluxe Double Room,,2,,8.5,Very good,167 reviews,"VND 240,000",
Holiday One Can Tho Hotel,"10.0445348033649,105.785714685917",1.3 km from centre,,Deluxe Double Room,,2,4 out of 5,7.5,Good,235 reviews,"VND 999,400",Breakfast included
Rabbit Hostel Can Tho,"10.0092384259221,105.79234332547",2.9 km from centre,,Double Room with Balcony,,2,,9.3,Superb,124 reviews,"VND 255,000","FREE cancellation,• No prepayment needed"
Anh Dao Mekong 2 Hotel,"10.0264265397324,105.749564909262",3.8 km from centre,,Standard Double Room,,2,3 out of 5,8.1,Very good,108 reviews,"VND 693,000","Breakfast included,FREE cancellation,• No prepayment needed"
Mekong Rose Hotel,"10.045618,105.784086",1.4 km from centre,,Economy Double Room,,2,2 out of 5,8.3,Very good,74 reviews,"VND 259,000",
AN NGỌC HOTEL,"10.046217,105.783486",1.4 km from centre,,Superior Double Room,,2,2 out of 5,8.1,Very good,34 reviews,"VND 288,000",
Hau Giang 2 Hotel,"10.0303306697889,105.786792933941",550 m from centre,,Superior Twin Room,,2,2 out of 5,6.8,Review score,91 reviews,"VND 445,500",Breakfast included
Mỹ Ngọc Hotel,"10.030686,105.787022",550 m from centre,,Triple Room with Garden View,,3,2 out of 5,7.6,Good,49 reviews,"VND 700,000",
54 Homestay,"10.0331220540518,105.785854658401",350 m from centre,,4-Bed Mixed Dormitory Room,,2,,8.7,Fabulous,55 reviews,"VND 252,000",
Little Dalat Coffee and Homestay,"10.024704427502,105.750458621924",3.7 km from centre,,One-Bedroom Apartment,,2,3 out of 5,8.6,Fabulous,45 reviews,"VND 440,000",
Thuy Ha Hotel,"10.0349,105.7817589",250 m from centre,,Standard Double Room,,2,,8.0,Very good,90 reviews,"VND 250,000",
K2 Homestay & Coffee,"10.0386523627193,105.783988947256",650 m from centre,,Double Room with Private Bathroom,,2,,8.9,Fabulous,122 reviews,"VND 500,000","FREE cancellation,• No prepayment needed"
BangBang Motel,"10.0390705042334,105.783305668301",650 m from centre,,Standard Double Room with Shared Bathroom,,2,,8.6,Fabulous,329 reviews,"VND 180,000",
54 Homestay,"10.0331220540518,105.785854658401",350 m from centre,,4-Bed Mixed Dormitory Room,,2,,8.7,Fabulous,55 reviews,"VND 252,000",
Little Dalat Coffee and Homestay,"10.024704427502,105.750458621924",3.7 km from centre,,One-Bedroom Apartment,,2,3 out of 5,8.6,Fabulous,45 reviews,"VND 440,000",
Thuy Ha Hotel,"10.0349,105.7817589",250 m from centre,,Standard Double Room,,2,,8.0,Very good,90 reviews,"VND 250,000",
BangBang Motel,"10.0390705042334,105.783305668301",650 m from centre,,Standard Double Room with Shared Bathroom,,2,,8.6,Fabulous,329 reviews,"VND 180,000",
OYO 1148 Thien Huong Hotel,"10.0422919261493,105.777899273671",1.1 km from centre,,Deluxe Triple Room,,3,1 out of 5,6.1,Review score,25 reviews,"VND 199,536",
Moony hostel,"10.031185,105.755656",3 km from centre,,Deluxe Double Room with Balcony,,2,,7.8,Good,29 reviews,"VND 200,000",
VIVA MOTEL,"10.0343932,105.7886671",650 m from centre,,Standard Double Room,,2,,7.4,Good,58 reviews,"VND 350,000",
Huynh Lac Can Tho Hotel,"10.0320659422811,105.784596204758",250 m from centre,,Standard Double Room,,2,2 out of 5,7.5,Good,50 reviews,"VND 297,000","FREE cancellation,• No prepayment needed"
Thiên Bảo Hotel,"10.03204,105.779543",450 m from centre,,King Room with Balcony,,4,,8.2,Very good,12 reviews,"VND 225,000",
