hotel_name,hotel_address,hotel_distance_center,hotel_location_features,hotel_room,number_of_rooms,room_occupancy,hotel_star,hotel_score,hotel_score_title,hotel_number_reviews,hotel_price,hotel_offer
Deja Vu homestay,"16.4488726014503,107.581953057088",1.9 km from centre,,King Room,,2,,8.7,Fabulous,42 reviews,"VND 326,700","FREE cancellation,• No prepayment needed"
Vinpearl Hotel Hue,"16.463738,107.594339",500 m from centre,,Deluxe Twin Room,,2,5 out of 5,9.3,Superb,795 reviews,"VND 1,515,000",Breakfast included
Alba Wellness Resort By Fusion,"16.4866809184294,107.394263825378",21 km from centre,,Spa and Onsen Package - Deluxe Room,,2,5 out of 5,9.1,Superb,196 reviews,"VND 4,178,877",Breakfast included
Pilgrimage Village Boutique Resort & Spa,"16.4354008614919,107.58060336113",3.3 km from centre,,Superior Twin Room,,2,5 out of 5,9.3,Superb,703 reviews,"VND 1,378,964",Breakfast included
Hue Serene Palace Hotel,"16.4703466519013,107.597286701202",1.1 km from centre,,Superior Double or Twin Room,,2,3 out of 5,9.1,Superb,"1,203 reviews","VND 405,000","FREE cancellation,• No prepayment needed"
Vedana Lagoon Resort & Spa,"16.2876630387088,107.859864234924",34 km from centre,,Lagoon View Deluxe,,2,5 out of 5,9.4,Superb,415 reviews,"VND 1,672,866",Breakfast included
Alba Spa Hotel,"16.4652640191219,107.595366239548",600 m from centre,,Deluxe Double or Twin Room,,2,4 out of 5,9.1,Superb,"1,290 reviews","VND 912,000","FREE cancellation,• No prepayment needed"
Huong Giang Hotel Resort & Spa,"16.4716661597715,107.594743967056",1.1 km from centre,,Deluxe Double or Twin Room with River View,,2,4 out of 5,8.3,Very good,656 reviews,"VND 1,214,400",Breakfast included
Lapochine Beach Resort (formerly Ana Mandara Hue),"16.5593940077592,107.652148604393",12 km from centre,,Deluxe Twin Room,,2,4 out of 5,9.0,Superb,475 reviews,"VND 2,084,510",Breakfast included
Rosaleen Boutique Hotel,"16.4695364233184,107.595366239548",900 m from centre,,Superior Double or Twin Room,,2,3 out of 5,9.2,Superb,"1,849 reviews","VND 486,000","FREE cancellation,• No prepayment needed"
Muong Thanh Holiday Hue Hotel,"16.4699711178047,107.593716681004",850 m from centre,,Deluxe Twin Room,,2,4 out of 5,8.0,Very good,166 reviews,"VND 1,091,500",Breakfast included
Hue Nino Hotel,"16.4718539252684,107.595814168453",1.1 km from centre,,Superior King Room,,2,3 out of 5,9.0,Superb,"1,603 reviews","VND 319,000","FREE cancellation,• No prepayment needed"
The Scarlett Boutique Hotel,"16.4663059379624,107.594556802447",600 m from centre,,Passion Room,,2,3 out of 5,9.5,Exceptional,"1,402 reviews","VND 549,546","FREE cancellation,• No prepayment needed"
Senna Hue Hotel,"16.465979,107.59402",500 m from centre,,Deluxe Double or Twin Room,,2,5 out of 5,9.1,Superb,36 reviews,"VND 1,831,060",Breakfast included
Saigon Morin Hotel,"16.4671474439277,107.590550184123",400 m from centre,,Colonial Deluxe Double or Twin Rooom,,2,4 out of 5,8.7,Fabulous,694 reviews,"VND 1,160,251",Breakfast included
Silk Path Grand Hue Hotel & Spa,"16.4578378884416,107.580018639565",1.2 km from centre,,Premium Classic Double or Twin Room,,2,5 out of 5,8.9,Fabulous,26 reviews,"VND 2,166,720","FREE cancellation,• No prepayment needed"
Poetic Hue Hotel & Spa,"16.4702658124736,107.596398210641",1.1 km from centre,,Deluxe Double Room,,2,,8.3,Very good,361 reviews,"VND 323,000",Breakfast included
Cherish Hue Hotel,"16.4654908884985,107.594784200191",550 m from centre,,Twin Room with City View,,2,4 out of 5,8.8,Fabulous,"1,700 reviews","VND 778,800","Breakfast included,FREE cancellation,• No prepayment needed"
"Azerai La Residence, Hue","16.4590108604505,107.580034732819",1.2 km from centre,,Superior Standard Double or Twin Room,,2,5 out of 5,9.3,Superb,103 reviews,"VND 3,961,650",Breakfast included
Indochine Palace,"16.4603175840714,107.597957253456",950 m from centre,,Deluxe Double or Twin Room,,2,5 out of 5,9.2,Superb,343 reviews,"VND 1,490,400",Breakfast included
Gold Hotel,"16.4685847219268,107.598625123501",1.1 km from centre,,Superior Double or Twin Room,,2,4 out of 5,7.6,Good,489 reviews,"VND 500,000",Breakfast included
Thanh Lich Royal Boutique,"16.460446198125,107.589379549026",400 m from centre,,Superior Double Room,,2,4 out of 5,8.6,Fabulous,983 reviews,"VND 902,400",
Thien Phu Hotel,"16.4540373,107.5872751",1.1 km from centre,,Double Room,,2,1 out of 5,7.4,Good,289 reviews,"VND 243,000",
Alba Hotel,"16.461707182968,107.590099573008",250 m from centre,,Superior Double or Twin Room,,2,3 out of 5,8.7,Fabulous,434 reviews,"VND 505,600","FREE cancellation,• No prepayment needed"
Villa Hue Hotel,"16.4650556694893,107.595940232277",700 m from centre,,Superior Double Room,,2,4 out of 5,9.0,Superb,320 reviews,"VND 746,837","Breakfast included,FREE cancellation,• No prepayment needed"
Sunshine Hostel Hue,"16.46844835656,107.594942450523",750 m from centre,,Double Room,,2,1 out of 5,8.4,Very good,"1,397 reviews","VND 270,000",Breakfast included
Hue River Side Villa,"16.4727503115325,107.59592952209",1.2 km from centre,,Deluxe Villa,,2,3 out of 5,9.7,Exceptional,562 reviews,"VND 652,192",Breakfast included
Baly Hotel,"16.4616860332274,107.599883079529",1.1 km from centre,,Standard Double Room,,2,3 out of 5,8.5,Very good,236 reviews,"VND 450,000",
Mondial Hotel,"16.457719561924,107.583478689194",1 km from centre,,Superior Double or Twin Room with City View,,2,4 out of 5,8.2,Very good,195 reviews,"VND 629,000","FREE cancellation,• No prepayment needed"
Thanh Tan Hot Springs By Fusion,"16.4901434700194,107.382034063339",22 km from centre,,Superior Twin Room,,2,3 out of 5,8.9,Fabulous,21 reviews,"VND 1,664,154",Breakfast included
Amona Hotel,"16.472295165538,107.595877498776",1.1 km from centre,,Superior Double Room,,2,2 out of 5,8.5,Very good,333 reviews,"VND 494,000",
Na Na Homestay,"16.463712,107.590863",100 m from centre,,Deluxe Room,,2,,8.8,Fabulous,96 reviews,"VND 325,000",Breakfast included
Sunshine Hostel 3 Huế,"16.470259,107.59636",1 km from centre,,Double Room,,2,,8.4,Very good,798 reviews,"VND 255,000",Breakfast included
Carnosa Hotel Hue,"16.4722438881108,107.595698841768",1.1 km from centre,,Double Room,,2,3 out of 5,8.0,Very good,308 reviews,"VND 408,000",Breakfast included
Sapphire Hotel Hue,"16.4689997802241,107.597042811184",1 km from centre,,Deluxe Quadruple Room,,4,2 out of 5,9.1,Superb,385 reviews,"VND 697,000",
ÊMM Hotel Hue,"16.4598700064998,107.591530680656",500 m from centre,,Superior Double or Twin Room,,2,4 out of 5,8.9,Fabulous,185 reviews,"VND 742,628",
Gardenia Hue Hotel,"16.47055,107.596012",1 km from centre,,Standard Double or Twin Room,,2,3 out of 5,9.2,Superb,341 reviews,"VND 469,248",
La Paix Hue,"16.4812886042596,107.595454520169",2 km from centre,,Deluxe Room,,2,3 out of 5,9.4,Superb,275 reviews,"VND 690,000",Breakfast included
Jade Hotel,"16.4646106278295,107.593716688955",450 m from centre,,Standard Double Room,,2,2 out of 5,9.0,Superb,"1,469 reviews","VND 255,150","FREE cancellation,• No prepayment needed"
Purple Hue Central Hub,"16.46586,107.594192",550 m from centre,,Budget Double Room,,2,,9.4,Superb,681 reviews,"VND 350,000","Breakfast included,FREE cancellation,• No prepayment needed"
Asia Hotel Hue,"16.4689139596937,107.594752013683",800 m from centre,,Executive Deluxe Room,,2,4 out of 5,8.4,Very good,58 reviews,"VND 640,000",
Thành đạt Homestay,"16.461486,107.589027",300 m from centre,,Deluxe Room,,2,,7.1,Good,124 reviews,"VND 180,000",
Tùng Homestay,"16.464861,107.595483",600 m from centre,,Double Room with Garden View,,2,3 out of 5,9.3,Superb,223 reviews,"VND 231,000",
IBIZA Hostel,"16.470607894498,107.597317190738",1.1 km from centre,,Deluxe Double or Twin Room,,2,,9.3,Superb,510 reviews,"VND 227,700",Breakfast included
Moonlight Hotel Hue,"16.4693640885481,107.59413510561",800 m from centre,,Deluxe Double with City View,,2,4 out of 5,8.8,Fabulous,651 reviews,"VND 751,740",
Hotel La Perle,"16.4702286545368,107.597073800862",1.1 km from centre,,Superior Double or Twin Room,,2,3 out of 5,9.5,Exceptional,"1,832 reviews","VND 374,000","Breakfast included,FREE cancellation,• No prepayment needed"
Bien Khoi Mini Hotel,"16.461421150407,107.588371906746",350 m from centre,,Budget Double Room,,2,2 out of 5,6.9,Review score,143 reviews,"VND 150,000",
Pilgrimage Wellness Retreat,"16.425444,107.578572",4.5 km from centre,,Pool Access Villa with Wellness Retreat package,,2,5 out of 5,,,,"VND 5,905,386",Breakfast included
Amigo Hue Hotel,"16.4699942671879,107.594314813614",850 m from centre,,Superior Double or Twin Room,,2,2 out of 5,8.5,Very good,645 reviews,"VND 255,680",
Hue 1962 INN,"16.472332,107.574877",1.9 km from centre,,Family Room,,2,,9.4,Superb,32 reviews,"VND 376,802",
Holiday Diamond Hotel,"16.4715375531618,107.5954413414",1.1 km from centre,,Superior Double Room,,2,3 out of 5,9.3,Superb,712 reviews,"VND 292,640","FREE cancellation,• No prepayment needed"
The G.Hotel Hue,"16.4717476459993,107.596873262566",1.2 km from centre,,Standard Double Room,,2,3 out of 5,9.0,Superb,154 reviews,"VND 504,000","Breakfast included,FREE cancellation,• No prepayment needed"
Champa Hue Hotel,"16.4678696567254,107.600891590118",1.3 km from centre,,Superior Double Room,,2,2 out of 5,7.0,Good,70 reviews,"VND 170,000",
DMZ Hotel,"16.4690219907141,107.593405544758",700 m from centre,,Standard Double or Twin Room,,2,2 out of 5,8.3,Very good,157 reviews,"VND 361,800","FREE cancellation,• No prepayment needed"
Leranda Homestay,"16.471089,107.596173",1.1 km from centre,,Superior Queen Room,,2,,9.3,Superb,11 reviews,"VND 920,700",Breakfast included
Sunny A Hotel,"16.4648473196328,107.592823505402",350 m from centre,,Standard Double Room,,2,2 out of 5,8.9,Fabulous,647 reviews,"VND 243,000","FREE cancellation,• No prepayment needed"
Orchid Hotel,"16.4697874659493,107.595308572054",900 m from centre,,Romantic Room,,2,3 out of 5,9.1,Superb,"1,064 reviews","VND 403,417","FREE cancellation,• No prepayment needed"
