hotel_name,hotel_address,hotel_distance_center,hotel_location_features,hotel_room,number_of_rooms,room_occupancy,hotel_star,hotel_score,hotel_score_title,hotel_number_reviews,hotel_price,hotel_offer
Ja Cosmo Hotel and Spa,"21.0312995130127,105.855739116669",550 m from centre,,Day Use Offer (4 Hours) - Deluxe Room,,2,3 out of 5,9.5,Exceptional,862 reviews,"VND 221,428","FREE cancellation,• No prepayment needed"
The Oriental Jade Hotel,"21.0296450377077,105.850278131283",300 m from centre,,Oriental Pearl Twin,,2,5 out of 5,9.5,Exceptional,"1,541 reviews","VND 1,097,012",
Peridot Grand Hotel & Spa by AIRA,"21.033082,105.846272",900 m from centre,,Chic Deluxe,,2,5 out of 5,9.6,Exceptional,361 reviews,"VND 1,453,145",
Sofitel Legend Metropole Hanoi,"21.0256664587259,105.855524539948",450 m from centre,,Opera Wing - Premium Twin Room,,2,5 out of 5,9.3,Superb,688 reviews,"VND 4,316,876","FREE cancellation,• No prepayment needed"
Acoustic Hotel & Spa,"21.027695,105.844548",850 m from centre,,Deluxe Double or Twin Room with City View,,2,4 out of 5,9.4,Superb,"2,882 reviews","VND 850,117",
La Sinfonía del Rey Hotel & Spa,"21.0311663967357,105.853974031391",450 m from centre,,Superior Room without Window,,2,4 out of 5,9.5,Exceptional,515 reviews,"VND 849,000",
Hanoi Paradise Center Hotel & Spa,"21.0305154403295,105.856129186508",500 m from centre,,Deluxe Double or Twin Room,,2,4 out of 5,9.5,Exceptional,"1,330 reviews","VND 557,066","Breakfast included,FREE cancellation,• No prepayment needed"
Mövenpick Hotel Hanoi,"21.025098134315,105.844087600708",950 m from centre,,Superior King Room,,2,5 out of 5,8.5,Very good,433 reviews,"VND 2,079,000","FREE cancellation,• No prepayment needed"
Melia Hanoi,"21.0243795888964,105.847907066345",600 m from centre,,Deluxe Room,,2,5 out of 5,8.8,Fabulous,498 reviews,"VND 2,974,472",
Hanoi Emerald Waters Hotel & Spa,"21.0313184682132,105.855121364418",500 m from centre,,Deluxe Twin Room,,2,4 out of 5,9.3,Superb,685 reviews,"VND 713,700","FREE cancellation,• No prepayment needed"
Lotte Hotel Hanoi,"21.0319496476565,105.812703073025",4.2 km from centre,,Deluxe Twin Room,,2,5 out of 5,9.1,Superb,623 reviews,"VND 2,714,318",
"InterContinental Hanoi Westlake, an IHG hotel","21.0589910137589,105.831915736198",4.1 km from centre,,Superior Room,,2,5 out of 5,8.7,Fabulous,533 reviews,"VND 2,180,221","FREE cancellation,• No prepayment needed"
JW Marriott Hotel Hanoi,"21.0081775985701,105.781999826431",7 km from centre,,"Deluxe City View, Guest room, 2 Double, City view",,2,5 out of 5,8.9,Fabulous,314 reviews,"VND 3,630,000",
Halais Hotel,"21.017079,105.848663",1.3 km from centre,,Superior Double or Twin Room with City View,,2,4 out of 5,8.7,Fabulous,456 reviews,"VND 541,800","Breakfast included,FREE cancellation,• No prepayment needed"
Hanoi Ancient Paradise Hotel & Travel,"21.037119,105.851412",1.1 km from centre,,Day Use Offer (3 Hours) - Deluxe Room,,2,3 out of 5,9.3,Superb,219 reviews,"VND 273,600",
Shining Central Hotel & Spa,"21.031617,105.855279",550 m from centre,,Superior Double or Twin Room,,2,4 out of 5,9.3,Superb,547 reviews,"VND 595,000",Breakfast included
Hanoi Media Hotel & Spa,"21.0319479264855,105.854148566722",500 m from centre,,Superior Double Room,,2,4 out of 5,9.1,Superb,427 reviews,"VND 561,000","FREE cancellation,• No prepayment needed"
Hotel de l'Opera Hanoi - MGallery,"21.0246224426135,105.855787396431",550 m from centre,,Deluxe King Room,,2,5 out of 5,8.6,Fabulous,308 reviews,"VND 2,691,150",
Grande Collection Hotel & Spa,"21.0346617190516,105.847510099411",950 m from centre,,Deluxe Double Room,,2,4 out of 5,9.2,Superb,581 reviews,"VND 562,500",
Dal Vostro Hotel & Spa,"21.0307417517939,105.850200388885",400 m from centre,,Deluxe Double Room,,2,4 out of 5,8.9,Fabulous,"1,127 reviews","VND 732,550",
"InterContinental Hanoi Landmark72, an IHG hotel","21.016973,105.78422",7 km from centre,,Intercontinental Deluxe Room,,2,5 out of 5,9.0,Superb,238 reviews,"VND 2,307,112","FREE cancellation,• No prepayment needed"
Hilton Hanoi Opera,"21.0230977152982,105.8578312397",800 m from centre,,Hilton Deluxe King/ Double,,2,5 out of 5,8.2,Very good,568 reviews,"VND 1,865,727","FREE cancellation,• No prepayment needed"
Hanoi Lullaby Hotel and Travel,"21.030784,105.845574",800 m from centre,,Standard Double or Twin Room,,2,3 out of 5,9.3,Superb,645 reviews,"VND 467,762","FREE cancellation,• No prepayment needed"
La Siesta Premium Hang Be,"21.033103,105.853973",650 m from centre,,Junior Suite,,2,4 out of 5,9.5,Exceptional,472 reviews,"VND 2,298,631",
JM Marvel Hotel & Spa,"21.030981,105.846654",700 m from centre,,Deluxe Double Room - Day Use (4 Hours),,2,4 out of 5,9.5,Exceptional,"1,011 reviews","VND 389,300",
Serene Boutique Hotel & Spa,"21.0352800763104,105.847426950932",1 km from centre,,Superior Double Room,,2,4 out of 5,9.1,Superb,544 reviews,"VND 462,400","FREE cancellation,• No prepayment needed"
Apricot Hotel,"21.0271686273529,105.851251780987",150 m from centre,,Deluxe Double Room - Sketch 1 King Bed,,2,5 out of 5,9.0,Superb,556 reviews,"VND 2,937,500",
Dragon Pearl Hotel,"21.039911415473,105.845503807068",1.6 km from centre,,Day Use Offer (6 Hours) - Superior Double or Twin Room,,2,3 out of 5,9.2,Superb,"2,560 reviews","VND 286,875","FREE cancellation,• No prepayment needed"
Somerset Hoa Binh Hanoi,"21.0464551270533,105.795137286186",6 km from centre,,Executive Studio,,2,4 out of 5,8.9,Fabulous,204 reviews,"VND 1,472,625","FREE cancellation,• No prepayment needed"
Hotel de l'Opera Hanoi - MGallery,"21.0246224426135,105.855787396431",550 m from centre,,Deluxe King Room,,2,5 out of 5,8.6,Fabulous,308 reviews,"VND 2,691,150",
Hanoi Elite Hotel,"21.0353051109632,105.852480232716",850 m from centre,,Superior Double Room,,2,3 out of 5,9.4,Superb,737 reviews,"VND 426,648","Breakfast included,FREE cancellation,• No prepayment needed"
Marina Hotel,"21.032686,105.854528",600 m from centre,,Deluxe Double or Twin Room,,2,3 out of 5,9.0,Superb,341 reviews,"VND 429,840","FREE cancellation,• No prepayment needed"
Grand Vista Hanoi,"21.025351,105.821712",3.2 km from centre,,Deluxe Double or Twin Room with City View,,2,5 out of 5,8.9,Fabulous,157 reviews,"VND 1,711,186",
Hanoi Hotel,"21.0276368001471,105.821852087975",3.2 km from centre,,Deluxe Double or Twin Room  - Room Only,,2,4 out of 5,7.9,Good,131 reviews,"VND 1,333,000",
Novotel Suites Hanoi,"21.0305772,105.785484",6 km from centre,,Superior King Studio,,2,4 out of 5,8.8,Fabulous,93 reviews,"VND 2,541,000","FREE cancellation,• No prepayment needed"
Rose Garden Residences,"21.0247626466412,105.818713903427",3.5 km from centre,,One-Bedroom Apartment,,2,4 out of 5,8.6,Fabulous,182 reviews,"VND 1,241,341","FREE cancellation,• No prepayment needed"
Hanoi Emerald Waters Hotel & Spa,"21.0313184682132,105.855121364418",500 m from centre,,Deluxe Twin Room,,2,4 out of 5,9.3,Superb,685 reviews,"VND 713,700","FREE cancellation,• No prepayment needed"
Zephyr Suites Boutique Hotel,"21.0257040131261,105.851546823978",300 m from centre,,Classic Double or Twin Room,,2,4 out of 5,8.5,Very good,554 reviews,"VND 1,273,692","FREE cancellation,• No prepayment needed"
A25 Hotel & Spa,"21.0008609160673,105.870735288955",3.6 km from centre,,Deluxe Double or Twin Room,,2,4 out of 5,8.5,Very good,105 reviews,"VND 641,250",Breakfast included
Hanoi Culture Hostel,"21.0348619969873,105.847434997559",950 m from centre,,Standard Double or Twin Room,,2,2 out of 5,9.5,Exceptional,772 reviews,"VND 282,625",
Hanoi La Storia Hotel,"21.035728906916,105.847727093254",1 km from centre,,Deluxe Double Room with Window,,2,3 out of 5,9.4,Superb,762 reviews,"VND 498,420",Breakfast included
Hanoi Ancient Paradise Hotel & Travel,"21.037119,105.851412",1.1 km from centre,,Day Use Offer (3 Hours) - Deluxe Room,,2,3 out of 5,9.3,Superb,219 reviews,"VND 273,600",
Fraser Suites Hanoi,"21.0641372302074,105.827640295029",4.8 km from centre,,Studio,,2,5 out of 5,9.1,Superb,109 reviews,"VND 1,800,000",
Somerset West Lake Hanoi,"21.0437765958637,105.818402767181",4 km from centre,,Studio Executive,,2,4 out of 5,8.4,Very good,137 reviews,"VND 1,386,000","FREE cancellation,• No prepayment needed"
Hestia Legend Hotel,"21.0410504725381,105.844615972947",1.7 km from centre,,Day Use Offer (6 Hours) - Deluxe Room,,2,3 out of 5,9.0,Superb,"1,519 reviews","VND 239,700","FREE cancellation,• No prepayment needed"
Hanoi Media Hotel & Spa,"21.0319479264855,105.854148566722",500 m from centre,,Superior Double Room,,2,4 out of 5,9.1,Superb,427 reviews,"VND 561,000","FREE cancellation,• No prepayment needed"
Pullman Hanoi,"21.0297473148602,105.828284025192",2.5 km from centre,,Superior Twin Room with City View,,2,5 out of 5,7.7,Good,263 reviews,"VND 2,310,000","FREE cancellation,• No prepayment needed"
Somerset West Point Hanoi,"21.0662632,105.8263209",5 km from centre,,Studio Executive,,2,5 out of 5,8.9,Fabulous,146 reviews,"VND 1,720,950",Breakfast included
Hanoi Brilliant Hotel and Spa,"21.0307412242486,105.849387645722",450 m from centre,,Deluxe Double or Twin Room with City View,,2,3 out of 5,9.2,Superb,288 reviews,"VND 583,200","FREE cancellation,• No prepayment needed"
Super Hotel Candle,"21.0356606025787,105.818467140198",3.6 km from centre,,Standard Double Room,,2,4 out of 5,8.3,Very good,191 reviews,"VND 1,186,500","Breakfast included,FREE cancellation,• No prepayment needed"
Eco Luxury Hanoi,"21.0346090947647,105.846732249074",950 m from centre,,Deluxe Double or Twin Room,,2,3 out of 5,8.5,Very good,792 reviews,"VND 320,850",
Somerset Hoa Binh Hanoi,"21.0464551270533,105.795137286186",6 km from centre,,Executive Studio,,2,4 out of 5,8.9,Fabulous,204 reviews,"VND 1,472,625","FREE cancellation,• No prepayment needed"
Novotel Suites Hanoi,"21.0305772,105.785484",6 km from centre,,Superior King Studio,,2,4 out of 5,8.8,Fabulous,93 reviews,"VND 2,541,000","FREE cancellation,• No prepayment needed"
Emerald Hotel,"21.0157818116792,105.850524902344",1.4 km from centre,,Economy Double Room,,2,4 out of 5,9.3,Superb,407 reviews,"VND 404,759","FREE cancellation,• No prepayment needed"
Rose Garden Residences,"21.0247626466412,105.818713903427",3.5 km from centre,,One-Bedroom Apartment,,2,4 out of 5,8.6,Fabulous,182 reviews,"VND 1,241,341","FREE cancellation,• No prepayment needed"
Ja Cosmo Hotel and Spa,"21.0312995130127,105.855739116669",550 m from centre,,Day Use Offer (4 Hours) - Deluxe Room,,2,3 out of 5,9.5,Exceptional,862 reviews,"VND 221,428","FREE cancellation,• No prepayment needed"
Eco Luxury Hotel,"21.0344768177255,105.846228170639",1 km from centre,,Deluxe Double or Twin Room,,2,3 out of 5,9.3,Superb,288 reviews,"VND 391,500","Breakfast included,FREE cancellation,• No prepayment needed"
Hanoi Chic Hotel,"21.0319028630921,105.848666131496",600 m from centre,,Superior Double or Twin Room,,2,3 out of 5,9.2,Superb,"2,311 reviews","VND 425,926","FREE cancellation,• No prepayment needed"
A25 Hotel & Spa,"21.0008609160673,105.870735288955",3.6 km from centre,,Deluxe Double or Twin Room,,2,4 out of 5,8.5,Very good,105 reviews,"VND 641,250",Breakfast included
Hanoi Culture Hostel,"21.0348619969873,105.847434997559",950 m from centre,,Standard Double or Twin Room,,2,2 out of 5,9.5,Exceptional,772 reviews,"VND 282,625",
Lavender Central Hotel & Spa Hanoi,"21.0336893658629,105.85310921073",700 m from centre,,Superior Twin Room,,2,3 out of 5,9.2,Superb,377 reviews,"VND 379,549","FREE cancellation,• No prepayment needed"
Bonsella Hotel,"21.0296822223264,105.85050880909",300 m from centre,,Deluxe Double or Twin Room with City View,,2,4 out of 5,9.5,Exceptional,616 reviews,"VND 752,378",
Silk Collection Hotel & Spa,"21.0322199272379,105.850046552392",550 m from centre,,Standard Double Room (No Window),,2,4 out of 5,9.0,Superb,998 reviews,"VND 378,000",
Fraser Suites Hanoi,"21.0641372302074,105.827640295029",4.8 km from centre,,Studio,,2,5 out of 5,9.1,Superb,109 reviews,"VND 1,800,000",
Classic Street Hotel,"21.0328692195403,105.85385620594",600 m from centre,,Superior Double or Twin Room,,2,3 out of 5,8.7,Fabulous,"2,489 reviews","VND 245,000","FREE cancellation,• No prepayment needed"
Somerset West Lake Hanoi,"21.0437765958637,105.818402767181",4 km from centre,,Studio Executive,,2,4 out of 5,8.4,Very good,137 reviews,"VND 1,386,000","FREE cancellation,• No prepayment needed"
Zephyr Suites Boutique Hotel,"21.0257040131261,105.851546823978",300 m from centre,,Classic Double or Twin Room,,2,4 out of 5,8.5,Very good,554 reviews,"VND 1,273,692","FREE cancellation,• No prepayment needed"
Hestia Legend Hotel,"21.0410504725381,105.844615972947",1.7 km from centre,,Day Use Offer (6 Hours) - Deluxe Room,,2,3 out of 5,9.0,Superb,"1,519 reviews","VND 239,700","FREE cancellation,• No prepayment needed"
Pullman Hanoi,"21.0297473148602,105.828284025192",2.5 km from centre,,Superior Twin Room with City View,,2,5 out of 5,7.7,Good,263 reviews,"VND 2,310,000","FREE cancellation,• No prepayment needed"
Delicacy Central Hotel & Spa,"21.032334,105.853857",550 m from centre,,Central Room,,2,4 out of 5,9.4,Superb,147 reviews,"VND 792,000","FREE cancellation,• No prepayment needed"
Somerset West Point Hanoi,"21.0662632,105.8263209",5 km from centre,,Studio Executive,,2,5 out of 5,8.9,Fabulous,146 reviews,"VND 1,720,950",Breakfast included
Hanoi Brilliant Hotel and Spa,"21.0307412242486,105.849387645722",450 m from centre,,Deluxe Double or Twin Room with City View,,2,3 out of 5,9.2,Superb,288 reviews,"VND 583,200","FREE cancellation,• No prepayment needed"
