hotel_name,hotel_address,hotel_distance_center,hotel_location_features,hotel_room,number_of_rooms,room_occupancy,hotel_star,hotel_score,hotel_score_title,hotel_number_reviews,hotel_price,hotel_offer
Mai Chau Ecolodge,"20.6577934974781,105.06975531578",,,Superior Double Room with Garden View,,2,4 out of 5,8.7,Fabulous,246 reviews,"VND 1,478,400","Breakfast included,FREE cancellation,• No prepayment needed"
Maichau HideAway,"20.754687914746,105.075061799143",,,Standard Double Room,,2,4 out of 5,8.4,Very good,210 reviews,"VND 1,770,491",Breakfast included
Bakhan Village Resort,"20.735975,105.110318",,,Deluxe Double Room,,2,,8.4,Very good,8 reviews,"VND 1,462,500",Breakfast included
Mai Chau Rustic Home,"20.6458713422362,105.076593156097",,,Deluxe Double Room,,2,,9.0,Superb,85 reviews,"VND 550,000",Breakfast included
Mai Chau Sky Resort,"20.6572517186518,105.071790931274",,,Deluxe Bungalow Pool View,,2,3 out of 5,8.9,Fabulous,125 reviews,"VND 965,250","Breakfast included,FREE cancellation,• No prepayment needed"
Mai Chau Mountain View Resort,"20.651125,105.071524",,,Deluxe Double or Twin Room,,2,4 out of 5,8.4,Very good,111 reviews,"VND 1,623,820","Breakfast included,FREE cancellation,• No prepayment needed"
Xanh Villas Resort & Spa Official,"20.9906094048664,105.486097743551",,,Deluxe Villa with Garden View,,8,,7.9,Good,5 reviews,"VND 7,000,000",Breakfast included
Mai Chau Sunset Boutique Hotel,"20.6541292122634,105.073177814484",,,Deluxe Double Room with Mountain and Valley View,,2,3 out of 5,8.6,Fabulous,101 reviews,"VND 1,012,500","Breakfast included,FREE cancellation,• No prepayment needed"
Meadow Mai Chau Homestay,"20.6614367326177,105.068238270878",,,Single Bed in Mixed Dormitory Room,,2,,9.7,Exceptional,117 reviews,"VND 165,000",Breakfast included
Serena Kim Boi Resort - Hoa Binh,"20.592662899935,105.587980629061",,,Twin Room,,2,4 out of 5,7.5,Good,82 reviews,"VND 1,789,200","Breakfast included,FREE cancellation,• No prepayment needed"
Little Mai Chau Home Stay,"20.6556576816989,105.064960867167",,,Single Bed in Mixed Dormitory Room,,2,,9.5,Exceptional,755 reviews,"VND 153,000",Breakfast included
Truong Huy Homestay,"20.6616860658783,105.064365292126",,,Bed in 8-Bed Mixed Dormitory Room,,2,,9.7,Exceptional,105 reviews,"VND 160,000",Breakfast included
Ivory Villas and Resort,"20.913784,105.488828",,,Three-Bedroom Villa,,6,4 out of 5,9.4,Superb,5 reviews,"VND 4,080,000",
Hùng Mạnh Plaza Hotel,"20.6205467855155,105.27756719043",,,Deluxe Triple Room,,3,2 out of 5,8.2,Very good,19 reviews,"VND 500,000",
Cò's House,"20.652493,105.071352",,,Deluxe Double Room with Balcony,,2,,9.6,Exceptional,173 reviews,"VND 500,000","Breakfast included,FREE cancellation,• No prepayment needed"
Hai Duong Guesthouse,"20.8183197290702,105.340848486508",,,Standard Double Room,,2,,7.1,Good,30 reviews,"VND 180,000",
With Love from the Mountains homestay,"20.662802,105.062324",,,Deluxe Bungalow,,2,,9.2,Superb,32 reviews,"VND 495,000",Breakfast included
Mai Chau Mountains,"20.649977,105.076133",,,Double Room with Mountain View,,2,,8.1,Very good,72 reviews,"VND 270,000",
Mai Chau Valley View Hotel,"20.6549398802329,105.079309344292",,,Standard Twin Room,,2,,9.4,Superb,133 reviews,"VND 944,364",Breakfast included
Mai Chau Lodge,"20.6541091337449,105.078241825104",,,Deluxe Twin Room with Mountain View,,2,3 out of 5,8.8,Fabulous,97 reviews,"VND 1,228,499","Breakfast included,FREE cancellation,• No prepayment needed"
Hakuna Matata Mai Châu,"20.6621700442746,105.080350261139",,,Budget Double Room,,2,,9.8,Exceptional,6 reviews,"VND 405,000",Breakfast included
Lim's house,"20.6472885585278,105.076925531029",,,Twin Room with Private Bathroom,,2,,9.5,Exceptional,296 reviews,"VND 350,000",Breakfast included
Biên Thùy homestay,"20.6598,105.091768",,,Mixed Dormitory Room,,2,,,,,"VND 384,000",
SAKURA HOTEL,"20.830446,105.341868",,,Superior Twin Room with City View,,2,,9.0,Superb,3 reviews,"VND 950,000",Breakfast included
Green Homestay Mai Chau,"20.657746,105.069749",,,Deluxe Double Room,,2,,8.7,Fabulous,10 reviews,"VND 500,000",Breakfast included
Grand Hotel,"20.8285709092138,105.33788841485",,,Deluxe Double or Twin Room,,2,3 out of 5,8.6,Fabulous,19 reviews,"VND 845,000","FREE cancellation,• No prepayment needed"
Mai Chau Xanh Bungalow,"20.6491983075116,105.068424950371",,,Superior Quadruple Room,,2,,9.3,Superb,139 reviews,"VND 340,992",Breakfast included
Hoa Dao Hotel,"20.827739014073,105.33702135086",,,Deluxe Twin Room,,2,3 out of 5,8.4,Very good,45 reviews,"VND 700,000",Breakfast included
Mai Chau Green Rice Field Hotel,"20.6541144488922,105.072961908563",,,Family Room with Balcony,,2,3 out of 5,9.3,Superb,52 reviews,"VND 761,600",Breakfast included
Tân Thanh Homestay,"20.6525197426953,105.070276280604",,,Double Room,,2,,,,,"VND 400,000",
La Maison De Buoc,"20.6535783069498,104.959782734513",,,Double Room,,2,,8.4,Very good,77 reviews,"VND 960,000","Breakfast included,FREE cancellation,• No prepayment needed"
Mai Chau Hostel - Bar Restaurant,"20.6533940682906,105.072082450826",,,Bed in 8-Bed Mixed Dormitory Room,,2,,9.3,Superb,76 reviews,"VND 200,000",
Mai Chau Green Ecohouse,"20.652937,105.072181",,,Double Room with Mountain View,,2,,10,Exceptional,4 reviews,"VND 610,000","Breakfast included,FREE cancellation,• No prepayment needed"
Mai Chau La Vida,"20.67602629361,105.07451321842",,,Double Room with Mountain View,,2,,7.8,Good,92 reviews,"VND 440,100","FREE cancellation,• No prepayment needed"
Mai Chau Dreams Homestay,"20.6542697161889,105.071711613422",,,Deluxe Double or Twin Room with Balcony,,2,,9.4,Superb,56 reviews,"VND 720,000",
Mai Chau Home,"20.652677,105.071292",,,Deluxe Double Room,,2,,8.8,Fabulous,82 reviews,"VND 450,000",Breakfast included
Luong Son Villa,"20.8466741244146,105.560260769307",,,Penthouse Apartment,,6,,6.2,Review score,7 reviews,"VND 4,000,000",
Hai Duong Hotel,"20.8187831874836,105.346977710724",,,Double or Twin Room,,2,2 out of 5,6.1,Review score,10 reviews,"VND 250,000",
Linh Soi Homestay,"20.6518695779674,105.071214437485",,,Basic Double Room,,2,,8.9,Fabulous,60 reviews,"VND 329,000",Breakfast included
Quân Hằng Homestay,"20.6506444515436,105.072814123705",,,Deluxe Double Room with Balcony,,2,,8.9,Fabulous,67 reviews,"VND 629,576",Breakfast included
mai chau rice fields homestay,"20.661886901339,105.064368749153",,,Deluxe Room (2 Adults + 1 Child),,2,,,,,"VND 550,000","Breakfast included,FREE cancellation,• No prepayment needed"
Mai Tiến Homestay.188,"20.652937,105.072181",,,King Room with Mountain View,,4,,9.9,Exceptional,11 reviews,"VND 332,500",Breakfast included
Muong Bi Homestay,"20.6262877997208,105.224497318268",,,Double or Twin Room with Garden View,,2,,9.3,Superb,19 reviews,"VND 207,000","FREE cancellation,• No prepayment needed"
Hao Homestay,"20.6495559474536,105.067105293274",,,Double Room,,2,,8.0,Very good,74 reviews,"VND 230,000",Breakfast included
Bình Anh 2 Hotel,"20.8177776618831,105.343905337582",,,Standard King Room,,2,2 out of 5,7.7,Good,22 reviews,"VND 450,000",
LePont Mu Waterfall Bungalow,"20.404057,105.37272",,,Double Room with Shared Bathroom,,2,,8.5,Very good,25 reviews,"VND 400,000",Breakfast included
An Bungalow,"20.643414,105.077338",,,Double Room with Pool View,,2,,9.6,Exceptional,5 reviews,"VND 614,700",
Paradisehomestay mai châu HB,"20.6614618306971,105.083029601184",,,Double Room,,3,,,,,"VND 415,375",
Mai Chau Paradise Homestay,"20.659671152669,105.079551386263",,,Double Room with Pool View,,2,,,,,"VND 900,000",Breakfast included
Sunday Villa - Club House,"20.873374005531,105.515444707834",,,Two-Bedroom Villa,,2,,,,,"VND 2,695,680",
Beverly Hill Lương Sơn Hòa Bình,"20.878336,105.5426963",,,One-Bedroom Villa,,2,,,,,"VND 1,200,000",Breakfast included
