hotel_name,hotel_address,hotel_distance_center,hotel_location_features,hotel_room,number_of_rooms,room_occupancy,hotel_star,hotel_score,hotel_score_title,hotel_number_reviews,hotel_price,hotel_offer
Lyn House - Pool Villa in Ecopark Hanoi,"20.9682849203405,105.934403748221",,,Villa,,10,,7.0,Good,5 reviews,"VND 2,500,000",
Khách sạn Phương Anh,"20.981739,105.983137",,,Superior Double or Twin Room,,2,3 out of 5,8.7,Fabulous,24 reviews,"VND 792,000",Breakfast included
Sky Homestay in Ecopark,"20.9544370105255,105.94050065094",,,One-Bedroom Apartment,,2,3 out of 5,8.8,Fabulous,13 reviews,"VND 650,000",
Sue homestay Ecopark,"20.948667,105.9336519",,,Apartment,,2,3 out of 5,9.2,Superb,5 reviews,"VND 874,000",
DHouse Ecopark,"20.94902077406,105.9337966172",,,One-Bedroom Apartment,,2,,,,,"VND 700,000",
Dhouse Aqua lake Ecopark,"20.9522213925294,105.938168093562",,,Two-Bedroom Apartment,,4,,,,,"VND 900,000",
BOM HOMES- ECOPARK- SERVICE APARTMENt,"20.973630088335,105.92122964854",,,One-Bedroom Apartment,,2,3 out of 5,,,,"VND 900,000",
Ecopark Garden homestay,"20.950020324261,105.930167223442",,,Two-Bedroom Apartment,,4,,,,,"VND 800,000",
Luxury Hotel Ecopark,"20.946805,105.941868",,,Deluxe Double or Twin Room,,4,3 out of 5,,,,"VND 900,000",
THOC ECOPARK Blue home-1220 with Golf couse view,"20.952337462947,105.939245399935",,,Two-Bedroom Apartment,,2,,,,,"VND 1,062,500",
HƯNG THỊNH VĂN GIANG,"20.968145,105.919075",,,Standard Double Room,,2,2 out of 5,,,,"VND 800,000",
OYO 930 Thang Long Hotel,"20.8978741566503,105.857753624268",,,Standard Double Room,,2,3 out of 5,9.7,Exceptional,4 reviews,"VND 349,188","FREE cancellation,• No prepayment needed"
Vinhomes Ocean Park - Workstay Apartment,"20.989687737738,105.941944801111",,,Two-Bedroom Apartment,,2,,9.1,Superb,9 reviews,"VND 573,750",
Homestay- Thành phố biển hồ Vinhome Ocean Park,"20.988560511081,105.944682968878",,,Three-Bedroom Apartment,,9,,,,,"VND 50,000,000",
Vinhomes Ocean Park homestay - Hoang Minh Homestay - thanh pho Bien ho,"20.989019633721,105.942392606489",,,Deluxe King Studio,,3,,7.7,Good,10 reviews,"VND 522,500","FREE cancellation,• No prepayment needed"
Huong Quynh Hotel,"20.918282,105.843708",,,Standard Double Room,,2,3 out of 5,6.5,Review score,3 reviews,"VND 279,351",
Luxury Apartment @ Homestay Vinhomes Ocean Park,"20.984156876724,105.933518281917",,,Two-Bedroom Apartment,,2,,,,,"VND 644,000",
Vinhomes Ocean Park,"20.990972543541,105.940676879463",,,Studio with Garden View,,2,3 out of 5,9.8,Exceptional,5 reviews,"VND 996,000",
QMP Vinhomes Ocean Park,"20.995369797943,105.948897558861",,,Two-Bedroom Apartment,,4,4 out of 5,,,,"VND 1,480,000","FREE cancellation,• No prepayment needed"
Thanh Dat Hotel,"20.6440301158904,105.924478702408",,,Standard Double Room,,2,3 out of 5,,,,"VND 799,994","Breakfast included,FREE cancellation,• No prepayment needed"
OYO 258 ORCHIDS 3 HOTEL,"20.940911,105.844141",,,Standard Twin Room,,2,2 out of 5,7.2,Good,42 reviews,"VND 198,538","FREE cancellation,• No prepayment needed"
Lisa homestay- Vinhomes Ocean park- Lake room 28,"20.9909534,105.9425294",,,Two-Bedroom Apartment,,2,,,,,"VND 1,440,000",
Lisa homestay- Vinhomes Ocean Park - Vin sky 20- 2 ngủ Vinuni,"20.9959375,105.9378125",,,Two-Bedroom Apartment,,2,,,,,"VND 1,350,000",
OYO 317 Kim Cuong Hotel 2,"20.984383539967,105.865436433378",,,Standard Double Room,,2,2 out of 5,9.0,Superb,134 reviews,"VND 299,305","FREE cancellation,• No prepayment needed"
Nhà Nghỉ Bình Minh,"20.965913881789,105.843373457672",,,Single Room,2 ×,1,,,,,"VND 360,000",
Full House Times City,"20.9932712169334,105.868533616425",,,One-Bedroom Apartment,,2,3 out of 5,8.7,Fabulous,74 reviews,"VND 1,080,000","FREE cancellation,• No prepayment needed"
MARCH HOUSE - Park Premium - TimesCity - 2Bedrooms,"20.9936923,105.8694829",,,Duplex Apartment,,4,,,,,"VND 1,330,000","FREE cancellation,• No prepayment needed"
OYO 504 Tuan Anh Hotel,"20.980688,105.844549",,,Standard Double Room,,2,2 out of 5,8.4,Very good,57 reviews,"VND 281,346",
Tumi's house,"20.996857570081,105.867631025612",,,Apartment with Garden View,,2,4 out of 5,8.6,Fabulous,102 reviews,"VND 1,098,000",
Times City Apartment 2BR-P11,"20.991687793808,105.867091807549",,,Two-Bedroom Apartment,,4,,,,,"VND 1,300,000",
Happyhome Vinhomes Time City and Parkhill Premium,"20.997429502288,105.867219034988",,,One-Bedroom Apartment,,3,3 out of 5,,,,"VND 1,190,000",
BOM HOMES- Vinhomes Times City- Service Apartment,"20.9952405,105.8688258",,,One-Bedroom Apartment,,2,3 out of 5,9.2,Superb,4 reviews,"VND 1,050,000",
BOM HOMES- VINHOMES TIMESCITY- 2BR- SERVICE apt,"20.9953333,105.8685574",,,Two-Bedroom Apartment,,4,4 out of 5,,,,"VND 1,400,000",
Bayhomes Times City Serviced Apartment,"20.9952588527204,105.868642309019",,,One-Bedroom Apartment,,2,3 out of 5,8.3,Very good,38 reviews,"VND 1,125,000","FREE cancellation,• No prepayment needed"
Ruby Lakeview homestay,"20.971921,105.835666",,,Deluxe Double Room,,2,,8.1,Very good,21 reviews,"VND 405,000",
BOM HOMES- VINHOMES TIMES CITY & PARK hilll,"20.991432302632,105.869628470934",,,One-Bedroom Apartment,,3,3 out of 5,,,,"VND 1,050,000",
BOM HOMES- VINHOMES TIMES CITY- 2BR- PARK hill,"20.997877809161,105.867250718914",,,Two-Bedroom Apartment,,5,4 out of 5,,,,"VND 1,200,000",
The MARCH House No.3 * 2 Bedrooms * Park Hill Premium * Timescity,"20.995467,105.869493",,,Two-Bedroom Apartment,,4,,,,,"VND 1,550,000","FREE cancellation,• No prepayment needed"
The MARCH House No.4 * 2 Bedrooms * Park Hill Premium * TimesCity,"20.9925041,105.8660566",,,Two-Bedroom Apartment,,4,,,,,"VND 1,300,000","FREE cancellation,• No prepayment needed"
Bayhomes Times City Apartment 1Bedroom T9,"20.9974028,105.8663285",,,One-Bedroom Apartment,,2,,,,,"VND 850,000",
Li.AHouse Business Apartmetn in Parkhill Times City Hanoi,"20.991951851912,105.868365381498",,,One-Bedroom Apartment,,2,,,,,"VND 1,000,000",
Bayhomes Times City Apartment 2 Bedroom T8,"20.9974028,105.8663285",,,Two-Bedroom Apartment,,4,,,,,"VND 1,250,000",
BOM HOMES- VINHOMES TIMES CITY -3BR- LUXURY APt,"20.9972551,105.8671399",,,Three-Bedroom Apartment,,2,4 out of 5,,,,"VND 2,000,000",
Bayhomes Times City Apartment 2 Bedroom P2 2412,"20.996341,105.8680046",,,Two-Bedroom Apartment,,4,,,,,"VND 1,500,000",
"Chaybay Hanoi homestay - Apartment with 2 bedroom, 1 kitchen, 1 living room","20.9940725288397,105.861487806013",,,Two-Bedroom Apartment,,2,,,,,"VND 487,500",
Vinhomes Serviced Apartment for rent (P312A17),"20.9949341,105.8696112",,,Three-Bedroom Apartment,,4,,,,,"VND 1,400,000",
Serviced Apartment T083103,"20.994891881857,105.868840384131",,,One-Bedroom Apartment,,3,,,,,"VND 1,000,000",
Homestay for rent (T112109),"20.995234596835,105.869064029361",,,Two-Bedroom Apartment,,5,,,,,"VND 1,200,000",
A25 Hotel & Spa,"21.0008609160673,105.870735288955",,,Deluxe Double or Twin Room,,2,4 out of 5,8.5,Very good,105 reviews,"VND 641,250",Breakfast included
Muong Thanh Grand Hanoi Hotel,"20.9695827422655,105.827029943339",,,Deluxe Double Room,,2,4 out of 5,6.0,Review score,18 reviews,"VND 1,209,600",Breakfast included
Thang Long Hotel,"20.988147,105.841437",,,Large Double Room,,2,2 out of 5,7.9,Good,101 reviews,"VND 218,688","FREE cancellation,• No prepayment needed"
Moc Hoang Hotel,"21.0238164048249,105.907654278782",,,King Room with Balcony,,2,2 out of 5,,,,"VND 590,000",
Mercy Hotel,"21.0034118520288,105.868450009926",,,Superior Double Room,,2,2 out of 5,8.2,Very good,29 reviews,"VND 442,000",
Khách sạn biển xanh,"20.986953,105.838432",,,Quadruple Room,,2,,,,,"VND 400,000",
OYO 1011 Orchids 4 Hotel,"20.958763,105.814769",,,Budget Double Room,,2,2 out of 5,8.2,Very good,9 reviews,"VND 189,559","FREE cancellation,• No prepayment needed"
OYO 1031 Le Yen Hotel,"20.955868,105.806281",,,Standard Double Room,,2,2 out of 5,,,,"VND 349,188","FREE cancellation,• No prepayment needed"
Gia Loc Hotel,"20.98880632457,105.842623952776",,,Deluxe Double Room,,2,,,,,"VND 575,000","FREE cancellation,• No prepayment needed"
Garco Dragon Hotel,"21.0288535418152,105.919463038445",,,Superior Double Room,,2,3 out of 5,9.1,Superb,55 reviews,"VND 1,160,000","Breakfast included,FREE cancellation,• No prepayment needed"
OYO 1151 Bao Yen Hotel,"20.957806,105.805916",,,Standard Double Room,,2,2 out of 5,,,,"VND 189,559","FREE cancellation,• No prepayment needed"
