hotel_name,hotel_address,hotel_distance_center,hotel_location_features,hotel_room,number_of_rooms,room_occupancy,hotel_star,hotel_score,hotel_score_title,hotel_number_reviews,hotel_price,hotel_offer
Mio Hotel,"20.9278330473678,106.291083356514",3.7 km from centre,,Deluxe King Room,,2,1 out of 5,9.4,Superb,25 reviews,"VND 365,750","FREE cancellation,• No prepayment needed"
Phuong Anh 2 Hotel,"20.9291079048591,106.321970075369",1.6 km from centre,,Superior Double Room,,2,3 out of 5,7.5,Good,17 reviews,"VND 800,000",Breakfast included
Kim Bao Hotel,"20.94793,106.3358",1.5 km from centre,,Deluxe Double Room,,2,3 out of 5,7.7,Good,8 reviews,"VND 1,250,000",Breakfast included
Hoang Gia Hotel,"20.9431253486124,106.339963674545",1.9 km from centre,,Quadruple Room with Balcony,,2,2 out of 5,8.5,Very good,13 reviews,"VND 448,000",Breakfast included
Star Hotel Hai Duong,"20.9268481566159,106.334867477417",2.2 km from centre,,Twin Room,,2,1 out of 5,7.8,Good,40 reviews,"VND 282,870","Breakfast included,FREE cancellation,• No prepayment needed"
Hồng Hà Hotel,"20.9495910399059,106.331654998672",1.2 km from centre,,Double Room,,2,3 out of 5,5.0,Review score,4 reviews,"VND 250,000",
Chau A Hotel,"20.9275465809202,106.303639858961",2.6 km from centre,,Double Room,,2,,8.8,Fabulous,37 reviews,"VND 250,000",
Hoang Anh,"20.92424,106.314699",2.2 km from centre,,Large Double or Twin Room,,4,,,,,"VND 320,000",
NK Công Đoàn Hải Dương,"20.943124,106.328433",650 m from centre,,Twin Room,,2,3 out of 5,7.3,Good,8 reviews,"VND 420,000",
Phuong Anh Hotel,"20.9228271234162,106.315260529518",2.4 km from Hải Dương,,Deluxe Room,,2,,7.3,Good,5 reviews,"VND 900,000",Breakfast included
TRUONG AN HOTEL,"20.92942,106.301954",2.6 km from Hải Dương,,Deluxe Room (1 adult + 2 children),,3,,8.9,Fabulous,11 reviews,"VND 500,000",
Quang ninh gate hotel,"21.100132,106.379346",18 km from Hải Dương,,Double Room with Garden View,,2,1 out of 5,,,,"VND 1,000,000",
Quảng Ninh Gate Container hotel,"21.116387,106.468621",24 km from Hải Dương,,Small Twin Room,,2,2 out of 5,8.4,Very good,3 reviews,"VND 500,000",
