hotel_name,hotel_address,hotel_distance_center,hotel_location_features,hotel_room,number_of_rooms,room_occupancy,hotel_star,hotel_score,hotel_score_title,hotel_number_reviews,hotel_price,hotel_offer
AEM Hotel Selection,"10.7734910757546,106.698018461466",250 m from centre,,Day Use Offer - Superior Double Room - 2hrs stay,,2,3 out of 5,7.1,Good,138 reviews,"VND 72,000","FREE cancellation,• No prepayment needed"
Icon Saigon - LifeStyle Design Hotel,"10.776769,106.70449",900 m from centre,,Superior Twin (Internal Window),,2,4 out of 5,8.7,Fabulous,"1,115 reviews","VND 850,500","Breakfast included,FREE cancellation,• No prepayment needed"
The Myst Dong Khoi,"10.7743817142385,106.705235430086",850 m from centre,,Dong Khoi Double Room,,2,5 out of 5,8.8,Fabulous,"1,255 reviews","VND 1,784,713",
Orchids Saigon Hotel,"10.781072,106.695544",1.1 km from centre,,Superior Double or Twin Room,,2,4 out of 5,9.0,Superb,"2,836 reviews","VND 1,067,500","Breakfast included,FREE cancellation,• No prepayment needed"
Winsuites Saigon,"10.771542,106.697106",150 m from centre,,Park Suite,,2,4 out of 5,8.8,Fabulous,"1,851 reviews","VND 1,294,200","Breakfast included,FREE cancellation,• No prepayment needed"
Vinpearl Luxury Landmark 81,"10.795414,106.718709",3.5 km from centre,,Premier Twin Room,,2,5 out of 5,8.9,Fabulous,182 reviews,"VND 2,650,000",Breakfast included
Grand Hotel Saigon,"10.7738942200765,106.705656051636",850 m from centre,,Day Use from 9AM to 5PM - Deluxe King (an extra charge will be applied for overnight stay),,2,5 out of 5,8.7,Fabulous,"1,770 reviews","VND 963,414",
Hotel Nikko Saigon,"10.7642054323537,106.682668179274",1.9 km from centre,,Deluxe Double Room,,2,5 out of 5,9.1,Superb,752 reviews,"VND 1,887,530",
Muong Thanh Luxury Saigon Hotel,"10.797575,106.67183",4.1 km from centre,,Deluxe Twin Room,,2,5 out of 5,8.7,Fabulous,157 reviews,"VND 1,536,000","Breakfast included,FREE cancellation,• No prepayment needed"
Fusion Suites Saigon,"10.7724915406753,106.689976430372",950 m from centre,,Double Room No Window,,2,4 out of 5,9.1,Superb,"1,693 reviews","VND 1,476,937",
Silverland Charner Hotel,"10.7716202682431,106.703952848911",650 m from centre,,Premier Double or Twin Room,,2,4 out of 5,9.1,Superb,"1,748 reviews","VND 1,028,540",Breakfast included
Central Palace Hotel,"10.7755097586319,106.697163188361",500 m from centre,,Park View,,2,4 out of 5,8.4,Very good,"1,518 reviews","VND 1,630,105","Breakfast included,FREE cancellation,• No prepayment needed"
Hotel Majestic Saigon,"10.7729693587722,106.70621663332",900 m from centre,,Colonial Deluxe Double or Twin Room,,2,5 out of 5,8.5,Very good,"1,472 reviews","VND 1,521,806",Breakfast included
Pullman Saigon Centre,"10.7646230816554,106.692389845848",1 km from centre,,Superior Twin Room,,2,5 out of 5,8.7,Fabulous,593 reviews,"VND 1,905,750",
Mia Saigon – Luxury Boutique Hotel,"10.8101453361996,106.751698327047",7 km from centre,,Deluxe King Room with River View,,2,5 out of 5,9.1,Superb,175 reviews,"VND 3,795,250",
Au Lac Legend Hotel,"10.7809346665493,106.695994734764",1.1 km from centre,,Superior Twin Room - No Window,,2,4 out of 5,8.7,Fabulous,"1,441 reviews","VND 851,000",Breakfast included
Rex Hotel,"10.7757386643379,106.701407432556",600 m from centre,,Deluxe Room,,2,5 out of 5,8.4,Very good,"1,225 reviews","VND 2,357,018",Breakfast included
Sedona Suites Ho Chi Minh City,"10.77356,106.700136",350 m from centre,,Grand Studio,,2,5 out of 5,9.1,Superb,206 reviews,"VND 3,529,838",
An Lam Retreats Saigon River,"10.8707174933393,106.699513792992",11 km from centre,,An Lam Deluxe Suite,,2,5 out of 5,8.8,Fabulous,192 reviews,"VND 5,735,760",Breakfast included
Somerset Chancellor Court,"10.7841386475347,106.699452102184",1.4 km from centre,,Studio Executive Apartment,,2,5 out of 5,8.7,Fabulous,392 reviews,"VND 2,286,900","FREE cancellation,• No prepayment needed"
Silverland Sakyo Hotel,"10.7806546680772,106.704921126366",1.3 km from centre,,Deluxe Double Room - No Window,,2,4 out of 5,8.7,Fabulous,530 reviews,"VND 1,180,440",Breakfast included
Oakwood Residence Saigon,"10.7302250237147,106.704553663736",4.7 km from centre,,Studio,,2,5 out of 5,9.1,Superb,190 reviews,"VND 2,227,500",
Caravelle Saigon,"10.7763684077194,106.703459322453",800 m from centre,,Deluxe King Room,,2,5 out of 5,9.0,Superb,330 reviews,"VND 2,650,881",
New World Saigon Hotel,"10.7706795902161,106.695144474506",400 m from centre,,Premier Twin Room,,2,5 out of 5,8.6,Fabulous,363 reviews,"VND 1,968,208",
Harmony Saigon Hotel & Spa,"10.7720444946273,106.690346002579",900 m from centre,,Junior Premier Double or Twin Room,,2,4 out of 5,8.7,Fabulous,820 reviews,"VND 935,393","Breakfast included,FREE cancellation,• No prepayment needed"
Oakwood Residence Saigon,"10.7302250237147,106.704553663736",4.7 km from centre,,Studio,,2,5 out of 5,9.1,Superb,190 reviews,"VND 2,227,500",
Hotel Des Arts Saigon Mgallery Collection,"10.7826319667485,106.697623089619",1.2 km from centre,,Deluxe King Room with City View,,2,5 out of 5,9.2,Superb,243 reviews,"VND 3,222,450",
Caravelle Saigon,"10.7763684077194,106.703459322453",800 m from centre,,Deluxe King Room,,2,5 out of 5,9.0,Superb,330 reviews,"VND 2,650,881",
New World Saigon Hotel,"10.7706795902161,106.695144474506",400 m from centre,,Premier Twin Room,,2,5 out of 5,8.6,Fabulous,363 reviews,"VND 1,968,208",
Bonita Signature Hotel,"10.770325,106.68864",1.1 km from centre,,7 Heaven,,2,3 out of 5,7.4,Good,999 reviews,"VND 896,000","Breakfast included,FREE cancellation,• No prepayment needed"
Cabana Hotel SaiGon,"10.7715381698982,106.696341673611",250 m from centre,,Standard Queen Room - Day Use 2 hours,,2,3 out of 5,8.1,Very good,314 reviews,"VND 100,000","FREE cancellation,• No prepayment needed"
Quy Hung Hotel,"10.7698709868329,106.697625517845",200 m from centre,,Day Use 2 hours - Standard Double Room,,2,2 out of 5,6.8,Review score,299 reviews,"VND 90,000","FREE cancellation,• No prepayment needed"
M Hotel Saigon,"10.773215,106.701965",450 m from centre,,Zen Corner Room,,2,4 out of 5,8.9,Fabulous,540 reviews,"VND 1,517,486",
Somerset Ho Chi Minh City,"10.7893503134332,106.702769994736",2 km from centre,,Deluxe One-Bedroom Apartment (2 Adults),,2,5 out of 5,8.9,Fabulous,"1,102 reviews","VND 2,702,700","FREE cancellation,• No prepayment needed"
Sense Legend Hotel & Spa,"10.7712803597152,106.689670085907",950 m from centre,,Day Use Offer (from 11am - 3pm) Same Day Stay - Extra Charge for Overnight Stay,,2,3 out of 5,7.8,Good,"1,069 reviews","VND 121,500","FREE cancellation,• No prepayment needed"
Saigon Prince Hotel,"10.773130089858,106.704406142235",700 m from centre,,Deluxe Double Room,,2,4 out of 5,8.1,Very good,822 reviews,"VND 1,136,450","FREE cancellation,• No prepayment needed"
The Reverie Saigon,"10.7737327869221,106.704599261284",750 m from centre,,Deluxe King Room,,2,5 out of 5,9.3,Superb,436 reviews,"VND 7,005,206",
The Akoya Ben Thanh Hotel,"10.774503,106.697447",350 m from centre,,Superior King Room  without window,,2,3 out of 5,8.9,Fabulous,296 reviews,"VND 480,605",
Lotus Universe Apartment,"10.802223936978,106.691694515961",3.5 km from centre,,One-Bedroom Apartment,,2,3 out of 5,8.5,Very good,285 reviews,"VND 397,500",
LA VELA Saigon Hotel,"10.788561,106.685473",2.4 km from centre,,Staycation Offer - La Vela Deluxe Double with Balcony - Free benefits included,,2,5 out of 5,8.6,Fabulous,102 reviews,"VND 2,300,000",Breakfast included
Lotte Hotel Saigon,"10.7787213702865,106.706782579422",1.2 km from centre,,Deluxe Twin Room,,2,5 out of 5,8.6,Fabulous,304 reviews,"VND 2,844,970",
Sheraton Saigon Hotel & Towers,"10.7756543471324,106.704140603542",800 m from centre,,"Superior Deluxe King, Guest room, 1 King",,2,5 out of 5,8.7,Fabulous,170 reviews,"VND 3,696,000",
"InterContinental Saigon, an IHG hotel","10.7810242520076,106.700306385756",1.1 km from centre,,Deluxe Room,,2,5 out of 5,8.7,Fabulous,196 reviews,"VND 3,257,100","FREE cancellation,• No prepayment needed"
Somerset D1Mension Ho Chi Minh City,"10.754952,106.687757",2.2 km from centre,,Executive One-Bedroom Apartment,,2,5 out of 5,9.1,Superb,141 reviews,"VND 2,442,825","FREE cancellation,• No prepayment needed"
Lucky Star Hotel 146 Nguyen Trai,"10.7695335737845,106.690630842471",900 m from centre,,Day Use Offer - Superior Double Room - 4 hours stay,,2,3 out of 5,8.3,Very good,548 reviews,"VND 208,000","FREE cancellation,• No prepayment needed"
UpTown Hotel,"10.77353,106.699468",300 m from centre,,Superior Twin/ Double ( Floor to ceiling window ),,2,3 out of 5,8.6,Fabulous,517 reviews,"VND 733,200",Breakfast included
GK Central Hotel,"10.7738889502195,106.696960330009",350 m from centre,,Superior Room,,2,3 out of 5,8.3,Very good,609 reviews,"VND 510,000",
Park Hyatt Saigon,"10.7774618920513,106.703408360481",900 m from centre,,Park Twin,,2,5 out of 5,9.2,Superb,242 reviews,"VND 6,300,000",
Citadines Regency Saigon,"10.784075,106.694434",1.5 km from centre,,Classic Room,,2,4 out of 5,8.9,Fabulous,881 reviews,"VND 1,683,990","FREE cancellation,• No prepayment needed"
HOME Hotel,"10.796012,106.675831",3.7 km from centre,,Superior Queen Room,,2,3 out of 5,9.0,Superb,64 reviews,"VND 678,600",
Gemini Saigon,"10.767133,106.694707",650 m from centre,,Day Use 6 hours (An extra charge will be applied for overnight stay),,2,3 out of 5,8.9,Fabulous,917 reviews,"VND 175,000","FREE cancellation,• No prepayment needed"
Anh Duy Hotel,"10.7693120446511,106.702488362789",550 m from centre,,Superior Double Room No Window,,2,2 out of 5,7.3,Good,144 reviews,"VND 224,000","FREE cancellation,• No prepayment needed"
The Chill Suites - City Center,"10.7719232871499,106.690531075001",850 m from centre,,Superior Queen Room,,2,3 out of 5,8.6,Fabulous,482 reviews,"VND 480,000",
Meraki Boutique Hotel,"10.7663793003904,106.691869452115",950 m from centre,,Day Use Room 2 hours - Standard Double,,2,2 out of 5,8.5,Very good,106 reviews,"VND 84,000","FREE cancellation,• No prepayment needed"
Oscar Saigon Hotel,"10.7742894590837,106.702914834023",600 m from centre,,Deluxe Double or Twin Room,,2,3 out of 5,7.7,Good,299 reviews,"VND 708,416",
Innside by Melia Saigon Central,"10.772435,106.702529",500 m from centre,,The INNSIDE Room,,2,4 out of 5,8.7,Fabulous,231 reviews,"VND 1,109,774",Breakfast included
Aristo Saigon Hotel,"10.7810927585166,106.694608032703",1.1 km from centre,,"Premier Double or Twin Room -  Free Minibar, sauna, steam bath, jacuzzi pool",,2,4 out of 5,8.2,Very good,769 reviews,"VND 815,920","Breakfast included,FREE cancellation,• No prepayment needed"
A-In Hotel Riverside,"10.7615405430256,106.697520725066",1.1 km from centre,,"Premium Double Room with City View, Bathtub",,2,2 out of 5,8.3,Very good,473 reviews,"VND 749,700",
Sedona Suites Ho Chi Minh City,"10.77356,106.700136",350 m from centre,,Grand Studio,,2,5 out of 5,9.1,Superb,206 reviews,"VND 3,529,838",
Amanaki Saigon Boutique Hotel,"10.7722184009226,106.703598797321",600 m from centre,,Junior Executive Twin Room,,2,4 out of 5,9.2,Superb,69 reviews,"VND 772,800",
Cozrum Lux Hotel,"10.771782,106.690591",850 m from centre,,Deluxe Room,,2,3 out of 5,8.7,Fabulous,263 reviews,"VND 493,366",
MAI HOUSE Saigon,"10.782278,106.691944",1.4 km from centre,,Deluxe Double Room - Free Minibar,,2,5 out of 5,9.4,Superb,281 reviews,"VND 1,347,480",
City View Hotel & Spa,"10.7720207801247,106.690651774406",850 m from centre,,Day Use Offer - Max 3h Same Day Stay - Extra Charge for Overnight Stay,,2,3 out of 5,8.2,Very good,227 reviews,"VND 86,800","FREE cancellation,• No prepayment needed"
Ruby Saigon Hotel and Suites - Ben Thanh,"10.7717968097302,106.695721149445",300 m from centre,,Standard Twin Room - no window,,2,3 out of 5,7.8,Good,921 reviews,"VND 666,630",
A in Hotel Glamour,"10.798249,106.729765",4.5 km from centre,,Deluxe Room,,2,2 out of 5,7.9,Good,485 reviews,"VND 388,800",
Homestead Parkview,"10.7725609216859,106.693178413492",600 m from centre,,Premier Apartment,,2,4 out of 5,8.2,Very good,286 reviews,"VND 849,150","FREE cancellation,• No prepayment needed"
Luxury Vinhomes central park (Jenny home),"10.792386,106.721482",3.5 km from centre,,One-Bedroom Apartment,,3,3 out of 5,8.5,Very good,148 reviews,"VND 1,148,350",
Saigon Hanoi Hotel,"10.7776331603218,106.705476343632",1.1 km from centre,,Superior Double Room - No Breakfast,,2,3 out of 5,7.8,Good,64 reviews,"VND 500,000","FREE cancellation,• No prepayment needed"
Hera Hotel - Free Airport Drop Off,"10.806197,106.66496",5 km from centre,,Deluxe Double or Twin Room,,2,3 out of 5,8.4,Very good,84 reviews,"VND 716,760","FREE cancellation,• No prepayment needed"
The Blue Airport Hotel,"10.8037146,106.6621721",5 km from centre,,Day Use Double Room - Max 4 Hours Stay,,2,2 out of 5,7.3,Good,247 reviews,"VND 250,000",
Prague Hotel,"10.768784,106.693574",600 m from centre,,Superior Double Room No Window,,2,3 out of 5,8.4,Very good,"1,393 reviews","VND 490,945",Breakfast included
