hotel_name,hotel_address,hotel_distance_center,hotel_location_features,hotel_room,number_of_rooms,room_occupancy,hotel_star,hotel_score,hotel_score_title,hotel_number_reviews,hotel_price,hotel_offer
Sochi Hotel,"12.2271978624827,109.199311551446",,,Superior Double Room with Balcony,,2,4 out of 5,8.5,Very good,32 reviews,"VND 675,000",Breakfast included
Mövenpick Resort Cam Ranh,"12.0602565147948,109.199882247658",,,Superior Twin Room with Sea View,,2,5 out of 5,8.5,Very good,275 reviews,"VND 1,848,002",Breakfast included
L'Alya Ninh Van Bay,"12.3736226050609,109.265213012695",,,Hill Rock Sea View Pool Villa,,2,5 out of 5,9.3,Superb,82 reviews,"VND 5,897,347",Breakfast included
Fusion Resort Cam Ranh - All Spa Inclusive,"12.0510107391952,109.204943776131",,,Pool Villa with Ocean View - All Spa Inclusive,,2,5 out of 5,8.5,Very good,308 reviews,"VND 5,084,917",Breakfast included
Maple Hotel & Apartment,"12.2380439,109.1961727",,,Superior Double or Twin Room,,2,4 out of 5,8.2,Very good,"1,391 reviews","VND 440,000","FREE cancellation,• No prepayment needed"
Radisson Blu Resort Cam Ranh,"12.0480566254025,109.206577041359",,,Deluxe Room with Ocean View,,2,5 out of 5,8.9,Fabulous,136 reviews,"VND 2,200,000",Breakfast included
Alpha Bird Nha Trang - Managed By RHM GROUP,"12.2309469336732,109.196653814819",,,Superior Double or Twin Room,,2,3 out of 5,8.5,Very good,821 reviews,"VND 241,500","FREE cancellation,• No prepayment needed"
Neo Century Sea View Nha Trang,"12.244255,109.195905",,,Studio with Sea View,,2,4 out of 5,9.3,Superb,119 reviews,"VND 1,305,000",
Mia Resort Nha Trang,"12.133687140426,109.21123623848",,,Garden View Condo - Double Room,,2,5 out of 5,9.3,Superb,319 reviews,"VND 2,582,300",Breakfast included
Muong Thanh Luxury Khanh Hoa,"12.2589140987191,109.198248955048",,,Deluxe Twin Room with Sea View,,2,5 out of 5,8.8,Fabulous,377 reviews,"VND 888,000",Breakfast included
Amiana Resort and Villas Nha Trang,"12.295176162534,109.234657287598",,,Two-Bedroom Family Villa,,4,5 out of 5,8.8,Fabulous,549 reviews,"VND 4,439,422",Breakfast included
