hotel_name,hotel_address,hotel_distance_center,hotel_location_features,hotel_room,number_of_rooms,room_occupancy,hotel_star,hotel_score,hotel_score_title,hotel_number_reviews,hotel_price,hotel_offer
Novotel Phu Quoc Resort,"10.1127398868842,103.983805941278",,,Superior Twin Room,,2,5 out of 5,8.3,Very good,895 reviews,"VND 1,865,937","Breakfast included,FREE cancellation,• No prepayment needed"
SOL by Meliá Phu Quoc,"10.146272,103.977259",,,Staycation Offer - Standard Room with Breakfast + Free Upgrade + Free Airport Transfer,,2,5 out of 5,8.4,Very good,"1,409 reviews","VND 1,985,029",Breakfast included
Lahana Resort Phu Quoc & Spa,"10.2071187072626,103.965380438603",,,Standard Double Room,,2,4 out of 5,9.0,Superb,975 reviews,"VND 1,414,913","Breakfast included,FREE cancellation,• No prepayment needed"
"InterContinental Phu Quoc Long Beach Resort, an IHG hotel","10.112443,103.983512",,,One King Bed Resort Classic,,2,5 out of 5,8.8,Fabulous,224 reviews,"VND 4,718,204",Breakfast included
Mango Bay Resort,"10.2587730624716,103.937490284443",,,Superior Family Bungalow with Sea View,,4,3 out of 5,9.2,Superb,"1,028 reviews","VND 2,900,000","Breakfast included,FREE cancellation,• No prepayment needed"
The Shells Resort & Spa Phu Quoc,"10.2440772854959,103.949120342731",,,Luxury Villa Garden View,,2,5 out of 5,8.6,Fabulous,800 reviews,"VND 1,782,000",Breakfast included
Chen Sea Resort & Spa Phu Quoc,"10.2570068180649,103.938378095627",,,Villa with Sea View,,2,5 out of 5,9.2,Superb,637 reviews,"VND 2,178,111",Breakfast included
Camia Resort & Spa,"10.2616441122869,103.933925628662",,,Deluxe Double Room with Ocean View,,2,4 out of 5,9.1,Superb,"1,334 reviews","VND 1,332,450",Breakfast included
Premier Village Phu Quoc Resort Managed by Accor,"10.005315,104.05185",,,Island Villa with Private Pool,,2,5 out of 5,8.9,Fabulous,329 reviews,"VND 6,395,144",Breakfast included
Vinpearl Discovery Coastalland Phu Quoc,"10.3723025735649,103.838745832182",,,Villa 2 Bedrooms with Private Pool-Breakfast Only,,4,5 out of 5,8.5,Very good,128 reviews,"VND 4,144,000",Breakfast included
Vinpearl Discovery Wonderworld Phu Quoc,"10.3422381575493,103.851300039745",,,Two-Bedroom Villa - VinWonders and Safari Access,,4,5 out of 5,8.6,Fabulous,55 reviews,"VND 5,852,000",Breakfast included
VinOasis Phu Quoc (Unlimited Access to Water Park),"10.329583091088,103.851250559091",,,Standard King Room,,2,5 out of 5,8.2,Very good,436 reviews,"VND 1,911,000",Breakfast included
Dusit Princess Moonrise Beach Resort,"10.1811801807755,103.967659233768",,,Deluxe Garden Twin,,2,5 out of 5,9.3,Superb,"1,293 reviews","VND 1,575,000",
Saigon Phu Quoc Resort & Spa,"10.2085089683258,103.961299657967",,,Double Room with Garden View,,2,4 out of 5,8.3,Very good,366 reviews,"VND 1,234,200","Breakfast included,FREE cancellation,• No prepayment needed"
Vinpearl Discovery Greenhill Phu Quoc,"10.3727201404094,103.838941097129",,,Two-Bedroom Villa - Breakfast Only,,4,5 out of 5,8.1,Very good,115 reviews,"VND 5,620,000",Breakfast included
Premier Residences Phu Quoc Emerald Bay Managed by Accor,"10.036341,104.030566",,,Standard Twin Room with Balcony,,2,5 out of 5,8.7,Fabulous,565 reviews,"VND 2,372,393",Breakfast included
Hong Bin Bungalow,"10.2069925762387,103.967399597168",,,Superior Double or Twin Room with Pool View,,2,3 out of 5,8.1,Very good,524 reviews,"VND 450,000","FREE cancellation,• No prepayment needed"
Phu Quoc Eco Beach Resort,"10.2659297881174,103.929285407066",,,Deluxe Bungalow with Garden View,,2,3 out of 5,9.1,Superb,596 reviews,"VND 1,399,308","Breakfast included,FREE cancellation,• No prepayment needed"
Sen Hotel Phu Quoc,"10.2110152054651,103.961955403948",,,Standard Double Room,,2,3 out of 5,9.4,Superb,229 reviews,"VND 540,000","FREE cancellation,• No prepayment needed"
La Veranda Resort Phu Quoc - MGallery,"10.193310932374,103.965004384518",,,Staycation Offer - Deluxe Garden + Free Upgrade + Airport Transfer + 40% Spa Discount + 15% Alacarte Menu,,2,5 out of 5,9.3,Superb,173 reviews,"VND 2,070,000","Breakfast included,FREE cancellation,• No prepayment needed"
