hotel_name,hotel_address,hotel_distance_center,hotel_location_features,hotel_room,number_of_rooms,room_occupancy,hotel_star,hotel_score,hotel_score_title,hotel_number_reviews,hotel_price,hotel_offer
Homestay Nang Nghieng,"14.354651,108.006495",900 m from centre,,King Room with Garden View,,2,,8.5,Very good,14 reviews,"VND 225,000",
Villa Hotel - Homestay,"14.375313,108.009376",3 km from centre,,Standard King Room,,2,,8.6,Fabulous,50 reviews,"VND 400,000","Breakfast included,FREE cancellation,• No prepayment needed"
Kontum Home Sweet Homestay,"14.3807517057781,108.027749229256",4.5 km from centre,,Double Room with Garden View,,2,,9.6,Exceptional,144 reviews,"VND 210,000",
Khách Sạn Bích Phương,"14.349547,107.999705",100 m from centre,,Economy Double or Twin Room,,3,1 out of 5,,,,"VND 300,000",
khách sạn sơn hạ,"14.4048018767438,107.800158027313",22 km from centre,,Double or Twin Room with Garden View,,2,1 out of 5,,,,"VND 350,000",
Indochine Hotel,"14.345444,108.001275",550 m from Kon Tum,,Standard Triple Room,,3,3 out of 5,7.1,Good,39 reviews,"VND 990,000",Breakfast included
Window Hotel,"14.3503090884253,108.001796936176",200 m from Kon Tum,,Twin Room with Balcony,,4,2 out of 5,8.7,Fabulous,194 reviews,"VND 370,000",
Bac Huong Hotel,"14.3498486410383,108.001110157672",150 m from Kon Tum,,Double Room,,2,1 out of 5,7.9,Good,132 reviews,"VND 271,150",
"Hnam Chang Ngeh Hospitality training center, guest house, restaurant & bar","14.3461592808047,108.007423306746",950 m from Kon Tum,,Double Room with Private Bathroom,,2,,8.7,Fabulous,162 reviews,"VND 452,350",Breakfast included
Khách sạn Hào Hoa (Hào Hoa Hotel),"14.349899,108.003078",350 m from Kon Tum,,Deluxe Double or Twin Room with Balcony,,3,,9.9,Exceptional,7 reviews,"VND 530,000",
Hoang Thinh Hotel,"14.3460467,108.0023927",550 m from Kon Tum,,Deluxe Triple Room,,5,1 out of 5,7.3,Good,31 reviews,"VND 530,000",
Window Homestay,"14.35407,108.013384",1.6 km from Kon Tum,,Deluxe Double or Twin Room with Garden View,,4,3 out of 5,9.2,Superb,13 reviews,"VND 500,000",
Hong My Hotel,"14.3475083075732,108.012707233429",1.4 km from Kon Tum,,Deluxe Room (2 Adults + 1 Child),,2,1 out of 5,8.4,Very good,88 reviews,"VND 330,000",
Thanh Thu 1 Hotel,"14.3597303342861,108.000255109262",1.1 km from Kon Tum,,Standard King Room,,2,2 out of 5,7.7,Good,21 reviews,"VND 270,000",
Hotel Window 2,"14.354079,108.013731",1.6 km from Kon Tum,,Deluxe Double or Twin Room,,4,2 out of 5,8.0,Very good,44 reviews,"VND 370,000",
QuangMinh3 Hotel,"14.349072,108.017126",1.9 km from Kon Tum,,Deluxe Double or Twin Room with Balcony,,4,1 out of 5,7.4,Good,7 reviews,"VND 300,000",
Khách sạn Hà An,"14.354214,108.019736",2.2 km from Kon Tum,,Double Room with Two Double Beds,,4,,,,,"VND 300,000",
Konklor Hotel,"14.3495634698756,108.033499648665",3.6 km from Kon Tum,,Double Room,,2,2 out of 5,8.5,Very good,173 reviews,"VND 370,000",
Green hotel,"14.3432697035213,108.037555217743",4.2 km from Kon Tum,,Double Room with Garden View,,2,1 out of 5,7.3,Good,18 reviews,"VND 239,239",
