hotel_name,hotel_address,hotel_distance_center,hotel_location_features,hotel_room,number_of_rooms,room_occupancy,hotel_star,hotel_score,hotel_score_title,hotel_number_reviews,hotel_price,hotel_offer
Dalat ECO Hotel 2,"11.9370528998572,108.428693711758",,,Deluxe Double Room (1 adult + 1 child),,2,1 out of 5,9.0,Superb,376 reviews,"VND 270,000",
Terracotta Hotel & Resort Dalat,"11.8948513793163,108.438255786896",,,Basement Superior Twin Room,,2,4 out of 5,8.4,Very good,837 reviews,"VND 1,345,500",Breakfast included
Dalat Wonder Resort,"11.8958200173793,108.415805749832",,,Superior Queen Room,,2,4 out of 5,7.7,Good,747 reviews,"VND 1,291,500",Breakfast included
Swiss-Belresort Tuyen Lam,"11.8828349689448,108.451771438122",,,Deluxe Twin Mountain View,,2,4 out of 5,8.3,Very good,516 reviews,"VND 1,217,746",Breakfast included
Hôtel Colline,"11.9438368971859,108.438509117722",,,Deluxe Twin Room,,2,4 out of 5,8.4,Very good,562 reviews,"VND 1,780,000",Breakfast included
Hong Mon Villa,"11.9303004020977,108.443301022053",,,Deluxe Double with Balcony Mountain View,,2,3 out of 5,8.5,Very good,324 reviews,"VND 714,340","Breakfast included,FREE cancellation,• No prepayment needed"
Du Parc Hotel Dalat,"11.9366389308243,108.43895316124",,,Standard Double or Twin Room,,2,4 out of 5,7.7,Good,378 reviews,"VND 918,000",Breakfast included
Phuong Vy Luxury Hotel,"11.9380064695423,108.435323629528",,,Standard Quadruple Room,,4,2 out of 5,8.2,Very good,931 reviews,"VND 447,750",
Kings Hotel Dalat,"11.9433909426465,108.440487384796",,,Deluxe Double Room,,2,4 out of 5,7.6,Good,653 reviews,"VND 1,010,000",Breakfast included
Capital O 585 Saigon Book Da Lat Hotel,"11.9517632177022,108.458505082695",,,Superior Double Room,,2,3 out of 5,8.8,Fabulous,560 reviews,"VND 391,091",
SAM Tuyen Lam Resort,"11.88644887173,108.43064904213",,,Superior Double Garden View,,2,3 out of 5,7.9,Good,214 reviews,"VND 1,519,696",
Lalaland Homestay,"11.919869,108.436408",,,Bunk Bed in Mixed Dormitory Room,,2,,8.0,Very good,235 reviews,"VND 259,000",
Dat Thien An Hotel,"11.94721,108.436734",,,Superior Quadruple Room,,4,,8.3,Very good,426 reviews,"VND 360,000",
Arapang Hotel 2,"11.941246,108.435252",,,Standard Double Room,,2,2 out of 5,8.3,Very good,829 reviews,"VND 333,788",
Dalat Palace Heritage Hotel,"11.9367097845229,108.440353274345",,,Superior Double or Twin Room,,2,5 out of 5,7.9,Good,134 reviews,"VND 3,150,000",Breakfast included
Q-Center Dalat,"11.939865,108.435151",,,Deluxe Family Room,,4,2 out of 5,8.5,Very good,296 reviews,"VND 384,750","FREE cancellation,• No prepayment needed"
Zen Valley Dalat,"11.9360411353196,108.458278477192",,,Superior King Room,,2,3 out of 5,8.8,Fabulous,601 reviews,"VND 1,009,800","Breakfast included,FREE cancellation,• No prepayment needed"
Zen Cafe Lakeside,"11.9017016046812,108.419933080804",,,Deluxe Double Room with Balcony,,2,,9.2,Superb,427 reviews,"VND 1,071,000","FREE cancellation,• No prepayment needed"
Victorian Hotel Dalat,"11.9557867709128,108.440313499336",,,Deluxe Double Room,,2,2 out of 5,8.1,Very good,228 reviews,"VND 397,800","FREE cancellation,• No prepayment needed"
Lam Anh Luxury Hotel,"11.9461990923388,108.440167196095",,,Standard Double Room (No Window),,2,3 out of 5,8.4,Very good,293 reviews,"VND 380,000","FREE cancellation,• No prepayment needed"
Lavie Villa,"11.923413362773,108.443123050051",,,One-Bedroom Villa,,2,3 out of 5,8.1,Very good,68 reviews,"VND 673,920","FREE cancellation,• No prepayment needed"
Dalat Terrasse Des Roses Villa,"11.9674060615937,108.429648578167",,,Deluxe Double Room,,2,4 out of 5,8.3,Very good,403 reviews,"VND 625,000","FREE cancellation,• No prepayment needed"
Dalat Edensee Lake Resort & Spa,"11.8869003191292,108.423449993134",,,Deluxe Double or Twin Room with Pine Hill View,,2,5 out of 5,8.6,Fabulous,337 reviews,"VND 2,520,000",Breakfast included
La Fleur Premium Central Apartment,"11.936713,108.438997",,,Duplex Apartment,,6,3 out of 5,9.6,Exceptional,150 reviews,"VND 1,537,000","FREE cancellation,• No prepayment needed"
Ngan Hoa - Mille Fleurs 02,"11.947013,108.461091",,,Double Room,,2,2 out of 5,9.0,Superb,175 reviews,"VND 387,000","FREE cancellation,• No prepayment needed"
Ngan Hoa - Mille Fleurs 02,"11.947013,108.461091",,,Double Room,,2,2 out of 5,9.0,Superb,175 reviews,"VND 387,000","FREE cancellation,• No prepayment needed"
The Grace Hotel,"11.9403710154426,108.435224743586",,,Superior Double Room,,2,2 out of 5,8.7,Fabulous,829 reviews,"VND 318,240","FREE cancellation,• No prepayment needed"
7s Bao Hoang Hotel Dalat,"11.935292,108.441082",,,Deluxe Family Room,,4,2 out of 5,8.8,Fabulous,200 reviews,"VND 387,383",
La Sapinette Hotel,"11.9488464872543,108.463779687881",,,Superior Double or Twin Room with City View,,2,4 out of 5,8.0,Very good,171 reviews,"VND 780,000",Breakfast included
Amia Dalat,"11.9494268444287,108.472126645915",,,Standard Queen Room,,2,3 out of 5,8.7,Fabulous,323 reviews,"VND 413,219",
Ngan Hoa - Mille Fleurs,"11.9487480119909,108.439285152709",,,Superior Double Room,,2,2 out of 5,8.7,Fabulous,524 reviews,"VND 405,000",
Thuy Duong Hotel,"11.941246,108.435252",,,Economy Quadruple Room,,4,2 out of 5,8.2,Very good,344 reviews,"VND 450,000","FREE cancellation,• No prepayment needed"
Saphir Dalat Hotel,"11.9418846786485,108.434498012066",,,Superior Double City View,,2,4 out of 5,7.1,Good,142 reviews,"VND 1,101,906",Breakfast included
Silent Night Dem Lanh Hotel,"11.937837,108.435517",,,Standard Double Room,,2,,8.9,Fabulous,473 reviews,"VND 480,607","FREE cancellation,• No prepayment needed"
TTC Hotel - Da Lat,"11.9417954571734,108.437577188015",,,Superior Twin Room,,2,4 out of 5,7.8,Good,160 reviews,"VND 1,009,800",Breakfast included
Mai Hoang Hotel,"11.93514,108.440865",,,Standard Quadruple Room,,4,2 out of 5,8.5,Very good,574 reviews,"VND 388,889","FREE cancellation,• No prepayment needed"
Woodstock Da Lat,"11.946652,108.440647",,,Deluxe Double Room,,2,,8.3,Very good,626 reviews,"VND 306,000",Breakfast included
Lovely House,"11.9387,108.433923",,,King Room with Balcony,,2,2 out of 5,8.9,Fabulous,84 reviews,"VND 351,000","FREE cancellation,• No prepayment needed"
Sally Home Villa,"11.926031,108.434362",,,Superior Double Room,,2,,8.9,Fabulous,99 reviews,"VND 545,000",
Tulip City View,"11.94135,108.434123",,,Superior Double Room,,2,3 out of 5,7.7,Good,166 reviews,"VND 690,525",
Dalat Memory Inn,"11.9347715,108.4337956",,,Economy Double Room,,2,,8.7,Fabulous,671 reviews,"VND 267,000",
Mỹ Hy Hotel Dalat,"11.9450721732431,108.438802538692",,,Standard Double Room,,2,2 out of 5,8.7,Fabulous,590 reviews,"VND 2,100,000",
Tea Resort,"11.529398,107.857706",,,Deluxe Double Room,,2,,8.0,Very good,36 reviews,"VND 1,980,000","Breakfast included,FREE cancellation,• No prepayment needed"
Tulip Hotel,"11.9428103497194,108.435082733631",,,Superior Double Room,,2,2 out of 5,8.2,Very good,486 reviews,"VND 439,425",
QA Hotel Dalat - City Centre,"11.941056,108.436563",,,Standard Double Room,,2,2 out of 5,9.0,Superb,236 reviews,"VND 322,500","FREE cancellation,• No prepayment needed"
Terracotta Villa Tuyen Lam Lake Dalat,"11.8947497856673,108.43765068028",,,Hotel Building - Basement Superior Twin Room,,2,4 out of 5,8.2,Very good,122 reviews,"VND 1,345,500",Breakfast included
Ha Le Hotel,"11.948316,108.44128",,,Double Room,,2,1 out of 5,8.6,Fabulous,111 reviews,"VND 293,930",
Vy Anh Hotel,"11.948593,108.437234",,,Superior King Room,,2,2 out of 5,8.6,Fabulous,243 reviews,"VND 297,000",
