hotel_name,hotel_address,hotel_distance_center,hotel_location_features,hotel_room,number_of_rooms,room_occupancy,hotel_star,hotel_score,hotel_score_title,hotel_number_reviews,hotel_price,hotel_offer
SONG LONG Hotel,"21.857462,106.765553",800 m from centre,,Deluxe Double Room,,2,3 out of 5,8.0,Very good,128 reviews,"VND 550,000",
Khách sạn TRIỆU KÝ VOÒNG,"21.8613061835293,106.763589796295",1.1 km from centre,,Standard King Room,,2,2 out of 5,8.0,Very good,11 reviews,"VND 450,000",
Then And Now Homestay,"21.8475420925693,106.762997789198",400 m from centre,,Bunk Bed in Mixed Dormitory Room,,2,,9.4,Superb,171 reviews,"VND 170,000",
NHÀ NGHỈ NHƯ Ý,"21.86045,106.76401",1.1 km from centre,,Twin Room with Private Bathroom,,2,,7.4,Good,7 reviews,"VND 380,000",
Duong Cong Chich Homestay,"21.9085,106.340851",44 km from centre,,Bed in 8-Bed Mixed Dormitory Room,,2,,9.4,Superb,65 reviews,"VND 140,000",
Nhat Son Guesthouse,"21.8543069006978,106.781098544598",1.9 km from centre,,Deluxe King Room,,2,3 out of 5,8.7,Fabulous,70 reviews,"VND 300,000","FREE cancellation,• No prepayment needed"
Nhà nghỉ Phú Lộc,"21.86045,106.76401",1.1 km from centre,,Quadruple Room,,4,,9.3,Superb,3 reviews,"VND 379,000","FREE cancellation,• No prepayment needed"
Nha nghi Phu Gia,"21.86045,106.76401",1.1 km from centre,,Double or Twin Room with Shower,,4,,6.1,Review score,5 reviews,"VND 396,000",
Hotel Thái Sơn,"21.85351,106.770058",850 m from centre,,Double Room,,2,1 out of 5,10,Exceptional,3 reviews,"VND 281,301",
Trọng Dung Homestay Bắc Sơn,"21.9077436213541,106.34244657574",43 km from centre,,Standard King Room,2 ×,1,,7.4,Good,7 reviews,"VND 300,000",
