hotel_name,hotel_address,hotel_distance_center,hotel_location_features,hotel_room,number_of_rooms,room_occupancy,hotel_star,hotel_score,hotel_score_title,hotel_number_reviews,hotel_price,hotel_offer
Muong Thanh Luxury Song Lam Hotel,"18.6682117697002,105.674121379852",,,Deluxe Twin Room,,2,5 out of 5,8.1,Very good,361 reviews,"VND 1,980,000",Breakfast included
Vinpearl Discovery Cua Hoi,"18.7683697900844,105.753435641528",,,Deluxe Double Room - Breakfast,,2,5 out of 5,8.6,Fabulous,118 reviews,"VND 1,170,000",Breakfast included
Muong Thanh Grand Cua Lo Hotel,"18.8045896274071,105.725061893463",,,Deluxe Twin Room,,2,4 out of 5,7.7,Good,78 reviews,"VND 800,000",Breakfast included
Muong Thanh Cua Dong Hotel,"18.6861776133543,105.699820294976",,,Deluxe King Room,,2,3 out of 5,8.6,Fabulous,196 reviews,"VND 540,000","FREE cancellation,• No prepayment needed"
Sai Gon Kim Lien Hotel Vinh City,"18.6711797399577,105.673820972443",,,Deluxe Twin Room,,2,4 out of 5,8.0,Very good,222 reviews,"VND 585,000","Breakfast included,FREE cancellation,• No prepayment needed"
Lam Giang Hotel,"18.6718745563977,105.674574673176",,,Deluxe Twin Room,,2,3 out of 5,8.3,Very good,207 reviews,"VND 633,000","Breakfast included,FREE cancellation,• No prepayment needed"
Muong Thanh Grand Hoang Mai,"19.2587421416034,105.713128745556",,,Deluxe King or Twin Room,,2,4 out of 5,8.6,Fabulous,31 reviews,"VND 810,000","Breakfast included,FREE cancellation,• No prepayment needed"
Hoang Ngan 2 Hotel - TP. Vinh,"18.682461,105.700637",,,Economy Double Room - Day Use (3 Hours),,2,2 out of 5,7.9,Good,250 reviews,"VND 106,800",
Tecco Sky Hotel & Spa,"18.6844850620645,105.674879107935",,,Double Room,,2,3 out of 5,7.9,Good,345 reviews,"VND 440,000",Breakfast included
Muong Thanh Grand Phuong Dong,"18.6655828301449,105.690289735794",,,Deluxe Twin Room,,2,4 out of 5,7.5,Good,54 reviews,"VND 754,000",Breakfast included
Thông Đỏ Hotel,"18.6469534075113,105.671166984192",,,Superior King Room,,2,4 out of 5,9.3,Superb,51 reviews,"VND 525,000",Breakfast included
Muong Thanh Vinh Hotel,"18.6876587480803,105.666171312332",,,Deluxe Twin Room,,2,3 out of 5,7.6,Good,360 reviews,"VND 517,500",Breakfast included
Muong Thanh Thanh Nien Vinh,"18.675682,105.68409",,,Superior Twin Room,,2,3 out of 5,7.3,Good,67 reviews,"VND 500,000",Breakfast included
Tokyo 3 Hotel,"18.667084,105.693267",,,Deluxe Room (2 Adults + 1 Child),,2,,6.3,Review score,56 reviews,"VND 204,000",
Khách Sạn Soa Thuỷ,"18.652739,105.70029",,,Deluxe Double Room,,2,3 out of 5,7.9,Good,16 reviews,"VND 350,000",
Vinh Plaza Hotel,"18.6876305495205,105.675106573611",,,Standard Twin Room,,2,4 out of 5,7.7,Good,168 reviews,"VND 440,000","Breakfast included,FREE cancellation,• No prepayment needed"
Muong Thanh Dien Chau Hotel,"18.9777678951263,105.60175538063",,,Superior Twin Room,,2,4 out of 5,7.5,Good,40 reviews,"VND 741,000",Breakfast included
Nhat Gia Phu Tropical Garden,"18.732413,105.286982",,,Twin Room with Mountain View,,2,,,,,"VND 500,000",Breakfast included
Saigon Kimlien Resort Cualo,"18.8091673945017,105.722100734711",,,Superior Twin Room,,2,4 out of 5,7.5,Good,119 reviews,"VND 750,000",Breakfast included
Square Center Hotel,"18.666891,105.693416",,,Twin Room,,3,,9.0,Superb,5 reviews,"VND 350,000",
Khách sạn Toàn Thắng Stone,"18.680383,105.693822",,,Deluxe Triple Room,,3,4 out of 5,8.7,Fabulous,24 reviews,"VND 790,000","Breakfast included,FREE cancellation,• No prepayment needed"
Khách sạn Minh Phú Diamond Palace,"19.000501,105.594677",,,Deluxe King Room,,2,,,,,"VND 550,000",Breakfast included
Phu Vinh Hotel,"18.8081350930266,105.720953525131",,,Deluxe Queen Room with Two Queen Beds,,4,1 out of 5,8.3,Very good,65 reviews,"VND 368,200",
Hoang Ngan 1 Hotel - TP. Vinh,"18.674536,105.698922",,,Economy Double Room - Day Use (3 Hours),,2,,7.1,Good,89 reviews,"VND 105,600",
Muong Thanh Luxury Dien Lam,"19.153714677268,105.512508898973",,,Deluxe Twin Room,,2,5 out of 5,7.9,Good,32 reviews,"VND 1,125,000","Breakfast included,FREE cancellation,• No prepayment needed"
Thanh Dat 2 Hotel,"18.694255541888,105.66539888214",,,Double Room,,2,2 out of 5,8.2,Very good,534 reviews,"VND 188,000",
KS DAEWOO CUA LO,"18.807307,105.722401",,,Deluxe Queen Room with Two Queen Beds,,4,2 out of 5,7.0,Good,3 reviews,"VND 299,000","FREE cancellation,• No prepayment needed"
